time,open,high,low,close,volume,ticker
2020-12-28,9493,9799,8145,8207,3124600,ABB
2020-12-29,8452,8635,8268,8268,1886191,ABB
2020-12-30,8513,8574,8268,8329,1396514,ABB
2020-12-31,8329,8329,8145,8268,1188032,ABB
2021-01-04,8268,8329,8023,8023,1668474,ABB
2021-01-05,8145,8145,7655,8084,2694485,ABB
2021-01-06,7962,8513,7962,8329,1600793,ABB
2021-01-07,8329,8452,8207,8268,1282512,ABB
2021-01-08,8329,8452,8268,8390,1895056,ABB
2021-01-11,8390,8452,8329,8390,1430979,ABB
2021-01-12,8390,8452,8207,8329,1199367,ABB
2021-01-13,8329,8452,8207,8268,1344451,ABB
2021-01-14,8268,8329,8207,8329,1011050,ABB
2021-01-15,8268,8697,8268,8635,3513332,ABB
2021-01-18,8635,9003,8635,8758,1699857,ABB
2021-01-19,8819,8880,7962,8268,1669363,ABB
2021-01-20,8268,8390,7655,8207,1809537,ABB
2021-01-21,8268,8390,8145,8390,968994,ABB
2021-01-22,8390,8513,8207,8268,768123,ABB
2021-01-25,8268,8268,8023,8145,634245,ABB
2021-01-26,8145,8145,7655,7717,1887092,ABB
2021-01-27,7778,7962,7533,7594,795936,ABB
2021-01-28,7533,7594,6553,6614,3779320,ABB
2021-01-29,6553,7410,6430,7349,864558,ABB
2021-02-01,7349,7533,7043,7104,427872,ABB
2021-02-02,7227,7349,6859,7288,1788081,ABB
2021-02-03,7227,7594,7165,7533,957886,ABB
2021-02-04,7533,7717,7349,7655,1986722,ABB
2021-02-05,7594,7839,7533,7839,1295769,ABB
2021-02-08,7778,7900,7472,7778,1463214,ABB
2021-02-09,7655,7778,7594,7778,628355,ABB
2021-02-17,7778,7839,7655,7839,2926458,ABB
2021-02-18,7839,8084,7778,7962,852997,ABB
2021-02-19,8023,8084,7900,7962,541969,ABB
2021-02-22,7962,8023,7900,7900,729909,ABB
2021-02-23,7900,7900,7778,7900,605861,ABB
2021-02-24,7900,7962,7778,7839,655957,ABB
2021-02-25,7900,7900,7778,7778,372620,ABB
2021-02-26,7778,7839,7717,7778,679000,ABB
2021-03-01,7778,7900,7778,7839,1004444,ABB
2021-03-02,7962,7962,7839,7839,1097250,ABB
2021-03-03,7900,7900,7778,7839,1338919,ABB
2021-03-04,7839,8084,7839,7962,2346474,ABB
2021-03-05,7962,8023,7839,7900,1283697,ABB
2021-03-08,7962,8084,7900,8023,2594485,ABB
2021-03-09,8023,8697,8023,8574,6415601,ABB
2021-03-10,8635,8880,8452,8635,2289910,ABB
2021-03-11,8697,8758,8452,8513,2180547,ABB
2021-03-12,8452,8635,8452,8574,2372801,ABB
2021-03-15,8574,8635,8513,8635,2448443,ABB
2021-03-16,8635,8942,8574,8942,6346277,ABB
2021-03-17,8880,9370,8880,9187,4548460,ABB
2021-03-18,9187,9370,9064,9187,3639299,ABB
2021-03-19,9187,9187,8942,9064,3632585,ABB
2021-03-22,9003,9064,8880,8942,2044043,ABB
2021-03-23,8942,9003,8697,8880,2299036,ABB
2021-03-24,8758,8758,8329,8574,2921161,ABB
2021-03-25,8574,8697,8452,8574,1734031,ABB
2021-03-26,8574,8574,8207,8574,1565814,ABB
2021-03-29,8574,8819,8513,8758,1616109,ABB
2021-03-30,8880,9003,8758,8880,3520350,ABB
2021-03-31,9064,9125,8942,8942,3160686,ABB
2021-04-01,9064,9187,8758,9125,6379211,ABB
2021-04-02,9125,10105,9125,9860,8148379,ABB
2021-04-05,9922,10718,9799,10534,6477154,ABB
2021-04-06,10657,10718,10105,10350,4994357,ABB
2021-04-07,10473,11024,10228,10779,6305788,ABB
2021-04-08,12371,12371,10779,10963,7216754,ABB
2021-04-09,11024,12249,10718,10901,2497067,ABB
2021-04-12,10901,11330,10901,11269,6079610,ABB
2021-04-13,11330,11391,10657,10840,5918919,ABB
2021-04-14,10963,10963,10595,10963,3147210,ABB
2021-04-15,10901,11024,10718,10779,3043022,ABB
2021-04-16,10840,10840,10044,10412,6027301,ABB
2021-04-19,10473,10595,10105,10534,1752980,ABB
2021-04-20,10718,10779,10350,10473,2242837,ABB
2021-04-22,10473,10534,9983,10044,2855735,ABB
2021-04-23,10044,10350,9799,10228,3079570,ABB
2021-04-26,10105,10412,9799,9922,2083817,ABB
2021-04-27,9983,10044,9799,9983,1122140,ABB
2021-04-28,9983,10289,9922,10228,1867030,ABB
2021-04-29,10228,10534,10228,10473,3091510,ABB
2021-05-04,10105,10534,9983,10412,2519480,ABB
2021-05-05,10350,10718,10350,10595,3356560,ABB
2021-05-06,10534,11146,10412,11024,9123091,ABB
2021-05-07,10963,11146,10718,10901,5115141,ABB
2021-05-10,10901,11269,10718,11085,5881726,ABB
2021-05-11,11085,11208,10901,10901,3986339,ABB
2021-05-12,10963,11024,10779,10963,3235146,ABB
2021-05-13,10963,11208,10840,11024,4826484,ABB
2021-05-14,11024,11698,11024,11514,6584869,ABB
2021-05-17,11453,11636,11208,11330,3731120,ABB
2021-05-18,11330,11391,11024,11208,3279691,ABB
2021-05-19,11208,11330,11085,11330,3022172,ABB
2021-05-20,11269,11881,11208,11698,6307742,ABB
2021-05-21,11698,12188,11636,11943,5010102,ABB
2021-05-24,12065,12065,11759,11881,3551158,ABB
2021-05-25,11881,12126,11759,12004,4302393,ABB
2021-05-26,11943,12494,11943,12249,5979051,ABB
2021-05-27,12371,13780,12249,13168,10970976,ABB
2021-05-28,13168,14025,12984,13903,8030163,ABB
2021-05-31,13903,15618,13596,15311,12708209,ABB
2021-06-01,15618,15801,14393,14944,11380879,ABB
2021-06-02,14944,14944,14086,14454,8133179,ABB
2021-06-03,14454,15740,14270,15311,8006045,ABB
2021-06-04,15189,15863,14883,15128,5990691,ABB
2021-06-07,15189,15250,13903,14086,6443115,ABB
2021-06-08,14025,14393,12800,12984,6273536,ABB
2021-06-09,12861,13903,12433,13474,5587021,ABB
2021-06-10,13474,13658,12923,13045,3337254,ABB
2021-06-11,13045,14148,13045,13780,3141491,ABB
2021-06-14,13841,14025,13474,13658,3419709,ABB
2021-06-15,13780,13780,13168,13474,2407856,ABB
2021-06-16,13474,13474,13106,13290,2240017,ABB
2021-06-17,13290,13290,12861,13229,2385688,ABB
2021-06-18,13229,13474,13168,13413,2043605,ABB
2021-06-21,13413,13719,13106,13229,1566222,ABB
2021-06-22,13229,13719,13106,13596,4251778,ABB
2021-06-23,13596,14270,13596,13903,4238488,ABB
2021-06-24,13903,14270,13719,13780,1624247,ABB
2021-06-25,13780,13841,13474,13780,1733334,ABB
2021-06-28,13841,14148,13780,14148,4464844,ABB
2021-06-29,14148,14638,14148,14270,4105325,ABB
2021-06-30,14331,14454,14086,14209,2413082,ABB
2021-07-01,14086,14393,13903,14331,3566154,ABB
2021-07-02,14331,14576,14331,14454,3225907,ABB
2021-07-05,14515,14821,14270,14699,5270616,ABB
2021-07-06,14699,15189,13474,14025,5271799,ABB
2021-07-07,14025,14270,13596,14270,3432010,ABB
2021-07-08,14270,14270,13719,13780,2408492,ABB
2021-07-09,13780,14883,13535,14393,7478023,ABB
2021-07-12,14393,14454,12249,13229,4378431,ABB
2021-07-13,13413,13719,12923,13351,2448132,ABB
2021-07-14,13351,13413,12371,12678,3117444,ABB
2021-07-15,12555,13168,12494,13045,1554309,ABB
2021-07-16,13045,13168,12800,12861,1384386,ABB
2021-07-19,12739,12800,11146,11330,4841235,ABB
2021-07-20,11024,11943,10963,11820,2781242,ABB
2021-07-21,11024,12065,11024,11759,1264744,ABB
2021-07-22,11820,12065,11514,12065,1509569,ABB
2021-07-23,12065,12126,11636,11759,1554394,ABB
2021-07-26,11636,11698,11330,11575,1263142,ABB
2021-07-27,11575,11881,11575,11820,1118235,ABB
2021-07-28,11820,11820,11575,11636,832637,ABB
2021-07-29,11636,12371,11636,12371,2329717,ABB
2021-07-30,12310,12678,12310,12678,2167381,ABB
2021-08-02,12678,12861,12371,12739,2258126,ABB
2021-08-03,12739,13106,12555,13045,3199606,ABB
2021-08-04,12923,13045,12800,12923,1607435,ABB
2021-08-05,12800,13045,12739,12984,1216091,ABB
2021-08-06,12984,13045,12861,12923,2064740,ABB
2021-08-09,12861,13045,12678,12923,1790083,ABB
2021-08-10,12984,13474,12923,13474,3098059,ABB
2021-08-11,13474,13658,13290,13413,2454317,ABB
2021-08-12,13413,13535,13290,13413,1754540,ABB
2021-08-13,13413,13413,12861,13290,2317528,ABB
2021-08-16,13106,13596,13045,13535,2438889,ABB
2021-08-17,13535,13903,13474,13719,2728245,ABB
2021-08-18,13719,13719,13474,13658,1163721,ABB
2021-08-19,13596,13596,13290,13474,2105819,ABB
2021-08-20,13474,13474,12433,12678,3606154,ABB
2021-08-23,12678,12678,12310,12371,2733229,ABB
2021-08-24,12371,12555,12249,12433,1672258,ABB
2021-08-25,12433,12555,12249,12555,878912,ABB
2021-08-26,12555,12800,12310,12494,981496,ABB
2021-08-27,12249,12494,12126,12433,1801449,ABB
2021-08-30,12433,12555,12249,12555,1454097,ABB
2021-08-31,12555,12739,12371,12433,1389468,ABB
2021-09-01,12433,12494,12249,12371,1651735,ABB
2021-09-06,12371,12494,12310,12433,2021081,ABB
2021-09-07,12494,13106,12494,12861,3923538,ABB
2021-09-08,13106,13780,12739,12800,1270371,ABB
2021-09-09,12800,12800,12616,12739,1401505,ABB
2021-09-10,12984,13168,12616,12678,1618521,ABB
2021-09-13,12678,12678,12371,12494,1300468,ABB
2021-09-14,12433,12494,12310,12371,959367,ABB
2021-09-15,12310,12616,12249,12494,1178072,ABB
2021-09-16,12555,12678,12433,12678,992052,ABB
2021-09-17,12555,12923,12555,12800,2199215,ABB
2021-09-20,12861,13413,12800,13106,3371542,ABB
2021-09-21,13106,13106,12739,12861,2124766,ABB
2021-09-22,12800,13045,12800,13045,1265745,ABB
2021-09-23,13106,13474,12923,13351,4084514,ABB
2021-09-24,13351,13719,13290,13474,4323552,ABB
2021-09-27,13474,13719,12861,12923,1798475,ABB
2021-09-28,12861,13045,12555,13045,1585885,ABB
2021-09-29,12861,12923,12616,12739,1209946,ABB
2021-09-30,12739,12984,12739,12923,1064206,ABB
2021-10-01,12861,12861,12555,12616,1924284,ABB
2021-10-04,12616,12678,12433,12555,2499832,ABB
2021-10-05,12494,12678,12433,12616,784574,ABB
2021-10-06,12616,12678,12494,12678,722082,ABB
2021-10-07,12739,12800,12616,12678,663189,ABB
2021-10-08,12555,12739,10779,12678,782347,ABB
2021-10-11,12616,12984,12616,12984,1348518,ABB
2021-10-12,10901,13168,10901,12923,809702,ABB
2021-10-13,11024,12984,11024,12923,785298,ABB
2021-10-14,12249,13106,12249,12923,1576654,ABB
2021-10-15,12249,13045,12249,12984,1620327,ABB
2021-10-18,12555,13045,12555,12861,1029405,ABB
2021-10-19,12555,12923,12555,12800,770584,ABB
2021-10-20,12555,12984,12555,12861,1382027,ABB
2021-10-21,12739,12984,12739,12923,922848,ABB
2021-10-22,12555,12984,12555,12861,938393,ABB
2021-10-25,12555,12861,12555,12616,1186289,ABB
2021-10-26,12739,12739,12555,12739,1239893,ABB
2021-10-27,10901,13474,10901,13168,2600085,ABB
2021-10-28,13229,13413,13045,13106,2252543,ABB
2021-10-29,12310,13290,12310,13168,2171755,ABB
2021-11-01,13168,13351,13106,13290,2903547,ABB
2021-11-02,13474,13719,13229,13474,5279714,ABB
2021-11-03,13658,14883,13474,14270,8675121,ABB
2021-11-04,14699,14699,14148,14270,3339916,ABB
2021-11-05,14086,14393,13903,14025,2347852,ABB
2021-11-08,14025,14209,13719,13964,5122248,ABB
2021-11-09,15167,15235,14426,14628,3071611,ABB
2021-11-10,14628,14696,14224,14426,1800883,ABB
2021-11-11,14426,14426,13887,14156,2920142,ABB
2021-11-12,13887,14359,13887,14359,1484280,ABB
2021-11-15,11999,14426,11999,14156,1394029,ABB
2021-11-16,12471,14359,12471,14089,1259536,ABB
2021-11-17,14224,14224,14021,14156,1162710,ABB
2021-11-18,14021,14359,14021,14089,1706396,ABB
2021-11-19,14021,14830,14021,14493,3821388,ABB
2021-11-22,14291,15774,14291,15302,7425098,ABB
2021-11-23,15505,15505,14696,15100,1953114,ABB
2021-11-24,15505,16516,14898,16314,11773565,ABB
2021-11-25,16516,16516,15909,16179,4011387,ABB
2021-11-26,14830,16314,14830,15842,3107531,ABB
2021-11-29,15235,15572,15167,15437,3617859,ABB
2021-11-30,15370,15707,14830,14965,4849477,ABB
2021-12-01,13145,15235,13145,15167,2977215,ABB
2021-12-02,14898,15235,14898,14965,987045,ABB
2021-12-03,12875,15100,12875,14426,3213269,ABB
2021-12-06,14493,14561,13617,13887,3236798,ABB
2021-12-07,13145,14359,13145,14224,1396883,ABB
2021-12-08,14156,14493,14021,14156,3262800,ABB
2021-12-09,14763,14763,14089,14291,877500,ABB
2021-12-10,12471,14493,12471,14224,1211600,ABB
2021-12-13,14021,14291,14021,14156,1714100,ABB
2021-12-14,14156,14224,13954,14089,1767600,ABB
2021-12-15,13887,14291,13887,14089,1406400,ABB
2021-12-16,13887,14156,13887,14021,1387500,ABB
2021-12-17,13819,14089,13819,14089,1793300,ABB
2021-12-20,14089,14291,14021,14224,1497700,ABB
2021-12-21,14291,14291,14021,14156,1119000,ABB
2021-12-22,14830,14830,13954,14089,1398700,ABB
2021-12-23,14291,14291,13617,13819,3309500,ABB
2021-12-24,14156,14426,13819,14359,3437300,ABB
2021-12-27,14359,16179,14359,15100,5588500,ABB
2021-12-28,15505,15842,15100,15505,4800800,ABB
2021-12-29,15505,15639,15100,15167,3042000,ABB
2021-12-30,15302,15437,14493,14628,4669100,ABB
2021-12-31,14830,15167,14628,14830,2314700,ABB
2022-01-04,15100,15167,14696,14898,2677300,ABB
2022-01-05,15167,15235,14830,14898,4338700,ABB
2022-01-06,14965,15167,14493,14628,2683000,ABB
2022-01-07,14830,14830,14561,14830,2355900,ABB
2022-01-10,14830,14830,14224,14291,3291900,ABB
2022-01-11,14493,14493,14089,14156,2110900,ABB
2022-01-12,14291,14561,13887,14493,3345800,ABB
2022-01-13,14493,14898,14359,14426,2867200,ABB
2022-01-14,14628,14898,14493,14763,3184700,ABB
2022-01-17,14763,14830,14224,14224,3638700,ABB
2022-01-18,14224,14493,13887,14021,2371100,ABB
2022-01-19,14089,14224,13954,14156,1025900,ABB
2022-01-20,14359,14493,13954,14224,1405700,ABB
2022-01-21,14224,14493,14089,14359,2477900,ABB
2022-01-24,14493,14493,14089,14156,2146400,ABB
2022-01-25,14359,14628,14089,14561,2160700,ABB
2022-01-26,14628,15505,14628,15235,5024900,ABB
2022-01-27,15302,15437,15167,15235,2044700,ABB
2022-01-28,15302,15639,15235,15505,3044500,ABB
2022-02-07,15505,15842,15437,15639,3806000,ABB
2022-02-08,15842,15842,15437,15572,3860800,ABB
2022-02-09,15639,15639,15370,15505,5549400,ABB
2022-02-10,15505,17329,15505,16600,7923400,ABB
2022-02-11,16600,16873,16326,16509,2765600,ABB
2022-02-14,16509,16600,15779,15961,4202300,ABB
2022-02-15,15961,16052,15596,15870,2809600,ABB
2022-02-16,15870,15961,15688,15961,1761300,ABB
2022-02-17,15961,15961,15779,15870,1329200,ABB
2022-02-18,15870,15870,15688,15779,1369100,ABB
2022-02-21,15870,15870,15596,15779,2014100,ABB
2022-02-22,15596,15779,15323,15505,3366400,ABB
2022-02-23,15596,15779,15505,15596,1199400,ABB
2022-02-24,15596,15596,15049,15232,3114700,ABB
2022-02-25,15323,15505,15232,15414,1505200,ABB
2022-02-28,15414,15414,15140,15323,1104400,ABB
