time,open,high,low,close,volume,ticker
2021-08-04,80135,80135,65507,80072,197900,ACG
2021-08-05,80072,80072,71931,75047,227117,ACG
2021-08-06,75047,75047,72821,74411,155200,ACG
2021-08-09,73139,73775,68687,70850,135600,ACG
2021-08-10,70723,70850,68751,70150,133906,ACG
2021-08-11,69323,73076,69323,72058,180500,ACG
2021-08-12,71867,72503,69959,69959,115900,ACG
2021-08-13,70595,74348,68051,69133,166700,ACG
2021-08-16,71804,71804,67733,69832,45200,ACG
2021-08-17,69832,70277,67733,69705,98502,ACG
2021-08-18,68687,70214,67733,68051,32000,ACG
2021-08-19,68687,69196,66589,67733,24700,ACG
2021-08-20,67733,67988,64235,66652,20600,ACG
2021-08-23,62963,69260,62963,66398,28302,ACG
2021-08-24,68560,68560,63599,66080,17200,ACG
2021-08-25,66525,66716,63599,65507,49600,ACG
2021-08-26,65825,65825,63536,65062,20500,ACG
2021-08-27,63281,64871,62963,64871,18900,ACG
2021-08-30,64235,66779,64235,66143,47500,ACG
2021-08-31,66779,67415,66143,67415,54600,ACG
2021-09-01,66779,67034,66652,67034,77200,ACG
2021-09-06,66970,67097,66143,66970,43801,ACG
2021-09-07,67415,67415,66461,67288,34900,ACG
2021-09-08,67097,67924,66970,67733,37500,ACG
2021-09-09,67733,69578,67415,69514,101300,ACG
2021-09-10,70595,73076,69514,72503,145500,ACG
2021-09-13,72503,73775,71867,72949,96300,ACG
2021-09-14,73139,74093,72503,73712,83200,ACG
2021-09-15,73457,74348,71231,74157,127100,ACG
2021-09-16,73585,74920,73139,73966,94900,ACG
2021-09-17,74411,82679,73775,76001,113700,ACG
2021-09-20,75811,76637,74411,74411,73800,ACG
2021-09-21,75683,76637,75047,76129,55100,ACG
2021-09-22,64871,79754,64871,75111,45900,ACG
2021-09-23,73775,76319,73775,75811,79300,ACG
2021-09-24,69959,76637,64871,75620,51206,ACG
2021-09-27,75683,76256,75047,75175,67700,ACG
2021-09-28,73775,76256,73775,74984,56600,ACG
2021-09-29,74093,74984,74093,74602,66300,ACG
2021-09-30,73775,75938,73139,74984,64710,ACG
2021-10-01,75047,75747,73775,74857,55600,ACG
2021-10-04,75238,75620,74411,75111,66500,ACG
2021-10-05,75047,75429,74411,75302,63500,ACG
2021-10-06,73139,75365,73139,74221,82200,ACG
2021-10-07,73775,75683,73775,74284,89200,ACG
2021-10-08,74411,74666,73330,73775,80200,ACG
2021-10-11,73775,74920,73457,74666,78000,ACG
2021-10-12,74284,74793,73139,73585,51400,ACG
2021-10-13,73775,74793,73139,73267,53102,ACG
2021-10-14,73775,74411,73139,73585,45700,ACG
2021-10-15,73457,74093,71867,72758,52700,ACG
2021-10-18,72821,73139,71677,71677,48400,ACG
2021-10-19,71867,77591,71231,72376,74701,ACG
2021-10-20,72185,72758,71867,72503,54600,ACG
2021-10-21,72376,72821,71231,72503,86400,ACG
2021-10-22,72503,72503,70786,71104,53700,ACG
2021-10-25,70786,72376,70595,72376,91000,ACG
2021-10-26,71041,73139,71041,73012,67807,ACG
2021-10-27,72885,73457,72376,73139,51400,ACG
2021-10-28,73139,74411,72503,74348,87700,ACG
2021-10-29,74030,74411,73775,74093,65100,ACG
2021-11-01,74411,74602,73139,74030,48500,ACG
2021-11-02,73775,74030,71168,72122,70500,ACG
2021-11-03,72185,72185,69959,71613,57800,ACG
2021-11-04,71231,71867,70595,71677,64800,ACG
2021-11-05,71677,71995,70341,71867,145400,ACG
2021-11-08,71359,71867,70595,71422,58500,ACG
2021-11-09,71613,72440,71231,72249,43000,ACG
2021-11-10,72122,72313,71867,72185,54300,ACG
2021-11-11,71867,72249,70723,71486,54100,ACG
2021-11-12,71613,73330,71422,72758,177400,ACG
2021-11-15,72758,73139,72503,72949,128800,ACG
2021-11-16,72949,73330,70659,71995,108200,ACG
2021-11-17,71867,72567,70595,70595,121300,ACG
2021-11-18,71867,71867,70595,71867,68300,ACG
2021-11-19,71867,71867,70913,70913,40000,ACG
