time,open,high,low,close,volume,ticker
2017-07-13,15254,15254,15254,15254,1200,ACS
2017-07-14,15254,15254,15254,15254,0,ACS
2017-07-17,15254,15254,15254,15254,0,ACS
2017-07-18,15254,15254,15254,15254,0,ACS
2017-07-19,15254,15254,15254,15254,0,ACS
2017-07-20,15254,15254,15254,15254,0,ACS
2017-07-21,15254,15254,15254,15254,0,ACS
2017-07-24,15254,15254,15254,15254,0,ACS
2017-07-25,15254,15254,15254,15254,0,ACS
2017-07-26,15254,15254,15254,15254,0,ACS
2017-07-27,15254,15028,15028,15254,0,ACS
2017-07-28,15028,15028,15028,15028,0,ACS
2017-07-31,15028,15028,15028,15028,100,ACS
2017-08-01,15028,15028,15028,15028,0,ACS
2017-08-02,15028,15028,15028,15028,0,ACS
2017-08-03,15028,15028,15028,15028,0,ACS
2017-08-04,15028,15028,15028,15028,0,ACS
2017-08-07,15028,15028,15028,15028,0,ACS
2017-08-08,15028,15028,15028,15028,0,ACS
2017-08-09,15028,15028,15028,15028,0,ACS
2017-08-10,15028,15028,15028,15028,0,ACS
2017-08-11,15028,15028,15028,15028,0,ACS
2017-08-14,15028,15028,15028,15028,0,ACS
2017-08-15,15028,15028,15028,15028,0,ACS
2017-08-16,15028,15028,15028,15028,0,ACS
2017-08-17,15028,15028,15028,15028,0,ACS
2017-08-18,15028,15028,15028,15028,0,ACS
2017-08-21,15028,15028,15028,15028,0,ACS
2017-08-22,15028,15028,15028,15028,0,ACS
2017-08-23,15028,15028,15028,15028,0,ACS
2017-08-24,15028,15028,15028,15028,0,ACS
2017-08-25,15028,15028,15028,15028,0,ACS
2017-08-28,15028,15028,15028,15028,0,ACS
2017-08-29,15028,15028,15028,15028,0,ACS
2017-08-30,15028,15028,15028,15028,0,ACS
2017-08-31,15028,15028,15028,15028,0,ACS
2017-09-01,15028,15028,15028,15028,0,ACS
2017-09-05,15028,15028,15028,15028,0,ACS
2017-09-06,15028,15028,15028,15028,0,ACS
2017-09-07,15028,15028,15028,15028,0,ACS
2017-09-08,12924,12924,12924,12924,100,ACS
