time,open,high,low,close,volume,ticker
2019-12-26,29978,29978,29978,29978,10000,ADG
2019-12-27,34456,34456,34456,34456,21600,ADG
2019-12-30,34962,35429,34962,36247,19400,ADG
2019-12-31,34845,35624,34456,35390,18900,ADG
2020-01-02,35079,35079,34027,35040,21500,ADG
2020-01-03,35040,36986,34962,34962,3500,ADG
2020-01-06,34456,36324,34456,36285,6700,ADG
2020-01-07,35040,35040,34884,34962,8300,ADG
2020-01-08,35040,35040,34495,35117,9600,ADG
2020-01-09,34689,35156,34689,35195,11700,ADG
2020-01-10,35195,35195,34923,35040,5300,ADG
2020-01-13,35040,35040,34728,34728,8700,ADG
2020-01-14,34728,35117,34728,35117,11700,ADG
2020-01-15,35195,35429,35040,35351,13100,ADG
2020-01-16,35429,35429,35040,35040,10600,ADG
2020-01-17,35001,35079,34845,34845,8500,ADG
2020-01-20,34845,35312,34845,35312,14200,ADG
2020-01-21,35001,35117,35001,35117,7800,ADG
2020-01-22,34962,35390,34962,35507,10200,ADG
2020-01-30,35040,35351,35040,35312,12800,ADG
2020-01-31,35312,35351,35234,35234,10700,ADG
2020-02-03,35312,35312,35117,35273,9600,ADG
2020-02-04,35273,35273,35117,35273,9100,ADG
2020-02-05,35273,35507,35273,35507,8100,ADG
2020-02-06,35624,36052,35624,36052,10200,ADG
2020-02-07,36052,36052,35663,35740,11900,ADG
2020-02-10,35818,36208,35585,35935,9700,ADG
2020-02-11,35818,36091,35779,36091,8400,ADG
2020-02-12,35818,35818,35546,35546,10900,ADG
2020-02-13,35779,36208,35779,36208,14600,ADG
2020-02-14,36169,36324,36091,36091,14000,ADG
2020-02-17,36208,36247,36130,36169,11500,ADG
2020-02-18,36169,36169,36169,36285,13700,ADG
2020-02-19,36285,36792,36285,36753,15300,ADG
2020-02-20,36753,36986,36714,36947,14500,ADG
2020-02-21,36986,36986,36792,36869,16400,ADG
2020-02-24,36869,36869,36597,36597,15500,ADG
2020-02-25,36675,36675,36402,36597,14600,ADG
2020-02-26,36402,41152,36324,36947,16300,ADG
2020-02-27,36714,37025,36675,37025,16100,ADG
2020-02-28,37064,37064,36986,37064,22710,ADG
2020-03-02,37103,37142,37064,37142,12700,ADG
2020-03-03,37142,37259,37142,37181,18400,ADG
2020-03-04,37181,37181,36986,36986,22310,ADG
2020-03-05,37220,37376,37142,37142,20800,ADG
2020-03-06,37142,37142,37025,37103,19800,ADG
2020-03-09,36753,36753,35818,35818,18100,ADG
2020-03-10,35624,36208,35429,36208,19300,ADG
2020-03-11,35935,36402,35701,35701,16300,ADG
2020-03-12,35740,35740,35663,35701,17600,ADG
2020-03-13,35663,35779,35507,35779,17900,ADG
2020-03-16,35312,35585,35312,35351,17610,ADG
2020-03-17,35351,35507,35351,35507,18808,ADG
2020-03-18,35507,35507,35429,35468,5300,ADG
2020-03-19,35468,35468,35351,35351,9700,ADG
2020-03-20,35351,35390,35351,35351,4300,ADG
2020-03-23,35273,35273,35156,35156,3900,ADG
2020-03-24,35195,36285,35117,35117,4600,ADG
2020-03-25,36285,36714,36285,36714,3700,ADG
2020-03-26,36402,37103,36402,36558,4800,ADG
2020-03-27,36402,36636,36402,36558,4200,ADG
2020-03-30,36169,36169,36052,36052,2600,ADG
2020-03-31,35818,36169,35818,35818,2500,ADG
2020-04-01,35857,36052,35857,36052,800,ADG
2020-04-03,36052,36052,36052,36052,700,ADG
2020-04-06,36052,36130,36052,36130,640,ADG
2020-04-07,36130,36130,36091,36091,700,ADG
2020-04-08,36091,36091,35896,35896,500,ADG
2020-04-09,36013,36013,36013,36013,610,ADG
2020-04-10,36013,36013,35974,35974,800,ADG
2020-04-13,36013,36130,36013,36013,502,ADG
2020-04-14,36052,36130,35779,36091,3100,ADG
2020-04-15,36013,36130,36013,36052,4800,ADG
2020-04-16,36052,36091,36013,36091,4500,ADG
2020-04-17,36091,36169,36091,36091,4700,ADG
2020-04-20,36130,36208,36091,36208,9300,ADG
2020-04-21,36013,36130,35974,36130,8900,ADG
2020-04-22,36091,36169,35896,36169,9700,ADG
2020-04-23,36247,36519,36169,36441,9100,ADG
2020-04-24,36441,36519,36324,36480,9900,ADG
2020-04-27,36441,36986,36441,36597,8200,ADG
2020-04-28,36597,36597,36441,36480,9340,ADG
2020-04-29,36519,36986,36519,36986,10600,ADG
2020-05-04,37181,41736,36986,38972,7600,ADG
2020-05-05,38972,41269,38972,39984,10900,ADG
2020-05-06,40607,42826,40101,40101,8900,ADG
2020-05-07,40373,40451,40335,40412,9700,ADG
2020-05-08,40412,40451,40373,40451,8100,ADG
2020-05-11,40412,41503,40412,41503,11300,ADG
2020-05-12,41074,41113,40646,41113,8600,ADG
2020-05-13,41269,41658,41113,41425,20700,ADG
2020-05-14,41580,41697,41269,41697,8700,ADG
2020-05-15,41658,43138,41464,41580,11500,ADG
2020-05-18,42203,42632,42164,42164,7800,ADG
2020-05-19,42398,42826,42320,42437,9700,ADG
2020-05-20,42826,42826,41892,42359,8500,ADG
2020-05-21,42320,42320,41619,42320,11500,ADG
2020-05-22,41464,41697,41464,41697,10400,ADG
2020-05-25,41269,42048,41191,41853,13100,ADG
2020-05-26,41580,41697,41503,41697,10300,ADG
2020-05-27,41658,41853,41658,41814,9200,ADG
2020-05-28,41775,42048,41775,41970,11300,ADG
2020-05-29,41775,41892,41775,41853,10700,ADG
2020-06-01,41658,41658,41347,41503,9400,ADG
2020-06-02,41503,41541,40957,41386,10600,ADG
2020-06-03,41425,41425,40996,41386,10100,ADG
2020-06-04,41152,41658,41152,41386,15600,ADG
2020-06-05,40607,41386,40607,41386,17900,ADG
2020-06-08,41113,41386,41113,41308,14800,ADG
2020-06-09,41230,41269,41074,41152,20540,ADG
2020-06-10,41152,41269,40919,41191,23600,ADG
2020-06-11,40529,41230,40296,40957,19900,ADG
2020-06-12,40101,40996,40101,40880,19400,ADG
2020-06-15,39751,41619,39751,40101,18200,ADG
2020-06-16,41425,41425,40179,40179,16300,ADG
2020-06-17,39945,40296,39945,40296,19500,ADG
2020-06-18,40140,40179,40101,40179,15300,ADG
2020-06-19,39984,40335,39984,40296,17600,ADG
2020-06-22,40101,40490,40101,40373,19300,ADG
2020-06-23,41074,41113,40296,40296,14920,ADG
2020-06-24,40335,40451,40335,40373,17400,ADG
2020-06-25,40412,41074,40412,40607,13700,ADG
2020-06-26,40880,40880,40490,40607,18300,ADG
2020-06-29,40646,40880,40412,40568,14300,ADG
2020-06-30,40607,41269,40607,41269,19800,ADG
2020-07-01,41074,41892,41074,41814,23700,ADG
2020-07-02,41658,41853,41658,41814,15600,ADG
2020-07-03,41775,41775,41658,41736,19200,ADG
2020-07-06,41386,41658,41386,41580,13400,ADG
2020-07-07,41658,41853,41308,41464,16100,ADG
2020-07-08,42125,42671,41736,42009,17620,ADG
2020-07-09,42125,43605,42125,42476,21600,ADG
2020-07-10,42865,44773,42787,42826,26100,ADG
2020-07-13,43021,44384,43021,43800,19900,ADG
2020-07-14,44072,45123,43800,44228,24820,ADG
2020-07-15,44578,44578,44384,44384,21400,ADG
2020-07-16,45646,49498,45646,46148,29300,ADG
2020-07-17,47572,47572,44808,45646,24700,ADG
2020-07-20,43719,45981,43719,45227,24900,ADG
2020-07-21,44054,45059,43552,44473,22200,ADG
2020-07-22,44389,44389,43719,43719,26600,ADG
2020-07-23,44054,44054,42631,42631,15470,ADG
2020-07-24,42798,42798,41123,42714,17157,ADG
2020-07-27,41123,41123,36014,39867,16620,ADG
2020-07-28,39113,40620,39113,40285,21900,ADG
2020-07-29,40118,40118,37689,39364,26300,ADG
2020-07-30,39280,40202,39280,39867,21223,ADG
2020-07-31,38945,39867,38945,39448,20710,ADG
2020-08-03,39364,45227,38610,42714,23490,ADG
2020-08-04,41542,42212,41458,41709,18100,ADG
2020-08-05,43049,43049,40955,41877,24600,ADG
2020-08-06,41123,42212,41123,41207,22361,ADG
2020-08-07,41123,41626,41039,41374,23400,ADG
2020-08-10,41291,42296,41291,41709,24060,ADG
2020-08-11,41542,41793,41458,41626,26900,ADG
2020-08-12,42714,42714,41626,41877,24030,ADG
2020-08-13,41877,42296,41709,41877,27300,ADG
2020-08-14,41877,41877,40369,41207,19500,ADG
2020-08-17,41291,42044,41291,41542,24500,ADG
2020-08-18,42966,42966,41374,42212,26441,ADG
2020-08-19,40704,42044,40704,41877,18610,ADG
2020-08-20,41039,42296,41039,41374,20000,ADG
2020-08-21,41709,41709,41291,41626,22800,ADG
2020-08-24,41542,41877,41458,41709,24340,ADG
2020-08-25,41793,42212,41458,41709,20675,ADG
2020-08-26,41877,42714,41207,42714,26200,ADG
2020-08-27,41877,41877,41458,41793,21071,ADG
2020-08-28,41709,42463,41458,42463,26190,ADG
2020-08-31,41961,43133,41877,43049,16655,ADG
2020-09-01,42714,42966,42547,42882,20830,ADG
2020-09-03,42547,42966,41709,42882,21360,ADG
2020-09-04,41877,42798,41877,42547,19200,ADG
2020-09-07,42463,42966,42379,42379,19640,ADG
2020-09-08,42631,42714,42379,42547,16719,ADG
2020-09-09,42463,42463,41877,42296,20000,ADG
2020-09-10,42212,42714,42212,42631,24100,ADG
2020-09-11,42296,42463,41877,42463,15830,ADG
2020-09-14,42296,43971,42212,43971,20720,ADG
2020-09-15,43552,45227,43217,45227,21960,ADG
2020-09-16,44306,44641,42798,43468,27291,ADG
2020-09-17,43133,44389,42379,42547,23500,ADG
2020-09-18,43552,43552,42044,42296,31789,ADG
2020-09-21,42379,43636,42379,43049,32338,ADG
2020-09-22,42882,43049,42296,42882,20839,ADG
2020-09-23,42547,43468,42547,43217,35243,ADG
2020-09-24,43133,43133,42379,42882,29351,ADG
2020-09-25,42296,43133,42212,42798,25268,ADG
2020-09-28,43049,43049,42631,42798,28825,ADG
2020-09-29,42882,42882,41961,42547,26510,ADG
2020-09-30,42714,42714,41877,42463,20709,ADG
2020-10-01,42714,42714,41542,42212,27452,ADG
2020-10-02,42128,42128,41458,41877,26620,ADG
2020-10-05,41877,41877,41039,41542,19826,ADG
2020-10-06,41374,41877,41374,41709,20930,ADG
2020-10-07,41458,41793,41039,41542,21296,ADG
2020-10-08,41542,41877,41458,41626,22920,ADG
2020-10-09,41458,41877,41458,41626,24300,ADG
2020-10-12,41709,42547,41626,42547,37344,ADG
2020-10-13,42463,43133,42379,43133,42840,ADG
2020-10-14,42714,42798,42547,42714,21380,ADG
2020-10-15,37689,42882,37689,42296,18210,ADG
