time,open,high,low,close,volume,ticker
2018-01-10,7948,10116,7948,10116,30400,AG1
2018-01-11,8598,8598,8598,8598,0,AG1
2018-01-12,8598,8598,8598,8598,0,AG1
2018-01-15,8598,8598,8598,8598,0,AG1
2018-01-16,8598,8598,8598,8598,0,AG1
2018-01-17,9827,9827,9827,9827,100,AG1
2018-01-18,9827,9827,9827,9827,0,AG1
2018-01-19,9827,9827,9827,9827,0,AG1
2018-01-22,8598,9249,8598,8598,20000,AG1
2018-01-23,8815,8815,8815,8815,0,AG1
2018-01-24,8815,8815,8815,8815,0,AG1
2018-01-25,8815,8815,8815,8815,0,AG1
2018-01-26,8815,8815,8815,8815,0,AG1
2018-01-29,9754,9754,9754,9754,1000,AG1
2018-01-30,8671,8671,8671,8671,1020,AG1
2018-01-31,8671,8671,8671,8671,0,AG1
2018-02-01,8671,8671,8671,8671,0,AG1
2018-02-02,8671,8671,8671,8671,0,AG1
2018-02-05,8671,8671,8671,8671,0,AG1
2018-02-06,8671,8671,8671,8671,0,AG1
2018-02-07,8671,8671,8671,8671,0,AG1
2018-02-08,8671,8671,8671,8671,0,AG1
2018-02-09,8671,8671,8671,8671,0,AG1
2018-02-12,8671,8671,8671,8671,0,AG1
2018-02-13,8671,8671,8671,8671,0,AG1
2018-02-21,8671,8671,8671,8671,0,AG1
2018-02-22,8671,8671,8671,8671,0,AG1
2018-02-23,8671,8671,8671,8671,0,AG1
2018-02-26,8671,8671,8671,8671,0,AG1
2018-02-27,8671,8671,8671,8671,0,AG1
2018-02-28,8671,8671,8671,8671,0,AG1
2018-03-01,8671,8671,8671,8671,0,AG1
2018-03-02,8671,8671,8671,8671,0,AG1
2018-03-05,8671,8671,8671,8671,0,AG1
2018-03-06,8671,8671,8671,8671,0,AG1
2018-03-07,8671,8671,8671,8671,0,AG1
2018-03-08,8671,8671,8671,8671,0,AG1
2018-03-09,8671,8671,8671,8671,0,AG1
2018-03-12,8671,8671,8671,8671,0,AG1
2018-03-13,8671,8671,8671,8671,0,AG1
2018-03-14,8671,8671,8671,8671,0,AG1
2018-03-15,8671,8671,8671,8671,0,AG1
2018-03-16,8671,8671,8671,8671,0,AG1
2018-03-19,8671,8671,8671,8671,0,AG1
2018-03-20,8671,8671,8671,8671,0,AG1
2018-03-21,8671,8671,8671,8671,0,AG1
2018-03-22,8671,8671,8671,8671,0,AG1
2018-03-23,8671,8671,8671,8671,0,AG1
2018-03-26,8671,8671,8671,8671,0,AG1
2018-03-27,8671,8671,8671,8671,0,AG1
2018-03-28,8671,8671,8671,8671,0,AG1
2018-03-29,8671,8671,8671,8671,0,AG1
2018-03-30,8671,8671,8671,8671,0,AG1
2018-04-02,8671,8671,8671,8671,0,AG1
2018-04-03,8671,8671,8671,8671,0,AG1
2018-04-04,8671,8671,8671,8671,0,AG1
2018-04-05,8671,8671,8671,8671,0,AG1
2018-04-06,10838,10838,10838,10838,400,AG1
2018-04-09,10838,10838,10838,10838,0,AG1
2018-04-10,10838,10838,10838,10838,0,AG1
2018-04-11,10838,10838,10838,10838,0,AG1
2018-04-12,10838,10838,10838,10838,0,AG1
2018-04-13,10838,10838,10838,10838,0,AG1
2018-04-16,10838,10838,10838,10838,0,AG1
2018-04-17,10838,10838,10838,10838,0,AG1
2018-04-18,10838,10838,10838,10838,0,AG1
2018-04-19,10838,10838,10838,10838,0,AG1
2018-04-20,10838,10838,10838,10838,0,AG1
2018-04-23,10838,10838,10838,10838,0,AG1
2018-04-24,10838,10838,10838,10838,0,AG1
2018-04-26,10838,10838,10838,10838,0,AG1
2018-04-27,10838,10838,10838,10838,0,AG1
2018-05-02,10838,10838,10838,10838,0,AG1
2018-05-03,10838,10838,10838,10838,0,AG1
2018-05-04,10838,10838,10838,10838,0,AG1
2018-05-07,10838,10838,10838,10838,0,AG1
2018-05-08,10838,10838,10838,10838,0,AG1
2018-05-09,10838,10838,10838,10838,0,AG1
2018-05-10,10838,10838,10838,10838,0,AG1
2018-05-11,10838,10838,10838,10838,0,AG1
2018-05-14,11867,10838,10838,11867,40,AG1
2018-05-15,10838,10838,10838,10838,0,AG1
2018-05-16,10838,10838,10838,10838,0,AG1
2018-05-17,10838,10838,10838,10838,0,AG1
2018-05-18,9256,9256,9256,9256,3500,AG1
2018-05-21,9256,9256,9256,9256,0,AG1
2018-05-22,9256,9256,9256,9256,0,AG1
2018-05-23,9256,9256,9256,9256,0,AG1
2018-05-24,9256,9256,9256,9256,0,AG1
2018-05-25,9256,9256,9256,9256,0,AG1
2018-05-28,9256,9256,9256,9256,0,AG1
2018-05-29,9256,9256,9256,9256,0,AG1
2018-05-30,9256,9256,9256,9256,0,AG1
2018-05-31,9256,9256,9256,9256,0,AG1
2018-06-01,9256,9256,9256,9256,0,AG1
2018-06-04,9256,9256,9256,9256,0,AG1
2018-06-05,9256,9256,9256,9256,0,AG1
2018-06-06,9256,9256,9256,9256,0,AG1
2018-06-07,9256,9256,9256,9256,0,AG1
2018-06-08,9256,9256,9256,9256,0,AG1
2018-06-11,9256,9256,9256,9256,0,AG1
2018-06-12,9256,9256,9256,9256,0,AG1
2018-06-13,7911,7911,7911,7911,5000,AG1
2018-06-14,7911,7911,7911,7911,0,AG1
2018-06-15,7911,7911,7911,7911,0,AG1
2018-06-18,7911,7911,7911,7911,0,AG1
2018-06-19,7911,7911,7911,7911,0,AG1
2018-06-20,7911,7911,7911,7911,8000,AG1
2018-06-21,6883,6883,6883,6883,100,AG1
2018-06-22,6408,7911,6408,7911,4150,AG1
2018-06-25,7911,7911,7911,7911,0,AG1
2018-06-26,7911,7911,7911,7911,3400,AG1
2018-06-27,6803,7911,6803,7911,2300,AG1
2018-06-28,7911,7911,7199,7199,1500,AG1
2018-06-29,7832,7832,7832,7832,0,AG1
2018-07-02,7911,7911,7911,7911,1000,AG1
2018-07-03,7911,7911,7911,7911,5011,AG1
2018-07-04,7911,7911,7911,7911,0,AG1
2018-07-05,6962,6962,6962,6962,100,AG1
2018-07-06,6962,6962,6962,6962,0,AG1
2018-07-09,6566,6566,6566,6566,200,AG1
2018-07-10,6408,6408,6408,6408,100,AG1
2018-07-11,7357,7357,7357,7357,1000,AG1
2018-07-12,6408,6408,6408,6408,100,AG1
2018-07-13,6408,6408,6408,6408,0,AG1
2018-07-16,6408,6408,6408,6408,0,AG1
2018-07-17,6329,6329,6329,6329,100,AG1
2018-07-18,6250,6250,6250,6250,100,AG1
2018-07-19,6250,6250,6250,6250,0,AG1
2018-07-20,6250,6250,6250,6250,0,AG1
2018-07-23,6250,6250,6012,6012,210,AG1
2018-07-24,6012,6171,6171,6012,20,AG1
2018-07-25,6171,6171,5300,5300,529,AG1
2018-07-26,6566,6566,6566,6566,100,AG1
2018-07-27,6566,6566,6566,6566,0,AG1
2018-07-30,6566,6566,6566,6566,0,AG1
2018-07-31,6566,6566,6566,6566,0,AG1
2018-08-01,6566,6566,6566,6566,0,AG1
2018-08-02,7516,7516,7516,7516,100,AG1
2018-08-03,7516,7516,7516,7516,0,AG1
2018-08-06,7516,7516,7516,7516,0,AG1
2018-08-07,6883,7595,6883,7595,500,AG1
2018-08-08,7041,7041,7041,7041,100,AG1
2018-08-09,7041,7041,7041,7041,0,AG1
2018-08-10,7041,7041,7041,7041,0,AG1
2018-08-13,7041,7041,7041,7041,0,AG1
2018-08-14,7041,7041,7041,7041,0,AG1
2018-08-15,7041,7041,7041,7041,0,AG1
2018-08-16,7911,7911,7911,7911,100,AG1
2018-08-17,7041,7041,7041,7041,100,AG1
2018-08-20,7041,7041,7041,7041,0,AG1
2018-08-21,7516,7516,6645,7516,400,AG1
2018-08-22,7278,7278,7278,7278,0,AG1
2018-08-23,7278,7278,7278,7278,0,AG1
2018-08-24,7278,7278,7278,7278,0,AG1
2018-08-27,7516,7278,7278,7516,10,AG1
2018-08-28,7278,7278,7278,7278,0,AG1
2018-08-29,6408,7911,6408,7911,2200,AG1
2018-08-30,7832,7832,7832,7832,0,AG1
2018-08-31,7832,7832,7832,7832,0,AG1
2018-09-04,7832,7832,7832,7832,0,AG1
2018-09-05,7832,7832,7832,7832,0,AG1
2018-09-06,7832,7832,7832,7832,0,AG1
2018-09-07,7832,7832,7832,7832,0,AG1
2018-09-10,7832,7832,7832,7832,0,AG1
2018-09-11,7832,7832,7832,7832,0,AG1
2018-09-12,7832,7832,7832,7832,0,AG1
2018-09-13,7832,7832,7832,7832,0,AG1
2018-09-14,7832,7832,7832,7832,0,AG1
2018-09-17,7832,7832,7832,7832,0,AG1
2018-09-18,7832,7832,7832,7832,0,AG1
2018-09-19,7832,7832,7832,7832,0,AG1
2018-09-20,8307,8307,8307,8307,4800,AG1
2018-09-21,8307,8307,8307,8307,0,AG1
2018-09-24,8307,8307,8307,8307,0,AG1
2018-09-25,8307,8307,8307,8307,0,AG1
2018-09-26,8307,8307,8307,8307,0,AG1
2018-09-27,8307,8307,8307,8307,0,AG1
2018-09-28,8307,8307,8307,8307,0,AG1
2018-10-01,8307,8307,8307,8307,0,AG1
2018-10-02,7911,7911,7911,7911,400,AG1
2018-10-03,7911,7911,7911,7911,0,AG1
2018-10-04,7990,7990,7990,7990,1900,AG1
2018-10-05,7990,7990,7990,7990,0,AG1
2018-10-08,7990,7990,7990,7990,0,AG1
2018-10-09,7990,7990,7990,7990,0,AG1
2018-10-10,7990,7990,7990,7990,0,AG1
2018-10-11,7990,7990,7990,7990,0,AG1
2018-10-12,7990,7990,7990,7990,0,AG1
2018-10-15,6962,7120,6803,7120,300,AG1
2018-10-16,7911,7911,7911,7911,5600,AG1
2018-10-17,7911,7911,7911,7911,13,AG1
2018-10-18,7357,7357,7357,7357,100,AG1
2018-10-19,7357,7357,7357,7357,0,AG1
2018-10-22,7357,7357,7357,7357,0,AG1
2018-10-23,7357,7357,7357,7357,0,AG1
