time,open,high,low,close,volume,ticker
2009-12-10,14960,16947,14960,14960,504100,AGR
2009-12-11,14258,14258,14258,14258,58390,AGR
2009-12-14,13557,14551,13557,13557,346050,AGR
2009-12-15,13090,13557,12914,12914,134640,AGR
2009-12-16,12271,12271,12271,12271,64820,AGR
2009-12-17,11687,12739,11687,12564,336680,AGR
2009-12-18,13148,13148,13148,13148,123610,AGR
2009-12-21,13791,13791,13791,13791,10310,AGR
2009-12-22,14434,14434,13206,14434,908170,AGR
2009-12-23,14083,14609,14025,14083,214170,AGR
2009-12-24,14025,14784,13908,14667,362380,AGR
2009-12-25,15193,15369,14667,15369,395360,AGR
2009-12-28,14609,15486,14609,14667,163320,AGR
2009-12-29,14025,14609,13966,13966,156660,AGR
2009-12-30,13966,14609,13966,14025,139110,AGR
2009-12-31,14492,14609,13908,14025,207850,AGR
2010-01-04,14317,14726,14317,14726,302470,AGR
2010-01-05,15369,15427,14726,14843,528380,AGR
2010-01-06,14667,15544,14492,15544,445200,AGR
2010-01-07,16304,16304,15544,16304,582470,AGR
2010-01-08,17063,17063,15544,15544,465330,AGR
2010-01-11,16070,16128,15193,15778,284470,AGR
2010-01-12,15661,16187,15018,15018,211180,AGR
2010-01-13,15018,15427,14317,15427,216360,AGR
2010-01-14,16012,16012,15486,15544,275580,AGR
2010-01-15,15486,15544,15077,15193,200790,AGR
2010-01-18,14609,14784,14434,14434,306720,AGR
2010-01-19,13732,14025,13732,13732,974900,AGR
2010-01-20,13206,13732,13206,13323,327050,AGR
2010-01-21,13323,13674,13148,13440,201070,AGR
2010-01-22,12973,13499,12973,13440,100710,AGR
2010-01-25,13148,13440,13031,13382,72260,AGR
2010-01-26,13440,13966,13440,13966,194690,AGR
2010-01-27,13499,13849,13323,13323,95470,AGR
2010-01-28,13323,13323,12914,12914,51400,AGR
2010-01-29,12856,12973,12447,12622,99210,AGR
2010-02-01,12505,12739,12505,12622,21410,AGR
2010-02-02,12622,12622,12388,12564,115600,AGR
2010-02-03,12564,12856,12564,12856,56860,AGR
2010-02-04,12856,13148,12622,12856,23350,AGR
2010-02-05,12856,12856,12505,12505,107160,AGR
2010-02-08,12797,12797,12447,12447,24640,AGR
2010-02-09,12213,12505,12155,12155,63980,AGR
2010-02-10,12564,12622,12447,12505,13440,AGR
2010-02-11,12739,12739,12505,12622,47720,AGR
2010-02-12,12622,13148,12622,13090,61750,AGR
2010-02-22,13440,13440,13090,13148,22350,AGR
2010-02-23,12856,12914,12681,12856,13350,AGR
2010-02-24,12388,12739,12388,12681,42360,AGR
2010-02-25,12797,12914,12564,12622,34750,AGR
2010-02-26,12622,12739,12505,12739,44840,AGR
2010-03-01,12505,12973,12505,12856,64870,AGR
2010-03-02,12681,12856,12564,12622,66750,AGR
2010-03-03,12856,12856,12447,12797,27060,AGR
2010-03-04,13382,13382,12856,13323,277580,AGR
2010-03-05,13323,13323,13148,13148,58020,AGR
2010-03-08,13674,13791,13440,13616,130550,AGR
2010-03-09,13323,13616,13323,13382,45000,AGR
2010-03-10,13206,13323,12856,12856,90200,AGR
2010-03-11,12973,12973,12739,12856,65530,AGR
2010-03-12,13148,13148,12856,12856,61910,AGR
2010-03-15,12856,13031,12739,12797,98410,AGR
2010-03-16,13382,13382,13323,13382,476510,AGR
2010-03-17,13732,13791,12973,12973,107720,AGR
2010-03-18,13148,13206,12914,13148,44240,AGR
2010-03-19,13148,13265,12856,12973,93590,AGR
2010-03-22,12914,12973,12739,12739,131010,AGR
2010-03-23,12856,12856,12447,12447,54380,AGR
2010-03-24,12447,12797,12447,12797,90790,AGR
2010-03-25,12681,12739,12213,12271,125370,AGR
2010-03-26,12505,12505,11979,12155,61700,AGR
2010-03-29,12564,12564,12213,12213,41040,AGR
2010-03-30,12038,12096,11746,11746,121040,AGR
2010-03-31,11746,12096,11746,11862,42810,AGR
2010-04-01,11979,12271,11862,12155,42620,AGR
2010-04-02,12330,12330,12155,12155,39190,AGR
2010-04-05,12038,12271,11979,12155,41930,AGR
2010-04-06,12271,12388,12155,12155,83180,AGR
2010-04-07,12096,12271,12096,12271,46610,AGR
2010-04-08,12096,12271,11921,12038,131830,AGR
2010-04-09,12038,12213,12038,12096,50660,AGR
2010-04-12,12096,12213,12038,12038,67090,AGR
2010-04-13,12096,12096,11979,11979,34570,AGR
2010-04-14,11979,11979,11687,11921,33830,AGR
2010-04-15,11921,11921,11804,11921,78230,AGR
2010-04-16,12038,12155,11921,12038,43890,AGR
2010-04-19,11862,11979,11804,11804,45600,AGR
2010-04-20,11804,11979,11804,11979,74000,AGR
2010-04-21,11862,11979,11804,11862,46090,AGR
2010-04-22,12213,12447,11979,12447,173450,AGR
2010-04-26,13031,13031,13031,13031,116180,AGR
2010-04-27,13674,13674,13674,13674,77280,AGR
2010-04-28,14317,14317,14317,14317,165070,AGR
2010-04-29,15018,15018,14317,14492,789880,AGR
2010-05-04,13849,14200,13791,13908,347950,AGR
2010-05-05,13732,13966,13440,13499,282930,AGR
2010-05-06,13616,14142,13499,14142,456270,AGR
2010-05-07,14813,14813,14661,14813,576230,AGR
2010-05-10,15119,15119,14203,14966,281780,AGR
2010-05-11,14966,14966,14508,14508,230890,AGR
2010-05-12,14203,14355,13821,13821,339570,AGR
2010-05-13,14126,14126,13363,13515,150330,AGR
2010-05-14,13515,13897,13515,13897,77920,AGR
2010-05-17,14050,14050,13592,13592,78950,AGR
2010-05-18,13363,13592,13210,13439,28960,AGR
2010-05-19,13744,13744,12904,12904,84600,AGR
2010-05-20,12370,13439,12370,13439,142580,AGR
2010-05-21,12828,12981,12828,12828,203700,AGR
2010-05-24,12981,13134,12752,12828,107730,AGR
2010-05-25,12599,13057,12446,12599,221030,AGR
2010-05-26,12752,12828,12599,12599,131490,AGR
2010-05-27,12599,12904,12599,12675,79700,AGR
2010-05-28,13210,13210,12904,13134,199290,AGR
2010-05-31,13210,13210,12828,12828,66860,AGR
2010-06-01,12904,12981,12599,12675,49360,AGR
2010-06-02,12675,12904,12599,12752,62060,AGR
2010-06-03,12828,12981,12752,12828,77510,AGR
2010-06-04,13439,13439,13439,13439,567180,AGR
2010-06-07,13515,13821,13286,13668,250520,AGR
2010-06-08,13286,13668,13286,13439,77280,AGR
2010-06-09,13668,13668,13210,13363,71620,AGR
2010-06-10,13363,13363,12904,12904,64000,AGR
2010-06-11,12981,13210,12904,12904,106820,AGR
2010-06-14,12904,12981,12828,12904,143030,AGR
2010-06-15,13057,13057,12828,12981,120910,AGR
2010-06-16,13057,13286,12981,13134,181610,AGR
2010-06-17,13439,13775,13439,13691,74110,AGR
2010-06-18,13439,13607,13439,13523,148850,AGR
2010-06-21,13691,13775,13607,13775,94480,AGR
2010-06-22,13523,13775,13439,13607,115530,AGR
2010-06-23,13439,13607,13439,13607,154510,AGR
2010-06-24,13607,13607,13439,13523,101230,AGR
2010-06-25,13271,13439,13103,13187,111460,AGR
2010-06-28,13019,13355,13019,13103,29670,AGR
2010-06-29,13271,13271,13019,13019,38340,AGR
2010-06-30,12935,12935,12683,12851,72080,AGR
2010-07-01,12935,13355,12851,12935,28270,AGR
2010-07-02,13019,13103,12935,12935,65020,AGR
2010-07-05,12935,12935,12599,12599,75230,AGR
2010-07-06,12599,12851,12431,12431,76840,AGR
2010-07-07,12767,12767,12431,12431,37080,AGR
2010-07-08,12599,12683,12263,12263,39630,AGR
2010-07-09,12095,12263,12011,12095,56750,AGR
2010-07-12,12263,12683,12179,12683,86460,AGR
2010-07-13,13019,13271,12767,13271,173280,AGR
2010-07-14,13691,13691,13271,13355,96650,AGR
2010-07-15,13019,13355,12851,12935,59560,AGR
2010-07-16,12767,12935,12599,12599,46670,AGR
2010-07-19,12347,12767,12347,12767,39660,AGR
2010-07-20,12599,12599,12431,12515,44180,AGR
2010-07-21,12431,12767,12431,12599,18570,AGR
2010-07-22,12599,12599,12263,12263,22920,AGR
2010-07-23,12263,12431,12263,12347,34950,AGR
2010-07-26,12263,12347,12263,12263,20960,AGR
2010-07-27,12263,12515,12179,12179,22760,AGR
2010-07-28,12011,12347,12011,12179,31840,AGR
2010-07-29,11927,12179,11927,11927,27920,AGR
2010-07-30,11759,12263,11759,12095,45860,AGR
2010-08-02,12011,12095,12011,12095,23800,AGR
2010-08-03,11759,12263,11759,12095,18580,AGR
2010-08-04,11843,11843,11591,11591,62950,AGR
2010-08-05,11423,11675,11423,11507,23600,AGR
2010-08-06,11423,11759,11339,11339,24650,AGR
2010-08-09,11171,11507,10835,10835,114360,AGR
2010-08-10,10667,10667,10331,10583,230810,AGR
2010-08-11,10499,10835,10247,10835,170010,AGR
2010-08-12,10835,10835,10331,10331,92650,AGR
2010-08-13,9995,10583,9995,10583,84520,AGR
2010-08-16,10751,11087,10583,11087,97630,AGR
2010-08-17,10751,11255,10751,10751,44510,AGR
2010-08-18,10583,10583,10247,10499,66190,AGR
2010-08-19,10415,10499,10331,10499,25490,AGR
2010-08-20,10331,10415,10163,10331,48040,AGR
2010-08-23,10331,10331,10079,10079,20840,AGR
2010-08-24,9911,9911,9575,9575,61400,AGR
2010-08-25,9575,9575,9155,9155,82180,AGR
2010-08-26,8987,9575,8987,9239,30960,AGR
2010-08-27,9155,9659,9155,9659,77010,AGR
2010-08-30,10079,10079,10079,10079,80190,AGR
2010-08-31,10331,10583,10163,10583,132970,AGR
2010-09-01,10835,10835,10415,10583,50530,AGR
2010-09-06,10919,11087,10751,11003,151900,AGR
2010-09-07,10667,10835,10499,10751,73960,AGR
2010-09-08,10499,10499,10247,10331,59990,AGR
