time,open,high,low,close,volume,ticker
2012-02-15,4516,4893,4516,4893,12600,AMC
2012-02-16,4893,4893,4893,4893,100,AMC
2012-02-17,5206,5206,5206,5206,100,AMC
2012-02-20,5551,5551,5551,5551,200,AMC
2012-02-21,5928,5928,5645,5928,4300,AMC
2012-02-22,5771,6147,5771,6147,13200,AMC
2012-02-23,6273,6336,6241,6336,10800,AMC
2012-02-24,6336,6336,6273,6273,8000,AMC
2012-02-27,6304,6304,6304,6304,0,AMC
2012-02-28,5865,6304,5865,5865,9600,AMC
2012-02-29,6053,6053,6053,6053,0,AMC
2012-03-01,6022,6022,6022,6022,100,AMC
2012-03-02,6022,6022,6022,6022,0,AMC
2012-03-05,5959,6430,5959,6430,23100,AMC
2012-03-06,6430,6430,6430,6430,1000,AMC
2012-03-07,6116,6116,6022,6116,3100,AMC
2012-03-08,6241,6304,6241,6304,7200,AMC
2012-03-09,6273,6273,5959,6273,5600,AMC
2012-03-12,5771,5771,5771,5771,5000,AMC
2012-03-13,5771,5771,5771,5771,0,AMC
2012-03-14,5489,5489,5395,5395,13000,AMC
2012-03-15,5018,5018,5018,5018,1600,AMC
2012-03-16,4704,4861,4673,4861,7800,AMC
2012-03-19,4548,4548,4548,4548,200,AMC
2012-03-20,4422,4642,4422,4642,300,AMC
2012-03-21,4548,4548,4548,4548,400,AMC
2012-03-22,4548,4548,4548,4548,0,AMC
2012-03-23,4861,4861,4861,4861,1500,AMC
2012-03-26,5175,5175,5175,5175,500,AMC
2012-03-27,5489,5489,5489,5489,100,AMC
2012-03-28,5645,5645,5645,5645,100,AMC
2012-03-29,5645,5645,5645,5645,0,AMC
2012-03-30,5269,5269,5269,5269,2600,AMC
2012-04-03,5269,5269,5269,5269,0,AMC
2012-04-04,5269,5269,5269,5269,0,AMC
2012-04-05,5269,5269,5269,5269,0,AMC
2012-04-06,5175,5175,4924,4924,500,AMC
2012-04-09,4924,4924,4924,4924,0,AMC
2012-04-10,4924,4924,4924,4924,0,AMC
2012-04-11,4924,4924,4924,4924,0,AMC
2012-04-12,4924,4924,4924,4924,300,AMC
2012-04-13,4924,4924,4924,4924,0,AMC
2012-04-16,4924,4924,4924,4924,0,AMC
2012-04-17,4924,4924,4924,4924,0,AMC
2012-04-18,4924,4924,4924,4924,0,AMC
2012-04-19,4924,4924,4924,4924,0,AMC
2012-04-20,5238,5238,5238,5238,800,AMC
2012-04-23,5583,5583,5583,5583,3500,AMC
2012-04-24,5959,5959,5645,5802,1300,AMC
2012-04-25,6116,6116,5802,5802,23600,AMC
2012-04-26,5645,5645,5489,5489,4000,AMC
2012-04-27,5489,5865,5489,5865,1200,AMC
2012-05-02,6273,6273,6273,6273,100,AMC
2012-05-03,6712,6712,6555,6555,3100,AMC
2012-05-04,6555,6555,6555,6555,0,AMC
2012-05-07,6555,6555,6555,6555,0,AMC
2012-05-08,6555,6555,6555,6555,0,AMC
2012-05-09,6145,6145,6145,6145,500,AMC
2012-05-10,6145,6145,6145,6145,0,AMC
2012-05-11,5736,5770,5736,5736,800,AMC
2012-05-14,5360,5394,5360,5360,2300,AMC
2012-05-15,5360,5360,5360,5360,0,AMC
2012-05-16,5360,5360,5360,5360,0,AMC
2012-05-17,5053,5053,5053,5053,1800,AMC
2012-05-18,5053,5053,5053,5053,0,AMC
2012-05-21,5394,5394,5394,5394,500,AMC
2012-05-22,5394,5394,5394,5394,0,AMC
2012-05-23,5394,5394,5394,5394,0,AMC
2012-05-24,5394,5394,5394,5394,0,AMC
2012-05-25,5770,5770,5770,5770,100,AMC
2012-05-28,5463,5463,5463,5463,400,AMC
2012-05-29,5463,5463,5463,5463,0,AMC
2012-05-30,5838,5838,5838,5838,100,AMC
2012-05-31,5838,5838,5838,5838,0,AMC
2012-06-01,5838,5838,5838,5838,0,AMC
2012-06-04,5463,5975,5463,5975,1100,AMC
2012-06-05,5565,6077,5565,6077,1900,AMC
2012-06-06,6077,6077,6077,6077,0,AMC
2012-06-07,6077,6077,6077,6077,0,AMC
2012-06-08,6077,6077,6077,6077,0,AMC
2012-06-11,6077,6077,6077,6077,0,AMC
2012-06-12,6077,6077,6077,6077,0,AMC
2012-06-13,6145,6145,6145,6145,100,AMC
2012-06-14,6145,6145,6145,6145,0,AMC
2012-06-15,6145,6145,6145,6145,400,AMC
2012-06-18,6145,6145,6145,6145,0,AMC
2012-06-19,6145,6145,6145,6145,0,AMC
2012-06-20,6145,6145,6145,6145,0,AMC
2012-06-21,6145,6145,6145,6145,0,AMC
2012-06-22,6145,6145,6145,6145,0,AMC
2012-06-25,6145,6145,6145,6145,0,AMC
2012-06-26,6145,6145,6145,6145,0,AMC
2012-06-27,6145,6145,6145,6145,0,AMC
2012-06-28,6145,6145,6145,6145,0,AMC
2012-06-29,6145,6145,6145,6145,0,AMC
2012-07-02,6145,6145,6145,6145,0,AMC
2012-07-03,6145,6145,6145,6145,0,AMC
2012-07-04,6145,6145,6145,6145,0,AMC
2012-07-05,6145,6145,6145,6145,0,AMC
2012-07-06,6145,6145,6145,6145,0,AMC
2012-07-09,6145,6145,6145,6145,0,AMC
2012-07-10,6145,6145,6145,6145,0,AMC
2012-07-11,6145,6145,6145,6145,0,AMC
2012-07-12,6145,6145,6145,6145,0,AMC
2012-07-13,6145,6145,6145,6145,0,AMC
2012-07-16,6145,6145,6145,6145,0,AMC
2012-07-17,6145,6145,6145,6145,0,AMC
2012-07-18,6145,6145,6145,6145,0,AMC
2012-07-19,6145,6145,6145,6145,0,AMC
2012-07-20,6145,6145,6145,6145,0,AMC
2012-07-23,6145,6145,6145,6145,0,AMC
2012-07-24,6145,6145,6145,6145,0,AMC
2012-07-25,6145,6145,6145,6145,0,AMC
2012-07-26,6145,6145,6145,6145,0,AMC
2012-07-27,6145,6145,6145,6145,0,AMC
2012-07-30,6145,6145,6145,6145,0,AMC
2012-07-31,6145,6145,6145,6145,0,AMC
2012-08-01,6145,6145,6145,6145,0,AMC
2012-08-02,6145,6145,6145,6145,0,AMC
2012-08-03,6145,6145,6145,6145,0,AMC
2012-08-06,6145,6145,6145,6145,0,AMC
2012-08-07,6145,6145,6145,6145,0,AMC
2012-08-08,6145,6145,6145,6145,0,AMC
2012-08-09,6145,6145,6145,6145,0,AMC
2012-08-10,6145,6145,6145,6145,0,AMC
2012-08-13,6145,6145,6145,6145,0,AMC
2012-08-14,6145,6145,6145,6145,0,AMC
2012-08-15,6145,6145,6145,6145,0,AMC
2012-08-16,6145,6145,6145,6145,0,AMC
2012-08-17,6145,6145,6145,6145,0,AMC
2012-08-20,6145,6145,6145,6145,0,AMC
2012-08-21,6145,6145,6145,6145,0,AMC
2012-08-22,6145,6145,6145,6145,0,AMC
2012-08-23,6145,6145,6145,6145,0,AMC
2012-08-24,6145,6145,6145,6145,0,AMC
2012-08-27,6145,6145,6145,6145,0,AMC
2012-08-28,6145,6145,6145,6145,0,AMC
2012-08-29,6145,6145,6145,6145,0,AMC
2012-08-30,6145,6145,6145,6145,0,AMC
2012-08-31,6145,6145,6145,6145,0,AMC
2012-09-04,6145,6145,6145,6145,0,AMC
2012-09-05,6145,6145,6145,6145,0,AMC
2012-09-06,6145,6145,6145,6145,0,AMC
2012-09-07,6145,6145,6145,6145,0,AMC
2012-09-10,6145,6145,6145,6145,0,AMC
2012-09-11,6145,6145,6145,6145,0,AMC
2012-09-12,6145,6145,6145,6145,0,AMC
2012-09-13,6145,6145,6145,6145,0,AMC
2012-09-14,6145,6145,6145,6145,0,AMC
2012-09-17,6145,6145,6145,6145,0,AMC
2012-09-18,6145,6145,6145,6145,0,AMC
2012-09-19,6145,6145,6145,6145,0,AMC
2012-09-20,6145,6145,6145,6145,0,AMC
2012-09-21,6145,6145,6145,6145,0,AMC
2012-09-24,6145,6145,6145,6145,0,AMC
2012-09-25,6145,6145,6145,6145,0,AMC
2012-09-26,6145,6145,6145,6145,0,AMC
2012-09-27,6145,6145,6145,6145,0,AMC
2012-09-28,6145,6145,6145,6145,0,AMC
2012-10-01,6145,6145,6145,6145,0,AMC
2012-10-02,6145,6145,6145,6145,0,AMC
2012-10-03,6145,6145,6145,6145,0,AMC
2012-10-04,6145,6145,6145,6145,0,AMC
2012-10-05,6145,6145,6145,6145,0,AMC
2012-10-08,6145,6145,6145,6145,0,AMC
2012-10-09,6145,6145,6145,6145,0,AMC
2012-10-10,6145,6145,6145,6145,0,AMC
2012-10-11,6145,6145,6145,6145,0,AMC
2012-10-12,6145,6145,6145,6145,0,AMC
2012-10-15,6145,6145,6145,6145,0,AMC
2012-10-16,6145,6145,6145,6145,0,AMC
2012-10-17,6145,6145,6145,6145,0,AMC
2012-10-18,6145,6145,6145,6145,100,AMC
2012-10-19,6145,6145,6145,6145,0,AMC
2012-10-22,6145,6145,6145,6145,0,AMC
