time,open,high,low,close,volume,ticker
2009-12-30,7319,7319,5489,6221,140500,AMV
2009-12-31,6331,6331,6331,6331,48900,AMV
2010-01-04,6770,6770,6587,6770,36500,AMV
2010-01-05,7209,7209,6770,6953,75600,AMV
2010-01-06,7392,7392,6660,6660,73300,AMV
2010-01-07,6404,7099,6221,7099,151000,AMV
2010-01-08,7099,7099,7099,7099,38000,AMV
2010-01-11,7575,7575,7575,7575,23400,AMV
2010-01-12,8087,8087,8087,8087,123800,AMV
2010-01-13,8600,8636,7538,8014,235500,AMV
2010-01-14,7868,8197,7502,7502,32400,AMV
2010-01-15,7246,7319,7172,7172,68300,AMV
2010-01-18,6770,6770,6697,6697,24400,AMV
2010-01-19,6440,6587,6257,6404,46100,AMV
2010-01-20,6404,6440,5965,6001,87100,AMV
2010-01-21,6148,6148,5635,5672,104300,AMV
2010-01-22,5306,5965,5306,5489,61700,AMV
2010-01-25,5489,5782,5379,5782,32800,AMV
2010-01-26,5855,6001,5855,6001,50400,AMV
2010-01-27,6221,6221,5635,5672,19700,AMV
2010-01-28,5489,5489,5379,5452,34100,AMV
2010-01-29,5160,5526,5086,5416,26800,AMV
2010-02-01,5343,5635,5343,5635,53700,AMV
2010-02-02,5965,6001,5562,5599,39900,AMV
2010-02-03,5818,5818,5562,5672,31800,AMV
2010-02-04,5562,5708,5562,5672,16500,AMV
2010-02-05,5672,5672,5306,5306,26900,AMV
2010-02-08,5160,5452,5160,5343,9000,AMV
2010-02-09,5343,5489,5269,5343,4700,AMV
2010-02-10,5562,5562,5562,5562,100,AMV
2010-02-11,5635,5635,5416,5635,22900,AMV
2010-02-12,5489,5526,5160,5343,12200,AMV
2010-02-22,5379,5599,5379,5489,4700,AMV
2010-02-23,5306,5343,5196,5196,5900,AMV
2010-02-24,5379,5379,5269,5379,5000,AMV
2010-02-25,5489,5489,5269,5269,3700,AMV
2010-02-26,5306,5379,5269,5306,9000,AMV
2010-03-01,5416,5416,5306,5379,15100,AMV
2010-03-02,5379,5489,5306,5306,11000,AMV
2010-03-03,5452,5452,5233,5343,22400,AMV
2010-03-04,5013,5416,5013,5123,33500,AMV
2010-03-05,5123,5343,5123,5343,13500,AMV
2010-03-08,5489,5526,5489,5526,29200,AMV
2010-03-09,5891,5891,5526,5599,22900,AMV
2010-03-10,5708,5708,5343,5416,22300,AMV
2010-03-11,5416,5416,5343,5379,5600,AMV
2010-03-12,5416,5489,5379,5452,29000,AMV
2010-03-15,5489,5818,5489,5818,89600,AMV
2010-03-16,6074,6074,5855,6074,206300,AMV
2010-03-17,6477,6477,5855,5928,46500,AMV
2010-03-18,6111,6111,5782,5965,36000,AMV
2010-03-19,6111,6221,5672,5855,38600,AMV
2010-03-22,5562,5708,5562,5708,12800,AMV
2010-03-23,5489,5818,5489,5562,20100,AMV
2010-03-24,5782,5891,5489,5672,70400,AMV
2010-03-25,5526,5562,5343,5416,25500,AMV
2010-03-26,5306,5782,5306,5489,29100,AMV
2010-03-29,5306,5672,5306,5526,28500,AMV
2010-03-30,5379,5452,5196,5343,16200,AMV
2010-03-31,5379,5379,5233,5343,12100,AMV
2010-04-01,5343,5635,5196,5343,25100,AMV
2010-04-02,5599,5599,5379,5489,14000,AMV
2010-04-05,5562,5672,5452,5672,33600,AMV
2010-04-06,5599,5599,5306,5306,10400,AMV
2010-04-07,5306,5452,5269,5343,58600,AMV
2010-04-08,5599,5708,5562,5708,75700,AMV
2010-04-09,6038,6038,5928,6038,214300,AMV
2010-04-12,6221,6221,5635,5672,63000,AMV
2010-04-13,5672,5672,5489,5526,32000,AMV
2010-04-14,5562,5599,5416,5526,39500,AMV
2010-04-15,5635,5635,5452,5635,91900,AMV
2010-04-16,5855,5855,5599,5782,37200,AMV
2010-04-19,5562,5965,5489,5562,25700,AMV
2010-04-20,5489,5708,5306,5672,58800,AMV
2010-04-21,5599,5965,5599,5965,121100,AMV
2010-04-22,6038,6221,5599,5708,49300,AMV
2010-04-26,5526,5745,5526,5599,19500,AMV
2010-04-27,5562,5672,5526,5562,9600,AMV
2010-04-28,5562,5635,5562,5635,25600,AMV
2010-04-29,5526,5745,5526,5672,24700,AMV
2010-05-04,5855,6001,5708,6001,120700,AMV
2010-05-05,5891,5891,5708,5745,52100,AMV
2010-05-06,5855,6221,5855,6221,189500,AMV
2010-05-07,6587,6587,6331,6587,163400,AMV
2010-05-10,6989,7026,6587,6880,171600,AMV
2010-05-11,7172,7355,7136,7355,188400,AMV
2010-05-12,6953,6953,6806,6806,36500,AMV
2010-05-13,6331,6404,6331,6331,32600,AMV
2010-05-14,6331,6331,5891,6184,42900,AMV
2010-05-17,6221,6477,5891,6001,37700,AMV
2010-05-18,6111,6221,6074,6148,47100,AMV
2010-05-19,6221,6221,5745,5855,64700,AMV
2010-05-20,5489,6038,5452,6038,22500,AMV
2010-05-21,5416,5562,5416,5416,51900,AMV
2010-05-24,5306,5306,5086,5160,52700,AMV
2010-05-25,5123,5526,5123,5343,29600,AMV
2010-05-26,5196,5672,5196,5672,33800,AMV
2010-05-27,5855,5855,5562,5745,21100,AMV
2010-05-28,5928,5965,5708,5928,34700,AMV
2010-05-31,5489,5599,5452,5599,12700,AMV
2010-06-01,5599,5635,5416,5489,23500,AMV
2010-06-02,5489,5635,5489,5562,15500,AMV
2010-06-03,5818,5818,5526,5562,12200,AMV
2010-06-04,5489,5599,5489,5562,41000,AMV
2010-06-07,5233,5306,5160,5269,19300,AMV
2010-06-08,5123,5452,5050,5233,9700,AMV
2010-06-09,5489,5489,5306,5379,22100,AMV
2010-06-10,5489,5562,5306,5343,20900,AMV
2010-06-11,5452,5489,5379,5379,11800,AMV
2010-06-14,5562,5562,5416,5416,3400,AMV
2010-06-15,5416,5452,5343,5379,14700,AMV
2010-06-16,5489,5599,5379,5526,59100,AMV
2010-06-17,5452,5489,5452,5452,36700,AMV
2010-06-18,5489,5818,5489,5818,85500,AMV
2010-06-21,5891,6001,5891,6001,50300,AMV
2010-06-22,6294,6294,5818,5855,46300,AMV
2010-06-23,5708,5782,5599,5708,33100,AMV
2010-06-24,5855,5855,5635,5708,23300,AMV
2010-06-25,5672,5672,5489,5599,55700,AMV
2010-06-28,5599,5635,5562,5635,26500,AMV
2010-06-29,5855,5965,5818,5965,169000,AMV
2010-06-30,5965,5965,5672,5782,4100,AMV
2010-07-01,5855,5928,5672,5928,14600,AMV
2010-07-02,6001,6184,5965,6184,216100,AMV
2010-07-05,6440,6550,6440,6550,61400,AMV
2010-07-06,6989,6989,6916,6989,257900,AMV
2010-07-07,7465,7465,7465,7465,46600,AMV
2010-07-08,7977,7977,7319,7502,179500,AMV
2010-07-09,7246,7685,7136,7685,95700,AMV
2010-07-12,6916,7941,6916,7941,126000,AMV
2010-07-13,8307,8307,7282,8307,59000,AMV
2010-07-14,8636,8673,8636,8673,108600,AMV
2010-07-15,9258,9258,9258,9258,137800,AMV
2010-07-16,9880,9880,9880,9880,32200,AMV
2010-07-19,10539,10539,10539,10539,17600,AMV
2010-07-20,11271,11271,11271,11271,11400,AMV
2010-07-21,12040,12040,12040,12040,19300,AMV
2010-07-22,12881,12881,12881,12881,3200,AMV
2010-07-23,13760,13760,12076,13247,314400,AMV
2010-07-26,12625,12625,12625,12625,500,AMV
2010-07-27,11747,11747,11747,11747,17100,AMV
2010-07-28,10942,10942,10942,10942,2000,AMV
2010-07-29,10210,11674,10210,11052,281200,AMV
2010-07-30,11271,11857,10978,11417,136900,AMV
2010-08-02,12076,12076,10612,10612,146400,AMV
2010-08-03,10612,10612,10429,10429,19400,AMV
2010-08-04,10429,10429,9734,9734,37300,AMV
2010-08-05,9185,10210,9185,9185,90500,AMV
2010-08-06,9295,9917,9295,9917,122000,AMV
2010-08-09,10137,10137,9185,9185,35600,AMV
2010-08-10,9661,9661,8783,8783,56600,AMV
2010-08-11,8526,8709,8490,8490,43800,AMV
2010-08-12,8490,8490,7904,7904,49900,AMV
2010-08-13,7429,7868,7392,7868,124300,AMV
2010-08-16,7941,7941,7941,7941,41000,AMV
2010-08-17,8490,8490,8343,8490,185200,AMV
2010-08-18,9002,9075,8197,8417,28500,AMV
2010-08-19,8526,8526,7868,7868,42100,AMV
2010-08-20,7538,8124,7429,7794,86300,AMV
2010-08-23,7538,7538,7099,7136,71100,AMV
2010-08-24,6770,6770,6733,6733,45500,AMV
2010-08-25,6514,6514,6294,6294,11500,AMV
2010-08-26,5855,6514,5855,5928,38900,AMV
2010-08-27,6001,6074,5672,6001,45700,AMV
2010-08-30,6221,6221,6221,6221,11900,AMV
2010-08-31,6623,6623,6257,6623,82800,AMV
2010-09-01,6880,6989,6880,6989,48000,AMV
2010-09-06,7465,7465,7429,7465,156500,AMV
2010-09-07,7538,7977,7319,7977,112100,AMV
2010-09-08,7355,7685,7355,7611,40300,AMV
2010-09-09,7794,7904,7465,7758,64000,AMV
2010-09-10,8014,8234,7246,7502,75700,AMV
2010-09-13,7319,7502,7136,7136,38200,AMV
2010-09-14,7099,7172,6733,7172,15100,AMV
2010-09-15,6770,6916,6550,6587,38300,AMV
2010-09-16,6989,7026,6623,6880,23100,AMV
2010-09-17,7136,7319,7063,7319,48000,AMV
2010-09-20,7685,7721,6953,7246,41600,AMV
2010-09-21,7136,7136,6989,7099,41700,AMV
2010-09-22,7282,7282,6697,7209,900,AMV
2010-09-23,7429,7575,7429,7575,47600,AMV
2010-09-24,8087,8087,8087,8087,13800,AMV
2010-09-27,8636,8636,7868,8160,114400,AMV
2010-09-28,8417,8417,7758,7758,34000,AMV
2010-09-29,7502,7685,7319,7319,26400,AMV
2010-09-30,7355,7502,7246,7319,22400,AMV
2010-10-01,7392,7392,7246,7282,35300,AMV
2010-10-04,6953,6953,6806,6806,33500,AMV
2010-10-05,6367,6953,6367,6916,36800,AMV
2010-10-06,6953,7026,6587,7026,37700,AMV
2010-10-07,6953,7246,6843,6843,14200,AMV
2010-10-08,6770,6770,6550,6550,5700,AMV
2010-10-11,6587,6587,6404,6404,9000,AMV
2010-10-12,6916,6916,6074,6074,39800,AMV
2010-10-13,5965,6038,5745,5855,42400,AMV
2010-10-14,6148,6221,5891,5891,14600,AMV
2010-10-15,6367,6367,5745,5745,8900,AMV
2010-10-18,5855,5855,5782,5855,6200,AMV
2010-10-19,5708,5708,5452,5489,12000,AMV
2010-10-20,5233,5233,5160,5160,34300,AMV
2010-10-21,5306,5306,5050,5086,19100,AMV
2010-10-22,5306,5306,5013,5123,7900,AMV
2010-10-25,4794,5196,4794,5196,6800,AMV
2010-10-26,5306,5416,5306,5416,41300,AMV
2010-10-27,5489,5489,5050,5086,11100,AMV
2010-10-28,4940,4940,4940,4940,7300,AMV
2010-10-29,5196,5233,4940,5196,4700,AMV
2010-11-01,5196,5196,5013,5013,2900,AMV
2010-11-02,5050,5050,4757,4757,39300,AMV
2010-11-03,4940,4940,4684,4684,3500,AMV
2010-11-04,5086,5086,4757,4794,2500,AMV
2010-11-05,5086,5086,4830,4977,13100,AMV
2010-11-08,4940,4940,4830,4830,5800,AMV
2010-11-09,4611,4611,4501,4501,16600,AMV
2010-11-10,4245,4720,4245,4537,12600,AMV
2010-11-11,4611,4611,4354,4354,9100,AMV
2010-11-12,4574,4574,4171,4171,41500,AMV
2010-11-15,4025,4025,3915,3952,17100,AMV
2010-11-16,3842,3879,3696,3696,2800,AMV
2010-11-17,3769,3988,3732,3732,9600,AMV
2010-11-18,4025,4098,3879,3952,14700,AMV
2010-11-19,3952,3952,3696,3696,6300,AMV
2010-11-22,3659,3659,3513,3513,17700,AMV
2010-11-23,3659,3659,3513,3549,11100,AMV
2010-11-24,3476,3623,3476,3513,13200,AMV
2010-11-25,3586,3732,3586,3732,17800,AMV
2010-11-26,3915,3952,3915,3952,25500,AMV
2010-11-29,4025,4208,3988,4208,24300,AMV
2010-11-30,4391,4391,4391,4391,100,AMV
2010-12-01,4684,4684,4391,4684,28100,AMV
2010-12-02,4977,4977,4977,4977,15400,AMV
2010-12-03,5306,5306,5306,5306,20700,AMV
2010-12-06,5672,5672,5672,5672,21300,AMV
2010-12-07,6038,6038,5855,6038,233400,AMV
2010-12-08,6001,6001,5599,5599,32600,AMV
2010-12-09,5233,5672,5233,5635,49000,AMV
2010-12-10,5708,5708,5708,5708,53200,AMV
2010-12-13,6038,6074,6038,6074,56000,AMV
2010-12-14,6074,6221,5672,5672,31900,AMV
2010-12-15,5379,5526,5379,5379,90200,AMV
2010-12-16,5013,5086,5013,5013,27500,AMV
2010-12-17,5343,5343,5269,5343,28300,AMV
2010-12-20,5672,5672,4977,5050,19300,AMV
2010-12-21,5086,5416,4830,5013,31500,AMV
2010-12-22,5086,5086,4903,5086,13100,AMV
2010-12-23,4940,4977,4830,4867,16900,AMV
2010-12-24,4720,4830,4647,4684,36300,AMV
2010-12-27,4757,4977,4757,4977,13800,AMV
2010-12-28,4977,5086,4977,5086,13000,AMV
2010-12-29,5306,5306,4867,5086,9200,AMV
2010-12-30,5086,5086,4757,4757,22700,AMV
2010-12-31,5050,5050,4757,4867,23100,AMV
2011-01-04,5123,5123,4867,4867,3700,AMV
2011-01-05,4867,4867,4720,4867,4100,AMV
2011-01-06,5013,5013,4684,4720,5300,AMV
2011-01-07,4684,4720,4647,4647,20300,AMV
2011-01-10,4684,4757,4428,4428,8600,AMV
2011-01-11,4391,4537,4391,4428,11100,AMV
2011-01-12,4757,4757,4537,4647,4800,AMV
2011-01-13,4611,4684,4611,4611,8200,AMV
2011-01-14,4464,4720,4464,4684,11400,AMV
2011-01-17,4757,4830,4757,4830,9600,AMV
