time,open,high,low,close,volume,ticker
2010-04-05,8810,8810,7341,7782,120600,APG
2010-04-06,7880,7880,7341,7439,63800,APG
2010-04-07,7341,7733,7341,7537,85500,APG
2010-04-08,7880,8027,7880,7978,105200,APG
2010-04-09,7978,8320,7978,8125,68900,APG
2010-04-12,8125,8173,7880,8125,24600,APG
2010-04-13,8125,8125,7684,7782,43100,APG
2010-04-14,7537,7831,7390,7537,19000,APG
2010-04-15,7586,7684,7488,7586,63700,APG
2010-04-16,7635,7831,7586,7684,152300,APG
2010-04-19,7831,7831,7635,7733,24600,APG
2010-04-20,7831,7831,7586,7684,46100,APG
2010-04-21,7831,7880,7733,7782,136900,APG
2010-04-22,8076,8320,8076,8320,144700,APG
2010-04-26,8810,8859,8418,8761,234000,APG
2010-04-27,8810,8908,8663,8761,76700,APG
2010-04-28,9055,9055,8565,8761,94400,APG
2010-04-29,9055,9348,8810,9103,167300,APG
2010-05-04,9740,9740,9740,9740,53500,APG
2010-05-05,10278,10376,9887,10327,325400,APG
2010-05-06,11012,11012,11012,11012,72100,APG
2010-05-07,11747,11747,11306,11747,363100,APG
2010-05-10,12530,12530,12285,12432,165100,APG
2010-05-11,12383,12970,11600,11795,192000,APG
2010-05-12,11061,11061,11012,11012,14100,APG
2010-05-13,10278,11012,10278,10278,284600,APG
2010-05-14,10278,10963,9593,10621,169100,APG
2010-05-17,11208,11208,9887,10278,164300,APG
2010-05-18,10082,10376,10082,10229,32200,APG
2010-05-19,10278,10278,9544,9593,144000,APG
2010-05-20,10229,10229,8957,9691,388100,APG
2010-05-21,9789,9789,9055,9103,50300,APG
2010-05-24,9299,9299,8516,9152,153000,APG
2010-05-25,8516,9201,8516,8761,61300,APG
2010-05-26,8761,9055,8565,8859,172200,APG
2010-05-27,8467,9397,8467,8957,135800,APG
2010-05-28,9495,9544,9348,9544,81400,APG
2010-05-31,9789,10180,9789,9984,67300,APG
2010-06-01,9789,9789,9397,9544,71000,APG
2010-06-02,9446,9495,9250,9397,61800,APG
2010-06-03,9789,9984,9397,9495,62600,APG
2010-06-04,9299,9691,9299,9544,143600,APG
2010-06-07,9055,9103,8908,8957,64100,APG
2010-06-08,8810,9055,8810,8957,26800,APG
2010-06-09,9397,9446,8810,9006,50500,APG
2010-06-10,9152,9152,9006,9103,45200,APG
2010-06-11,9495,9495,9055,9103,41100,APG
2010-06-14,9055,9299,8565,9103,54300,APG
2010-06-15,9152,9152,8810,8957,49500,APG
2010-06-16,9103,9544,9055,9299,151100,APG
2010-06-17,9789,9936,9446,9789,98500,APG
2010-06-18,9691,10033,9544,9789,34700,APG
2010-06-21,9691,9789,9544,9740,66300,APG
2010-06-22,9544,9544,9201,9250,87900,APG
2010-06-23,9201,9250,9055,9152,50700,APG
2010-06-24,9103,9201,9103,9152,20200,APG
2010-06-25,9103,9152,9055,9103,48000,APG
2010-06-28,9103,9103,9055,9103,1500,APG
2010-06-29,9446,9691,9299,9446,56400,APG
2010-06-30,9299,9348,9055,9103,94400,APG
2010-07-01,9103,9299,9055,9055,38800,APG
2010-07-02,9299,9299,9006,9103,19400,APG
2010-07-05,8957,8957,8908,8908,36300,APG
2010-07-06,9299,9299,8810,8810,39600,APG
2010-07-07,8810,8810,8663,8761,9200,APG
2010-07-08,9201,9201,8663,8761,25400,APG
2010-07-09,8810,8810,8761,8761,11500,APG
2010-07-12,8565,8810,8320,8369,53100,APG
2010-07-13,8810,8908,8761,8810,21200,APG
2010-07-14,9397,9397,9055,9397,138700,APG
2010-07-15,9299,9299,8859,9201,2500,APG
2010-07-16,8810,8957,8712,8859,42100,APG
2010-07-19,8810,8810,8663,8712,18900,APG
2010-07-20,8810,8810,8614,8712,59600,APG
2010-07-21,8614,8663,8565,8565,48000,APG
2010-07-22,8565,8712,8516,8565,17700,APG
2010-07-23,8565,8663,8369,8516,28700,APG
2010-07-26,8565,8565,8369,8418,8600,APG
2010-07-27,8516,8859,8467,8663,53900,APG
2010-07-28,8614,8614,8320,8369,15500,APG
2010-07-29,8369,8467,8320,8418,8000,APG
2010-07-30,8516,8516,8467,8516,1900,APG
2010-08-02,8565,8614,8369,8467,12000,APG
2010-08-03,8369,8516,8320,8418,18000,APG
2010-08-04,8320,8320,8076,8173,31000,APG
2010-08-05,8467,8516,8027,8076,12300,APG
2010-08-06,7667,8076,7667,7871,12800,APG
2010-08-09,7871,8280,7513,7871,7900,APG
2010-08-10,7667,7667,7360,7411,20500,APG
2010-08-11,6900,7513,6900,7207,13100,APG
2010-08-12,6849,7309,6747,6798,16600,APG
2010-08-13,6798,6900,6338,6542,33500,APG
2010-08-16,6644,6951,6542,6900,69400,APG
2010-08-17,6747,6900,6440,6695,14400,APG
2010-08-18,6747,6747,6440,6593,15700,APG
2010-08-19,6900,6900,6593,6695,22500,APG
2010-08-20,7053,7053,6593,6747,25900,APG
2010-08-23,6849,6849,6542,6644,36800,APG
2010-08-24,6644,6644,6184,6184,116000,APG
2010-08-25,6184,6440,5775,5980,40900,APG
2010-08-26,6287,6287,5622,5775,31400,APG
2010-08-27,5571,6133,5418,5827,144500,APG
2010-08-30,6184,6184,6184,6184,19500,APG
2010-08-31,6593,6593,6491,6593,107100,APG
2010-09-01,6951,7053,6593,6951,67200,APG
2010-09-06,7411,7411,7309,7411,210700,APG
2010-09-07,7564,7564,6900,7207,109700,APG
2010-09-08,7002,7156,6798,6951,68100,APG
2010-09-09,7411,7411,7002,7207,34100,APG
2010-09-10,7156,7156,6747,6849,89400,APG
2010-09-13,6644,7002,6389,6440,79900,APG
2010-09-14,6747,6747,6491,6593,13300,APG
2010-09-15,6747,6798,6593,6695,2600,APG
2010-09-16,6644,6849,6644,6695,2500,APG
2010-09-17,6951,7002,6695,6849,109400,APG
2010-09-20,7053,7104,6644,6900,106100,APG
2010-09-21,6798,7002,6491,6593,80200,APG
2010-09-22,6644,6798,6491,6593,46600,APG
2010-09-23,6649,6649,6261,6482,57700,APG
2010-09-24,6261,6593,6261,6538,9700,APG
2010-09-27,6538,6593,6372,6427,29600,APG
2010-09-28,6649,6649,6372,6427,23800,APG
2010-09-29,6538,6538,6095,6316,43800,APG
2010-09-30,6095,6427,6095,6427,2600,APG
2010-10-01,6261,6427,6095,6150,24100,APG
2010-10-04,5818,5873,5762,5762,51100,APG
2010-10-05,5873,5873,5540,5762,19300,APG
2010-10-06,5928,6039,5762,5928,18400,APG
2010-10-07,6095,6095,5762,5984,2100,APG
2010-10-08,6039,6039,5596,5596,78100,APG
2010-10-11,5707,5928,5651,5762,15100,APG
2010-10-12,5818,5818,5540,5651,15600,APG
2010-10-13,5707,5707,5707,5707,6100,APG
2010-10-14,5596,5818,5596,5707,20000,APG
2010-10-15,5707,5707,5485,5540,26800,APG
2010-10-18,5651,5651,5319,5430,30400,APG
2010-10-19,5651,5651,5208,5374,53500,APG
2010-10-20,5263,5374,5042,5263,107500,APG
2010-10-21,5153,5596,5153,5485,47000,APG
2010-10-22,5485,5485,5263,5430,42200,APG
2010-10-25,5430,5540,5263,5430,66300,APG
2010-10-26,5596,5762,5540,5707,192600,APG
2010-10-27,5873,5873,5651,5762,69800,APG
2010-10-28,5818,5873,5651,5762,70400,APG
2010-10-29,5818,5928,5651,5818,52500,APG
2010-11-01,5762,5873,5707,5818,70300,APG
2010-11-02,5818,5928,5540,5873,52100,APG
2010-11-03,5873,5928,5651,5818,106200,APG
2010-11-04,5818,5873,5762,5873,52100,APG
2010-11-05,5818,5928,5762,5873,46700,APG
2010-11-08,5984,5984,5762,5928,44300,APG
2010-11-09,5762,5873,5540,5707,59700,APG
2010-11-10,5818,5818,5707,5762,65400,APG
2010-11-11,5762,5818,5651,5762,81100,APG
2010-11-12,5762,5762,5374,5596,71600,APG
2010-11-15,5707,5707,5208,5540,116500,APG
2010-11-16,5651,5651,5319,5540,101100,APG
2010-11-17,5651,5707,5540,5596,20200,APG
2010-11-18,5873,5984,5596,5928,42900,APG
2010-11-19,5873,5984,5762,5873,39400,APG
2010-11-22,5818,5928,5762,5873,12300,APG
2010-11-23,5928,5928,5762,5873,59800,APG
2010-11-24,5762,5873,5762,5818,21300,APG
2010-11-25,5873,5873,5762,5818,34700,APG
2010-11-26,5928,6205,5762,5873,131100,APG
