time,open,high,low,close,volume,ticker
2010-09-13,6923,6923,6003,6083,273500,API
2010-09-14,6003,6203,5843,5963,96600,API
2010-09-15,5923,6003,5723,5763,74700,API
2010-09-16,6003,6003,5763,5883,79300,API
2010-09-17,6003,6243,5803,6243,375300,API
2010-09-20,6523,6523,6523,6523,95700,API
2010-09-21,6963,6963,6803,6963,909000,API
2010-09-22,7444,7444,7324,7444,1432300,API
2010-09-23,7884,7884,7364,7764,1346300,API
2010-09-24,7564,7804,7284,7284,824000,API
2010-09-27,6963,7564,6923,7203,736100,API
2010-09-28,7404,7644,7203,7243,542600,API
2010-09-29,7404,7404,6923,6923,558100,API
2010-09-30,6963,6963,6523,6683,686600,API
2010-10-01,6803,6843,6243,6323,478600,API
2010-10-04,6603,6603,6003,6003,526900,API
2010-10-05,5643,6123,5603,6003,541300,API
2010-10-06,6083,6243,5963,6243,350600,API
2010-10-07,6523,6523,6283,6283,1055900,API
2010-10-08,6203,6443,6083,6123,385600,API
2010-10-11,6083,6243,5883,6043,197200,API
2010-10-12,6163,6163,5803,5843,229400,API
2010-10-13,5763,6003,5643,5963,341500,API
2010-10-14,5963,6243,5923,6003,383500,API
2010-10-15,6043,6083,5843,5883,191500,API
2010-10-18,5923,6123,5923,5963,267400,API
2010-10-19,6043,6083,5683,5763,295300,API
2010-10-20,5523,5563,5402,5483,530600,API
2010-10-21,5282,5763,5282,5483,261900,API
2010-10-22,5483,5483,5242,5362,249700,API
2010-10-25,5443,5603,5282,5523,255000,API
2010-10-26,5603,5843,5523,5843,371200,API
2010-10-27,6003,6003,5523,5523,244200,API
2010-10-28,5483,5603,5322,5322,246900,API
2010-10-29,5443,5603,5322,5483,133500,API
2010-11-01,5563,5563,5242,5282,169500,API
2010-11-02,5322,5322,5122,5202,113800,API
2010-11-03,5242,5242,4962,5002,154300,API
2010-11-04,5002,5122,4882,4962,230000,API
2010-11-05,4922,5322,4922,5162,201700,API
2010-11-08,5002,5082,4882,4922,208100,API
2010-11-09,4882,4882,4682,4682,247300,API
2010-11-10,4762,4762,4602,4602,101500,API
2010-11-11,4602,4602,4322,4322,359300,API
2010-11-12,4202,4242,4082,4082,390600,API
2010-11-15,4202,4202,3802,3802,214100,API
2010-11-16,3802,3802,3682,3762,273100,API
2010-11-17,3722,3922,3722,3842,195500,API
2010-11-18,3882,4042,3882,4042,154800,API
2010-11-19,4082,4282,3962,4042,377100,API
2010-11-22,3962,3962,3802,3882,145300,API
2010-11-23,3962,4082,3882,4002,214500,API
2010-11-24,3922,4202,3922,4002,369800,API
2010-11-25,4082,4362,4082,4362,392300,API
2010-11-26,4482,4602,4482,4602,809800,API
2010-11-29,4602,4922,4402,4922,581800,API
2010-11-30,5122,5162,4842,5162,417200,API
2010-12-01,5523,5523,4882,4922,543400,API
2010-12-02,4922,5443,4802,5282,1024300,API
2010-12-03,5362,5443,5362,5443,653200,API
2010-12-06,5443,5803,5443,5523,632000,API
2010-12-07,5523,5683,5322,5322,449800,API
2010-12-08,5202,5362,5082,5082,372100,API
2010-12-09,4882,5242,4802,5002,654400,API
2010-12-10,5082,5242,5082,5242,499400,API
2010-12-13,5563,5563,5563,5563,355800,API
2010-12-14,5563,5563,5202,5202,507900,API
2010-12-15,5162,5282,4922,4962,361000,API
2010-12-16,4802,5082,4722,4722,519500,API
2010-12-17,5002,5082,4802,5082,255800,API
2010-12-20,5122,5282,4722,5002,164700,API
2010-12-21,5002,5082,4762,4922,184600,API
2010-12-22,4922,4962,4682,4762,237100,API
2010-12-23,4882,4922,4522,4562,339100,API
2010-12-24,4642,4682,4442,4562,216100,API
2010-12-27,4682,4682,4562,4642,176200,API
2010-12-28,4682,4922,4602,4882,223300,API
2010-12-29,4962,4962,4642,4642,177800,API
2010-12-30,4642,4762,4602,4642,174500,API
2010-12-31,4682,4722,4642,4722,128300,API
2011-01-04,4842,4842,4682,4682,66600,API
2011-01-05,4722,4802,4562,4602,102200,API
2011-01-06,4522,4602,4482,4602,135900,API
2011-01-07,4602,4602,4442,4482,130000,API
2011-01-10,4402,4402,4322,4322,146400,API
2011-01-11,4202,4362,4122,4162,101100,API
2011-01-12,4322,4362,4202,4242,96400,API
2011-01-13,4362,4442,4242,4362,96000,API
2011-01-14,4402,4482,4282,4402,151000,API
2011-01-17,4482,4642,4402,4522,138700,API
2011-01-18,4682,4682,4362,4362,123800,API
2011-01-19,4442,4482,4282,4402,50200,API
2011-01-20,4402,4482,4282,4282,55000,API
2011-01-21,4202,4402,4202,4242,66500,API
2011-01-24,4242,4242,4162,4162,161400,API
2011-01-25,4162,4162,4082,4122,104700,API
2011-01-26,4202,4282,4202,4282,38200,API
2011-01-27,4322,4442,4242,4442,118700,API
2011-01-28,4482,4602,4442,4442,307000,API
2011-02-08,4562,4642,4442,4562,28600,API
2011-02-09,4562,4682,4482,4482,73900,API
2011-02-10,4402,4602,4402,4442,147000,API
2011-02-11,4442,4482,4322,4402,73600,API
2011-02-14,4482,4482,4402,4402,69500,API
2011-02-15,4402,4522,4322,4442,92400,API
2011-02-16,4442,4442,4322,4322,41900,API
2011-02-17,4362,4362,4202,4202,91600,API
2011-02-18,4202,4242,4082,4122,89000,API
2011-02-21,4242,4242,3842,3842,280800,API
2011-02-22,3922,3922,3642,3722,88900,API
2011-02-23,3722,3962,3722,3922,66500,API
2011-02-24,3922,3922,3682,3842,64500,API
2011-02-25,3802,4002,3802,4002,195400,API
2011-02-28,4162,4162,3802,3962,90700,API
2011-03-01,4002,4002,3842,3882,99800,API
2011-03-02,3882,3882,3722,3762,170100,API
2011-03-03,3642,3722,3561,3601,217500,API
2011-03-04,3682,3682,3561,3642,123500,API
2011-03-07,3682,3682,3561,3601,128700,API
2011-03-08,3601,3642,3561,3561,38100,API
2011-03-09,3601,3601,3361,3441,125800,API
2011-03-10,3481,3601,3481,3601,78000,API
2011-03-11,3682,3802,3682,3802,106600,API
2011-03-14,4002,4002,3561,3561,232400,API
2011-03-15,3561,3762,3521,3561,111900,API
2011-03-16,3722,3762,3601,3682,108900,API
2011-03-17,3601,3762,3601,3722,97700,API
2011-03-18,3762,3922,3722,3922,341000,API
2011-03-21,4082,4122,3842,3842,150700,API
2011-03-22,3842,3882,3722,3762,279700,API
2011-03-23,3802,3842,3682,3762,47100,API
2011-03-24,3842,3882,3722,3762,123800,API
2011-03-25,3802,3802,3682,3722,104600,API
2011-03-28,3762,3802,3722,3762,127500,API
2011-03-29,3802,3802,3682,3722,76400,API
2011-03-30,3682,3682,3561,3642,127600,API
2011-03-31,3642,3642,3561,3601,116800,API
2011-04-01,3601,3601,3561,3561,22000,API
2011-04-04,3521,3601,3521,3521,47300,API
2011-04-05,3521,3601,3441,3601,53200,API
2011-04-06,3481,3642,3481,3601,56900,API
2011-04-07,3561,3601,3521,3521,63000,API
2011-04-08,3521,3521,3401,3441,59800,API
2011-04-13,3361,3481,3361,3401,20700,API
2011-04-14,3481,3481,3321,3361,57300,API
2011-04-15,3281,3281,3201,3241,114900,API
2011-04-18,3241,3241,3041,3041,121400,API
2011-04-19,3121,3121,2921,3001,63300,API
2011-04-20,3081,3081,2841,2881,104800,API
2011-04-21,3001,3001,2721,2761,116200,API
2011-04-22,2761,2761,2601,2761,232600,API
2011-04-25,2681,2801,2641,2801,144800,API
2011-04-26,2721,2721,2601,2641,98700,API
2011-04-27,2721,2721,2561,2601,66500,API
2011-04-28,2761,2761,2561,2601,45100,API
2011-04-29,2601,2641,2441,2561,63600,API
2011-05-04,2601,2681,2561,2561,84200,API
2011-05-05,2641,2641,2481,2481,55200,API
2011-05-06,2561,2601,2521,2601,72300,API
2011-05-09,2681,2721,2601,2641,96800,API
2011-05-10,2721,2721,2601,2601,44900,API
2011-05-11,2561,2601,2521,2601,63200,API
2011-05-12,2601,2601,2521,2601,34000,API
2011-05-13,2601,2601,2561,2561,32600,API
2011-05-16,2561,2601,2481,2521,63300,API
2011-05-17,2481,2521,2401,2401,83600,API
2011-05-18,2401,2401,2241,2401,46000,API
2011-05-19,2401,2401,2281,2361,62400,API
2011-05-20,2321,2321,2201,2241,54200,API
2011-05-23,2321,2321,2161,2161,108000,API
2011-05-24,2121,2121,2081,2081,98000,API
2011-05-25,2001,2001,1961,1961,117300,API
2011-05-26,1841,2041,1841,1961,179300,API
2011-05-27,1881,2001,1881,2001,81500,API
2011-05-30,1961,1961,1841,1881,65200,API
2011-05-31,1961,1961,1800,1881,84500,API
2011-06-01,1881,1961,1841,1961,70200,API
2011-06-02,2041,2041,2001,2041,75400,API
2011-06-03,2161,2161,2041,2081,191300,API
2011-06-06,2081,2161,2001,2081,78200,API
2011-06-07,2121,2161,2121,2161,129800,API
2011-06-08,2241,2281,2121,2201,177400,API
2011-06-09,2201,2321,2161,2321,163900,API
2011-06-10,2401,2401,2401,2401,47900,API
2011-06-13,2561,2561,2481,2561,331500,API
2011-06-14,2721,2721,2481,2681,685600,API
2011-06-15,2681,2681,2561,2561,121800,API
2011-06-16,2401,2681,2401,2641,144100,API
2011-06-17,2561,2601,2441,2441,243900,API
2011-06-20,2401,2401,2281,2281,287600,API
2011-06-21,2401,2481,2281,2481,116600,API
2011-06-22,2521,2521,2401,2401,67000,API
2011-06-23,2521,2521,2281,2321,38300,API
2011-06-24,2441,2441,2281,2321,34900,API
2011-06-27,2481,2481,2281,2321,45200,API
2011-06-28,2281,2321,2201,2241,67200,API
2011-06-29,2281,2281,2161,2241,30000,API
2011-06-30,2281,2281,2121,2121,38900,API
2011-07-01,2281,2281,2041,2041,158000,API
2011-07-04,2081,2081,2001,2081,32700,API
2011-07-05,2161,2161,2121,2161,43700,API
2011-07-06,2281,2281,2081,2121,28700,API
2011-07-07,2161,2161,2081,2161,13000,API
2011-07-08,2161,2161,2041,2121,9900,API
2011-07-11,2041,2121,2001,2001,74800,API
2011-07-12,2041,2041,1921,2041,59000,API
2011-07-13,2081,2081,2001,2001,19300,API
2011-07-14,2041,2041,1921,2001,40200,API
2011-07-15,2001,2001,1961,2001,24200,API
2011-07-18,2001,2001,2001,2001,25100,API
2011-07-19,2041,2041,1961,1961,37500,API
2011-07-20,2001,2081,1961,2081,21100,API
2011-07-21,2041,2041,1961,1961,13200,API
2011-07-22,2041,2041,1961,1961,8000,API
2011-07-25,2041,2041,1921,1961,15700,API
2011-07-26,2001,2001,1921,2001,21300,API
2011-07-27,1961,1961,1841,1841,50200,API
2011-07-28,2001,2001,1841,1881,46900,API
2011-07-29,1841,1841,1760,1760,176700,API
2011-08-01,1760,1760,1640,1640,42600,API
2011-08-02,1600,1680,1600,1600,148700,API
2011-08-03,1520,1600,1520,1600,31100,API
2011-08-04,1600,1640,1600,1640,39600,API
2011-08-05,1720,1720,1680,1720,91900,API
2011-08-08,1600,1841,1600,1640,21700,API
2011-08-09,1600,1600,1560,1560,85600,API
2011-08-10,1640,1640,1600,1640,51900,API
2011-08-11,1600,1640,1600,1600,64200,API
2011-08-12,1640,1680,1600,1600,16600,API
2011-08-15,1640,1640,1600,1600,23700,API
2011-08-16,1640,1680,1600,1640,23200,API
2011-08-17,1680,1720,1680,1720,79800,API
2011-08-18,1800,1841,1760,1800,115500,API
2011-08-19,1720,1760,1680,1720,82200,API
2011-08-22,1760,1841,1760,1841,95400,API
2011-08-23,1881,1961,1760,1800,110000,API
2011-08-24,1921,1921,1800,1800,58500,API
2011-08-25,1800,1881,1800,1881,74100,API
2011-08-26,1841,1881,1800,1841,65900,API
2011-08-29,1841,1961,1800,1961,185700,API
2011-08-30,2041,2041,1961,2001,194500,API
2011-08-31,2001,2081,1961,2041,140000,API
2011-09-01,2001,2161,2001,2161,293200,API
2011-09-05,2241,2281,2161,2161,262100,API
2011-09-06,2121,2161,2121,2121,105500,API
2011-09-07,2081,2241,2081,2241,232100,API
2011-09-08,2281,2321,2201,2201,301400,API
2011-09-09,2201,2281,2161,2201,144000,API
2011-09-12,2241,2321,2241,2321,284400,API
2011-09-13,2401,2401,2321,2401,363900,API
2011-09-14,2521,2561,2361,2361,419900,API
2011-09-15,2401,2441,2361,2361,313400,API
2011-09-16,2241,2441,2201,2201,201800,API
2011-09-19,2161,2281,2121,2241,174000,API
2011-09-20,2241,2241,2081,2121,272700,API
2011-09-21,2161,2241,2081,2161,110500,API
2011-09-22,2121,2241,2121,2201,131700,API
2011-09-23,2201,2201,2121,2161,85900,API
2011-09-26,2121,2161,2081,2081,76300,API
2011-09-27,2161,2161,2081,2081,94000,API
2011-09-28,2161,2161,2121,2121,76200,API
2011-09-29,2161,2161,2001,2041,118700,API
2011-09-30,2001,2041,1961,1961,73300,API
2011-10-03,1961,2001,1881,1921,157400,API
2011-10-04,1881,1921,1800,1921,82300,API
2011-10-05,1921,2001,1921,1921,48700,API
2011-10-06,2001,2081,2001,2081,94800,API
2011-10-07,2081,2081,1961,2001,100600,API
2011-10-10,2041,2041,1921,1921,57600,API
2011-10-11,2001,2001,1921,1961,49000,API
2011-10-12,1921,1921,1841,1841,129200,API
2011-10-13,1841,1841,1760,1800,102400,API
2011-10-14,1841,1841,1760,1800,100400,API
2011-10-17,1800,1841,1760,1760,36000,API
2011-10-18,1760,1800,1720,1760,47800,API
2011-10-19,1841,1841,1760,1800,15300,API
2011-10-20,1841,1841,1760,1760,35900,API
2011-10-21,1800,1921,1800,1921,150700,API
2011-10-24,1961,1961,1841,1841,43500,API
2011-10-25,1841,1881,1800,1841,26400,API
2011-10-26,1841,1841,1800,1841,50200,API
2011-10-27,1800,1841,1760,1760,30100,API
2011-10-28,1841,1921,1841,1921,79300,API
2011-10-31,2041,2041,1841,1921,140000,API
2011-11-01,1841,1881,1800,1800,79400,API
2011-11-02,1720,1800,1720,1760,46000,API
2011-11-03,1720,1760,1720,1760,49000,API
2011-11-04,1760,1760,1680,1720,53300,API
2011-11-07,1680,1680,1640,1680,43000,API
2011-11-08,1680,1720,1640,1680,47500,API
2011-11-09,1680,1680,1640,1680,36800,API
2011-11-10,1640,1640,1600,1600,86000,API
2011-11-11,1640,1640,1560,1600,47600,API
2011-11-14,1600,1600,1520,1520,38300,API
2011-11-15,1520,1600,1520,1600,42300,API
2011-11-16,1600,1640,1600,1640,60800,API
2011-11-17,1600,1600,1560,1560,19300,API
2011-11-18,1560,1600,1520,1520,13400,API
2011-11-21,1600,1600,1520,1520,18100,API
2011-11-22,1520,1560,1480,1520,19600,API
2011-11-23,1560,1600,1560,1560,14600,API
2011-11-24,1560,1560,1520,1520,19500,API
2011-11-25,1520,1520,1480,1520,15600,API
2011-11-28,1520,1560,1480,1560,46300,API
2011-11-29,1560,1560,1520,1560,2400,API
2011-11-30,1520,1520,1480,1480,43800,API
2011-12-01,1520,1520,1440,1480,26500,API
2011-12-02,1480,1520,1440,1480,67600,API
2011-12-05,1560,1560,1520,1560,82100,API
2011-12-06,1640,1640,1560,1560,69100,API
2011-12-07,1560,1560,1520,1520,98500,API
2011-12-08,1520,1560,1480,1520,29900,API
2011-12-09,1480,1520,1480,1480,34800,API
2011-12-12,1520,1520,1440,1440,20700,API
2011-12-13,1480,1480,1400,1400,38200,API
2011-12-14,1360,1400,1320,1360,40500,API
2011-12-15,1280,1280,1240,1240,132800,API
2011-12-16,1280,1320,1240,1280,74300,API
2011-12-19,1280,1280,1200,1200,70100,API
2011-12-20,1240,1240,1160,1160,59200,API
2011-12-21,1160,1160,1160,1160,16600,API
2011-12-22,1200,1200,1080,1120,46600,API
2011-12-23,1080,1080,1040,1040,17500,API
2011-12-26,1080,1080,1040,1040,22200,API
2011-12-27,1120,1120,1040,1040,23600,API
2011-12-28,1040,1080,1040,1080,58900,API
2011-12-29,1040,1040,1000,1000,30100,API
2011-12-30,1000,1040,1000,1040,12600,API
2012-01-03,1040,1080,1040,1040,31100,API
2012-01-04,1040,1040,1000,1000,40800,API
2012-01-05,1000,1040,1000,1040,19300,API
2012-01-06,1040,1040,1000,1000,36800,API
2012-01-09,1040,1040,960,1000,78800,API
2012-01-10,1000,1000,1000,1000,36100,API
2012-01-11,1040,1040,960,960,43500,API
2012-01-12,960,1000,960,960,36800,API
2012-01-13,920,1000,920,960,29200,API
2012-01-16,960,1000,960,960,47100,API
2012-01-17,960,1000,960,960,14600,API
2012-01-18,960,1000,960,1000,23500,API
2012-01-19,1000,1000,1000,1000,78700,API
2012-01-20,1040,1040,1040,1040,144400,API
2012-01-30,1080,1080,1080,1080,29700,API
2012-01-31,1120,1120,1120,1120,280400,API
2012-02-01,1160,1160,1120,1160,106200,API
2012-02-02,1160,1160,1160,1160,40500,API
2012-02-03,1240,1240,1200,1240,343000,API
2012-02-06,1240,1240,1160,1200,205600,API
2012-02-07,1160,1240,1160,1240,102600,API
2012-02-08,1280,1280,1280,1280,81800,API
2012-02-09,1360,1360,1320,1360,285200,API
2012-02-10,1360,1360,1280,1280,136700,API
2012-02-13,1200,1200,1200,1200,62500,API
2012-02-14,1160,1240,1120,1200,187500,API
2012-02-15,1240,1240,1160,1160,100700,API
2012-02-16,1120,1160,1120,1160,103100,API
2012-02-17,1160,1160,1160,1160,69700,API
2012-02-20,1240,1240,1200,1240,63600,API
2012-02-21,1320,1320,1200,1240,391500,API
2012-02-22,1240,1360,1240,1360,374100,API
2012-02-23,1400,1400,1400,1400,221300,API
2012-02-24,1480,1480,1360,1440,322200,API
2012-02-27,1480,1520,1400,1520,389500,API
2012-02-28,1520,1560,1480,1520,529800,API
2012-02-29,1520,1600,1480,1600,315400,API
2012-03-01,1600,1600,1520,1600,228300,API
2012-03-02,1680,1680,1600,1680,273700,API
2012-03-05,1760,1760,1760,1760,130000,API
2012-03-06,1881,1881,1720,1841,1701100,API
2012-03-07,1841,1881,1720,1841,403500,API
2012-03-08,1800,1881,1680,1720,417600,API
2012-03-09,1760,1800,1640,1680,344100,API
2012-03-12,1640,1640,1600,1600,323800,API
2012-03-13,1560,1680,1520,1640,232600,API
2012-03-14,1640,1680,1560,1560,126300,API
2012-03-15,1600,1680,1520,1680,625200,API
2012-03-16,1680,1680,1680,1680,414900,API
2012-03-19,1720,1760,1640,1680,141200,API
2012-03-20,1800,1800,1720,1800,445700,API
2012-03-21,1800,1881,1760,1841,908100,API
2012-03-22,1841,1881,1760,1800,379500,API
2012-03-23,1881,1961,1841,1961,799800,API
2012-03-26,1961,2041,1921,2041,470300,API
2012-03-27,2121,2121,1921,1921,382800,API
2012-03-28,1881,1961,1800,1921,571900,API
2012-03-29,1881,1881,1800,1800,373100,API
2012-03-30,1720,1760,1680,1680,423600,API
2012-04-03,1640,1760,1640,1760,243300,API
2012-04-04,1800,1841,1680,1680,287400,API
2012-04-05,1680,1760,1640,1760,190700,API
2012-04-06,1760,1841,1720,1760,118200,API
2012-04-09,1881,1881,1760,1881,214500,API
2012-04-10,1760,1881,1760,1760,119900,API
2012-04-11,1800,1881,1800,1881,410500,API
2012-04-12,1961,2001,1921,2001,735200,API
2012-04-13,2081,2081,1881,1921,240600,API
2012-04-16,1961,2041,1921,2001,400700,API
2012-04-17,2041,2041,1881,1921,439600,API
2012-04-18,1921,2001,1881,1921,486000,API
2012-04-19,1921,2001,1841,1881,297400,API
2012-04-20,1841,1961,1841,1921,143300,API
2012-04-23,2001,2001,1881,1921,175500,API
2012-04-24,1881,1881,1800,1841,221200,API
2012-04-25,1881,1961,1841,1881,269400,API
2012-04-26,1921,1921,1800,1841,213500,API
2012-04-27,1841,1961,1841,1921,428600,API
2012-05-02,2001,2041,1961,2001,875000,API
2012-05-03,2001,2041,1921,1961,266800,API
2012-05-04,2001,2121,2001,2121,761200,API
2012-05-07,2121,2241,2121,2241,489600,API
2012-05-08,2361,2361,2161,2161,596100,API
2012-05-09,2121,2201,2081,2161,332800,API
2012-05-10,2161,2241,2161,2241,546300,API
2012-05-11,2281,2281,2081,2121,612200,API
2012-05-14,2081,2081,1961,1961,412200,API
2012-05-15,1921,1961,1841,1841,409200,API
2012-05-16,1760,1881,1720,1841,384800,API
2012-05-17,1760,1881,1720,1720,377400,API
2012-05-18,1720,1720,1600,1600,505400,API
2012-05-21,1720,1720,1680,1720,132200,API
2012-05-22,1841,1841,1800,1841,412100,API
2012-05-23,1841,1841,1720,1720,190300,API
2012-05-24,1720,1760,1640,1760,197300,API
2012-05-25,1720,1760,1720,1760,56600,API
2012-05-28,1881,1881,1800,1841,417400,API
2012-05-29,1800,1841,1760,1800,114800,API
2012-05-30,1841,1841,1760,1800,103400,API
2012-05-31,1760,1760,1720,1760,143800,API
2012-06-01,1760,1881,1760,1800,147300,API
2012-06-04,1800,1800,1680,1760,138500,API
2012-06-05,1720,1800,1720,1800,96200,API
2012-06-06,1760,1841,1720,1800,115700,API
2012-06-07,1800,1921,1800,1921,554600,API
2012-06-08,2001,2001,1841,1881,219300,API
2012-06-11,1841,1881,1800,1881,92500,API
2012-06-12,1800,1841,1760,1800,166400,API
2012-06-13,1800,1800,1720,1760,103700,API
2012-06-14,1760,1800,1720,1720,149300,API
2012-06-15,1760,1800,1720,1800,96500,API
2012-06-18,1841,1841,1760,1800,88200,API
2012-06-19,1720,1800,1720,1720,48900,API
2012-06-20,1760,1800,1720,1760,48500,API
2012-06-21,1760,1800,1720,1760,66700,API
2012-06-22,1760,1800,1720,1760,117200,API
2012-06-25,1720,1720,1600,1640,100100,API
2012-06-26,1640,1640,1560,1560,290800,API
