time,open,high,low,close,volume,ticker
2016-10-14,11089,11089,11089,11089,0,APL
2016-10-17,11089,11089,11089,11089,0,APL
2016-10-18,11089,11089,11089,11089,0,APL
2016-10-19,11089,11089,11089,11089,0,APL
2016-10-20,11089,11089,11089,11089,0,APL
2016-10-21,11089,11089,11089,11089,0,APL
2016-10-24,11089,11089,11089,11089,0,APL
2016-10-25,11089,11089,11089,11089,0,APL
2016-10-26,11089,11089,11089,11089,0,APL
2016-10-27,11089,11089,11089,11089,0,APL
2016-10-28,11089,11089,11089,11089,0,APL
2016-10-31,11089,11089,11089,11089,0,APL
2016-11-01,11089,11089,11089,11089,0,APL
2016-11-02,11089,11089,11089,11089,0,APL
2016-11-03,11089,11089,11089,11089,0,APL
2016-11-04,11089,11089,11089,11089,0,APL
2016-11-07,11089,11089,11089,11089,0,APL
2016-11-08,11089,11089,11089,11089,0,APL
2016-11-09,11089,11089,11089,11089,0,APL
2016-11-10,11089,11089,11089,11089,0,APL
2016-11-11,11089,11089,11089,11089,0,APL
2016-11-14,11089,11089,11089,11089,0,APL
2016-11-15,11089,11089,11089,11089,0,APL
2016-11-16,11089,11089,11089,11089,0,APL
2016-11-17,11089,11089,11089,11089,0,APL
2016-11-18,11089,11089,11089,11089,0,APL
2016-11-21,11089,11089,11089,11089,0,APL
2016-11-22,11089,11089,11089,11089,0,APL
2016-11-23,11089,11089,11089,11089,0,APL
2016-11-24,11089,11089,11089,11089,0,APL
2016-11-25,11089,11089,11089,11089,0,APL
2016-11-28,11089,11089,11089,11089,0,APL
2016-11-29,11089,11089,11089,11089,0,APL
2016-11-30,11089,11089,11089,11089,0,APL
2016-12-01,11089,11089,11089,11089,0,APL
2016-12-02,11089,11089,11089,11089,0,APL
2016-12-05,11089,11089,11089,11089,0,APL
2016-12-06,11089,11089,11089,11089,0,APL
2016-12-07,11089,11089,11089,11089,0,APL
2016-12-08,11089,11089,11089,11089,0,APL
2016-12-09,11089,11089,11089,11089,0,APL
2016-12-12,11089,11089,11089,11089,0,APL
2016-12-13,11089,11089,11089,11089,0,APL
2016-12-14,11089,11089,11089,11089,0,APL
2016-12-15,11089,11089,11089,11089,0,APL
2016-12-16,11089,11089,11089,11089,0,APL
2016-12-19,11089,11089,11089,11089,0,APL
2016-12-20,11089,11089,11089,11089,0,APL
2016-12-21,11089,11089,11089,11089,0,APL
2016-12-22,11089,11089,11089,11089,0,APL
2016-12-23,11089,11089,11089,11089,0,APL
2016-12-26,11089,11089,11089,11089,0,APL
2016-12-27,11089,11089,11089,11089,0,APL
2016-12-28,11089,11089,11089,11089,0,APL
2016-12-29,11089,11089,11089,11089,0,APL
2016-12-30,11089,11089,11089,11089,0,APL
2017-01-03,11089,11089,11089,11089,0,APL
2017-01-04,11089,11089,11089,11089,0,APL
2017-01-05,11089,11089,11089,11089,0,APL
2017-01-06,11089,11089,11089,11089,0,APL
2017-01-09,11089,11089,11089,11089,0,APL
2017-01-10,11089,11089,11089,11089,0,APL
2017-01-11,11089,11089,11089,11089,0,APL
2017-01-12,11089,11089,11089,11089,0,APL
2017-01-13,11089,11089,11089,11089,0,APL
2017-01-16,11089,11089,11089,11089,0,APL
2017-01-17,11089,11089,11089,11089,0,APL
2017-01-18,11089,11089,11089,11089,0,APL
2017-01-19,11089,11089,11089,11089,0,APL
2017-01-20,11089,11089,11089,11089,0,APL
2017-01-23,11089,11089,11089,11089,0,APL
2017-01-24,11089,11089,11089,11089,0,APL
2017-01-25,11089,11089,11089,11089,0,APL
2017-02-02,11089,11089,11089,11089,0,APL
2017-02-03,11089,11089,11089,11089,0,APL
2017-02-06,11089,11089,11089,11089,0,APL
2017-02-07,11089,11089,11089,11089,0,APL
2017-02-08,11089,11089,11089,11089,0,APL
2017-02-09,11089,11089,11089,11089,0,APL
2017-02-10,11089,11089,11089,11089,0,APL
