time,open,high,low,close,volume,ticker
2010-04-19,14729,14910,13102,13374,1095300,APS
2010-04-20,13012,13554,12651,12831,592300,APS
2010-04-21,12831,13102,12560,12922,358200,APS
2010-04-22,13193,13645,13012,13645,1001700,APS
2010-04-26,13825,13916,13283,13283,459400,APS
2010-04-27,13464,13735,13283,13735,462100,APS
2010-04-28,13916,14368,13645,14368,577200,APS
2010-04-29,15271,15271,15271,15271,421800,APS
2010-05-04,16265,16265,16265,16265,313800,APS
2010-05-05,17259,17350,15542,16807,2100000,APS
2010-05-06,16807,17530,16536,17530,637800,APS
2010-05-07,18615,18615,16717,18615,1976500,APS
2010-05-10,19789,19789,18524,19157,1157900,APS
2010-05-11,19428,20783,18073,18976,1651000,APS
2010-05-12,18795,19699,17169,17169,987900,APS
2010-05-13,17440,17621,16356,16356,1003500,APS
2010-05-14,16717,17169,16265,17079,547200,APS
2010-05-17,16988,17711,16988,17440,657200,APS
2010-05-18,17801,18073,16536,16807,249000,APS
2010-05-19,17079,17079,15723,15723,387600,APS
2010-05-20,15271,16627,15000,16084,1231100,APS
2010-05-21,15362,15362,14458,14458,401100,APS
2010-05-24,14458,15452,14277,15452,772200,APS
2010-05-25,15452,15904,15000,15542,561800,APS
2010-05-26,15633,16265,15362,15904,801900,APS
2010-05-27,16084,16084,15362,15813,584000,APS
2010-05-28,16446,16898,16356,16898,734200,APS
2010-05-31,17982,17982,15723,16265,526100,APS
2010-06-01,16717,16717,15813,16265,562000,APS
2010-06-02,15813,16265,15542,16175,345000,APS
2010-06-03,16446,17169,16356,16627,477500,APS
2010-06-04,16807,17711,16536,17621,1865700,APS
2010-06-07,17169,18073,16265,16265,612000,APS
2010-06-08,16175,16807,16084,16717,380300,APS
2010-06-09,16717,17440,16717,17169,743800,APS
2010-06-10,17621,17621,16627,16807,368300,APS
2010-06-11,18073,18073,16717,17259,683900,APS
2010-06-14,17801,17801,17079,17440,591800,APS
2010-06-15,17440,17440,16446,16536,442100,APS
2010-06-16,16717,17801,16265,17801,1817300,APS
2010-06-17,18615,18615,18073,18524,1264200,APS
2010-06-18,18976,18976,17711,17892,518800,APS
2010-06-21,18073,18344,17530,17530,364200,APS
2010-06-22,17621,17801,16988,17079,778700,APS
2010-06-23,16807,17259,16627,17079,371200,APS
2010-06-24,16807,17259,16807,16988,386400,APS
2010-06-25,16988,16988,16265,16536,482700,APS
2010-06-28,16717,17079,16446,16898,266900,APS
2010-06-29,16898,17169,16717,16807,221500,APS
2010-06-30,16265,16627,15994,16446,375700,APS
2010-07-01,16265,16356,15994,16175,296100,APS
2010-07-02,16084,16356,16084,16175,166200,APS
2010-07-05,16265,16265,15994,15994,175700,APS
2010-07-06,16265,16265,15362,15542,375600,APS
2010-07-07,15813,15994,15542,15633,160300,APS
2010-07-08,15994,16446,15542,15633,163000,APS
2010-07-09,15813,15813,15452,15633,150800,APS
2010-07-12,15813,16356,15633,16265,271200,APS
2010-07-13,16356,17079,16356,17079,378900,APS
2010-07-14,18253,18253,17079,17440,802500,APS
2010-07-15,17350,17711,16717,16898,502200,APS
2010-07-16,16988,17169,16717,17079,548700,APS
2010-07-19,16627,16988,16627,16898,537700,APS
2010-07-20,16898,17621,16898,17259,1141100,APS
2010-07-21,17350,17711,16988,17079,611300,APS
2010-07-22,17350,17350,16717,16988,655400,APS
2010-07-23,17350,17621,16807,16988,320100,APS
2010-07-26,17169,17169,16536,16807,445800,APS
2010-07-27,16446,17801,16446,17440,1727600,APS
2010-07-28,17530,17530,16898,17169,406000,APS
2010-07-29,17169,17440,16988,17259,567700,APS
2010-07-30,17169,17530,17079,17259,582800,APS
2010-08-02,17440,17711,16898,16898,542600,APS
2010-08-03,17350,17530,16446,16898,451100,APS
2010-08-04,17079,17169,16084,16265,564900,APS
2010-08-05,16446,16988,15994,15994,302000,APS
2010-08-06,16627,16627,15813,15813,283200,APS
2010-08-09,16356,16356,15271,15452,284200,APS
2010-08-10,15723,15723,14639,15000,336700,APS
2010-08-11,15090,15542,14819,15542,302300,APS
2010-08-12,15181,15271,14277,14277,322200,APS
2010-08-13,14277,14639,13554,14277,240800,APS
2010-08-16,14368,14910,14277,14910,564100,APS
2010-08-17,15362,15723,14458,14819,218700,APS
2010-08-18,15000,15271,14277,14277,178200,APS
2010-08-19,14368,14458,13825,13825,129500,APS
2010-08-20,14006,14368,13645,14187,161700,APS
2010-08-23,14368,14368,13374,13554,109000,APS
2010-08-24,13554,13645,12831,12831,244800,APS
2010-08-25,12831,12831,12018,12018,159500,APS
2010-08-26,12018,12831,11295,12018,268100,APS
2010-08-27,11747,11747,11024,11386,193400,APS
2010-08-30,11295,12018,11295,12018,120900,APS
2010-08-31,12831,12831,12199,12831,275000,APS
2010-09-01,13554,13554,12922,13554,452400,APS
2010-09-06,14277,14368,14187,14368,119400,APS
2010-09-07,15362,15362,14639,15000,726000,APS
2010-09-08,15542,15542,14096,14187,610100,APS
2010-09-09,14277,15000,14187,14910,231200,APS
2010-09-10,14910,15090,13645,13645,316300,APS
2010-09-13,13554,13554,13102,13102,340300,APS
2010-09-14,13193,13825,12289,13012,399400,APS
2010-09-15,12651,12831,12289,12651,301700,APS
2010-09-16,12651,12922,12470,12922,103100,APS
2010-09-17,13012,13554,13012,13554,292000,APS
2010-09-20,14187,14277,13283,13464,288500,APS
2010-09-21,12831,13735,12831,13283,242900,APS
2010-09-22,13012,13554,13012,13193,107700,APS
2010-09-23,13012,13193,12831,13102,191100,APS
2010-09-24,13193,13645,12831,13554,261300,APS
2010-09-27,13283,13645,13012,13464,124200,APS
2010-09-28,13554,13916,13374,13374,152200,APS
2010-09-29,13102,13193,12651,12651,157400,APS
2010-09-30,13012,13012,12651,12741,184500,APS
2010-10-01,13283,13283,12470,12651,175600,APS
2010-10-04,12199,12380,12018,12018,287800,APS
2010-10-05,12108,12651,11566,12380,221200,APS
2010-10-06,12651,13012,12289,12831,204700,APS
2010-10-07,13012,13283,12199,12199,119500,APS
2010-10-08,12289,12380,11747,11928,158800,APS
2010-10-11,11747,12108,11657,11837,69200,APS
2010-10-12,12018,12018,11476,11566,90700,APS
2010-10-13,10843,11657,10843,11476,104800,APS
2010-10-14,11024,11837,10843,11476,191100,APS
2010-10-15,11476,11476,11295,11476,66300,APS
2010-10-18,11386,11566,11386,11386,95700,APS
2010-10-19,11295,11476,10934,11114,103800,APS
2010-10-20,11024,11024,10391,10572,163300,APS
2010-10-21,10663,11024,10391,10572,100800,APS
2010-10-22,10663,10843,10572,10663,138200,APS
2010-10-25,10663,10934,10301,10934,105500,APS
2010-10-26,10843,11476,10843,11476,213100,APS
2010-10-27,12018,12199,11295,11476,145200,APS
2010-10-28,11386,11566,11205,11295,60100,APS
2010-10-29,11024,11386,10843,11295,77000,APS
2010-11-01,11566,11566,10934,10934,59900,APS
2010-11-02,10843,10843,10572,10663,98400,APS
2010-11-03,10843,10934,10482,10482,75700,APS
2010-11-04,10572,10753,10572,10753,62900,APS
2010-11-05,11114,11386,11024,11205,150700,APS
2010-11-08,11386,11386,10843,10843,64600,APS
2010-11-09,10753,10753,10391,10391,152000,APS
2010-11-10,10572,10572,10391,10391,56600,APS
2010-11-11,10301,10391,9849,9940,138300,APS
2010-11-12,9940,9940,9397,9488,267700,APS
2010-11-15,9488,9759,9126,9217,175700,APS
2010-11-16,9036,9397,8765,8946,126600,APS
