time,open,high,low,close,volume,ticker
2010-10-26,15406,15406,5178,5566,6100,ARM
2010-10-27,6214,6214,6214,6214,21400,ARM
2010-10-28,6628,6628,5955,5955,7400,ARM
2010-10-29,5981,5981,5981,5981,300,ARM
2010-11-01,5566,5696,5566,5566,700,ARM
2010-11-02,5282,5307,5282,5307,200,ARM
2010-11-03,4945,4945,4945,4945,500,ARM
2010-11-04,4608,5256,4608,4608,4200,ARM
2010-11-05,4608,4634,4324,4634,8800,ARM
2010-11-08,4531,4660,4531,4531,3000,ARM
2010-11-09,4557,4557,4272,4272,7700,ARM
2010-11-10,4453,4453,4142,4142,2700,ARM
2010-11-11,4091,4091,3961,3961,1300,ARM
2010-11-12,3806,3806,3806,3806,3700,ARM
2010-11-15,3573,3573,3547,3547,4000,ARM
2010-11-16,3366,3366,3340,3340,3200,ARM
2010-11-17,3340,3340,3314,3314,5800,ARM
2010-11-18,3417,3573,3417,3469,2600,ARM
2010-11-19,3495,3495,3495,3495,200,ARM
2010-11-22,3262,3262,3262,3262,5000,ARM
2010-11-23,3366,3366,3366,3366,100,ARM
2010-11-24,3599,3599,3573,3573,800,ARM
2010-11-25,3728,3728,3728,3728,100,ARM
2010-11-26,3728,3728,3469,3469,3300,ARM
2010-11-29,3314,3728,3314,3728,1300,ARM
2010-11-30,3650,3883,3624,3624,5400,ARM
2010-12-01,3547,3650,3521,3521,1900,ARM
2010-12-02,3754,3858,3676,3702,6400,ARM
2010-12-03,3961,3961,3702,3702,300,ARM
2010-12-06,4013,4013,3650,3650,9000,ARM
2010-12-07,3624,3883,3624,3624,8500,ARM
2010-12-08,3624,3754,3469,3469,8700,ARM
2010-12-09,3366,3676,3366,3676,400,ARM
2010-12-10,3469,3728,3443,3624,5200,ARM
2010-12-13,3702,3754,3702,3754,16100,ARM
2010-12-14,3883,3883,3624,3624,3100,ARM
2010-12-15,3883,3883,3883,3883,100,ARM
2010-12-16,3624,3624,3624,3624,2100,ARM
2010-12-17,3728,3728,3728,3728,300,ARM
2010-12-20,3547,3547,3547,3547,100,ARM
2010-12-21,3547,3547,3547,3547,0,ARM
2010-12-22,3754,3754,3754,3754,100,ARM
2010-12-23,3754,3754,3754,3754,0,ARM
2010-12-24,3495,3624,3495,3624,700,ARM
2010-12-27,3624,3624,3624,3624,200,ARM
2010-12-28,3443,3443,3443,3443,300,ARM
2010-12-29,3495,3495,3495,3495,2100,ARM
2010-12-30,3495,3495,3495,3495,0,ARM
2010-12-31,3495,3495,3443,3495,1600,ARM
2011-01-04,3495,3599,3495,3599,1000,ARM
2011-01-05,3624,3676,3495,3495,5500,ARM
2011-01-06,3443,3702,3443,3702,2700,ARM
2011-01-07,3624,3624,3624,3624,1800,ARM
2011-01-10,3469,3469,3469,3469,100,ARM
2011-01-11,3288,3288,3288,3288,100,ARM
2011-01-12,3495,3495,3495,3495,4500,ARM
2011-01-13,3469,3728,3469,3728,28400,ARM
2011-01-14,3728,3728,3624,3676,2500,ARM
2011-01-17,3754,3754,3754,3754,2000,ARM
2011-01-18,3624,3624,3624,3624,900,ARM
2011-01-19,3417,3754,3417,3754,1500,ARM
2011-01-20,3624,3624,3624,3624,800,ARM
2011-01-21,3676,3676,3676,3676,500,ARM
2011-01-24,3624,3624,3624,3624,200,ARM
2011-01-25,3417,3417,3417,3417,100,ARM
2011-01-26,3650,3650,3650,3650,5900,ARM
2011-01-27,3521,3780,3521,3780,2100,ARM
2011-01-28,3780,3780,3676,3676,2200,ARM
2011-02-08,3521,3624,3521,3624,1000,ARM
2011-02-09,3676,3676,3624,3624,2100,ARM
2011-02-10,3443,3650,3443,3650,600,ARM
2011-02-11,3573,3676,3573,3676,1600,ARM
2011-02-14,3676,3728,3676,3728,1800,ARM
2011-02-15,3573,3573,3573,3573,100,ARM
2011-02-16,3391,3391,3391,3391,100,ARM
2011-02-17,3391,3624,3391,3624,2000,ARM
2011-02-18,3832,3832,3599,3599,5100,ARM
2011-02-21,3495,3495,3443,3469,17300,ARM
2011-02-22,3288,3469,3288,3469,2100,ARM
2011-02-23,3443,3443,3417,3417,1000,ARM
2011-02-24,3262,3262,3262,3262,100,ARM
2011-02-25,3469,3469,3262,3262,600,ARM
2011-02-28,3573,3573,3573,3573,300,ARM
2011-03-01,3806,3806,3806,3806,100,ARM
2011-03-02,3624,3624,3573,3573,1500,ARM
2011-03-03,3832,3832,3366,3624,1600,ARM
2011-03-04,3521,3521,3288,3288,700,ARM
2011-03-07,3702,3702,3702,3702,5100,ARM
2011-03-08,3935,3935,3935,3935,100,ARM
2011-03-09,4116,4116,4116,4116,600,ARM
2011-03-10,3832,3832,3832,3832,2000,ARM
2011-03-11,3573,3573,3573,3573,6000,ARM
2011-03-14,3599,3599,3599,3599,200,ARM
2011-03-15,3832,3832,3832,3832,100,ARM
2011-03-16,3832,3832,3832,3832,0,ARM
2011-03-17,3573,3573,3573,3573,4000,ARM
2011-03-18,3340,3780,3340,3573,2800,ARM
2011-03-21,3624,3624,3495,3495,3600,ARM
2011-03-22,3676,3676,3443,3443,600,ARM
2011-03-23,3495,3495,3495,3495,0,ARM
2011-03-24,3391,3495,3391,3417,3000,ARM
2011-03-25,3495,3521,3495,3521,700,ARM
2011-03-28,3495,3495,3495,3495,0,ARM
2011-03-29,3469,3469,3469,3469,1100,ARM
2011-03-30,3469,3469,3469,3469,400,ARM
2011-03-31,3469,3469,3469,3469,1900,ARM
2011-04-01,3469,3469,3469,3469,0,ARM
2011-04-04,3469,3469,3469,3469,0,ARM
2011-04-05,3676,3676,3288,3314,3400,ARM
2011-04-06,3391,3391,3288,3314,9500,ARM
2011-04-07,3521,3521,3521,3521,100,ARM
2011-04-08,3314,3314,3314,3314,2200,ARM
2011-04-13,3521,3521,3521,3521,100,ARM
2011-04-14,3314,3314,3314,3314,6200,ARM
2011-04-15,3521,3521,3236,3236,3200,ARM
2011-04-18,3469,3469,3107,3340,500,ARM
2011-04-19,3469,3469,3469,3469,500,ARM
2011-04-20,3624,3624,3624,3624,500,ARM
2011-04-21,3624,3624,3624,3624,0,ARM
2011-04-22,3858,3858,3391,3391,2600,ARM
2011-04-25,3650,3650,3417,3417,200,ARM
2011-04-26,3780,3780,3366,3366,600,ARM
2011-04-27,3288,3288,3288,3288,100,ARM
2011-04-28,3366,3366,3366,3366,100,ARM
2011-04-29,3158,3158,3158,3158,100,ARM
2011-05-04,3107,3107,3107,3107,200,ARM
2011-05-05,3133,3288,3133,3236,4000,ARM
2011-05-06,3314,3314,3314,3314,100,ARM
2011-05-09,3314,3314,3314,3314,0,ARM
2011-05-10,3158,3158,3158,3158,2000,ARM
2011-05-11,3055,3055,3055,3055,2000,ARM
2011-05-12,3262,3262,3236,3236,200,ARM
2011-05-13,3366,3366,3366,3366,300,ARM
2011-05-16,3366,3366,3366,3366,0,ARM
2011-05-17,3184,3184,3133,3133,6100,ARM
2011-05-18,2951,2951,2951,2951,100,ARM
2011-05-19,3133,3133,3133,3133,100,ARM
2011-05-20,3314,3314,3314,3314,200,ARM
2011-05-23,3107,3469,3107,3107,12700,ARM
2011-05-24,2899,3314,2899,3314,3200,ARM
2011-05-25,3469,3469,3469,3469,300,ARM
2011-05-26,3702,3702,3340,3340,1000,ARM
2011-05-27,3184,3314,3184,3314,600,ARM
2011-05-30,3133,3133,3081,3081,200,ARM
2011-05-31,2925,3314,2925,3314,9600,ARM
2011-06-01,3521,3521,3469,3521,1400,ARM
2011-06-02,3728,3728,3728,3728,4200,ARM
2011-06-03,3495,3521,3469,3495,9100,ARM
2011-06-06,3728,3728,3521,3547,2500,ARM
2011-06-07,3547,3832,3521,3832,20500,ARM
2011-06-08,3832,3832,3832,3832,200,ARM
2011-06-09,3883,3987,3883,3987,1800,ARM
2011-06-10,4194,4220,3702,3702,4800,ARM
2011-06-13,4116,4116,3858,3858,2600,ARM
2011-06-14,3806,3806,3806,3806,2000,ARM
2011-06-15,3624,3624,3547,3547,2100,ARM
2011-06-16,3573,3573,3573,3573,0,ARM
2011-06-17,3624,3676,3521,3521,9400,ARM
2011-06-20,3573,3573,3495,3573,3800,ARM
2011-06-21,3521,3624,3521,3624,700,ARM
2011-06-22,3676,3754,3676,3676,16000,ARM
2011-06-23,3754,3832,3624,3624,6000,ARM
2011-06-24,3676,3676,3624,3624,1500,ARM
2011-06-27,3780,3780,3676,3780,7200,ARM
2011-06-28,3806,3806,3624,3624,1600,ARM
2011-06-29,3964,3964,3664,3694,4700,ARM
2011-06-30,3604,3604,3514,3514,600,ARM
2011-07-01,3363,3363,3363,3363,1700,ARM
2011-07-04,3303,3303,3153,3153,5100,ARM
2011-07-05,3183,3303,3183,3183,4300,ARM
2011-07-06,3123,3303,3123,3303,1100,ARM
2011-07-07,3303,3303,3213,3213,1300,ARM
2011-07-08,3213,3213,3213,3213,0,ARM
2011-07-11,3273,3273,3243,3243,7200,ARM
2011-07-12,3273,3273,3183,3273,17500,ARM
2011-07-13,3454,3454,3243,3273,4400,ARM
2011-07-14,3454,3454,3454,3454,100,ARM
2011-07-15,3243,3243,3213,3213,9000,ARM
2011-07-18,3213,3243,3213,3243,800,ARM
2011-07-19,3243,3273,3243,3243,11000,ARM
