time,open,high,low,close,volume,ticker
2020-09-24,29968,29968,29968,29968,2010,ASG
2020-09-25,32049,32049,32049,32049,4260,ASG
2020-09-28,34255,34255,34255,34255,91910,ASG
2020-09-29,36628,36628,36628,36628,152000,ASG
2020-09-30,39167,39167,39167,39167,86000,ASG
2020-10-01,41872,41872,41623,41872,137410,ASG
2020-10-02,44786,44786,44120,44786,195430,ASG
2020-10-05,42122,44703,41706,41706,78970,ASG
2020-10-06,38792,38792,38792,38792,24970,ASG
2020-10-07,36087,36087,36087,36087,18770,ASG
2020-10-08,33589,38459,33589,36628,181260,ASG
2020-10-09,36628,36628,34713,35795,32000,ASG
2020-10-12,33631,35296,33631,34380,24370,ASG
2020-10-13,34880,34963,33381,33797,27690,ASG
2020-10-14,33797,34130,32882,33964,33750,ASG
2020-10-15,33298,33964,32715,33797,53710,ASG
2020-10-16,33048,33964,33048,33964,16690,ASG
2020-10-19,34130,34130,33131,33964,18310,ASG
2020-10-20,33881,34047,33298,34047,14390,ASG
2020-10-21,33423,33714,31800,31800,45310,ASG
2020-10-22,31633,32882,31633,32382,18330,ASG
2020-10-23,32798,33215,32465,32465,7420,ASG
2020-10-26,32465,32882,31883,31883,10150,ASG
2020-10-27,31883,31966,31467,31966,13570,ASG
2020-10-28,31966,31966,30384,30384,16330,ASG
2020-10-29,29552,30967,29302,30634,21600,ASG
2020-10-30,30925,31092,29968,29968,4960,ASG
2020-11-02,29718,30801,29718,30135,9800,ASG
2020-11-03,30218,30717,30218,30384,3390,ASG
2020-11-04,30801,30801,30384,30384,4900,ASG
2020-11-05,30384,30717,30301,30551,6410,ASG
2020-11-06,30801,30801,30759,30801,1780,ASG
2020-11-09,30884,30967,29552,29552,23670,ASG
2020-11-10,31092,31092,29552,30634,14890,ASG
2020-11-11,30634,30634,30218,30384,4610,ASG
2020-11-12,30135,30634,29968,30384,22210,ASG
2020-11-13,30384,30384,29718,29802,21520,ASG
2020-11-16,29302,29802,29302,29802,26620,ASG
2020-11-17,30384,30384,29552,29552,8720,ASG
2020-11-18,30384,30384,29718,29968,7050,ASG
2020-11-19,29968,29968,29552,29885,10150,ASG
2020-11-20,29552,29968,29552,29802,6270,ASG
2020-11-23,29802,29968,29552,29552,17290,ASG
2020-11-24,29885,29968,29635,29968,20870,ASG
2020-11-25,29968,29968,29552,29968,18240,ASG
2020-11-26,29552,29885,29469,29635,13970,ASG
2020-11-27,29635,29802,29510,29718,3660,ASG
2020-11-30,29718,30010,29635,29718,22420,ASG
2020-12-01,29926,30468,29718,30051,20050,ASG
2020-12-02,30093,30468,30093,30384,12880,ASG
2020-12-03,31217,32507,31134,32507,29660,ASG
2020-12-04,34547,34547,32882,32882,31430,ASG
2020-12-07,32882,33298,31633,32049,6030,ASG
2020-12-08,32049,32882,31467,31467,6820,ASG
2020-12-09,33298,33298,30801,30967,15570,ASG
2020-12-10,30884,31633,30884,31550,7660,ASG
2020-12-11,30801,31633,30801,30884,5730,ASG
2020-12-14,31050,31800,30801,30967,10680,ASG
2020-12-15,30967,31883,30967,31050,13480,ASG
2020-12-16,31633,32465,31134,31134,37240,ASG
2020-12-17,31217,31800,31050,31217,33210,ASG
2020-12-18,31633,32132,31217,31383,23940,ASG
2020-12-21,31383,31633,31217,31383,14200,ASG
2020-12-22,31550,32882,31550,32715,39180,ASG
2020-12-23,33298,33298,32299,32882,12320,ASG
2020-12-24,32882,35129,31217,35129,41340,ASG
2020-12-25,33298,35213,33298,34880,92280,ASG
2020-12-28,34963,34963,32882,34130,13370,ASG
2020-12-29,34047,34630,33298,34130,16380,ASG
2020-12-30,33298,33714,32882,32882,3090,ASG
2020-12-31,32882,33298,32049,32882,7250,ASG
2021-01-04,32882,32882,32465,32465,15200,ASG
2021-01-05,32465,32798,31883,32049,9200,ASG
2021-01-06,32049,32382,31966,31966,6900,ASG
2021-01-07,32049,32049,31716,31800,11100,ASG
2021-01-08,31800,32049,31467,31550,33500,ASG
2021-01-11,31550,31800,31134,31134,29600,ASG
2021-01-12,31134,32465,31134,32465,24600,ASG
2021-01-13,32049,32216,31966,32132,31400,ASG
2021-01-14,32174,32216,31966,31966,8100,ASG
2021-01-15,31966,32216,31966,31966,5100,ASG
2021-01-18,31966,32049,31300,31550,53900,ASG
2021-01-19,31633,31633,30801,30967,37900,ASG
2021-01-20,30967,30967,30717,30801,5500,ASG
2021-01-21,32049,32049,30801,31800,600,ASG
2021-01-22,31800,31800,30884,31050,7200,ASG
2021-01-25,30801,31134,30634,30634,29700,ASG
2021-01-26,31134,31550,30717,30717,7500,ASG
2021-01-27,30634,30717,30218,30218,16100,ASG
2021-01-28,29968,30717,28137,28220,20600,ASG
2021-01-29,28220,30176,28220,30135,1700,ASG
2021-02-01,30135,30135,29136,29552,5500,ASG
2021-02-02,29177,29552,28969,29552,7100,ASG
2021-02-03,29302,29302,29052,29052,7200,ASG
2021-02-04,29052,29136,29052,29052,8200,ASG
2021-02-05,29052,29052,29052,29052,0,ASG
2021-02-08,29052,29052,28803,28803,1600,ASG
2021-02-09,28803,29968,28803,29968,1600,ASG
2021-02-17,29219,30717,29219,29219,4500,ASG
2021-02-18,29219,30051,29219,30051,4000,ASG
2021-02-19,29635,30301,29635,30301,11600,ASG
2021-02-22,29968,30301,29968,30051,6700,ASG
2021-02-23,30051,30218,29552,29552,1600,ASG
2021-02-24,29718,30135,29552,29593,2300,ASG
2021-02-25,29552,29968,29427,29427,1000,ASG
2021-02-26,29427,29427,29427,29427,1300,ASG
2021-03-01,29219,29552,29219,29302,2500,ASG
2021-03-02,29552,29968,29302,29718,9500,ASG
2021-03-03,31550,31550,29802,30551,6300,ASG
2021-03-04,31217,31217,30384,30551,3600,ASG
2021-03-05,30551,30634,30468,30551,6300,ASG
2021-03-08,30801,31633,30801,30967,6900,ASG
2021-03-09,30967,31217,30801,31217,4200,ASG
2021-03-10,30884,31217,30884,30884,1100,ASG
2021-03-11,30634,30801,30634,30759,19500,ASG
2021-03-12,30759,30801,29968,29968,24200,ASG
2021-03-15,31467,31467,30218,30218,3200,ASG
2021-03-16,30218,30218,30218,30218,3500,ASG
2021-03-17,30218,30218,29968,30051,2400,ASG
2021-03-18,30051,30051,29885,29885,800,ASG
2021-03-19,29968,30051,29968,29968,3300,ASG
2021-03-22,29968,30051,29968,30051,4000,ASG
2021-03-23,30135,31050,30051,30884,10300,ASG
2021-03-24,30801,30801,30384,30384,1100,ASG
2021-03-25,29968,30801,29885,30468,2100,ASG
2021-03-26,29968,30468,29635,29635,2000,ASG
2021-03-29,31009,31009,29802,30384,17300,ASG
2021-03-30,30051,30051,29552,29552,18800,ASG
2021-03-31,29552,30384,29552,29635,600,ASG
2021-04-01,30384,30384,29635,30218,3200,ASG
2021-04-02,30218,30384,29968,29968,3100,ASG
2021-04-05,29802,30051,29718,30051,14700,ASG
2021-04-06,29885,29968,29843,29843,20100,ASG
2021-04-07,29885,29885,29885,29885,2900,ASG
2021-04-08,29802,30135,29802,30135,3900,ASG
2021-04-09,29802,29968,29802,29968,5400,ASG
2021-04-12,29968,29968,29718,29885,11500,ASG
2021-04-13,29885,29885,29593,29635,6000,ASG
2021-04-14,29635,29968,29635,29718,1600,ASG
2021-04-15,29885,29885,29302,29635,1700,ASG
2021-04-16,29469,29635,29302,29385,4200,ASG
2021-04-19,29385,29385,29302,29302,400,ASG
2021-04-20,29136,29136,28470,29136,4700,ASG
2021-04-22,29136,29136,28303,29052,500,ASG
2021-04-23,29052,29136,28553,28803,9200,ASG
2021-04-26,29136,29136,28719,28719,8000,ASG
2021-04-27,28803,29219,28803,28803,21100,ASG
2021-04-28,28803,29635,28803,29302,29100,ASG
2021-04-29,29219,29635,29219,29385,36100,ASG
2021-05-07,26971,29469,26971,29469,31200,ASG
2021-05-10,29385,29968,29385,29968,50610,ASG
2021-05-11,30051,30634,29968,30634,32030,ASG
2021-05-12,30717,30884,30634,30884,30393,ASG
2021-05-13,30884,30967,29968,30801,32221,ASG
2021-05-14,30634,32465,30634,32465,54069,ASG
2021-05-17,32132,32465,31883,32299,31900,ASG
2021-05-18,32299,32299,31633,32132,33031,ASG
2021-05-19,32132,32382,32049,32382,30320,ASG
2021-05-20,32299,32299,31134,31966,31053,ASG
2021-05-21,32132,32382,30801,31633,30383,ASG
2021-05-24,31716,31883,30634,31633,30500,ASG
2021-05-25,31633,31883,30801,31633,34570,ASG
