time,open,high,low,close,volume,ticker
2010-01-18,4584,4584,4584,4584,20,ASM
2010-01-19,4805,4805,4584,4805,568020,ASM
2010-01-20,5027,5027,4926,5027,851420,ASM
2010-01-21,4795,5027,4775,4775,82850,ASM
2010-01-22,4554,4775,4544,4544,53790,ASM
2010-01-25,4333,4524,4323,4323,282170,ASM
2010-01-26,4524,4534,4423,4534,234520,ASM
2010-01-27,4524,4564,4313,4313,99920,ASM
2010-01-28,4122,4373,4102,4102,128550,ASM
2010-01-29,4122,4283,4021,4132,164580,ASM
2010-02-01,4313,4333,4172,4333,220350,ASM
2010-02-02,4333,4413,4323,4373,132820,ASM
2010-02-03,4474,4474,4212,4413,97840,ASM
2010-02-04,4272,4423,4212,4313,190520,ASM
2010-02-05,4303,4323,4132,4132,170490,ASM
2010-02-08,4071,4202,4071,4142,59280,ASM
2010-02-09,4152,4152,4021,4021,92620,ASM
2010-02-10,4021,4172,4021,4071,114650,ASM
2010-02-11,4232,4242,4142,4222,112040,ASM
2010-02-12,4303,4303,4172,4222,32140,ASM
2010-02-22,4222,4222,4132,4132,19630,ASM
2010-02-23,4031,4122,4021,4021,71860,ASM
2010-02-24,4021,4021,3961,4011,75910,ASM
2010-02-25,4041,4081,4001,4001,58350,ASM
2010-02-26,3951,4142,3951,4071,68490,ASM
2010-03-01,4112,4272,4071,4272,215690,ASM
2010-03-02,4323,4353,4222,4222,320050,ASM
2010-03-03,4222,4222,4172,4222,120820,ASM
2010-03-04,4343,4373,4232,4232,74290,ASM
2010-03-05,4272,4272,4192,4222,249300,ASM
2010-03-08,4343,4433,4323,4413,574210,ASM
2010-03-09,4413,4564,4413,4554,473180,ASM
2010-03-10,4574,4775,4524,4775,553330,ASM
2010-03-11,4735,4775,4655,4655,326190,ASM
2010-03-12,4644,4725,4564,4675,335020,ASM
2010-03-15,4725,4725,4574,4604,211350,ASM
2010-03-16,4604,4725,4474,4474,471610,ASM
2010-03-17,4604,4604,4474,4524,359260,ASM
2010-03-18,4524,4584,4504,4554,289230,ASM
2010-03-19,4624,4624,4524,4564,200440,ASM
2010-03-22,4574,4614,4423,4574,204900,ASM
2010-03-23,4584,4584,4443,4443,119920,ASM
2010-03-24,4514,4524,4423,4524,150090,ASM
2010-03-25,4423,4494,4323,4333,173360,ASM
2010-03-26,4313,4403,4222,4383,182010,ASM
2010-03-29,4393,4403,4323,4333,123290,ASM
2010-03-30,4393,4423,4313,4313,187620,ASM
2010-03-31,4313,4313,4102,4102,299060,ASM
2010-04-01,4212,4303,4212,4303,161980,ASM
2010-04-02,4423,4474,4323,4453,190520,ASM
2010-04-05,4453,4494,4413,4423,255610,ASM
2010-04-06,4423,4423,4343,4383,249140,ASM
2010-04-07,4413,4413,4323,4373,228040,ASM
2010-04-08,4373,4584,4373,4584,505970,ASM
2010-04-09,4805,4805,4624,4675,402130,ASM
2010-04-12,4675,4705,4474,4474,190850,ASM
2010-04-13,4474,4624,4474,4484,236280,ASM
2010-04-14,4484,4494,4423,4423,176410,ASM
2010-04-15,4474,4584,4453,4584,167100,ASM
2010-04-16,4604,4604,4524,4544,221200,ASM
2010-04-19,4624,4765,4584,4765,382960,ASM
2010-04-20,4996,4996,4926,4996,550550,ASM
2010-04-21,5177,5228,4966,5177,819080,ASM
2010-04-22,5177,5228,4926,4926,358790,ASM
2010-04-26,4926,4936,4856,4856,388300,ASM
2010-04-27,4835,5077,4825,4926,243450,ASM
2010-04-28,4926,5077,4916,5077,330390,ASM
2010-04-29,5127,5328,5127,5328,544560,ASM
2010-05-04,5579,5579,5429,5579,456620,ASM
2010-05-05,5781,5831,5630,5831,584740,ASM
2010-05-06,5982,6032,5781,5881,493650,ASM
2010-05-07,5680,6082,5630,6032,837440,ASM
2010-05-10,6183,6183,5730,5730,293460,ASM
2010-05-11,5982,5982,5831,5881,357570,ASM
2010-05-12,5730,5931,5680,5881,564900,ASM
2010-05-13,5831,5881,5630,5630,298350,ASM
