time,open,high,low,close,volume,ticker
2004-03-15,16402,16402,16402,16402,75140,BBT
2004-03-16,17161,17161,17161,17161,116300,BBT
2004-03-17,17161,17161,16326,16326,147620,BBT
2004-03-18,15566,15566,15566,15566,108870,BBT
2004-03-19,15946,15946,15946,15946,82610,BBT
2004-03-22,15566,15566,15263,15263,28380,BBT
2004-03-23,14503,14503,14503,14503,33320,BBT
2004-03-24,14124,14124,14124,14124,63240,BBT
2004-03-25,14807,14807,14807,14807,39450,BBT
2004-03-26,15414,15414,15187,15187,41440,BBT
2004-03-29,15566,15566,15187,15187,21050,BBT
2004-03-30,15035,15035,14427,14427,23690,BBT
2004-03-31,14427,14427,14427,14427,10210,BBT
2004-04-01,14503,14959,14503,14959,11350,BBT
2004-04-02,14503,14503,14503,14503,11270,BBT
2004-04-05,14275,14351,14275,14351,17200,BBT
2004-04-06,14351,14427,14351,14427,12590,BBT
2004-04-07,14579,14579,14427,14427,16430,BBT
2004-04-08,14427,14427,14427,14427,12450,BBT
2004-04-09,14200,14200,14200,14200,5870,BBT
2004-04-12,14200,14200,14124,14124,4400,BBT
2004-04-13,13972,13972,13896,13896,12710,BBT
2004-04-14,13668,13820,13668,13820,14800,BBT
2004-04-15,13896,13896,13744,13744,23900,BBT
2004-04-16,13820,13820,13744,13744,33320,BBT
2004-04-19,13060,13060,13060,13060,34720,BBT
2004-04-20,12529,12833,12529,12833,45470,BBT
2004-04-21,12757,12909,12757,12909,35740,BBT
2004-04-22,12909,12909,12757,12757,14580,BBT
2004-04-23,12453,12453,12377,12377,71280,BBT
2004-04-26,11997,12149,11997,12149,84220,BBT
2004-04-27,12149,12149,12149,12149,59230,BBT
2004-04-28,12149,12149,12149,12149,15050,BBT
2004-04-29,12225,12225,12225,12225,13550,BBT
2004-05-04,12149,12149,12149,12149,21440,BBT
2004-05-05,12149,12149,12149,12149,29450,BBT
2004-05-06,11997,11997,11846,11846,46300,BBT
2004-05-07,11694,11770,11694,11770,29580,BBT
2004-05-10,11542,11618,11542,11618,50840,BBT
2004-05-11,11390,11390,11390,11390,32280,BBT
2004-05-12,11542,11694,11542,11694,21800,BBT
2004-05-13,11997,11997,11921,11921,12220,BBT
2004-05-14,11921,11921,11921,11921,8400,BBT
2004-05-17,11921,11921,11694,11694,12290,BBT
2004-05-18,11694,11694,11618,11618,11190,BBT
2004-05-19,11542,11618,11542,11618,23610,BBT
2004-05-20,11618,11618,11542,11542,20170,BBT
2004-05-21,11466,11466,11466,11466,14980,BBT
2004-05-24,11390,11390,11162,11162,16550,BBT
2004-05-25,10631,10631,10631,10631,62380,BBT
2004-05-26,10631,10631,10631,10631,31920,BBT
2004-05-27,10403,10403,10327,10327,95900,BBT
2004-05-28,10327,10479,10327,10479,56780,BBT
2004-05-31,10934,10934,10934,10934,43750,BBT
2004-06-01,11238,11314,11238,11314,55100,BBT
2004-06-02,11238,11238,11010,11010,8020,BBT
2004-06-03,10934,10934,10934,10934,23340,BBT
2004-06-04,10706,10858,10706,10858,29530,BBT
2004-06-07,10858,10858,10782,10782,7460,BBT
2004-06-08,10631,10782,10631,10782,33040,BBT
2004-06-09,10934,11010,10934,11010,44690,BBT
2004-06-10,11086,11086,11086,11086,10140,BBT
2004-06-11,11086,11086,11086,11086,41850,BBT
2004-06-14,11314,11618,11314,11618,41560,BBT
2004-06-15,11694,11694,11618,11618,12190,BBT
2004-06-16,11390,11390,11390,11390,45950,BBT
2004-06-17,11314,11314,11238,11238,3030,BBT
2004-06-18,11390,11390,11238,11238,12420,BBT
2004-06-21,11390,11542,11390,11542,25290,BBT
2004-06-22,11542,11542,11390,11390,66010,BBT
2004-06-23,11314,11390,11314,11390,9880,BBT
2004-06-24,11542,11542,11466,11466,36040,BBT
2004-06-25,11238,11390,11238,11390,26300,BBT
2004-06-28,11390,11390,11390,11390,26730,BBT
2004-06-29,11314,11314,11314,11314,10760,BBT
2004-06-30,11466,11466,11314,11314,19360,BBT
2004-07-01,11314,11314,11162,11162,26230,BBT
2004-07-02,11162,11162,11162,11162,18500,BBT
2004-07-05,11238,11238,11162,11162,13420,BBT
2004-07-06,11162,11162,10934,10934,47160,BBT
