time,open,high,low,close,volume,ticker
2010-06-28,5498,5957,5498,5498,267360,BCE
2010-06-29,5246,5498,5246,5384,218580,BCE
2010-06-30,5155,5613,5155,5315,50850,BCE
2010-07-01,5384,5384,5269,5315,42290,BCE
2010-07-02,5544,5544,5269,5292,75300,BCE
2010-07-05,5292,5292,5155,5155,146120,BCE
2010-07-06,4994,5155,4994,5086,205610,BCE
2010-07-07,5200,5338,5200,5338,270100,BCE
2010-07-08,5269,5475,5269,5269,92340,BCE
2010-07-09,5269,5453,5269,5269,55680,BCE
2010-07-12,5246,5384,5200,5269,34180,BCE
2010-07-13,5338,5361,5223,5292,75450,BCE
2010-07-14,5292,5453,5269,5269,215360,BCE
2010-07-15,5269,5361,5200,5200,67810,BCE
2010-07-16,5200,5269,5155,5200,68940,BCE
2010-07-19,5269,5269,5040,5040,133750,BCE
2010-07-20,5040,5155,5040,5063,307260,BCE
2010-07-21,5315,5315,5269,5315,194100,BCE
2010-07-22,5567,5567,5384,5407,303780,BCE
2010-07-23,5407,5407,5269,5292,88960,BCE
2010-07-26,5155,5292,5132,5132,41650,BCE
2010-07-27,5246,5246,5086,5132,81520,BCE
2010-07-28,5109,5132,4880,4880,181470,BCE
2010-07-29,4834,4880,4719,4880,116100,BCE
2010-07-30,5017,5109,4880,4903,46130,BCE
2010-08-02,4994,4994,4834,4834,19310,BCE
2010-08-03,4834,4926,4811,4811,43080,BCE
2010-08-04,4765,4811,4674,4719,47020,BCE
2010-08-05,4696,4788,4674,4696,43000,BCE
2010-08-06,4696,4719,4582,4582,55420,BCE
2010-08-09,4559,4582,4399,4421,48850,BCE
2010-08-10,4353,4421,4215,4215,91510,BCE
2010-08-11,4124,4330,4124,4330,39330,BCE
2010-08-12,4169,4330,4124,4124,74160,BCE
2010-08-13,4009,4238,4009,4124,38500,BCE
2010-08-16,4261,4330,4238,4330,47320,BCE
2010-08-17,4330,4353,4169,4330,75650,BCE
2010-08-18,4353,4353,4192,4192,8210,BCE
2010-08-19,4147,4215,4101,4124,17250,BCE
