time,open,high,low,close,volume,ticker
2010-01-29,3228,3228,2367,2367,5300,BDB
2010-02-01,2561,2561,2324,2324,700,BDB
2010-02-02,2539,2539,2539,2539,700,BDB
2010-02-03,2583,2583,2583,2583,1000,BDB
2010-02-04,2583,2583,2583,2583,1000,BDB
2010-02-05,2583,2583,2583,2583,0,BDB
2010-02-08,2410,2410,2410,2410,300,BDB
2010-02-09,2410,2410,2410,2410,0,BDB
2010-02-10,2410,2410,2410,2410,0,BDB
2010-02-11,2539,2539,2539,2539,300,BDB
2010-02-12,2539,2539,2539,2539,0,BDB
2010-02-22,2539,2539,2539,2539,0,BDB
2010-02-23,2539,2539,2539,2539,0,BDB
2010-02-24,2367,2367,2367,2367,100,BDB
2010-02-25,2367,2367,2367,2367,0,BDB
2010-02-26,2367,2367,2367,2367,0,BDB
2010-03-01,2260,2260,2260,2260,100,BDB
2010-03-02,2152,2152,2152,2152,200,BDB
2010-03-03,2001,2001,2001,2001,300,BDB
2010-03-04,2001,2001,2001,2001,0,BDB
2010-03-05,2001,2001,2001,2001,0,BDB
2010-03-08,2001,2001,2001,2001,100,BDB
2010-03-09,2001,2130,1915,1915,2200,BDB
2010-03-10,1937,1937,1937,1937,0,BDB
2010-03-11,2066,2066,2066,2066,2000,BDB
2010-03-12,2066,2066,2066,2066,0,BDB
2010-03-15,2130,2130,2130,2130,1500,BDB
2010-03-16,2152,2152,2152,2152,1600,BDB
2010-03-17,2174,2174,2174,2174,300,BDB
2010-03-18,2174,2174,2174,2174,400,BDB
2010-03-19,2174,2174,2174,2174,0,BDB
2010-03-22,2174,2174,2174,2174,0,BDB
2010-03-23,2174,2174,2174,2174,0,BDB
2010-03-24,2174,2174,2174,2174,100,BDB
2010-03-25,2174,2174,2174,2174,0,BDB
2010-03-26,2174,2174,2174,2174,0,BDB
2010-03-29,2023,2023,2023,2023,2000,BDB
2010-03-30,2023,2023,2023,2023,0,BDB
2010-03-31,2152,2152,2152,2152,1500,BDB
2010-04-01,2152,2152,2152,2152,500,BDB
2010-04-02,2001,2001,2001,2001,200,BDB
2010-04-05,2130,2130,2130,2130,1000,BDB
2010-04-06,2260,2260,2152,2152,400,BDB
2010-04-07,2174,2174,2174,2174,0,BDB
2010-04-08,2152,2152,2152,2152,500,BDB
2010-04-09,2152,2152,2152,2152,0,BDB
2010-04-12,2152,2152,2023,2023,1100,BDB
2010-04-13,2044,2044,2044,2044,400,BDB
2010-04-14,2023,2023,1958,2001,3100,BDB
2010-04-15,1958,1980,1958,1958,4000,BDB
2010-04-16,1958,1980,1958,1980,6000,BDB
2010-04-19,2109,2109,2109,2109,5300,BDB
2010-04-20,2238,2238,2152,2238,13000,BDB
2010-04-21,2346,2346,2346,2346,21000,BDB
2010-04-22,2496,2496,2195,2453,6500,BDB
2010-04-26,2152,2410,2152,2410,300,BDB
2010-04-27,2410,2410,2195,2195,7200,BDB
2010-04-28,2195,2195,2152,2152,2700,BDB
2010-04-29,2109,2109,2109,2109,100,BDB
2010-05-04,2238,2238,2152,2238,13800,BDB
2010-05-05,2217,2217,2217,2217,2000,BDB
2010-05-06,2367,2367,2346,2367,8200,BDB
2010-05-07,2518,2518,2518,2518,12300,BDB
2010-05-10,2690,2690,2690,2690,6200,BDB
2010-05-11,2862,2862,2862,2862,5600,BDB
2010-05-12,3056,3056,2690,2905,21900,BDB
2010-05-13,2798,2798,2776,2776,4600,BDB
2010-05-14,2583,2583,2583,2583,5000,BDB
2010-05-17,2432,2583,2432,2432,2800,BDB
2010-05-18,2324,2367,2324,2367,1900,BDB
2010-05-19,2475,2475,2475,2475,500,BDB
2010-05-20,2626,2647,2626,2647,4100,BDB
2010-05-21,2475,2539,2475,2475,5500,BDB
2010-05-24,2583,2583,2583,2583,100,BDB
2010-05-25,2583,2583,2583,2583,0,BDB
2010-05-26,2583,2583,2583,2583,0,BDB
2010-05-27,2410,2432,2410,2432,3200,BDB
2010-05-28,2561,2561,2475,2475,3800,BDB
2010-05-31,2583,2647,2583,2647,5200,BDB
2010-06-01,2798,2798,2712,2712,1100,BDB
2010-06-02,2884,2884,2690,2690,700,BDB
2010-06-03,2884,2884,2539,2539,2400,BDB
2010-06-04,2690,2690,2410,2410,300,BDB
2010-06-07,2367,2367,2367,2367,2400,BDB
2010-06-08,2281,2281,2217,2217,5200,BDB
2010-06-09,2260,2367,2260,2367,400,BDB
2010-06-10,2217,2367,2152,2367,2700,BDB
2010-06-11,2281,2281,2281,2281,0,BDB
2010-06-14,2389,2389,2389,2389,100,BDB
2010-06-15,2496,2496,2432,2432,1100,BDB
2010-06-16,2324,2324,2324,2324,800,BDB
2010-06-17,2324,2324,2324,2324,0,BDB
2010-06-18,2432,2432,2432,2432,500,BDB
2010-06-21,2496,2496,2367,2432,4800,BDB
2010-06-22,2496,2496,2432,2453,1000,BDB
2010-06-23,2475,2475,2367,2367,700,BDB
2010-06-24,2604,2604,2561,2561,1300,BDB
2010-06-25,2583,2583,2432,2432,1500,BDB
2010-06-28,2324,2324,2324,2324,1000,BDB
2010-06-29,2367,2367,2367,2367,1100,BDB
2010-06-30,2367,2367,2367,2367,0,BDB
2010-07-01,2281,2281,2281,2281,300,BDB
2010-07-02,2367,2410,2367,2410,700,BDB
2010-07-05,2475,2518,2475,2496,5900,BDB
2010-07-06,2453,2453,2453,2453,500,BDB
2010-07-07,2453,2453,2453,2453,0,BDB
2010-07-08,2453,2453,2453,2453,0,BDB
2010-07-09,2367,2518,2367,2518,500,BDB
2010-07-12,2410,2475,2410,2475,1300,BDB
2010-07-13,2324,2583,2324,2583,1000,BDB
2010-07-14,2583,2583,2583,2583,2200,BDB
2010-07-15,2583,2583,2583,2583,3000,BDB
2010-07-16,2583,2583,2583,2583,2300,BDB
2010-07-19,2539,2604,2475,2583,5400,BDB
2010-07-20,2604,2733,2604,2626,8600,BDB
2010-07-21,2647,2669,2647,2647,900,BDB
2010-07-22,2604,2604,2583,2583,1000,BDB
2010-07-23,2561,2626,2561,2626,1100,BDB
2010-07-26,2518,2518,2518,2518,300,BDB
2010-07-27,2583,2583,2583,2583,600,BDB
2010-07-28,2669,2669,2669,2669,100,BDB
2010-07-29,2669,2669,2669,2669,0,BDB
2010-07-30,2669,2669,2647,2647,800,BDB
2010-08-02,2669,2669,2669,2669,0,BDB
2010-08-03,2647,2647,2647,2647,500,BDB
2010-08-04,2647,2647,2647,2647,0,BDB
2010-08-05,2647,2647,2647,2647,0,BDB
2010-08-06,2475,2475,2475,2475,2200,BDB
2010-08-09,2367,2367,2367,2367,400,BDB
2010-08-10,2260,2260,2238,2238,1500,BDB
2010-08-11,2152,2174,2152,2174,200,BDB
2010-08-12,2152,2152,2109,2130,2600,BDB
2010-08-13,2109,2260,2087,2260,2900,BDB
2010-08-16,2238,2238,2238,2238,400,BDB
2010-08-17,2238,2238,2238,2238,0,BDB
2010-08-18,2324,2324,2324,2324,100,BDB
2010-08-19,2324,2324,2324,2324,0,BDB
2010-08-20,2324,2324,2324,2324,0,BDB
2010-08-23,2195,2195,2174,2174,300,BDB
2010-08-24,2195,2195,2195,2195,0,BDB
2010-08-25,2066,2066,2044,2044,1000,BDB
