time,open,high,low,close,volume,ticker
2016-04-06,4874,4874,4874,4874,0,BDG
2016-04-07,4874,4874,4874,4874,0,BDG
2016-04-08,4874,4874,4874,4874,0,BDG
2016-04-11,2924,2924,2924,2924,900,BDG
2016-04-12,2924,2924,2924,2924,0,BDG
2016-04-13,2924,2924,2924,2924,0,BDG
2016-04-14,3352,3352,3352,3352,100,BDG
2016-04-15,3352,3352,3352,3352,0,BDG
2016-04-19,3685,3685,3685,3685,400,BDG
2016-04-20,3685,3685,3685,3685,300,BDG
2016-04-21,3923,3923,3923,3923,200,BDG
2016-04-22,3923,3923,3923,3923,0,BDG
2016-04-25,3804,3804,3804,3804,200,BDG
2016-04-26,3780,3780,3566,3566,3300,BDG
2016-04-27,3566,3590,3566,3590,1700,BDG
2016-04-28,3566,3566,3566,3566,0,BDG
2016-04-29,3804,4090,3804,4090,1600,BDG
2016-05-04,4565,4565,4565,4565,700,BDG
2016-05-05,4565,4565,4565,4565,0,BDG
2016-05-06,4565,4565,4565,4565,0,BDG
2016-05-09,5231,5231,5231,5231,100,BDG
2016-05-10,5231,5231,5231,5231,0,BDG
2016-05-11,5231,5255,5231,5231,3100,BDG
2016-05-12,5255,5255,5231,5231,1700,BDG
2016-05-13,5350,5469,5350,5469,3800,BDG
2016-05-16,5588,6063,5588,6063,14300,BDG
2016-05-17,6182,6182,6182,6182,6700,BDG
2016-05-18,6182,6182,6182,6182,1300,BDG
2016-05-19,6182,6182,6182,6182,1400,BDG
2016-05-20,6182,6301,6182,6301,500,BDG
2016-05-23,6182,6182,6182,6182,2200,BDG
2016-05-24,6182,6182,6182,6182,2400,BDG
2016-05-25,6182,6182,6182,6182,0,BDG
2016-05-26,6182,6301,6182,6182,6700,BDG
2016-05-27,6301,6301,6301,6301,2500,BDG
2016-05-30,6301,6301,6301,6301,0,BDG
2016-05-31,6301,6301,6301,6301,0,BDG
2016-06-01,6230,6230,6230,6230,700,BDG
2016-06-02,6230,6230,6230,6230,0,BDG
2016-06-03,6206,6206,6206,6206,1700,BDG
2016-06-06,6301,6301,6301,6301,2700,BDG
2016-06-07,6301,6301,6301,6301,0,BDG
2016-06-08,6301,6301,6301,6301,0,BDG
2016-06-09,6230,6230,6230,6230,100,BDG
2016-06-10,6230,6230,6230,6230,0,BDG
2016-06-13,6206,6206,6206,6206,600,BDG
2016-06-14,6206,6206,6206,6206,0,BDG
2016-06-15,6206,6206,6206,6206,0,BDG
2016-06-16,6206,6206,6206,6206,0,BDG
2016-06-17,6444,6444,6444,6444,500,BDG
2016-06-20,6444,6444,6444,6444,0,BDG
2016-06-21,6444,6444,6444,6444,0,BDG
2016-06-22,6301,6301,6301,6301,100,BDG
2016-06-23,6420,6420,6420,6420,2200,BDG
2016-06-24,5469,5469,5469,5469,300,BDG
2016-06-27,6277,6277,6277,6277,100,BDG
2016-06-28,6420,6420,6420,6420,200,BDG
2016-06-29,6420,6420,6420,6420,0,BDG
2016-06-30,6420,6420,6420,6420,0,BDG
2016-07-01,6420,6420,6420,6420,0,BDG
2016-07-04,6420,6420,6420,6420,0,BDG
2016-07-05,6420,6420,6420,6420,0,BDG
2016-07-06,6420,6420,6420,6420,0,BDG
2016-07-07,6491,6491,6491,6491,300,BDG
2016-07-08,6491,6491,6491,6491,0,BDG
