time,open,high,low,close,volume,ticker
2009-10-21,10103,10584,9622,9622,49000,BED
2009-10-22,9943,9943,9365,9365,18600,BED
2009-10-23,8756,8756,8756,8756,12500,BED
2009-10-26,8146,8146,8146,8146,100,BED
2009-10-27,7601,7601,7601,7601,100,BED
2009-10-28,7088,7088,7088,7088,17100,BED
2009-10-29,6607,6607,6607,6607,2600,BED
2009-10-30,6158,6607,6158,6158,57500,BED
2009-11-02,5741,5933,5741,5741,22600,BED
2009-11-03,5356,6126,5356,6126,16200,BED
2009-11-04,5997,5997,5997,5997,11000,BED
2009-11-05,6414,6414,6382,6414,9800,BED
2009-11-06,6863,6863,6511,6607,25100,BED
2009-11-09,6863,6863,6318,6318,5800,BED
2009-11-10,6735,6735,5933,5933,2300,BED
2009-11-11,6382,6382,5580,6094,800,BED
2009-11-12,6318,6318,5709,5709,2700,BED
2009-11-13,6254,6254,5773,5933,1200,BED
2009-11-16,5773,6318,5773,6318,1300,BED
2009-11-17,6382,6382,5677,5709,5000,BED
2009-11-18,6030,6030,5452,5869,3400,BED
2009-11-19,5869,5869,5388,5548,7400,BED
2009-11-20,5741,5741,5452,5452,1900,BED
2009-11-23,5292,5292,5292,5292,2000,BED
2009-11-24,5131,5131,5003,5035,8400,BED
2009-11-25,5420,5420,5420,5420,200,BED
2009-11-26,5613,5613,5067,5067,5300,BED
2009-11-27,4747,5228,4747,4811,4100,BED
2009-11-30,5131,5228,5131,5228,1300,BED
2009-12-01,5484,5548,5484,5516,7800,BED
2009-12-02,5805,5805,5164,5164,9800,BED
2009-12-03,5388,5388,4971,4971,9100,BED
2009-12-04,5292,5292,5292,5292,1400,BED
2009-12-07,5452,5452,5292,5292,1500,BED
2009-12-08,5292,5292,5292,5292,100,BED
2009-12-09,4971,4971,4939,4939,700,BED
2009-12-10,4650,4650,4650,4650,1100,BED
2009-12-11,4650,4650,4650,4650,500,BED
2009-12-14,4650,4650,4650,4650,0,BED
2009-12-15,4907,4939,4907,4939,4000,BED
2009-12-16,4586,4586,4586,4586,500,BED
2009-12-17,4650,4907,4650,4650,1200,BED
2009-12-18,4875,4875,4875,4875,500,BED
2009-12-21,5067,5067,5067,5067,200,BED
2009-12-22,5131,5260,5131,5260,7600,BED
2009-12-23,4907,4907,4907,4907,100,BED
2009-12-24,4907,5067,4907,5067,4900,BED
2009-12-25,5131,5131,5131,5131,400,BED
2009-12-28,4779,4779,4779,4779,1500,BED
2009-12-29,4490,5067,4458,5067,700,BED
2009-12-30,4843,4843,4811,4811,5000,BED
2009-12-31,4843,4843,4843,4843,0,BED
2010-01-04,4971,4971,4971,4971,2700,BED
2010-01-05,4650,5131,4650,5131,2000,BED
2010-01-06,5099,5292,5099,5260,10000,BED
2010-01-07,5164,5164,5164,5164,100,BED
2010-01-08,5164,5164,5164,5164,0,BED
2010-01-11,4971,4971,4811,4811,6100,BED
2010-01-12,4971,4971,4522,4522,2100,BED
2010-01-13,4682,4682,4682,4682,4600,BED
2010-01-14,4747,5003,4747,4971,3900,BED
2010-01-15,4971,4971,4971,4971,0,BED
2010-01-18,4971,4971,4971,4971,0,BED
2010-01-19,4682,4682,4682,4682,100,BED
2010-01-20,4939,5003,4811,4971,5700,BED
2010-01-21,4875,5067,4875,5067,2400,BED
2010-01-22,4907,4907,4907,4907,0,BED
2010-01-25,4971,5196,4586,5196,2700,BED
2010-01-26,4971,4971,4971,4971,0,BED
2010-01-27,4650,4650,4650,4650,7500,BED
2010-01-28,4971,4971,4971,4971,100,BED
2010-01-29,4811,4811,4811,4811,100,BED
2010-02-01,4811,4811,4811,4811,0,BED
2010-02-02,4650,4650,4490,4490,10000,BED
2010-02-03,4490,4490,4490,4490,0,BED
2010-02-04,4554,4747,4554,4747,1000,BED
2010-02-05,4330,4330,4330,4330,10000,BED
2010-02-08,4073,4073,4073,4073,100,BED
2010-02-09,4073,4073,4073,4073,0,BED
2010-02-10,3848,3848,3848,3848,100,BED
2010-02-11,3848,4105,3848,4105,600,BED
2010-02-12,3881,3881,3881,3881,0,BED
2010-02-22,3881,3881,3881,3881,400,BED
2010-02-23,3913,4137,3913,4137,300,BED
2010-02-24,4265,4265,4265,4265,700,BED
2010-02-25,4265,4265,4265,4265,0,BED
2010-02-26,4426,4426,4426,4426,100,BED
2010-03-01,4490,4490,4490,4490,200,BED
2010-03-02,4394,4490,4394,4394,900,BED
2010-03-03,4490,4490,4490,4490,1700,BED
2010-03-04,4779,4779,4747,4779,4100,BED
2010-03-05,4779,4779,4779,4779,0,BED
2010-03-08,4779,4779,4779,4779,0,BED
2010-03-09,4779,5067,4779,5067,4300,BED
2010-03-10,5164,5164,4971,5099,9400,BED
2010-03-11,5196,5196,5196,5196,100,BED
2010-03-12,5196,5196,5196,5196,0,BED
2010-03-15,4875,5164,4843,5164,14100,BED
2010-03-16,5035,5035,5035,5035,200,BED
2010-03-17,4747,4747,4714,4714,2100,BED
2010-03-18,4747,4907,4747,4907,2000,BED
2010-03-19,4747,4747,4747,4747,2000,BED
2010-03-22,4747,4747,4747,4747,0,BED
2010-03-23,4811,4811,4811,4811,100,BED
2010-03-24,4811,4907,4747,4907,1300,BED
2010-03-25,4779,4779,4779,4779,0,BED
2010-03-26,4811,4843,4811,4843,2000,BED
2010-03-29,4811,4811,4811,4811,500,BED
2010-03-30,4490,4490,4490,4490,700,BED
2010-03-31,4490,4490,4490,4490,0,BED
2010-04-01,4490,4490,4490,4490,0,BED
