time,open,high,low,close,volume,ticker
2017-08-02,9653,9653,9653,9653,0,BHA
2017-08-03,9653,9653,9653,9653,0,BHA
2017-08-04,9653,9653,9653,9653,0,BHA
2017-08-07,9653,10619,10619,9653,0,BHA
2017-08-08,10619,10619,10619,10619,5000,BHA
2017-08-09,10619,10619,10619,10619,0,BHA
2017-08-10,10619,10619,10619,10619,0,BHA
2017-08-11,10619,10619,10619,10619,10000,BHA
2017-08-14,10619,10619,10619,10619,0,BHA
2017-08-15,10619,10619,10619,10619,0,BHA
2017-08-16,10619,10619,10619,10619,5000,BHA
2017-08-17,10619,10619,10619,10619,0,BHA
2017-08-18,10619,10619,10619,10619,0,BHA
2017-08-21,10619,10619,10619,10619,0,BHA
2017-08-22,10619,10619,10619,10619,0,BHA
2017-08-23,10619,10619,10619,10619,0,BHA
2017-08-24,10619,10619,10619,10619,0,BHA
2017-08-25,10619,10619,10619,10619,0,BHA
2017-08-28,10619,10619,10619,10619,0,BHA
2017-08-29,10619,10619,10619,10619,0,BHA
2017-08-30,10619,10619,10619,10619,0,BHA
2017-08-31,10619,10619,10619,10619,0,BHA
2017-09-01,10619,10619,10619,10619,0,BHA
2017-09-05,10619,10619,10619,10619,0,BHA
2017-09-06,10619,10619,10619,10619,0,BHA
2017-09-07,10619,10619,10619,10619,0,BHA
2017-09-08,12163,12163,11584,11584,11000,BHA
2017-09-11,12067,12067,12067,12067,0,BHA
2017-09-12,12067,12067,12067,12067,0,BHA
2017-09-13,12067,12067,12067,12067,0,BHA
2017-09-14,12067,12067,12067,12067,0,BHA
2017-09-15,12067,12067,12067,12067,0,BHA
2017-09-18,12163,12163,12163,12163,5000,BHA
2017-09-19,12163,12163,12163,12163,4000,BHA
2017-09-20,12163,12163,12163,12163,0,BHA
2017-09-21,12163,12163,12163,12163,0,BHA
2017-09-22,12163,12163,12163,12163,0,BHA
2017-09-25,12163,12163,12163,12163,0,BHA
2017-09-26,12163,12163,12163,12163,0,BHA
2017-09-27,13129,13129,13129,13129,100,BHA
2017-09-28,13129,13129,13129,13129,0,BHA
2017-09-29,12550,12550,12550,12550,100,BHA
2017-10-02,12550,12550,12550,12550,3800,BHA
2017-10-03,12550,12550,12550,12550,4000,BHA
2017-10-04,12646,12743,12646,12743,7000,BHA
2017-10-05,12743,12743,12743,12743,0,BHA
2017-10-06,12743,12743,12743,12743,0,BHA
