time,open,high,low,close,volume,ticker
2009-05-15,21562,21562,11643,16818,147700,BHC
2009-05-18,15179,15179,15179,15179,91100,BHC
2009-05-19,16214,16214,16214,16214,40000,BHC
2009-05-20,17335,17335,15093,15610,138100,BHC
2009-05-21,15524,15524,14575,14662,118900,BHC
2009-05-22,14230,14317,13799,13799,55600,BHC
2009-05-25,13799,14834,13799,14834,26700,BHC
2009-05-26,15524,15697,14662,14834,40600,BHC
2009-05-27,14920,14920,14317,14317,41000,BHC
2009-05-28,14230,14230,13799,13799,14300,BHC
2009-05-29,13972,13972,13454,13627,14000,BHC
2009-06-01,14144,14575,14144,14575,38800,BHC
2009-06-02,15093,15093,14489,14575,63400,BHC
2009-06-03,14662,14748,14230,14317,37500,BHC
2009-06-04,15093,15093,14230,14662,144700,BHC
2009-06-05,14662,15438,14662,15438,229100,BHC
2009-06-08,16473,16473,16473,16473,72100,BHC
2009-06-09,17594,17594,16818,17594,317000,BHC
2009-06-10,18715,18715,16300,17422,126600,BHC
2009-06-11,18112,18543,18112,18543,80800,BHC
2009-06-12,19837,19837,19837,19837,151100,BHC
2009-06-15,21130,21217,18457,18802,202400,BHC
2009-06-16,18284,18284,18284,18284,7600,BHC
2009-06-17,17077,18112,17077,18112,74300,BHC
2009-06-18,16042,18112,16042,16387,71400,BHC
2009-06-19,15179,16818,15179,15524,79700,BHC
2009-06-22,15438,15438,14403,14403,49500,BHC
2009-06-23,13540,13885,13540,13540,87600,BHC
2009-06-24,12764,14575,12764,14575,40500,BHC
2009-06-25,15179,15179,13799,14144,16900,BHC
2009-06-26,14144,14662,13972,14489,17200,BHC
2009-06-29,13972,13972,13540,13540,15100,BHC
2009-06-30,14144,14144,12764,13023,25800,BHC
2009-07-01,12506,12937,12333,12419,25600,BHC
2009-07-02,12937,12937,12247,12850,17100,BHC
2009-07-03,12850,13282,12678,13282,10600,BHC
2009-07-06,13713,13799,13627,13799,12800,BHC
2009-07-07,14489,14662,13799,13885,10000,BHC
2009-07-08,14058,14058,13972,13972,1100,BHC
2009-07-09,13368,14144,13282,13368,16000,BHC
2009-07-10,13109,13713,12678,12937,11600,BHC
2009-07-13,12419,13627,11988,12074,23000,BHC
2009-07-14,12506,12764,12333,12592,13000,BHC
2009-07-15,12937,13195,12592,13195,12400,BHC
2009-07-16,13713,13713,12592,13368,21200,BHC
2009-07-17,12937,12937,12506,12850,7700,BHC
2009-07-20,12074,12937,12074,12161,5400,BHC
2009-07-21,12592,12592,12247,12333,2000,BHC
2009-07-22,11988,12419,11988,12074,1400,BHC
2009-07-23,12074,12937,12074,12937,6200,BHC
2009-07-24,13109,13282,13109,13282,9800,BHC
2009-07-27,14144,14144,13368,13799,7400,BHC
2009-07-28,13368,13368,13023,13023,11500,BHC
2009-07-29,12506,13195,12506,12592,8100,BHC
2009-07-30,12506,12764,11988,12592,27400,BHC
2009-07-31,13023,13023,12506,12592,8100,BHC
2009-08-03,13368,13368,12419,12592,14400,BHC
2009-08-04,11643,11643,11643,11643,105100,BHC
2009-08-05,11643,12074,11212,11988,26700,BHC
2009-08-06,11643,11988,11557,11988,35400,BHC
2009-08-07,11384,11902,11384,11729,24300,BHC
2009-08-10,11729,12074,11729,11816,12900,BHC
2009-08-11,11902,12161,11643,12161,26100,BHC
2009-08-12,12161,12247,12074,12074,21000,BHC
2009-08-13,12074,12074,11729,11816,24500,BHC
2009-08-14,11902,12074,11816,11988,25400,BHC
2009-08-17,12161,12161,11384,11902,24400,BHC
2009-08-18,12074,12074,11643,11816,9200,BHC
2009-08-19,11298,11988,11298,11643,13300,BHC
2009-08-20,11557,11816,11471,11643,21800,BHC
2009-08-21,11729,12333,11729,12074,76300,BHC
2009-08-24,12850,12850,12074,12247,13400,BHC
2009-08-25,12506,12506,12074,12074,4500,BHC
2009-08-26,12247,12247,11816,11988,9100,BHC
2009-08-27,12074,12074,11729,11729,7100,BHC
2009-08-28,11988,12419,11988,11988,41900,BHC
2009-08-31,12506,12506,11816,12247,32900,BHC
2009-09-01,12161,12247,11902,12161,52800,BHC
2009-09-03,12074,12074,11729,12074,52400,BHC
2009-09-04,11902,12678,11902,12678,146100,BHC
2009-09-07,13454,13454,13282,13454,176300,BHC
2009-09-08,14230,14230,13368,13454,38800,BHC
2009-09-09,13799,13799,12850,13109,43800,BHC
2009-09-10,12592,12937,12074,12161,56000,BHC
2009-09-11,13195,13195,12161,12419,40300,BHC
2009-09-14,12333,12678,12247,12506,65700,BHC
2009-09-15,12592,12850,12333,12506,40500,BHC
2009-09-16,13195,13195,12333,12764,56700,BHC
2009-09-17,12937,13109,12506,12678,26700,BHC
2009-09-18,12678,12678,12419,12678,53100,BHC
2009-09-21,12592,12592,12333,12506,48000,BHC
2009-09-22,12419,12506,12247,12419,49000,BHC
2009-09-23,12506,12678,12333,12419,41600,BHC
2009-09-24,12506,12678,12419,12419,46100,BHC
2009-09-25,12506,12506,12247,12419,42000,BHC
2009-09-28,12419,12419,12247,12333,40900,BHC
2009-09-29,12333,12419,12074,12247,44000,BHC
2009-09-30,12247,12247,11988,12247,51900,BHC
2009-10-01,12074,12850,11988,12850,179600,BHC
2009-10-02,13540,13540,12678,13540,285200,BHC
2009-10-05,14058,14058,13195,13799,165500,BHC
2009-10-06,14230,14662,13972,14662,145400,BHC
2009-10-07,15524,15524,15524,15524,102800,BHC
2009-10-08,16559,16559,15352,16559,510700,BHC
2009-10-09,17335,17422,16818,17422,228000,BHC
2009-10-12,17422,18284,16214,16904,187200,BHC
2009-10-13,16387,16387,16387,16387,117600,BHC
2009-10-14,15697,17508,15352,17508,241800,BHC
2009-10-15,17939,17939,17249,17939,271000,BHC
2009-10-16,19060,19060,17767,18112,198800,BHC
2009-10-19,18112,18112,16904,17163,75300,BHC
2009-10-20,17249,18284,17249,17853,154700,BHC
2009-10-21,17767,17767,16559,17249,179000,BHC
2009-10-22,17249,17680,16387,17077,139500,BHC
2009-10-23,16645,16645,15869,15869,91900,BHC
2009-10-26,14920,15352,14920,14920,95100,BHC
2009-10-27,13885,14058,13885,13885,119200,BHC
2009-10-28,13109,14834,12937,14834,113800,BHC
2009-10-29,14662,14662,13540,13713,56600,BHC
2009-10-30,14489,14662,13368,14317,49200,BHC
2009-11-02,14662,14662,13368,13368,40500,BHC
2009-11-03,13023,13368,12506,12678,58200,BHC
2009-11-04,11988,12678,11902,12678,29400,BHC
