time,open,high,low,close,volume,ticker
2009-08-18,27156,27156,22219,23700,53100,BKC
2009-08-19,23947,23947,22219,22219,19600,BKC
2009-08-20,23700,23700,21972,21972,22400,BKC
2009-08-21,22713,22713,21182,21182,27000,BKC
2009-08-24,20046,20046,19898,19898,17800,BKC
2009-08-25,18516,21281,18516,21281,447600,BKC
2009-08-26,20886,20886,20886,20886,100,BKC
2009-08-27,22318,22318,22318,22318,5500,BKC
2009-08-28,23848,23848,22959,23848,193400,BKC
2009-08-31,25428,25428,24688,25428,124900,BKC
2009-09-01,27058,27058,24934,25922,137000,BKC
2009-09-03,24688,25428,24589,24984,102700,BKC
2009-09-04,23206,24194,23206,23206,79300,BKC
2009-09-07,23206,23206,21676,23206,53300,BKC
2009-09-08,23947,24046,23700,24046,28100,BKC
2009-09-09,25478,25478,24688,25478,133600,BKC
2009-09-10,25774,26169,25379,25675,31800,BKC
2009-09-11,25675,25675,24441,24688,37400,BKC
2009-09-14,24934,25873,24688,25428,42700,BKC
2009-09-15,26120,26169,25428,26070,89600,BKC
2009-09-16,27156,27650,26416,27650,84700,BKC
2009-09-17,29131,29230,28885,29230,86800,BKC
2009-09-18,31057,31057,27700,28440,20600,BKC
2009-09-21,30563,30563,27700,28391,48700,BKC
2009-09-22,27897,28045,27156,27156,47700,BKC
2009-09-23,27897,28144,27156,27650,68600,BKC
2009-09-24,27650,28144,27403,27650,16700,BKC
2009-09-25,27650,28638,27650,28638,34600,BKC
2009-09-28,28638,28885,28391,28588,26700,BKC
2009-09-29,29625,30119,28736,29477,23200,BKC
2009-09-30,29872,29872,27650,27897,25200,BKC
2009-10-01,27650,28588,27403,27650,26200,BKC
2009-10-02,25873,26860,25823,26860,29200,BKC
2009-10-05,27156,27156,25428,25675,13000,BKC
2009-10-06,24688,24934,23947,24194,50700,BKC
2009-10-07,24490,26169,24490,26169,184100,BKC
2009-10-08,27848,27848,26663,27848,140400,BKC
2009-10-09,29131,29724,29131,29724,116100,BKC
2009-10-12,31600,31699,29625,29625,164000,BKC
2009-10-13,29625,29625,28243,28243,150200,BKC
2009-10-14,30563,30563,30563,30563,404900,BKC
2009-10-15,32687,32687,32687,32687,156500,BKC
2009-10-16,34958,34958,33328,34563,457800,BKC
2009-10-19,34810,34810,32390,32588,251800,BKC
2009-10-20,33082,33082,32094,33082,400300,BKC
2009-10-21,34612,34612,33082,33328,421700,BKC
2009-10-22,34563,35847,33575,35847,450100,BKC
2009-10-23,37920,38167,34612,36538,437800,BKC
2009-10-26,35303,38019,35254,35254,195800,BKC
2009-10-27,37768,37768,33793,35781,366900,BKC
2009-10-28,36576,36973,33872,34031,120500,BKC
2009-10-29,32441,33395,32441,32759,94800,BKC
2009-10-30,34667,34667,31805,33316,59700,BKC
2009-11-02,34906,34906,31089,31089,54900,BKC
2009-11-03,31407,31407,29181,29181,40400,BKC
2009-11-04,27432,31248,27273,29260,540000,BKC
2009-11-05,30612,30771,30215,30771,267700,BKC
2009-11-06,32918,32918,31169,32043,200700,BKC
2009-11-09,31805,32521,30294,30294,65900,BKC
2009-11-10,28704,30215,28386,28624,321800,BKC
2009-11-11,28624,29419,26796,28624,87900,BKC
2009-11-12,28624,29022,27829,28624,92900,BKC
2009-11-13,27273,28545,27114,28386,34300,BKC
2009-11-16,27829,28624,27114,27829,45700,BKC
2009-11-17,28068,28624,27114,27829,76700,BKC
2009-11-18,27273,28465,26875,28306,89700,BKC
2009-11-19,28624,29579,28624,29579,394900,BKC
2009-11-20,30692,30692,29260,29738,154600,BKC
2009-11-23,30215,30215,28068,28227,65100,BKC
2009-11-24,28465,28704,26875,27352,85000,BKC
2009-11-25,26398,26398,25682,25682,96100,BKC
2009-11-26,24013,24251,24013,24013,75500,BKC
2009-11-27,22343,24172,22343,22343,139900,BKC
2009-11-30,22422,23854,22263,23854,63000,BKC
2009-12-01,23854,24569,23058,24569,102400,BKC
2009-12-02,24649,24649,22740,22740,42400,BKC
2009-12-03,22820,23058,21866,22104,47800,BKC
2009-12-04,23058,23058,22025,22661,82200,BKC
2009-12-07,22581,23376,22581,22979,23100,BKC
2009-12-08,22661,23297,21707,21707,18700,BKC
2009-12-09,20673,20753,20355,20355,58200,BKC
2009-12-10,20434,20832,19083,19242,60700,BKC
2009-12-11,18288,18288,17970,17970,94400,BKC
2009-12-14,16777,19162,16777,17890,90800,BKC
2009-12-15,17333,17492,16141,16141,59500,BKC
2009-12-16,15743,15902,15664,15664,55900,BKC
2009-12-17,15028,16300,14630,15505,73300,BKC
2009-12-18,15902,15982,15902,15982,85800,BKC
2009-12-21,17015,17095,16697,17095,35400,BKC
2009-12-22,18129,18129,18129,18129,59700,BKC
2009-12-23,19321,19321,19083,19321,76600,BKC
2009-12-24,20673,20673,20673,20673,13000,BKC
2009-12-25,22104,22104,22104,22104,12900,BKC
2009-12-28,23615,23615,23615,23615,107800,BKC
2009-12-29,25205,25205,24092,25205,470900,BKC
2009-12-30,26875,26875,25841,26875,162000,BKC
2009-12-31,28704,28704,27829,28624,111300,BKC
2010-01-04,30215,30692,29419,30692,87000,BKC
2010-01-05,32521,32521,31805,32361,268000,BKC
2010-01-06,31010,31805,30294,30294,239600,BKC
2010-01-07,28624,28624,28624,28624,56600,BKC
2010-01-08,26637,30612,26637,29022,424200,BKC
