time,open,high,low,close,volume,ticker
2008-06-02,13395,13395,8930,9644,212500,BLF
2008-06-03,9823,9823,9733,9733,62400,BLF
2008-06-04,9466,9466,9466,9466,57200,BLF
2008-06-05,9198,9198,9198,9198,39100,BLF
2008-06-06,8930,8930,8930,8930,43200,BLF
2008-06-09,8662,8662,8662,8662,40300,BLF
2008-06-10,7590,7947,7590,7947,150200,BLF
2008-06-11,7858,7858,7858,7858,200,BLF
2008-06-12,8037,8037,8037,8037,25100,BLF
2008-06-13,8215,8215,8215,8215,17100,BLF
2008-06-16,8394,8394,8394,8394,7900,BLF
2008-06-17,8573,8573,8573,8573,1000,BLF
2008-06-18,8751,8751,8394,8751,303800,BLF
2008-06-19,8840,8930,8394,8930,153000,BLF
2008-06-20,9198,9287,8573,9287,153100,BLF
2008-06-23,9287,9287,9287,9287,56000,BLF
2008-06-24,9644,9644,9644,9644,74200,BLF
2008-06-25,10001,10001,10001,10001,6700,BLF
2008-06-26,10359,10359,9823,10359,317000,BLF
2008-06-27,10537,10537,10180,10537,164500,BLF
2008-06-30,10805,10805,10805,10805,210400,BLF
2008-07-01,11162,11162,11162,11162,25500,BLF
2008-07-02,11609,11609,11609,11609,18100,BLF
2008-07-03,12055,12055,12055,12055,700,BLF
2008-07-04,12502,12502,12502,12502,16100,BLF
2008-07-07,12948,12948,12234,12948,536400,BLF
2008-07-08,13216,13216,12770,13216,285600,BLF
2008-07-09,13573,13573,13573,13573,1200,BLF
2008-07-10,14109,14109,14109,14109,38000,BLF
2008-07-11,14645,14645,14645,14645,35500,BLF
2008-07-14,15181,15181,15181,15181,14700,BLF
2008-07-15,15717,15717,15717,15717,38200,BLF
2008-07-16,16342,16342,15092,16342,378800,BLF
2008-07-17,16878,16878,16878,16878,180200,BLF
2008-07-18,17503,17503,16253,16342,627200,BLF
2008-07-21,16253,16253,16253,16253,23600,BLF
2008-07-22,16253,16253,16253,16253,0,BLF
2008-07-23,15627,15627,15627,15627,6300,BLF
2008-07-24,15002,15002,15002,15002,18100,BLF
2008-07-25,14466,14466,14466,14466,1000,BLF
2008-07-28,13931,13931,13931,13931,3800,BLF
2008-07-29,13395,13395,13395,13395,21000,BLF
2008-07-30,12859,12859,12859,12859,1200,BLF
2008-07-31,12413,12413,12413,12413,1100,BLF
2008-08-01,11966,11966,11966,11966,100,BLF
2008-08-04,11519,11519,11519,11519,100,BLF
2008-08-05,11073,11073,11073,11073,2300,BLF
2008-08-06,10716,10716,10716,10716,1800,BLF
2008-08-07,10359,11073,10359,10448,713900,BLF
2008-08-08,10269,10984,10269,10984,180600,BLF
2008-08-11,11073,11073,10984,11073,84400,BLF
2008-08-12,11430,11430,11073,11430,105600,BLF
2008-08-13,11609,11609,10894,11073,214500,BLF
2008-08-14,10716,11430,10716,11430,253700,BLF
2008-08-15,11698,11698,11698,11698,31400,BLF
2008-08-18,12413,12502,11698,12323,294600,BLF
2008-08-19,12234,12234,11430,11430,100700,BLF
2008-08-20,10716,10716,10716,10716,59600,BLF
2008-08-21,10001,11430,10001,11430,249600,BLF
2008-08-22,11609,11698,10716,11162,107400,BLF
2008-08-25,10716,11877,10716,11877,167800,BLF
2008-08-26,12502,12502,12323,12502,92100,BLF
2008-08-27,13306,13306,12413,12502,388900,BLF
2008-08-28,12234,12502,12234,12234,52000,BLF
2008-08-29,11430,12234,11430,12234,128500,BLF
2008-09-03,12323,12323,12055,12323,146700,BLF
2008-09-04,13127,13127,11609,12948,293000,BLF
2008-09-05,13484,13484,12591,13484,305200,BLF
2008-09-08,14109,14109,12591,14109,454200,BLF
2008-09-09,14824,14824,14377,14645,223800,BLF
2008-09-10,13663,15181,13663,13841,168300,BLF
2008-09-11,12948,13395,12948,13038,257100,BLF
2008-09-12,12055,12948,12055,12502,245000,BLF
2008-09-15,11430,12948,11430,12948,155700,BLF
2008-09-16,13663,13663,11966,12948,132000,BLF
2008-09-17,12323,13127,11609,11877,239100,BLF
2008-09-18,11430,11430,10984,10984,66100,BLF
2008-09-19,10537,11787,10537,11787,30100,BLF
2008-09-22,12145,12145,12145,12145,2600,BLF
2008-09-23,12145,12948,11430,12323,295100,BLF
2008-09-24,13127,13127,12234,12591,153000,BLF
2008-09-25,12770,13663,12770,13663,206000,BLF
2008-09-26,14199,14199,13395,13663,208100,BLF
2008-09-29,14734,14734,12948,13395,292900,BLF
2008-09-30,12680,12680,12680,12680,5600,BLF
2008-10-01,12055,13127,12055,12591,140200,BLF
2008-10-02,12680,12948,12323,12948,54000,BLF
2008-10-03,12234,12680,12145,12502,115600,BLF
2008-10-06,12413,12413,11519,11519,138900,BLF
2008-10-07,10805,10805,10805,10805,73300,BLF
2008-10-08,10091,10716,10091,10269,156400,BLF
2008-10-09,10359,10805,10180,10716,166100,BLF
2008-10-10,10269,10716,9912,9912,111900,BLF
2008-10-13,10091,10716,9823,10180,96200,BLF
2008-10-14,10626,10626,10626,10626,5300,BLF
2008-10-15,10716,11252,10448,11162,140600,BLF
2008-10-16,10359,10716,10269,10448,60900,BLF
2008-10-17,10448,11162,10269,10537,75900,BLF
2008-10-20,10716,10716,9912,10180,567100,BLF
2008-10-21,10537,10537,10001,10537,179400,BLF
2008-10-22,9733,10359,9733,10001,117900,BLF
2008-10-23,9466,9823,9376,9466,117800,BLF
2008-10-24,9198,9644,8930,9198,291000,BLF
2008-10-27,8930,8930,8483,8483,251400,BLF
2008-10-28,8126,9108,8037,9108,279500,BLF
2008-10-29,8662,8662,8662,8662,88600,BLF
