time,open,high,low,close,volume,ticker
2018-04-16,24284,24284,24284,24284,0,BMF
2018-04-17,24284,24284,24284,24284,0,BMF
2018-04-18,24284,24284,24284,24284,0,BMF
2018-04-19,24284,24284,24284,24284,0,BMF
2018-04-20,24284,24284,24284,24284,0,BMF
2018-04-23,24284,24284,24284,24284,0,BMF
2018-04-24,24284,24284,24284,24284,0,BMF
2018-04-26,24284,24284,24284,24284,0,BMF
2018-04-27,24852,24852,24852,24852,100,BMF
2018-05-02,25563,25563,25563,25563,100,BMF
2018-05-03,26557,26557,26557,26557,100,BMF
2018-05-04,26273,26273,26273,26273,100,BMF
2018-05-07,24852,24852,24852,24852,100,BMF
2018-05-08,25278,25278,25278,25278,100,BMF
2018-05-09,25278,25278,25278,25278,0,BMF
2018-05-10,25278,25278,25278,25278,0,BMF
2018-05-11,25278,25278,25278,25278,0,BMF
2018-05-14,25278,25278,25278,25278,0,BMF
2018-05-15,25278,25278,25278,25278,0,BMF
2018-05-16,26273,26273,26273,26273,100,BMF
2018-05-17,26273,26273,26273,26273,0,BMF
2018-05-18,26273,26273,26273,26273,0,BMF
2018-05-21,26273,26273,26273,26273,0,BMF
2018-05-22,26273,26273,26273,26273,0,BMF
2018-05-23,26273,26273,26273,26273,0,BMF
2018-05-24,26273,26273,26273,26273,0,BMF
2018-05-25,26273,26273,26273,26273,0,BMF
2018-05-28,26273,26273,26273,26273,0,BMF
2018-05-29,26273,26273,26273,26273,0,BMF
2018-05-30,26273,26273,26273,26273,0,BMF
2018-05-31,26273,26273,26273,26273,0,BMF
2018-06-01,26273,26273,26273,26273,0,BMF
2018-06-04,26273,26273,26273,26273,0,BMF
2018-06-05,26273,26273,26273,26273,0,BMF
2018-06-06,26273,26273,26273,26273,0,BMF
2018-06-07,26273,26273,26273,26273,0,BMF
2018-06-08,26273,26273,26273,26273,0,BMF
2018-06-11,26273,26273,26273,26273,0,BMF
2018-06-12,26273,26273,26273,26273,0,BMF
2018-06-13,26273,26273,26273,26273,0,BMF
2018-06-14,26273,26273,26273,26273,0,BMF
2018-06-15,26273,26273,26273,26273,0,BMF
2018-06-18,26273,26273,26273,26273,0,BMF
2018-06-19,26273,26273,26273,26273,0,BMF
2018-06-20,26273,26273,26273,26273,0,BMF
2018-06-21,26273,26273,26273,26273,0,BMF
2018-06-22,26273,26273,26273,26273,0,BMF
2018-06-25,26273,26273,26273,26273,0,BMF
2018-06-26,26273,26273,26273,26273,0,BMF
2018-06-27,26273,26273,26273,26273,0,BMF
2018-06-28,26273,26273,26273,26273,0,BMF
2018-06-29,26273,26273,26273,26273,0,BMF
2018-07-02,26273,26273,26273,26273,0,BMF
2018-07-03,26273,26273,26273,26273,0,BMF
2018-07-04,26273,26273,26273,26273,0,BMF
2018-07-05,27835,27835,27835,27835,100,BMF
2018-07-06,27835,27835,27835,27835,0,BMF
2018-07-09,27835,27835,27835,27835,0,BMF
2018-07-10,27835,27835,27835,27835,0,BMF
2018-07-11,27835,27835,27835,27835,0,BMF
2018-07-12,27835,27835,27835,27835,0,BMF
2018-07-13,27835,27835,27835,27835,0,BMF
2018-07-16,27835,27835,27835,27835,0,BMF
2018-07-17,28403,28403,28403,28403,100,BMF
2018-07-18,28403,28403,28403,28403,0,BMF
2018-07-19,28403,28403,28403,28403,0,BMF
2018-07-20,32663,32663,32663,32663,1060900,BMF
2018-07-23,32663,32663,32663,32663,0,BMF
2018-07-24,30533,30533,30533,30533,100,BMF
2018-07-25,30533,30533,30533,30533,0,BMF
2018-07-26,30533,30533,30533,30533,0,BMF
2018-07-27,30533,30533,30533,30533,0,BMF
2018-07-30,30533,30533,30533,30533,0,BMF
2018-07-31,30533,30533,30533,30533,0,BMF
2018-08-01,30533,30533,30533,30533,0,BMF
2018-08-02,30533,30533,30533,30533,0,BMF
2018-08-03,30533,30533,30533,30533,0,BMF
