time,open,high,low,close,volume,ticker
2017-03-03,23482,23482,23482,23482,400,BTV
2017-03-06,27005,27005,27005,27005,21000,BTV
2017-03-07,30979,30979,30979,30979,2100,BTV
2017-03-08,35585,35585,34321,34321,7910,BTV
2017-03-09,34953,34953,30256,30256,3800,BTV
2017-03-10,26373,26373,26373,26373,2600,BTV
2017-03-13,22579,22579,22579,22579,4900,BTV
2017-03-14,23482,23482,23482,23482,100,BTV
2017-03-15,24386,24386,24386,24386,400,BTV
2017-03-16,21315,21405,21315,21315,600,BTV
2017-03-17,21676,21676,21676,21676,500,BTV
2017-03-20,21676,21676,19960,20321,1600,BTV
2017-03-21,22399,23934,21676,23934,7000,BTV
2017-03-22,23482,23482,23482,23482,100,BTV
2017-03-23,23482,23482,23482,23482,0,BTV
2017-03-24,23482,23482,23482,23482,300,BTV
2017-03-27,23482,23482,23482,23482,0,BTV
2017-03-28,23482,23482,23482,23482,0,BTV
2017-03-29,23482,23482,23482,23482,0,BTV
2017-03-30,19960,19960,19960,19960,200,BTV
2017-03-31,19960,19960,19960,19960,0,BTV
2017-04-03,19960,19960,19960,19960,0,BTV
2017-04-04,19960,19960,19960,19960,0,BTV
2017-04-05,19960,19960,19960,19960,0,BTV
2017-04-07,19960,19960,19960,19960,0,BTV
2017-04-10,19960,19960,19960,19960,0,BTV
2017-04-11,22579,22579,22579,22579,1500,BTV
2017-04-12,21044,21044,21044,21044,1000,BTV
2017-04-13,21044,21044,21044,21044,0,BTV
2017-04-14,21044,21044,21044,21044,0,BTV
2017-04-17,21044,21044,21044,21044,0,BTV
2017-04-18,21044,21044,21044,21044,0,BTV
2017-04-19,21044,21044,21044,21044,0,BTV
2017-04-20,21044,21044,21044,21044,0,BTV
2017-04-21,21044,21044,21044,21044,0,BTV
2017-04-24,21044,21044,21044,21044,0,BTV
2017-04-25,21224,21224,21224,21224,400,BTV
2017-04-26,21224,21224,21224,21224,500,BTV
2017-04-27,21224,21224,21224,21224,0,BTV
2017-04-28,22579,22579,22579,22579,200,BTV
2017-05-03,22579,22579,22579,22579,0,BTV
2017-05-04,22579,22579,22579,22579,0,BTV
2017-05-05,19870,19870,19870,19870,200,BTV
2017-05-08,19870,19870,19870,19870,1000,BTV
2017-05-09,19870,19870,19870,19870,800,BTV
2017-05-10,19870,19870,19870,19870,0,BTV
2017-05-11,19870,19870,19870,19870,0,BTV
2017-05-12,18063,18063,18063,18063,1800,BTV
2017-05-15,18063,18063,18063,18063,300,BTV
2017-05-16,17160,17160,17160,17160,1600,BTV
2017-05-17,17160,17160,17160,17160,0,BTV
2017-05-18,16257,16257,16257,16257,3000,BTV
2017-05-19,15354,15354,15354,15354,800,BTV
2017-05-22,15354,15354,15354,15354,0,BTV
2017-05-23,15354,15354,15354,15354,0,BTV
2017-05-24,15354,17160,15354,17160,1500,BTV
2017-05-25,17702,17702,17702,17702,100,BTV
2017-05-26,19870,19870,19870,19870,400,BTV
2017-05-29,19870,19870,19870,19870,0,BTV
2017-05-30,19870,19870,19870,19870,0,BTV
2017-05-31,19870,19870,19870,19870,0,BTV
2017-06-01,19870,19870,19870,19870,0,BTV
2017-06-02,19870,19870,19870,19870,0,BTV
2017-06-05,19870,19870,19870,19870,0,BTV
2017-06-06,19870,19870,19870,19870,0,BTV
2017-06-07,19870,19870,19870,19870,0,BTV
2017-06-08,19870,19870,19870,19870,0,BTV
2017-06-09,19870,19870,19870,19870,0,BTV
2017-06-12,19870,19870,19870,19870,0,BTV
2017-06-13,19870,19870,19870,19870,0,BTV
2017-06-14,19870,19870,19870,19870,0,BTV
2017-06-15,19870,19870,19870,19870,0,BTV
2017-06-16,19870,19870,19870,19870,0,BTV
