time,open,high,low,close,volume,ticker
2021-06-11,14500,14500,14500,14500,2000,BVL
2021-06-14,16600,16600,16600,16600,2200,BVL
2021-06-15,19000,19000,19000,19000,3000,BVL
2021-06-16,21800,21800,21800,21800,2000,BVL
2021-06-17,25000,25000,25000,25000,4300,BVL
2021-06-18,28700,28700,28700,28700,5600,BVL
2021-06-21,33000,33000,33000,33000,20600,BVL
2021-06-22,37900,37900,37800,37800,60400,BVL
2021-06-23,37900,43500,37900,43100,28400,BVL
2021-06-24,45000,45000,36700,39500,20400,BVL
2021-06-25,32500,32500,32500,32500,8200,BVL
2021-06-28,27700,27700,27700,27700,9400,BVL
2021-06-29,23600,23600,23600,23600,8900,BVL
2021-06-30,20100,27100,20100,27100,15800,BVL
2021-07-01,25100,25100,25100,25100,3300,BVL
2021-07-02,28800,28800,28800,28800,4800,BVL
2021-07-05,33100,33100,25000,28400,12700,BVL
2021-07-06,24000,27900,24000,24100,1600,BVL
2021-07-07,23400,23600,23400,23500,700,BVL
2021-07-08,25500,25500,24400,25000,3400,BVL
2021-07-09,25000,25000,24800,24800,1200,BVL
2021-07-12,25000,25000,25000,25000,500,BVL
2021-07-13,24900,24900,21300,21300,2100,BVL
2021-07-14,20000,24600,20000,24000,4700,BVL
2021-07-15,23000,24000,21200,24000,2700,BVL
2021-07-16,22000,25300,22000,25000,3200,BVL
2021-07-19,21300,23700,21200,23700,600,BVL
2021-07-20,20500,22800,20500,22800,2000,BVL
2021-07-21,23000,23000,22600,22600,500,BVL
2021-07-22,22800,24000,22500,24000,2000,BVL
2021-07-23,23000,23900,23000,23900,2100,BVL
2021-07-26,22900,23000,22900,23000,500,BVL
2021-07-27,24400,24500,20000,23900,4400,BVL
2021-07-28,23900,23900,21200,23900,1400,BVL
2021-07-29,22000,25000,22000,25000,1700,BVL
2021-07-30,22900,24600,22900,24600,2800,BVL
2021-08-02,23400,23400,23400,23400,0,BVL
2021-08-03,23400,23400,23400,23400,0,BVL
2021-08-04,20600,24900,20600,23800,3200,BVL
2021-08-05,22200,24000,22200,22200,2100,BVL
2021-08-06,20100,23900,20100,23900,800,BVL
2021-08-09,21700,21800,21700,21700,600,BVL
2021-08-10,21500,21700,21500,21700,200,BVL
2021-08-11,23800,23900,23800,23900,300,BVL
2021-08-12,23900,23900,23900,23900,0,BVL
2021-08-13,23200,23200,21900,22200,700,BVL
2021-08-16,20200,22800,20200,22800,2600,BVL
2021-08-17,22600,22600,22600,22600,0,BVL
2021-08-18,22600,22600,22600,22600,0,BVL
2021-08-19,22500,22500,22500,22500,100,BVL
2021-08-20,20500,20600,20200,20600,1400,BVL
2021-08-23,18200,23000,18100,22800,1300,BVL
2021-08-24,22800,22800,22800,22800,1700,BVL
2021-08-25,22800,22800,22800,22800,0,BVL
2021-08-26,20100,22000,19400,22000,1800,BVL
2021-08-27,23500,23500,23200,23200,500,BVL
2021-08-30,22000,23200,21000,23200,500,BVL
2021-08-31,22900,22900,22900,22900,100,BVL
2021-09-01,22900,22900,22900,22900,0,BVL
2021-09-06,22400,22400,22400,22400,100,BVL
2021-09-07,22400,22400,22400,22400,200,BVL
2021-09-08,24500,24500,23800,23800,600,BVL
2021-09-09,23900,24000,23900,24000,600,BVL
2021-09-10,23900,23900,23900,23900,0,BVL
2021-09-13,23900,23900,23900,23900,0,BVL
2021-09-14,20400,23000,20400,22900,1100,BVL
2021-09-15,24500,24500,23500,23500,600,BVL
2021-09-16,23300,23300,23300,23300,100,BVL
2021-09-17,23300,23300,23300,23300,0,BVL
2021-09-20,21000,22000,20100,22000,2100,BVL
2021-09-21,20800,20800,20800,20800,300,BVL
2021-09-22,20800,20800,20000,20000,1400,BVL
2021-09-23,22000,22000,20000,21100,1600,BVL
