time,open,high,low,close,volume,ticker
2017-07-20,14182,14182,14182,14182,2000,BWE
2017-07-21,15175,15175,15175,15175,10010,BWE
2017-07-24,16208,16208,16208,16208,10,BWE
2017-07-25,17325,17325,17325,17325,10,BWE
2017-07-26,18524,18524,18524,18524,6020,BWE
2017-07-27,19806,19806,18772,19806,1078970,BWE
2017-07-28,21005,21170,20922,21170,360000,BWE
2017-07-31,22618,22618,22618,22618,220000,BWE
2017-08-01,24189,24189,24189,24189,551530,BWE
2017-08-02,25843,25843,23155,23982,703050,BWE
2017-08-03,23982,23982,22328,22328,353980,BWE
2017-08-04,23155,23858,22328,23817,194320,BWE
2017-08-07,24726,24726,23321,23817,124720,BWE
2017-08-08,23155,23321,22411,22411,245060,BWE
2017-08-09,22328,22907,20881,22907,675340,BWE
2017-08-10,22907,22907,21418,21584,86550,BWE
2017-08-11,20674,22328,20674,22328,152900,BWE
2017-08-14,22328,22535,21170,21873,161420,BWE
2017-08-15,21584,21584,20343,20840,391180,BWE
2017-08-16,21336,21336,20757,21088,106700,BWE
2017-08-17,21088,21253,20922,20922,80110,BWE
2017-08-18,20922,20922,20509,20674,67000,BWE
2017-08-21,20633,21294,20591,21253,135980,BWE
2017-08-22,21253,21253,20798,21005,16960,BWE
2017-08-23,20674,21005,20674,20840,38920,BWE
2017-08-24,20840,20840,20591,20674,22810,BWE
2017-08-25,20674,21170,20674,21005,158370,BWE
2017-08-28,20674,21377,20591,21336,161300,BWE
2017-08-29,21501,21501,20922,21336,62230,BWE
2017-08-30,21253,21253,20674,20922,114910,BWE
2017-08-31,20798,21129,20426,20674,225550,BWE
2017-09-01,20674,21129,20591,21088,161080,BWE
2017-09-05,21460,21460,20840,21088,126890,BWE
2017-09-06,20716,20922,20674,20757,521380,BWE
2017-09-07,20840,20922,20674,20922,172410,BWE
2017-09-08,21005,21832,20964,21418,253780,BWE
2017-09-11,21915,22245,21088,21501,320470,BWE
2017-09-12,20964,21749,20964,21501,482780,BWE
2017-09-13,22121,22328,21253,21915,585880,BWE
2017-09-14,22494,23155,22163,22411,607710,BWE
2017-09-15,22742,22948,22204,22204,696120,BWE
2017-09-18,22204,22370,21749,21915,475760,BWE
2017-09-19,21749,21915,21418,21501,1038800,BWE
2017-09-20,21501,21501,20840,20840,1205870,BWE
2017-09-21,20840,21170,20840,21088,1105750,BWE
2017-09-22,21667,22535,21667,22535,969900,BWE
2017-09-25,23155,23486,22494,22659,268030,BWE
2017-09-26,22659,22659,22039,22328,347490,BWE
2017-09-27,22328,22535,22163,22411,212930,BWE
2017-09-28,22576,22576,22287,22328,399530,BWE
2017-09-29,22494,22535,21832,22245,146050,BWE
2017-10-02,22411,22411,21749,21915,176220,BWE
2017-10-03,21915,21915,21377,21501,227080,BWE
2017-10-04,21749,21832,21501,21625,56960,BWE
2017-10-05,22245,22245,21584,21584,136710,BWE
2017-10-06,21418,21708,21336,21460,134870,BWE
2017-10-09,21915,21915,21253,21460,102920,BWE
2017-10-10,21501,21501,21253,21460,141910,BWE
2017-10-11,21253,21460,21253,21460,107260,BWE
2017-10-12,21460,22328,21336,22328,245820,BWE
2017-10-13,22328,22742,21997,22535,347950,BWE
2017-10-16,22328,22576,22328,22452,318450,BWE
2017-10-17,22452,22452,22039,22039,218340,BWE
2017-10-18,22039,22328,21915,21915,81190,BWE
2017-10-19,21584,22163,21543,21997,125880,BWE
2017-10-20,22039,22204,21749,21749,184910,BWE
2017-10-23,21501,21501,21005,21005,816130,BWE
2017-10-24,20674,21170,20261,20757,634590,BWE
2017-10-25,21088,22080,21088,21584,909870,BWE
2017-10-26,21749,21791,21501,21501,496990,BWE
2017-10-27,21501,21584,21170,21170,305970,BWE
2017-10-30,21170,21170,20922,21170,218990,BWE
2017-10-31,21005,21170,20840,20922,143460,BWE
2017-11-01,21088,21253,20964,21129,142450,BWE
2017-11-02,21170,21170,19682,20674,308420,BWE
2017-11-03,20674,20840,20426,20674,278550,BWE
2017-11-06,20674,20840,20674,20674,62350,BWE
2017-11-07,20674,21170,20674,21088,122000,BWE
2017-11-08,21005,21005,20674,20716,248710,BWE
2017-11-09,20757,20964,20674,20922,90240,BWE
2017-11-10,20964,20964,20674,20716,270440,BWE
2017-11-13,20633,20716,20261,20261,163100,BWE
2017-11-14,20261,20922,19930,20302,562720,BWE
2017-11-15,20385,20674,20385,20509,400170,BWE
2017-11-16,20426,21170,20426,21046,254430,BWE
