time,open,high,low,close,volume,ticker
2022-07-13,15400,15400,15400,15400,100,CAR
2022-07-14,17700,17700,17700,17700,100,CAR
2022-07-15,20300,20300,20300,20300,16700,CAR
2022-07-18,23300,23300,23300,23300,100,CAR
2022-07-19,26700,26700,23200,23200,12100,CAR
2022-07-20,23200,30000,22200,27100,6700,CAR
2022-07-21,24100,24300,24000,24100,10800,CAR
2022-07-22,24100,24200,23300,24200,6000,CAR
2022-07-25,22600,23900,22500,23900,3900,CAR
2022-07-26,26100,27000,25700,26800,15200,CAR
2022-07-27,26300,27800,26300,27500,2700,CAR
2022-07-28,26800,27300,26100,27300,1800,CAR
2022-07-29,27300,27300,24500,27100,19800,CAR
2022-08-01,26600,26600,26200,26600,14200,CAR
2022-08-02,26400,30000,26400,30000,19800,CAR
2022-08-03,30000,30500,29400,29900,14500,CAR
2022-08-04,29900,30900,29900,30800,15200,CAR
2022-08-05,30200,31000,30200,31000,5600,CAR
2022-08-08,30500,31000,30500,30500,5700,CAR
2022-08-09,30500,30600,30300,30500,1600,CAR
2022-08-10,30400,34900,30400,34900,17600,CAR
2022-08-11,33000,34800,32800,33900,9600,CAR
2022-08-12,33000,34000,32700,32700,9200,CAR
2022-08-15,32700,34400,31500,34400,17400,CAR
2022-08-16,32500,33300,31800,31900,8300,CAR
2022-08-17,32000,32500,31800,32500,5000,CAR
2022-08-18,31500,31500,30500,30500,3500,CAR
2022-08-19,30700,32700,30500,32700,8300,CAR
2022-08-22,31000,33300,30600,32400,14600,CAR
2022-08-23,31500,32900,31500,32700,5900,CAR
2022-08-24,31900,34600,31900,34600,13100,CAR
2022-08-25,32900,35300,32900,35300,12100,CAR
2022-08-26,34000,35500,34000,34900,7800,CAR
2022-08-29,34500,35400,32300,35400,12000,CAR
2022-08-30,33500,34900,32300,34900,11300,CAR
2022-08-31,33300,35400,32900,32900,15500,CAR
2022-09-05,33800,34300,31900,32400,10700,CAR
2022-09-06,32500,33200,32000,32000,5300,CAR
2022-09-07,32400,32500,30000,30000,7200,CAR
2022-09-08,30500,31200,30400,30600,3800,CAR
2022-09-09,30500,31900,30500,31600,7000,CAR
2022-09-12,31000,32200,31000,32200,5400,CAR
2022-09-13,31300,31500,30400,31200,7300,CAR
2022-09-14,30300,30600,30100,30300,3400,CAR
2022-09-15,29800,30500,29700,30000,6800,CAR
2022-09-16,29700,30200,29300,29900,6200,CAR
2022-09-19,29300,29300,28600,28900,4500,CAR
2022-09-20,28500,29800,28500,29800,8200,CAR
2022-09-21,28400,30000,28200,29700,7800,CAR
2022-09-22,28800,31600,28800,31500,13200,CAR
2022-09-23,29900,34100,29900,34100,19400,CAR
2022-09-26,32200,33100,31500,31500,6700,CAR
2022-09-27,32000,32000,31600,31600,1100,CAR
2022-09-28,31500,31600,31100,31600,2100,CAR
2022-09-29,31200,32000,31200,31400,4100,CAR
2022-09-30,31400,32400,30800,32400,6200,CAR
2022-10-03,31300,31300,30400,30400,2500,CAR
2022-10-04,30600,32000,30600,31600,5900,CAR
2022-10-05,30800,32700,30800,32700,7200,CAR
2022-10-06,31300,32300,31300,32000,4800,CAR
2022-10-07,31600,31600,30300,30300,2800,CAR
2022-10-10,30600,31000,30000,31000,4300,CAR
2022-10-11,30300,30800,30300,30300,3400,CAR
2022-10-12,30400,31300,30200,31300,4500,CAR
2022-10-13,30500,31200,30200,31200,4500,CAR
2022-10-14,30600,31700,30600,31700,4600,CAR
2022-10-17,31000,31000,30000,30000,2500,CAR
2022-10-18,30500,31500,30500,31100,5300,CAR
2022-10-19,30900,31500,30900,31000,3200,CAR
2022-10-20,30800,31400,30500,31400,3800,CAR
2022-10-21,30700,30700,29700,29700,2700,CAR
2022-10-24,30000,30300,29800,29800,2700,CAR
2022-10-25,29900,30400,29400,30400,4300,CAR
2022-10-26,29800,29800,29100,29600,3000,CAR
2022-10-27,29200,30400,29200,30300,4800,CAR
2022-10-28,29600,30800,29600,30700,5000,CAR
2022-10-31,30000,30200,29400,30000,4500,CAR
2022-11-01,29600,30600,29600,30400,4300,CAR
2022-11-02,29900,30100,29400,30100,3500,CAR
2022-11-03,29500,29500,29000,29300,2200,CAR
2022-11-04,29100,29100,28500,28900,3600,CAR
2022-11-07,28700,28700,28000,28700,3800,CAR
2022-11-08,28300,28900,28000,28900,3700,CAR
2022-11-09,28300,29200,28300,28600,4700,CAR
2022-11-10,28600,28900,28200,28200,3200,CAR
2022-11-11,28500,29400,28500,29400,3900,CAR
2022-11-14,28800,28800,28000,28500,2800,CAR
2022-11-15,28300,28300,27500,27700,3000,CAR
2022-11-16,27800,28800,27600,28800,4600,CAR
2022-11-17,28000,29300,28000,29300,4600,CAR
2022-11-18,28500,29500,28500,29200,5200,CAR
2022-11-21,28900,29700,28900,29400,4500,CAR
2022-11-22,29100,29700,28800,29700,5200,CAR
2022-11-23,29100,29900,29100,29700,4200,CAR
2022-11-24,29300,29500,29000,29100,4100,CAR
2022-11-25,29000,29500,29000,29500,2300,CAR
2022-11-28,29000,30000,29000,30000,4300,CAR
2022-11-29,29300,30400,29300,30400,4400,CAR
2022-11-30,29700,30100,29100,30100,4800,CAR
2022-12-01,29400,30200,29400,29500,4900,CAR
2022-12-02,29600,30600,29600,30600,4200,CAR
2022-12-05,29900,30700,29900,30500,3700,CAR
2022-12-06,30000,30000,29300,29900,2900,CAR
2022-12-07,29500,29600,29100,29600,3100,CAR
2022-12-08,29100,29800,29100,29600,3800,CAR
2022-12-09,29300,29600,29100,29100,3700,CAR
2022-12-12,29200,30000,29200,29700,4300,CAR
2022-12-13,29500,30200,29500,30000,3300,CAR
2022-12-14,29600,30400,29600,30400,3900,CAR
2022-12-15,29800,30300,29700,30000,3800,CAR
2022-12-16,29700,30200,29400,30200,4100,CAR
2022-12-19,29600,30000,29400,29700,3600,CAR
2022-12-20,29500,29500,28800,29100,3500,CAR
2022-12-21,29100,29500,28800,28800,3700,CAR
2022-12-22,29000,29400,29000,29000,3300,CAR
2022-12-23,29100,29100,28500,28900,3700,CAR
2022-12-26,28600,28600,28000,28200,3600,CAR
2022-12-27,28200,28500,27900,28500,3700,CAR
2022-12-28,28100,28300,27700,28300,4000,CAR
2022-12-29,27900,27900,27500,27800,2500,CAR
2022-12-30,27600,27600,27000,27400,3100,CAR
2023-01-03,27200,27800,27200,27800,2800,CAR
2023-01-04,27400,27900,27400,27900,2600,CAR
2023-01-05,27500,28000,27500,28000,2500,CAR
2023-01-06,27600,27700,27200,27700,3500,CAR
2023-01-09,27200,27600,27200,27300,3200,CAR
2023-01-10,27300,27300,27000,27300,2500,CAR
2023-01-11,27000,27100,26900,27000,1800,CAR
2023-01-12,26900,27200,26900,27200,1900,CAR
2023-01-13,26900,27200,26900,27000,2300,CAR
2023-01-16,26900,26900,26700,26700,1500,CAR
2023-01-17,26700,27000,26700,27000,1800,CAR
2023-01-18,26700,27100,26700,27100,2100,CAR
2023-01-19,26800,27100,26800,27100,1800,CAR
2023-01-27,26900,26900,26900,26900,800,CAR
2023-01-30,26800,27400,26800,27200,2400,CAR
2023-01-31,27000,27100,27000,27100,1100,CAR
2023-02-01,27000,27500,27000,27500,1700,CAR
2023-02-02,27200,28000,27200,28000,2500,CAR
2023-02-03,27600,28300,27600,28300,2400,CAR
2023-02-06,27900,28700,27900,28700,2400,CAR
2023-02-07,28200,28400,28200,28300,1000,CAR
2023-02-08,28200,29100,28200,29100,2700,CAR
2023-02-09,28500,29300,28500,29200,2400,CAR
2023-02-10,28700,29400,28400,29400,3700,CAR
2023-02-13,28800,29900,28800,29900,3000,CAR
2023-02-14,29200,30400,29200,30400,3200,CAR
2023-02-15,29800,30400,29800,30200,2400,CAR
2023-02-16,30100,30300,29800,30300,2000,CAR
2023-02-17,30200,30500,30100,30500,2000,CAR
2023-02-20,30200,31200,30200,31200,10500,CAR
2023-02-21,30900,33000,30900,33000,12800,CAR
2023-02-22,33000,33000,32500,32500,10400,CAR
2023-02-23,32800,32800,32400,32400,9300,CAR
2023-02-24,32600,32600,32000,32000,9800,CAR
2023-02-27,32000,32200,31800,32000,10200,CAR
2023-02-28,32000,32600,32000,32600,11200,CAR
2023-03-01,32400,33000,32400,33000,11100,CAR
2023-03-02,32700,33300,32700,33300,11300,CAR
2023-03-03,33000,33600,33000,33600,11300,CAR
2023-03-06,33300,34000,33300,34000,10900,CAR
2023-03-07,33700,33900,32800,33000,11500,CAR
2023-03-08,33000,33000,32000,32000,10200,CAR
2023-03-09,32100,32200,32000,32000,7200,CAR
2023-03-10,32000,32000,31500,31500,7100,CAR
2023-03-13,31600,31600,31000,31000,8300,CAR
2023-03-14,31200,31200,30800,30800,5800,CAR
2023-03-15,30900,31000,30900,30900,7100,CAR
2023-03-16,30500,30500,30000,30000,8100,CAR
2023-03-17,30200,30300,29800,30200,7100,CAR
2023-03-20,30100,30200,30000,30100,6800,CAR
2023-03-21,30100,30200,30000,30100,6900,CAR
2023-03-22,30100,30300,30000,30300,6700,CAR
2023-03-23,30100,30100,29700,29900,6700,CAR
2023-03-24,29900,30100,29900,30100,6400,CAR
2023-03-27,30000,30100,29900,30100,6700,CAR
2023-03-28,30000,30100,29900,30100,6300,CAR
2023-03-29,30000,30100,29900,30100,6400,CAR
2023-03-30,30000,30600,30000,30500,8400,CAR
2023-03-31,30500,31200,30500,31200,10700,CAR
2023-04-03,31000,31000,30500,30500,8600,CAR
2023-04-04,30600,31100,30600,31100,10100,CAR
2023-04-05,30900,31300,30900,31100,10200,CAR
2023-04-06,31100,31100,30600,30800,8100,CAR
2023-04-07,30800,30800,30400,30400,8600,CAR
2023-04-10,30500,30900,30500,30800,8500,CAR
2023-04-11,30700,30700,30200,30200,8600,CAR
2023-04-12,30400,30900,30400,30900,9200,CAR
2023-04-13,30700,31100,30700,31000,8500,CAR
2023-04-14,31000,31000,30500,30500,8600,CAR
2023-04-17,30700,30700,30200,30200,8600,CAR
2023-04-18,30400,30600,30300,30400,8200,CAR
2023-04-19,30500,31000,30500,31000,8200,CAR
