time,open,high,low,close,volume,ticker
2017-06-20,9238,9238,9238,9238,0,CBS
2017-06-21,9238,9238,9238,9238,0,CBS
2017-06-22,9238,9238,9238,9238,0,CBS
2017-06-23,9238,9238,9238,9238,0,CBS
2017-06-26,9238,9238,9238,9238,0,CBS
2017-06-27,9238,9238,9238,9238,0,CBS
2017-06-28,9238,9238,9238,9238,0,CBS
2017-06-29,9238,9238,9238,9238,0,CBS
2017-06-30,9238,9238,9238,9238,0,CBS
2017-07-03,9238,9238,9238,9238,0,CBS
2017-07-04,9238,9238,9238,9238,0,CBS
2017-07-05,9238,9238,9238,9238,0,CBS
2017-07-06,9238,9238,9238,9238,0,CBS
2017-07-07,9238,9238,9238,9238,0,CBS
2017-07-10,9238,9238,9238,9238,0,CBS
2017-07-11,9238,9238,9238,9238,0,CBS
2017-07-12,9238,9238,9238,9238,0,CBS
2017-07-13,9238,9238,9238,9238,0,CBS
2017-07-14,9238,9238,9238,9238,0,CBS
2017-07-17,9238,9238,9238,9238,0,CBS
2017-07-18,9238,9238,9238,9238,0,CBS
2017-07-19,9238,9238,9238,9238,0,CBS
2017-07-20,9238,9238,9238,9238,0,CBS
2017-07-21,9238,9238,9238,9238,0,CBS
2017-07-24,9238,9238,9238,9238,0,CBS
2017-07-25,9238,9238,9238,9238,0,CBS
2017-07-26,9238,9238,9238,9238,0,CBS
2017-07-27,9238,9238,9238,9238,0,CBS
2017-07-28,9238,9238,9238,9238,0,CBS
2017-07-31,9238,9238,9238,9238,0,CBS
2017-08-01,9238,9238,9238,9238,0,CBS
2017-08-02,9238,9238,9238,9238,0,CBS
2017-08-03,9238,9238,9238,9238,0,CBS
2017-08-04,9238,9238,9238,9238,0,CBS
2017-08-07,9238,9238,9238,9238,0,CBS
2017-08-08,9238,9238,9238,9238,0,CBS
2017-08-09,9238,9238,9238,9238,0,CBS
2017-08-10,9238,9238,9238,9238,0,CBS
2017-08-11,9238,9238,9238,9238,0,CBS
2017-08-14,9238,9238,9238,9238,0,CBS
2017-08-15,9238,9238,9238,9238,0,CBS
2017-08-16,9238,9238,9238,9238,0,CBS
2017-08-17,9238,9238,9238,9238,0,CBS
2017-08-18,9238,9238,9238,9238,0,CBS
2017-08-21,9238,9238,9238,9238,0,CBS
2017-08-22,9238,9238,9238,9238,0,CBS
2017-08-23,9238,9238,9238,9238,0,CBS
2017-08-24,9238,9238,9238,9238,0,CBS
2017-08-25,9238,9238,9238,9238,0,CBS
2017-08-28,9238,9238,9238,9238,0,CBS
2017-08-29,9238,9238,9238,9238,0,CBS
2017-08-30,9238,9238,9238,9238,0,CBS
2017-08-31,9238,9238,9238,9238,0,CBS
2017-09-01,9238,9238,9238,9238,0,CBS
2017-09-05,9238,9238,9238,9238,0,CBS
2017-09-06,9238,9238,9238,9238,0,CBS
2017-09-07,9238,9238,9238,9238,0,CBS
2017-09-08,9238,9238,9238,9238,0,CBS
2017-09-11,9238,9238,9238,9238,0,CBS
2017-09-12,9238,9238,9238,9238,0,CBS
2017-09-13,9238,9238,9238,9238,0,CBS
2017-09-14,9238,9238,9238,9238,0,CBS
2017-09-15,9238,9238,9238,9238,0,CBS
2017-09-18,9238,9238,9238,9238,0,CBS
2017-09-19,9238,9238,9238,9238,0,CBS
2017-09-20,9238,9238,9238,9238,0,CBS
2017-09-21,9238,9238,9238,9238,0,CBS
2017-09-22,9238,9238,9238,9238,0,CBS
2017-09-25,9238,9238,9238,9238,0,CBS
2017-09-26,9238,9238,9238,9238,0,CBS
2017-09-27,9238,9238,9238,9238,0,CBS
2017-09-28,9238,9238,9238,9238,0,CBS
2017-09-29,9238,9238,9238,9238,0,CBS
2017-10-02,9238,9238,9238,9238,0,CBS
2017-10-03,9238,9238,9238,9238,0,CBS
2017-10-04,9238,9238,9238,9238,0,CBS
2017-10-05,9238,9238,9238,9238,0,CBS
2017-10-06,9238,9238,9238,9238,0,CBS
2017-10-09,9238,9238,9238,9238,0,CBS
2017-10-10,9238,9238,9238,9238,0,CBS
2017-10-11,9238,9238,9238,9238,0,CBS
2017-10-12,9238,9238,9238,9238,0,CBS
2017-10-13,9238,9238,9238,9238,0,CBS
2017-10-16,9238,9238,9238,9238,0,CBS
2017-10-17,9238,9238,9238,9238,0,CBS
2017-10-18,9238,9238,9238,9238,0,CBS
2017-10-19,9238,9238,9238,9238,0,CBS
2017-10-20,9238,9238,9238,9238,0,CBS
