time,open,high,low,close,volume,ticker
2008-09-18,19123,19123,13014,13280,7100,CCM
2008-09-19,14236,14236,14236,14236,5500,CCM
2008-09-22,15192,15192,15192,15192,1000,CCM
2008-09-23,16254,16254,16254,16254,8100,CCM
2008-09-24,17370,17370,15936,17370,64500,CCM
2008-09-25,18060,18060,17264,18007,47300,CCM
2008-09-26,18592,18804,18485,18804,47200,CCM
2008-09-29,20026,20026,20026,20026,12200,CCM
2008-09-30,19867,21407,18645,21407,83200,CCM
2008-10-01,21460,21460,21460,21460,100,CCM
2008-10-02,22948,22948,22948,22948,300,CCM
2008-10-03,24541,24541,24541,24541,1200,CCM
2008-10-06,26241,26241,24701,26241,153900,CCM
2008-10-07,27994,27994,26029,27994,41900,CCM
2008-10-08,29428,29428,29428,29428,3900,CCM
2008-10-09,31447,31447,31447,31447,600,CCM
2008-10-10,33625,33625,33465,33625,82400,CCM
2008-10-13,35962,35962,35962,35962,4200,CCM
2008-10-14,38459,38459,38459,38459,1200,CCM
2008-10-15,41115,41115,35803,41115,97900,CCM
2008-10-16,37768,43399,37768,38140,53600,CCM
2008-10-17,42496,42762,37396,37396,34100,CCM
2008-10-20,35697,36121,35643,35643,2700,CCM
2008-10-21,33306,33359,33306,33306,25800,CCM
2008-10-22,31022,31022,31022,31022,500,CCM
2008-10-23,28897,28897,28897,28897,100,CCM
2008-10-24,26879,26879,26879,26879,400,CCM
2008-10-27,25019,25019,25019,25019,5100,CCM
2008-10-28,23319,23319,23319,23319,800,CCM
2008-10-29,21726,22841,21726,21726,48800,CCM
2008-10-30,20345,20504,20345,20345,9700,CCM
2008-10-31,18964,21726,18964,21726,55400,CCM
2008-11-03,21673,21673,21673,21673,500,CCM
2008-11-04,23160,23160,23160,23160,100,CCM
2008-11-05,24754,24754,24754,24754,2700,CCM
2008-11-06,25285,26454,23373,26454,22200,CCM
2008-11-07,27835,27835,26560,27835,13800,CCM
2008-11-10,29641,29641,26560,27888,53400,CCM
2008-11-11,26985,26985,26879,26879,4200,CCM
2008-11-12,25072,28685,25072,25232,28700,CCM
2008-11-13,24169,26029,24169,24594,14100,CCM
2008-11-14,26400,26507,23904,24701,15700,CCM
2008-11-17,24913,24913,23426,24913,13700,CCM
2008-11-18,23373,23373,22629,22629,31100,CCM
2008-11-19,22788,24276,22788,24276,36400,CCM
2008-11-20,22523,22841,22523,22523,15400,CCM
2008-11-21,21566,22841,21566,22788,4600,CCM
2008-11-24,22470,22523,21779,21779,12300,CCM
2008-11-25,22841,22841,20663,20982,13700,CCM
2008-11-26,19654,22363,19654,20451,13400,CCM
2008-11-27,19654,19707,19495,19495,15000,CCM
2008-11-28,20717,20929,19601,20929,13800,CCM
2008-12-01,19654,20717,19282,19282,11400,CCM
2008-12-02,18060,18060,18060,18060,9300,CCM
2008-12-03,17444,19238,17387,17948,9500,CCM
2008-12-04,18453,18958,17556,18958,16800,CCM
2008-12-05,20024,20024,19070,20024,43900,CCM
2008-12-08,21314,21314,18621,19407,17300,CCM
2008-12-09,19519,19519,18173,18453,8700,CCM
2008-12-10,17612,17612,17500,17500,12100,CCM
2008-12-11,17500,17500,16322,16827,15500,CCM
2008-12-12,17500,17780,17500,17780,5000,CCM
2008-12-15,17948,18958,17948,18453,7500,CCM
2008-12-16,17948,17948,17051,17051,2900,CCM
2008-12-17,17107,17107,16546,16546,4300,CCM
2008-12-18,16883,16883,16546,16546,2300,CCM
2008-12-19,16266,17163,16266,16883,5600,CCM
2008-12-22,17051,17387,16266,16602,11500,CCM
2008-12-23,15985,15985,15649,15705,3900,CCM
2008-12-24,15705,15705,14863,14863,1300,CCM
2008-12-25,15256,15256,14695,14695,4500,CCM
2008-12-26,15705,15705,14863,15088,1600,CCM
2008-12-29,14022,14863,14022,14022,6000,CCM
2008-12-30,14583,15144,14022,14583,5700,CCM
2008-12-31,14583,14919,13742,14583,16400,CCM
2009-01-02,14919,15144,14583,15144,10200,CCM
2009-01-05,16097,16097,15088,15873,27400,CCM
2009-01-06,15705,15761,15088,15144,13400,CCM
2009-01-07,15312,15536,14863,15144,12500,CCM
2009-01-08,14639,14751,14359,14583,6300,CCM
2009-01-09,14807,15593,14583,15593,16300,CCM
2009-01-12,15256,15649,14695,14919,3400,CCM
2009-01-13,15088,15144,14695,14695,6900,CCM
2009-01-14,15144,15144,14583,14583,6600,CCM
2009-01-15,14302,14359,14190,14359,4100,CCM
2009-01-16,14359,14359,14302,14359,2800,CCM
2009-01-19,14302,14302,14134,14190,1200,CCM
2009-01-20,15144,15144,15144,15144,1500,CCM
2009-01-21,14134,14134,14134,14134,4300,CCM
2009-01-22,14415,14415,14302,14415,2100,CCM
2009-01-23,14134,14583,14134,14359,3800,CCM
2009-02-02,13517,14302,13461,14302,4000,CCM
2009-02-03,13910,13966,13125,13125,11200,CCM
2009-02-04,12620,13125,12564,12564,14800,CCM
2009-02-05,12339,12339,11778,11778,6600,CCM
2009-02-06,11218,11554,11105,11554,12600,CCM
2009-02-09,11330,12059,11330,12059,3100,CCM
2009-02-10,11498,12003,11049,11049,5300,CCM
2009-02-11,10320,10657,10320,10320,17400,CCM
2009-02-12,9871,10544,9759,9759,2600,CCM
2009-02-13,10488,10544,10376,10376,2700,CCM
2009-02-16,10096,10488,10096,10152,3800,CCM
2009-02-17,9703,9759,9647,9647,2900,CCM
2009-02-18,9254,9254,9030,9030,8700,CCM
2009-02-19,8974,8974,8974,8974,1900,CCM
2009-02-20,9142,9142,8637,8862,10700,CCM
2009-02-23,8862,8918,8301,8301,16500,CCM
2009-02-24,8974,8974,7964,8189,5400,CCM
2009-02-25,8862,8862,8413,8806,8700,CCM
2009-02-26,8806,8806,8245,8245,3600,CCM
2009-02-27,8806,8862,8413,8525,8900,CCM
2009-03-02,9086,9086,8693,8918,4300,CCM
2009-03-03,8974,8974,8413,8806,1600,CCM
2009-03-04,8862,8918,8862,8862,1800,CCM
2009-03-05,8469,8862,8469,8693,3300,CCM
2009-03-06,8750,8806,8637,8637,5400,CCM
2009-03-09,8413,8693,8413,8413,6900,CCM
2009-03-10,8469,8637,8469,8637,14800,CCM
2009-03-11,8806,9142,8637,9030,37100,CCM
2009-03-12,8862,9198,8862,9030,10000,CCM
2009-03-13,9030,9030,9030,9030,300,CCM
2009-03-16,9367,9367,8862,9086,2300,CCM
2009-03-17,8974,9254,8974,9198,18500,CCM
2009-03-18,9198,9759,9198,9759,30600,CCM
2009-03-19,10320,10320,9815,10096,40400,CCM
2009-03-20,10152,10208,9703,9927,10000,CCM
2009-03-23,9310,9310,9198,9198,14500,CCM
2009-03-24,9759,9759,9423,9647,7800,CCM
2009-03-25,9086,9647,9086,9591,2400,CCM
2009-03-26,9535,9535,9198,9254,26100,CCM
2009-03-27,9759,9759,9254,9310,14700,CCM
2009-03-30,9423,9535,9367,9535,5600,CCM
2009-03-31,9423,10040,9423,10040,15100,CCM
2009-04-01,10488,10488,10488,10488,8700,CCM
2009-04-02,11218,11218,11218,11218,6200,CCM
2009-04-03,12003,12003,12003,12003,11900,CCM
2009-04-07,12788,12788,12788,12788,11700,CCM
2009-04-08,13629,13629,12900,13629,71900,CCM
2009-04-09,14415,14415,14415,14415,1000,CCM
2009-04-10,15368,15368,15368,15368,20700,CCM
2009-04-13,16434,16434,16434,16434,3200,CCM
2009-04-14,17556,17556,15312,17556,64000,CCM
2009-04-15,16827,17948,16266,16266,22300,CCM
2009-04-16,17444,17444,15200,15200,57700,CCM
2009-04-17,15144,15144,14246,14246,16900,CCM
2009-04-20,13461,13461,13461,13461,4500,CCM
2009-04-21,12564,12956,12564,12900,33200,CCM
2009-04-22,12900,13461,12900,13461,18500,CCM
2009-04-23,14302,14302,14302,14302,10000,CCM
2009-04-24,15256,15256,15256,15256,5000,CCM
2009-04-27,16322,16322,16322,16322,10700,CCM
2009-04-28,17387,17444,15761,17331,43100,CCM
2009-04-29,18060,18060,17107,17107,600,CCM
2009-05-04,18846,19126,17948,19126,39200,CCM
2009-05-05,20248,20248,19631,19631,23400,CCM
2009-05-06,18790,19911,18790,18790,7500,CCM
2009-05-07,19014,19070,18790,18790,14800,CCM
2009-05-08,19182,19631,17724,17724,25300,CCM
2009-05-11,17948,19070,17387,17387,10300,CCM
2009-05-12,16827,18341,16546,18229,17100,CCM
2009-05-13,17612,17668,17387,17556,15100,CCM
2009-05-14,17387,17500,16378,16434,22400,CCM
2009-05-15,17219,17668,16602,17668,17000,CCM
2009-05-18,18677,18734,17556,18734,19900,CCM
2009-05-19,19743,19743,19575,19743,12300,CCM
2009-05-20,20753,21033,20192,21033,59900,CCM
2009-05-21,20753,20753,19687,19687,21200,CCM
2009-05-22,20192,20192,18846,18846,24900,CCM
2009-05-25,19351,19743,18229,19519,39500,CCM
2009-05-26,19631,19631,18509,18790,6500,CCM
2009-05-27,19070,19631,18734,19070,8900,CCM
2009-05-28,19070,20304,19070,20304,41400,CCM
2009-05-29,21594,21594,20472,21033,44700,CCM
2009-06-01,21594,22548,20416,21145,31900,CCM
2009-06-02,21314,21314,20192,21202,38300,CCM
2009-06-03,20472,20753,20192,20472,45200,CCM
2009-06-04,21033,21762,21033,21706,41500,CCM
2009-06-05,21987,22716,21706,22155,45700,CCM
2009-06-08,22604,23557,22043,23557,80700,CCM
2009-06-09,22884,22884,21314,21482,16700,CCM
2009-06-10,22155,22155,20192,20192,22300,CCM
2009-06-11,21258,21258,20865,21145,12500,CCM
2009-06-12,21594,21594,19687,19743,48900,CCM
2009-06-15,19631,19631,18734,18734,22100,CCM
2009-06-16,18790,19631,18229,18509,24500,CCM
2009-06-17,18790,19351,17948,19351,19400,CCM
2009-06-18,18790,19631,18790,19351,3900,CCM
2009-06-19,20248,20248,19182,19687,16100,CCM
2009-06-22,18565,18565,18341,18341,3500,CCM
2009-06-23,17163,17163,17163,17163,3500,CCM
2009-06-24,17163,18341,17163,18341,10800,CCM
2009-06-25,18229,18229,16827,16827,8200,CCM
2009-06-26,16883,17387,16827,17107,19500,CCM
2009-06-29,16827,16827,16546,16546,11900,CCM
2009-06-30,17556,17556,15705,15705,16200,CCM
2009-07-01,15480,15705,15144,15312,31700,CCM
2009-07-02,15480,15480,14863,15144,14000,CCM
2009-07-03,14639,16153,14639,16153,5800,CCM
2009-07-06,16770,16939,16770,16939,13300,CCM
2009-07-07,17387,17387,16883,16883,6800,CCM
2009-07-08,16153,16827,16153,16266,2200,CCM
2009-07-09,16266,16266,15985,15985,9900,CCM
2009-07-10,15873,15873,15705,15705,3100,CCM
2009-07-13,15480,16546,15424,15424,5500,CCM
2009-07-14,15593,15593,15480,15480,1300,CCM
2009-07-15,15536,15536,15536,15536,5400,CCM
2009-07-16,16266,16266,15705,15929,5100,CCM
2009-07-17,15480,16266,15480,15649,2100,CCM
2009-07-20,15144,15424,15144,15200,5500,CCM
2009-07-21,15424,15424,15144,15144,4500,CCM
2009-07-22,15256,15312,15200,15200,4500,CCM
2009-07-23,15088,16322,15088,16322,12100,CCM
2009-07-24,16883,17051,16883,17051,6000,CCM
2009-07-27,17948,18117,16827,16827,5700,CCM
2009-07-28,16546,16827,16097,16097,4600,CCM
2009-07-29,16210,17612,16210,17612,9900,CCM
2009-07-30,17892,17892,17892,17892,26900,CCM
2009-07-31,19126,19126,19070,19126,27400,CCM
2009-08-03,20416,20416,19126,20192,87300,CCM
2009-08-04,21314,21314,18902,19014,8200,CCM
2009-08-05,19351,19743,18397,19070,21300,CCM
2009-08-06,19631,19631,19070,19070,7100,CCM
2009-08-07,19351,19351,18397,18509,18800,CCM
2009-08-10,18453,19182,18453,19182,14700,CCM
2009-08-11,19575,20136,19070,20136,26200,CCM
2009-08-12,21202,21202,21202,21202,64200,CCM
2009-08-13,22660,22660,22660,22660,27100,CCM
2009-08-14,24230,24230,21314,22660,49400,CCM
2009-08-17,22436,22436,21370,21370,12500,CCM
2009-08-18,21875,22043,21314,21819,9200,CCM
2009-08-19,21314,21650,21314,21594,10300,CCM
2009-08-20,21426,21426,20753,21314,11900,CCM
2009-08-21,21875,22436,21875,22436,68500,CCM
2009-08-24,23109,23109,21875,21875,10300,CCM
2009-08-25,21875,21875,20753,20753,38900,CCM
2009-08-26,21314,21538,20865,21538,31200,CCM
2009-08-27,21426,21426,20528,21314,10800,CCM
2009-08-28,21594,22211,21370,21875,64700,CCM
2009-08-31,22996,22996,22436,22996,32200,CCM
2009-09-01,22828,23445,21594,22996,42900,CCM
2009-09-03,21875,23557,21594,23277,61100,CCM
2009-09-04,22996,23557,22155,22716,40800,CCM
2009-09-07,22996,24118,22660,24118,60500,CCM
2009-09-08,24735,24735,24735,24735,16700,CCM
2009-09-09,26418,26418,24679,24679,55900,CCM
2009-09-10,25240,25240,23557,23726,71800,CCM
2009-09-11,24118,24118,23894,24118,16800,CCM
2009-09-14,24006,25240,23950,24343,43300,CCM
2009-09-15,25352,25352,23950,24006,24400,CCM
2009-09-16,22996,24118,22996,23333,50600,CCM
2009-09-17,24735,24735,24735,24735,11900,CCM
2009-09-18,26418,26418,25969,26418,128900,CCM
2009-09-21,28213,28213,28045,28213,85900,CCM
2009-09-22,30008,30120,27764,27764,40400,CCM
