time,open,high,low,close,volume,ticker
2011-07-01,3818,3818,3818,3818,0,CI5
2011-07-04,3818,3818,3818,3818,0,CI5
2011-07-05,3818,3818,3818,3818,0,CI5
2011-07-06,3818,3818,3818,3818,0,CI5
2011-07-07,3818,3818,3818,3818,0,CI5
2011-07-08,3818,3818,3818,3818,0,CI5
2011-07-11,3818,3818,3818,3818,0,CI5
2011-07-12,3818,3818,3818,3818,0,CI5
2011-07-13,3818,3818,3818,3818,0,CI5
2011-07-14,3818,3818,3818,3818,0,CI5
2011-07-15,3818,3818,3818,3818,0,CI5
2011-07-18,3818,3818,3818,3818,0,CI5
2011-07-19,3818,3818,3818,3818,0,CI5
2011-07-20,3818,3818,3818,3818,0,CI5
2011-07-21,3818,3818,3818,3818,0,CI5
2011-07-22,3818,3818,3818,3818,0,CI5
2011-07-25,3818,3818,3818,3818,0,CI5
2011-07-26,3818,3818,3818,3818,0,CI5
2011-07-27,3818,3818,3818,3818,0,CI5
2011-07-28,3818,3818,3818,3818,0,CI5
2011-07-29,3818,3818,3818,3818,0,CI5
2011-08-01,3818,3818,3818,3818,0,CI5
2011-08-02,3818,3818,3818,3818,0,CI5
2011-08-03,3818,3818,3818,3818,0,CI5
2011-08-04,3818,3818,3818,3818,0,CI5
2011-08-05,3818,3818,3818,3818,0,CI5
2011-08-08,3818,3818,3818,3818,0,CI5
2011-08-09,3818,3818,3818,3818,0,CI5
2011-08-10,3818,3818,3818,3818,0,CI5
2011-08-11,3818,3818,3818,3818,0,CI5
2011-08-12,3818,3818,3818,3818,0,CI5
2011-08-15,3818,3818,3818,3818,0,CI5
2011-08-16,3818,3818,3818,3818,0,CI5
2011-08-17,3818,3818,3818,3818,0,CI5
2011-08-18,3818,3818,3818,3818,0,CI5
2011-08-19,3818,3818,3818,3818,0,CI5
2011-08-22,3818,3818,3818,3818,0,CI5
2011-08-23,3818,3818,3818,3818,0,CI5
2011-08-24,3818,3818,3818,3818,0,CI5
2011-08-25,3818,3818,3818,3818,0,CI5
2011-08-26,3818,3818,3818,3818,0,CI5
2011-08-29,3818,3818,3818,3818,0,CI5
2011-08-30,3818,3818,3818,3818,0,CI5
2011-08-31,3818,3818,3818,3818,0,CI5
2011-09-01,3818,3818,3818,3818,0,CI5
2011-09-05,3818,3818,3818,3818,0,CI5
2011-09-06,3818,3818,3818,3818,0,CI5
2011-09-07,3818,3818,3818,3818,0,CI5
2011-09-08,3818,3818,3818,3818,0,CI5
2011-09-09,3818,3818,3818,3818,0,CI5
2011-09-12,3818,3818,3818,3818,0,CI5
2011-09-13,3818,3818,3818,3818,0,CI5
2011-09-14,3818,3818,3818,3818,0,CI5
2011-09-15,3818,3818,3818,3818,0,CI5
2011-09-16,3818,3818,3818,3818,0,CI5
2011-09-19,3818,3818,3818,3818,0,CI5
2011-09-20,3818,3818,3818,3818,0,CI5
2011-09-21,3818,3818,3818,3818,0,CI5
2011-09-22,3818,3818,3818,3818,0,CI5
2011-09-23,3818,3818,3818,3818,0,CI5
2011-09-26,3818,3818,3818,3818,0,CI5
2011-09-27,3818,3818,3818,3818,0,CI5
2011-09-28,3818,3818,3818,3818,0,CI5
2011-09-29,3818,3818,3818,3818,0,CI5
2011-09-30,3818,3818,3818,3818,0,CI5
2011-10-03,3818,3818,3818,3818,0,CI5
2011-10-04,3818,3818,3818,3818,0,CI5
2011-10-05,3818,3818,3818,3818,0,CI5
2011-10-06,3818,3818,3818,3818,0,CI5
