time,open,high,low,close,volume,ticker
2006-12-14,11992,11992,7195,7627,1100,CJC
2006-12-15,7914,7914,7914,7914,500,CJC
2006-12-18,8394,8394,8394,8394,1000,CJC
2006-12-19,8634,9234,8394,9234,1700,CJC
2006-12-20,9545,9545,9545,9545,1200,CJC
2006-12-21,10025,10073,10025,10073,1100,CJC
2006-12-22,10049,10049,10049,10049,0,CJC
2006-12-25,10049,10049,10049,10049,0,CJC
2006-12-26,10049,10049,10049,10049,0,CJC
2006-12-27,11032,11032,9833,9833,600,CJC
2006-12-28,10840,10840,10840,10840,0,CJC
2006-12-29,10840,10840,10840,10840,0,CJC
2007-01-02,10840,10840,10840,10840,0,CJC
2007-01-03,10840,10840,10840,10840,0,CJC
2007-01-04,10840,10840,10840,10840,0,CJC
2007-01-05,10840,10840,10840,10840,0,CJC
2007-01-08,10840,10840,10840,10840,0,CJC
2007-01-09,10840,10840,10840,10840,0,CJC
2007-01-10,10840,10840,10840,10840,0,CJC
2007-01-11,10840,10840,10840,10840,0,CJC
2007-01-12,10840,10840,10840,10840,0,CJC
2007-01-15,10840,10840,10840,10840,0,CJC
2007-01-16,10840,10840,10840,10840,0,CJC
2007-01-17,10840,10840,10840,10840,0,CJC
2007-01-18,9761,9761,9761,9761,200,CJC
2007-01-19,8802,8802,8802,8802,1100,CJC
2007-01-22,8034,8034,8034,8034,600,CJC
2007-01-23,8034,8034,8034,8034,0,CJC
2007-01-24,8034,8034,8034,8034,0,CJC
2007-01-25,7243,7291,7243,7291,2000,CJC
2007-01-26,7219,7219,6619,6619,800,CJC
2007-01-29,6235,6235,6235,6235,100,CJC
2007-01-30,6235,6235,6235,6235,0,CJC
2007-01-31,6859,6859,6859,6859,2500,CJC
2007-02-01,7531,7531,7531,7531,1000,CJC
2007-02-02,8034,8034,8034,8034,1000,CJC
2007-02-05,8298,8826,7794,7794,3200,CJC
2007-02-06,8898,8898,8874,8874,1100,CJC
2007-02-07,9761,9761,9761,9761,500,CJC
2007-02-08,10721,10721,10721,10721,1800,CJC
2007-02-09,10673,11776,10673,11776,5100,CJC
2007-02-12,12232,12232,10145,10145,1900,CJC
2007-02-13,10553,11992,10553,11992,700,CJC
2007-02-14,11176,11272,11080,11272,500,CJC
2007-02-15,10073,11176,10073,11176,1400,CJC
2007-02-26,10625,10625,10625,10625,600,CJC
2007-02-27,11032,11032,10912,10912,800,CJC
2007-02-28,11032,11272,10625,10625,900,CJC
2007-03-01,10673,10769,10673,10769,1500,CJC
2007-03-02,10793,11800,10793,11272,2000,CJC
2007-03-05,12136,12136,11320,11728,8800,CJC
2007-03-06,12591,13191,12591,13191,5100,CJC
2007-03-07,14462,14462,13431,13911,2300,CJC
2007-03-08,15398,15398,15062,15230,4400,CJC
2007-03-09,16549,16765,16549,16669,9800,CJC
2007-03-12,18372,18372,18228,18372,7600,CJC
2007-03-13,18348,18947,17988,18947,3600,CJC
2007-03-14,16621,17988,16621,17988,3000,CJC
2007-03-15,17268,17268,15781,15781,700,CJC
2007-03-16,15355,15355,15160,15160,1900,CJC
2007-03-19,16667,16667,16521,16521,2000,CJC
2007-03-20,16521,16618,14966,16521,1600,CJC
2007-03-21,16278,16278,16156,16156,900,CJC
2007-03-22,16132,16156,16132,16156,1000,CJC
2007-03-23,14577,14820,14577,14577,1200,CJC
2007-03-26,14577,14577,14577,14577,600,CJC
2007-03-27,13119,13119,13119,13119,700,CJC
