time,open,high,low,close,volume,ticker
2016-06-07,5551,5551,5283,5283,5100,CLH
2016-06-08,4824,5015,4824,4977,1400,CLH
2016-06-09,4518,4786,4518,4786,600,CLH
2016-06-10,4364,5245,4364,5054,6700,CLH
2016-06-13,5054,5360,4632,5360,14100,CLH
2016-06-14,5360,5360,5360,5360,2000,CLH
2016-06-15,4862,5207,4862,5207,2100,CLH
2016-06-16,5360,5360,5360,5360,12000,CLH
2016-06-17,4862,5743,4862,5207,5400,CLH
2016-06-20,5666,5666,5398,5437,10200,CLH
2016-06-21,4939,5819,4939,5475,13400,CLH
2016-06-22,5551,5551,5551,5551,4000,CLH
2016-06-23,5551,5551,5551,5551,0,CLH
2016-06-24,5054,5054,5054,5054,100,CLH
2016-06-27,4594,5551,4594,5551,1100,CLH
2016-06-28,5054,6087,5054,6087,5300,CLH
2016-06-29,6087,6087,6087,6087,0,CLH
2016-06-30,5551,5590,5551,5590,40000,CLH
2016-07-01,5666,5705,5666,5705,11800,CLH
2016-07-04,5705,5705,5705,5705,0,CLH
2016-07-05,5207,5705,5207,5705,22000,CLH
2016-07-06,5666,5666,5207,5666,1200,CLH
2016-07-07,5666,5743,5628,5743,18100,CLH
2016-07-08,5207,6126,5207,5896,3800,CLH
2016-07-11,5360,5743,5360,5743,2600,CLH
2016-07-12,5283,5551,5283,5551,5700,CLH
2016-07-13,5054,5934,5054,5743,3200,CLH
2016-07-14,5743,5743,5743,5743,10500,CLH
2016-07-15,5743,5743,5743,5743,0,CLH
2016-07-18,5743,5743,5743,5743,400,CLH
2016-07-19,5628,5743,5628,5743,9100,CLH
2016-07-20,5743,5743,5743,5743,0,CLH
2016-07-21,5934,5934,5934,5934,3800,CLH
2016-07-22,5743,5743,5743,5743,2500,CLH
2016-07-25,5743,5743,5743,5743,0,CLH
2016-07-26,5207,6126,5207,6126,2800,CLH
2016-07-27,5551,6126,5551,6126,600,CLH
2016-07-28,5551,6126,5551,5934,400,CLH
2016-07-29,5934,5934,5934,5934,0,CLH
2016-08-01,5743,5743,5743,5743,100,CLH
2016-08-02,5398,5551,5398,5551,5100,CLH
2016-08-03,5322,5398,5322,5360,4100,CLH
2016-08-04,5360,5360,5360,5360,0,CLH
2016-08-05,5360,5360,5360,5360,0,CLH
2016-08-08,5360,5360,5360,5360,0,CLH
2016-08-09,5207,5896,5207,5360,1600,CLH
2016-08-10,5360,5360,5360,5360,0,CLH
2016-08-11,5015,5896,5015,5398,600,CLH
2016-08-12,5398,5398,5398,5398,0,CLH
2016-08-15,5398,5398,5398,5398,400,CLH
2016-08-16,5743,5743,5743,5743,200,CLH
2016-08-17,5551,5743,5551,5743,4000,CLH
2016-08-18,5207,5743,5207,5743,28100,CLH
2016-08-19,5283,5743,5283,5743,3000,CLH
2016-08-22,5743,5743,5743,5743,0,CLH
2016-08-23,5322,5743,5322,5743,1500,CLH
2016-08-24,5628,5628,5628,5628,3800,CLH
2016-08-25,5628,5628,5628,5628,100,CLH
2016-08-26,5628,5743,5628,5743,8900,CLH
2016-08-29,5437,5743,5437,5743,1800,CLH
2016-08-30,5743,5743,5743,5743,0,CLH
2016-08-31,5743,5743,5743,5743,0,CLH
2016-09-01,5437,5743,5437,5666,26600,CLH
2016-09-05,5590,5666,5475,5590,1700,CLH
2016-09-06,5360,5360,5360,5360,2000,CLH
2016-09-07,5015,5590,5015,5283,4800,CLH
2016-09-08,5130,5283,5092,5283,25500,CLH
2016-09-09,5130,5437,5092,5283,31700,CLH
2016-09-12,5092,5283,5092,5283,7100,CLH
2016-09-13,5283,5360,5283,5283,25100,CLH
2016-09-14,5283,5283,5283,5283,900,CLH
2016-09-15,5283,5551,5283,5551,16600,CLH
2016-09-16,5360,5360,5360,5360,100,CLH
2016-09-19,5360,5360,5283,5283,3800,CLH
2016-09-20,5283,5283,5168,5168,3200,CLH
2016-09-21,5437,5437,5437,5437,200,CLH
2016-09-22,5360,5437,5360,5437,5500,CLH
2016-09-23,5437,5437,5437,5437,3100,CLH
2016-09-26,4977,5475,4977,5437,9400,CLH
2016-09-27,5437,5437,5437,5437,1900,CLH
2016-09-28,5551,5551,5551,5551,16400,CLH
2016-09-29,5207,5207,5207,5207,100,CLH
2016-09-30,5551,5551,5551,5551,11500,CLH
2016-10-03,5551,5551,5551,5551,0,CLH
2016-10-04,5475,5666,5475,5666,20000,CLH
2016-10-05,5551,5551,5551,5551,3000,CLH
2016-10-06,5666,5666,5666,5666,9300,CLH
2016-10-07,5207,5551,5207,5551,1000,CLH
2016-10-10,5054,5666,5054,5666,12800,CLH
2016-10-11,5666,5666,5666,5666,100,CLH
2016-10-12,5743,5743,5743,5743,6100,CLH
2016-10-13,5207,6126,5207,6126,3200,CLH
2016-10-14,5590,5590,5590,5590,100,CLH
2016-10-17,5207,5666,5207,5666,1100,CLH
2016-10-18,5666,5666,5666,5666,1200,CLH
2016-10-19,5666,5666,5666,5666,12500,CLH
2016-10-20,5666,5666,5666,5666,2400,CLH
2016-10-21,5896,5896,5666,5666,1300,CLH
2016-10-24,5896,5896,5896,5896,100,CLH
2016-10-25,5666,5666,5666,5666,1700,CLH
2016-10-26,5360,5666,5360,5666,1300,CLH
2016-10-27,5666,5666,5666,5666,0,CLH
2016-10-28,5666,5666,5666,5666,7500,CLH
2016-10-31,5743,5743,5743,5743,600,CLH
2016-11-01,5743,5743,5743,5743,0,CLH
