time,open,high,low,close,volume,ticker
2006-12-11,4872,4872,4872,4872,4900,CMC
2006-12-12,4872,4872,4872,4872,0,CMC
2006-12-13,4872,4872,4872,4872,0,CMC
2006-12-14,5359,5359,5359,5359,100,CMC
2006-12-15,5890,5890,5890,5890,100,CMC
2006-12-18,6466,6466,6466,6466,300,CMC
2006-12-19,6466,6466,6466,6466,0,CMC
2006-12-20,7086,7086,7086,7086,500,CMC
2006-12-21,7795,7795,7795,7795,400,CMC
2006-12-22,8415,8415,8415,8415,200,CMC
2006-12-25,9256,9256,9256,9256,900,CMC
2006-12-26,9744,10142,9744,9788,1200,CMC
2006-12-27,10762,10762,10762,10762,1200,CMC
2006-12-28,11515,11825,11515,11781,1200,CMC
2006-12-29,12933,12933,12933,12933,500,CMC
2007-01-02,14217,14217,14217,14217,900,CMC
2007-01-03,15502,15502,15502,15502,500,CMC
2007-01-04,15723,16830,15723,16830,1500,CMC
2007-01-05,16830,16830,16830,16830,2500,CMC
2007-01-08,16387,16387,16387,16387,200,CMC
2007-01-09,16387,16387,16387,16387,0,CMC
2007-01-10,15502,15502,14749,14749,1500,CMC
2007-01-11,13420,13420,13420,13420,500,CMC
2007-01-12,12844,12844,12091,12091,600,CMC
2007-01-15,11515,11515,11515,11515,100,CMC
2007-01-16,11958,12667,11072,12667,3200,CMC
2007-01-17,13154,13154,13154,13154,200,CMC
2007-01-18,14439,14439,14439,14439,600,CMC
2007-01-19,14439,14439,14439,14439,0,CMC
2007-01-22,15059,15856,15059,15856,2800,CMC
2007-01-23,16609,16830,16609,16830,1600,CMC
2007-01-24,17716,17716,17716,17716,1000,CMC
2007-01-25,19488,19488,19045,19045,400,CMC
2007-01-26,19488,19488,17716,19488,1300,CMC
2007-01-29,18602,19178,18602,18824,2800,CMC
2007-01-30,18956,19045,18956,19045,3700,CMC
2007-01-31,18824,18824,18824,18824,500,CMC
2007-02-01,18824,18824,18824,18824,3200,CMC
2007-02-02,18824,19045,18824,19045,3100,CMC
2007-02-05,19540,19540,19091,19316,7400,CMC
2007-02-06,19316,19316,19091,19091,2300,CMC
2007-02-07,19136,19136,19136,19136,0,CMC
2007-02-08,18867,18867,18867,18867,400,CMC
2007-02-09,18642,18642,18642,18642,200,CMC
2007-02-12,18642,18642,18642,18642,0,CMC
2007-02-13,16800,18417,16800,18417,1500,CMC
2007-02-14,17070,17968,17070,17968,1400,CMC
2007-02-15,19451,19451,19451,19451,100,CMC
2007-02-26,20663,21382,20663,21382,2300,CMC
2007-02-27,23134,23134,23134,23134,1000,CMC
2007-02-28,25425,25425,24257,24257,700,CMC
2007-03-01,25111,25111,25111,25111,0,CMC
2007-03-02,25111,25111,25111,25111,0,CMC
2007-03-05,27581,27581,22909,22909,2400,CMC
2007-03-06,22909,22909,22909,22909,1400,CMC
2007-03-07,25156,25156,22909,25156,7300,CMC
2007-03-08,25695,25695,25650,25695,3200,CMC
2007-03-09,28255,28255,28255,28255,2900,CMC
2007-03-12,31040,31040,31040,31040,4100,CMC
2007-03-13,34140,34140,33241,33241,18200,CMC
2007-03-14,30726,32792,30726,32792,1100,CMC
2007-03-15,30726,30995,30726,30995,400,CMC
2007-03-16,27806,30546,27806,30546,2600,CMC
