time,open,high,low,close,volume,ticker
2010-11-09,7787,8046,7683,7787,97540,CMX
2010-11-10,7527,8150,7423,7475,45950,CMX
2010-11-11,7839,7839,7112,7164,43310,CMX
2010-11-12,7268,7475,7164,7475,12200,CMX
2010-11-15,7839,7839,7112,7112,26330,CMX
2010-11-16,7268,7423,7112,7423,14900,CMX
2010-11-17,7787,7787,7423,7423,7310,CMX
2010-11-18,7579,7787,7423,7787,7790,CMX
2010-11-19,7631,7787,7475,7631,11300,CMX
2010-11-22,7631,7631,7423,7423,3000,CMX
2010-11-23,7683,7735,7423,7631,21130,CMX
2010-11-24,7631,7735,7579,7735,28800,CMX
2010-11-25,7631,7735,7423,7423,10070,CMX
2010-11-26,7683,7683,7423,7631,26260,CMX
2010-11-29,7475,7787,7475,7787,6530,CMX
2010-11-30,7891,7891,7631,7787,1200,CMX
2010-12-01,7579,7787,7579,7735,9590,CMX
2010-12-02,7787,8046,7683,8046,46320,CMX
2010-12-03,8410,8410,7787,8410,27500,CMX
2010-12-06,8825,8825,7994,8150,18230,CMX
2010-12-07,7787,8150,7787,7787,50940,CMX
2010-12-08,7631,7787,7527,7527,3500,CMX
2010-12-09,7891,7891,7527,7891,530,CMX
2010-12-10,8202,8202,7891,8046,1690,CMX
2010-12-13,8358,8358,7683,7683,6870,CMX
2010-12-14,7527,7891,7527,7891,7450,CMX
2010-12-15,7891,7994,7891,7994,22160,CMX
2010-12-16,7943,8046,7787,7787,21000,CMX
2010-12-17,7683,8046,7683,8046,2670,CMX
2010-12-20,8254,8254,7787,7787,520,CMX
2010-12-21,7787,7787,7787,7787,1020,CMX
2010-12-22,7787,8098,7787,7787,8670,CMX
2010-12-23,7787,7787,7787,7787,0,CMX
2010-12-24,8098,8150,7787,8150,18580,CMX
2010-12-27,8202,8410,8150,8358,7500,CMX
2010-12-28,8358,8358,8358,8358,0,CMX
2010-12-29,7943,8358,7943,8306,610,CMX
2010-12-30,7891,8306,7891,8306,4100,CMX
2010-12-31,8046,8306,7891,7891,1700,CMX
2011-01-04,7579,8046,7579,7631,5780,CMX
2011-01-05,7631,7891,7527,7891,7950,CMX
2011-01-06,7579,7994,7579,7994,2770,CMX
2011-01-07,7631,7994,7631,7891,2200,CMX
2011-01-10,7943,7943,7527,7527,2550,CMX
2011-01-11,7735,7735,7527,7735,100,CMX
2011-01-12,7787,7787,7735,7787,2100,CMX
2011-01-13,7579,7787,7579,7735,1630,CMX
2011-01-14,7631,7735,7631,7631,2800,CMX
2011-01-17,7631,7735,7631,7735,8500,CMX
2011-01-18,7631,7735,7423,7735,10850,CMX
2011-01-19,7423,7735,7423,7423,10,CMX
2011-01-20,7164,7787,7164,7631,9030,CMX
2011-01-21,7423,7631,7320,7527,2510,CMX
2011-01-24,7371,7683,7164,7683,7680,CMX
2011-01-25,7683,7683,7683,7683,900,CMX
2011-01-26,7683,7683,7423,7527,2100,CMX
2011-01-27,7371,7527,7371,7371,1020,CMX
2011-01-28,7268,7527,7268,7527,5040,CMX
2011-02-08,7683,7683,7527,7683,20,CMX
2011-02-09,7423,7683,7423,7423,2260,CMX
2011-02-10,7371,7423,7371,7371,500,CMX
2011-02-11,7371,7371,7320,7320,3150,CMX
2011-02-14,7320,7371,7320,7371,4450,CMX
2011-02-15,7423,7423,7371,7423,6010,CMX
2011-02-16,7371,7423,7268,7268,9000,CMX
2011-02-17,7268,7268,7268,7268,10,CMX
2011-02-18,7008,7268,7008,7008,10,CMX
2011-02-21,6956,7320,6748,7320,13790,CMX
2011-02-22,6956,7320,6956,7320,3720,CMX
2011-02-23,7008,7320,7008,7216,2260,CMX
2011-02-24,7060,7216,7060,7060,2000,CMX
2011-02-25,6748,7060,6748,6748,3050,CMX
2011-02-28,6748,7060,6748,7060,120,CMX
2011-03-01,7112,7112,7060,7112,100,CMX
2011-03-02,6800,7112,6800,7060,550,CMX
2011-03-03,7060,7060,7060,7060,100,CMX
2011-03-04,7060,7060,7060,7060,0,CMX
2011-03-07,7060,7060,6748,6748,4900,CMX
2011-03-08,6593,6748,6593,6748,1010,CMX
2011-03-09,6748,6748,6748,6748,0,CMX
2011-03-10,6697,6748,6697,6748,1010,CMX
2011-03-11,6437,6748,6437,6437,1840,CMX
2011-03-14,6748,6748,6437,6748,10,CMX
2011-03-15,6748,6748,6748,6748,0,CMX
2011-03-16,6748,6748,6748,6748,0,CMX
2011-03-17,6748,6800,6437,6800,3040,CMX
2011-03-18,6489,6800,6489,6489,2610,CMX
2011-03-21,6177,6593,6177,6593,12910,CMX
2011-03-22,6748,6748,6593,6748,10,CMX
2011-03-23,6748,6748,6748,6748,0,CMX
2011-03-24,6748,6748,6748,6748,0,CMX
2011-03-25,6489,6748,6489,6489,2000,CMX
2011-03-28,6177,6489,6177,6489,210,CMX
2011-03-29,6489,6489,6489,6489,800,CMX
2011-03-30,6697,6748,6177,6748,40,CMX
2011-03-31,6437,6748,6437,6437,2520,CMX
2011-04-01,6125,6437,6125,6125,3840,CMX
2011-04-04,6125,6385,6125,6385,590,CMX
2011-04-05,6229,6385,6229,6229,1370,CMX
2011-04-06,6229,6385,6177,6229,5900,CMX
2011-04-07,6177,6229,6074,6074,4790,CMX
2011-04-08,5970,6229,5866,6229,10010,CMX
2011-04-13,5918,6541,5918,6541,510,CMX
2011-04-14,6541,6541,6541,6541,0,CMX
2011-04-15,6437,6541,6437,6437,300,CMX
2011-04-18,6229,6437,6177,6229,6120,CMX
2011-04-19,5918,6489,5918,6489,80,CMX
2011-04-20,6229,6489,6229,6229,1000,CMX
2011-04-21,6489,6489,6229,6489,1100,CMX
2011-04-22,6229,6489,6177,6177,29180,CMX
2011-04-25,5918,6385,5918,6385,2010,CMX
