time,open,high,low,close,volume,ticker
2008-07-28,21201,21201,21201,21201,1420,CNT
2008-07-29,21201,21201,20612,20612,10,CNT
2008-07-30,20023,20023,20023,20023,50,CNT
2008-07-31,20023,20023,19434,19434,100,CNT
2008-08-01,19434,19434,18904,18904,100,CNT
2008-08-04,18904,18904,18374,18374,120,CNT
2008-08-05,18374,18374,18374,18374,0,CNT
2008-08-06,17844,17844,17844,17844,100,CNT
2008-08-07,17314,17314,17314,17314,100,CNT
2008-08-08,16843,16843,16843,16843,100,CNT
2008-08-11,16372,16372,16372,16372,400,CNT
2008-08-12,15900,15900,15900,15900,600,CNT
2008-08-13,15429,15429,15429,15429,100,CNT
2008-08-14,15017,15842,15017,15017,192810,CNT
2008-08-15,14605,14605,14605,14605,42820,CNT
2008-08-18,13898,13898,13898,13898,12150,CNT
2008-08-19,13250,13250,13250,13250,69690,CNT
2008-08-20,12602,13898,12602,13898,272650,CNT
2008-08-21,14546,14546,14546,14546,84440,CNT
2008-08-22,15253,15253,14723,15253,156850,CNT
2008-08-25,15959,15959,15959,15959,7920,CNT
2008-08-26,16725,16725,16725,16725,6380,CNT
2008-08-27,17549,17549,16548,16725,250990,CNT
2008-08-28,15900,15900,15900,15900,12310,CNT
2008-08-29,15135,15135,15135,15135,32200,CNT
2008-09-03,15842,15842,15370,15724,166310,CNT
2008-09-04,14958,15665,14958,14958,118710,CNT
2008-09-05,14428,15665,14428,15665,92980,CNT
2008-09-08,14899,15606,14899,15606,81590,CNT
2008-09-09,15076,15606,14840,14840,47950,CNT
2008-09-10,14193,15076,14134,14134,50290,CNT
2008-09-11,13427,13545,13427,13427,92190,CNT
2008-09-12,12779,12779,12779,12779,18770,CNT
2008-09-15,12779,13368,12367,13074,60830,CNT
2008-09-16,12426,12485,12426,12426,34470,CNT
2008-09-17,11837,12956,11837,12720,55110,CNT
2008-09-18,12131,12131,12131,12131,8870,CNT
2008-09-19,12720,12720,12720,12720,27040,CNT
2008-09-22,13309,13309,13309,13309,7200,CNT
2008-09-23,12661,13250,12661,12661,28520,CNT
2008-09-24,12661,12661,12072,12072,43490,CNT
2008-09-25,12308,12426,12072,12426,22520,CNT
2008-09-26,12897,12897,12072,12072,20260,CNT
2008-09-29,11601,11896,11483,11542,22080,CNT
2008-09-30,11012,11012,11012,11012,5250,CNT
2008-10-01,10953,11012,10600,10718,14980,CNT
2008-10-02,11130,11130,10718,10718,30390,CNT
2008-10-03,11248,11248,11189,11248,84870,CNT
2008-10-06,11778,11778,11483,11778,97390,CNT
2008-10-07,11778,11778,11189,11189,36680,CNT
2008-10-08,10659,11130,10659,10659,22770,CNT
2008-10-09,10600,11071,10188,10188,29840,CNT
2008-10-10,9717,9717,9717,9717,13140,CNT
2008-10-13,9363,9717,9246,9246,39180,CNT
2008-10-14,9658,9658,9658,9658,4390,CNT
2008-10-15,9422,9658,9187,9540,34100,CNT
2008-10-16,9069,9187,9069,9069,23950,CNT
