time,open,high,low,close,volume,ticker
2010-01-18,6872,6872,6475,6475,4500,CPC
2010-01-19,6475,6475,6475,6475,400,CPC
2010-01-20,6475,6475,6475,6475,0,CPC
2010-01-21,6026,6026,6026,6026,2500,CPC
2010-01-22,5629,5629,5629,5629,2500,CPC
2010-01-25,5259,5259,5259,5259,200,CPC
2010-01-26,4916,5576,4916,5286,25500,CPC
2010-01-27,4995,5154,4651,4651,4000,CPC
2010-01-28,4572,4572,4440,4440,1300,CPC
2010-01-29,4493,4757,4493,4757,1200,CPC
2010-02-01,4493,4493,4466,4466,6400,CPC
2010-02-02,4361,4493,4228,4493,7100,CPC
2010-02-03,4466,4704,4466,4704,6600,CPC
2010-02-04,4889,4889,4863,4889,7000,CPC
2010-02-05,5074,5074,4916,4916,2600,CPC
2010-02-08,5259,5391,5048,5233,11500,CPC
2010-02-09,4942,5021,4916,4916,1000,CPC
2010-02-10,4704,4704,4704,4704,1100,CPC
2010-02-11,4757,5021,4757,5021,3300,CPC
2010-02-12,5286,5312,5021,5021,1600,CPC
2010-02-22,5154,5154,5154,5154,300,CPC
2010-02-23,5101,5101,4810,4995,7800,CPC
2010-02-24,4783,4836,4783,4836,1700,CPC
2010-02-25,4810,5048,4810,4863,7900,CPC
2010-02-26,4968,5048,4916,5048,3500,CPC
2010-03-01,4968,4968,4625,4625,2600,CPC
2010-03-02,4413,4519,4413,4519,600,CPC
2010-03-03,4598,4731,4598,4731,9200,CPC
2010-03-04,4942,4942,4942,4942,100,CPC
2010-03-05,4942,4942,4704,4942,500,CPC
2010-03-08,4757,4757,4704,4757,5000,CPC
2010-03-09,4625,4757,4625,4757,1500,CPC
2010-03-10,4572,4731,4572,4731,2800,CPC
2010-03-11,4757,4810,4678,4810,4200,CPC
2010-03-12,4783,4863,4783,4863,2200,CPC
2010-03-15,4836,4942,4836,4916,38300,CPC
2010-03-16,4889,4889,4889,4889,4600,CPC
2010-03-17,4863,4863,4757,4757,5100,CPC
2010-03-18,4757,4757,4757,4757,2700,CPC
2010-03-19,4757,4757,4625,4625,2600,CPC
2010-03-22,4757,4757,4704,4757,13200,CPC
2010-03-23,4757,4757,4731,4731,7200,CPC
2010-03-24,4757,4757,4757,4757,4000,CPC
2010-03-25,4757,4757,4598,4598,10100,CPC
2010-03-26,4651,4651,4651,4651,0,CPC
2010-03-29,4889,4889,4651,4651,1100,CPC
2010-03-30,4810,4889,4757,4783,9700,CPC
2010-03-31,4757,4757,4757,4757,1000,CPC
2010-04-01,4757,4757,4757,4757,1300,CPC
2010-04-02,4757,4757,4757,4757,0,CPC
2010-04-05,4731,4731,4731,4731,7300,CPC
2010-04-06,4863,5021,4863,5021,18400,CPC
2010-04-07,4889,4889,4889,4889,4000,CPC
2010-04-08,4889,4889,4757,4889,25100,CPC
2010-04-09,4757,4889,4757,4889,14900,CPC
2010-04-12,4916,5206,4916,5206,74400,CPC
2010-04-13,5471,5471,5471,5471,43800,CPC
2010-04-14,5841,5841,5550,5735,46500,CPC
2010-04-15,5735,5735,5471,5550,21700,CPC
2010-04-16,5682,5867,5550,5867,69700,CPC
2010-04-19,6026,6105,5946,6105,60300,CPC
2010-04-20,6528,6528,6528,6528,33900,CPC
2010-04-21,6977,6977,6872,6977,212800,CPC
2010-04-22,7453,7453,6501,6713,72700,CPC
2010-04-26,6739,6739,6343,6607,81800,CPC
2010-04-27,6777,6777,6438,6494,26400,CPC
2010-04-28,6551,6607,6494,6607,13700,CPC
2010-04-29,6607,7003,6607,7003,105600,CPC
2010-05-04,7341,7398,7341,7398,23400,CPC
2010-05-05,7906,7906,7624,7906,189700,CPC
2010-05-06,8443,8443,8189,8443,330100,CPC
2010-05-07,8443,8471,7878,7878,110400,CPC
2010-05-10,7680,7680,7370,7370,62900,CPC
2010-05-11,7539,7906,7031,7144,83400,CPC
2010-05-12,6777,6833,6777,6777,56500,CPC
2010-05-13,6494,6805,6325,6410,87400,CPC
2010-05-14,6635,6918,6438,6918,83700,CPC
2010-05-17,7257,7257,6692,6861,75600,CPC
2010-05-18,6805,6918,6494,6777,26700,CPC
2010-05-19,7059,7059,6297,6325,118000,CPC
2010-05-20,6042,6438,5929,6212,45100,CPC
2010-05-21,5929,5929,5647,5845,116000,CPC
2010-05-24,6099,6099,5365,6099,36100,CPC
2010-05-25,6212,6212,6155,6155,17300,CPC
2010-05-26,6325,6579,6325,6579,31000,CPC
2010-05-27,6777,6918,6494,6777,24300,CPC
2010-05-28,7144,7144,7003,7087,58600,CPC
2010-05-31,6946,6946,6579,6579,38400,CPC
2010-06-01,6494,6522,6297,6466,11500,CPC
2010-06-02,6607,6607,6212,6494,14400,CPC
2010-06-03,6777,6861,6664,6664,42400,CPC
2010-06-04,6551,6551,6494,6522,5900,CPC
2010-06-07,6494,6494,6297,6325,10800,CPC
2010-06-08,6353,6353,6353,6353,15000,CPC
2010-06-09,6777,6777,6325,6325,700,CPC
2010-06-10,5986,6607,5986,6381,16100,CPC
2010-06-11,6748,6805,6438,6438,23200,CPC
2010-06-14,6494,6579,6494,6494,9300,CPC
2010-06-15,6494,6579,6410,6579,22000,CPC
2010-06-16,6438,6522,6353,6438,25300,CPC
2010-06-17,6410,6551,6381,6551,24400,CPC
2010-06-18,6579,6579,6297,6353,51700,CPC
2010-06-21,6551,6664,6494,6551,73700,CPC
2010-06-22,6607,7003,6607,6890,117100,CPC
2010-06-23,6635,6833,6635,6833,9300,CPC
2010-06-24,6777,6861,6777,6805,15000,CPC
2010-06-25,6635,6635,6494,6551,22500,CPC
2010-06-28,6494,6551,6381,6551,20900,CPC
2010-06-29,6494,6607,6410,6494,18700,CPC
2010-06-30,6353,6466,6325,6438,37600,CPC
2010-07-01,6353,6438,6325,6381,33100,CPC
2010-07-02,6410,6438,6381,6410,37100,CPC
2010-07-05,6353,6410,6353,6410,8300,CPC
2010-07-06,6381,6381,6184,6184,21700,CPC
2010-07-07,6297,6579,6297,6381,27200,CPC
2010-07-08,6353,6353,6353,6353,7100,CPC
2010-07-09,6381,6494,6353,6466,32200,CPC
2010-07-12,6494,6833,6494,6833,309900,CPC
2010-07-13,7257,7257,7200,7257,175800,CPC
2010-07-14,7737,7737,6918,7031,78600,CPC
2010-07-15,7003,7341,7003,7059,81900,CPC
2010-07-16,6946,7144,6833,6890,109700,CPC
2010-07-19,6974,7454,6974,7454,321500,CPC
2010-07-20,7906,7906,7765,7906,379500,CPC
2010-07-21,8414,8443,7906,7963,186800,CPC
2010-07-22,7624,7991,7567,7596,143000,CPC
2010-07-23,7765,7850,7257,7398,60500,CPC
2010-07-26,7115,7341,6890,6890,180400,CPC
2010-07-27,6635,7059,6635,6692,219000,CPC
2010-07-28,6720,6777,6438,6466,216500,CPC
2010-07-29,6635,6777,6522,6777,41200,CPC
2010-07-30,6918,6918,6720,6777,29800,CPC
2010-08-02,6777,6805,6579,6635,106800,CPC
2010-08-03,6861,6861,6494,6635,83200,CPC
2010-08-04,6551,6579,6466,6522,97700,CPC
2010-08-05,6522,6720,6494,6720,34900,CPC
2010-08-06,6551,6551,6494,6551,65300,CPC
2010-08-09,6522,6522,6297,6410,53100,CPC
2010-08-10,6579,6579,6099,6127,61500,CPC
2010-08-11,6268,6522,6099,6522,11300,CPC
2010-08-12,6268,6268,5845,5845,65000,CPC
2010-08-13,5929,6014,5732,5929,33900,CPC
2010-08-16,6071,6212,6071,6212,38300,CPC
2010-08-17,6155,6155,5958,5986,31500,CPC
2010-08-18,5929,5929,5704,5704,44900,CPC
2010-08-19,5732,5732,5647,5647,26000,CPC
2010-08-20,5929,6071,5929,6071,119800,CPC
2010-08-23,6071,6353,5817,5817,24400,CPC
2010-08-24,5760,5760,5647,5647,62200,CPC
2010-08-25,5647,5647,5280,5280,61200,CPC
2010-08-26,5675,5675,5082,5393,29800,CPC
2010-08-27,5308,5506,5082,5365,25900,CPC
2010-08-30,5506,5562,5506,5562,32700,CPC
2010-08-31,5873,5929,5817,5845,20100,CPC
2010-09-01,5929,6184,5873,5929,8500,CPC
2010-09-06,5929,6127,5873,6071,30000,CPC
2010-09-07,6014,6099,5986,6042,66500,CPC
2010-09-08,5958,5958,5817,5845,52100,CPC
2010-09-09,5817,6268,5788,6268,138300,CPC
2010-09-10,6297,6297,5929,5986,51200,CPC
2010-09-13,6099,6099,5788,5817,20000,CPC
2010-09-14,6212,6212,5929,5929,10200,CPC
2010-09-15,6014,6014,5732,5732,44200,CPC
2010-09-16,5675,5873,5591,5873,23100,CPC
2010-09-17,5845,5929,5788,5929,10700,CPC
2010-09-20,6071,6071,5675,5675,14000,CPC
2010-09-21,5760,5760,5421,5506,35500,CPC
2010-09-22,5534,5675,5534,5647,16000,CPC
2010-09-23,5591,5901,5591,5647,17700,CPC
2010-09-24,5675,5788,5675,5788,3100,CPC
2010-09-27,5732,5760,5732,5760,2900,CPC
2010-09-28,5647,5760,5619,5619,9500,CPC
2010-09-29,5562,5647,5534,5534,6800,CPC
2010-09-30,5534,5534,5506,5506,4800,CPC
2010-10-01,5873,5873,5506,5591,4900,CPC
2010-10-04,5336,5365,5167,5167,70400,CPC
2010-10-05,5167,5280,5111,5224,36800,CPC
2010-10-06,5336,5336,5167,5224,7100,CPC
2010-10-07,5252,5252,5139,5167,15200,CPC
2010-10-08,5111,5111,4913,4941,24100,CPC
2010-10-11,5026,5224,5026,5026,8500,CPC
2010-10-12,4969,4969,4885,4913,9200,CPC
2010-10-13,4913,5054,4913,4941,2200,CPC
2010-10-14,4969,5054,4969,4998,12900,CPC
2010-10-15,5026,5082,4969,5082,6600,CPC
2010-10-18,5026,5139,4969,4969,14800,CPC
2010-10-19,5026,5026,4941,4941,8000,CPC
2010-10-20,4743,4743,4687,4715,8500,CPC
2010-10-21,4800,4800,4800,4800,4500,CPC
2010-10-22,4800,4800,4687,4772,17200,CPC
2010-10-25,4743,4856,4715,4856,12800,CPC
