time,open,high,low,close,volume,ticker
2020-08-18,9793,9793,9793,9793,0,CQN
2020-08-19,13646,13646,13646,13646,1100,CQN
2020-08-20,15653,15653,15653,15653,500,CQN
2020-08-21,17981,17981,17981,17981,700,CQN
2020-08-24,20630,20630,20630,20630,4081,CQN
2020-08-25,23680,23680,23680,23680,12200,CQN
2020-08-26,27212,27212,27212,27212,5700,CQN
2020-08-27,31226,31226,31226,31226,16839,CQN
2020-08-28,35882,35882,26570,26570,13883,CQN
2020-08-31,25848,25848,25848,25848,2436,CQN
2020-09-01,25848,25848,25848,25848,347,CQN
2020-09-03,25848,25848,25848,25848,122,CQN
2020-09-04,21995,21995,21995,21995,2708,CQN
2020-09-07,18703,18703,18703,18703,800,CQN
2020-09-08,15974,18703,15974,15974,28893,CQN
2020-09-09,15974,18543,15974,18543,7221,CQN
2020-09-10,19426,19426,19426,19426,8193,CQN
2020-09-11,19907,19907,17660,19185,15372,CQN
2020-09-14,18462,19265,16857,17178,13191,CQN
2020-09-15,17339,19667,16857,18864,44378,CQN
2020-09-16,18623,19265,18462,18462,22200,CQN
2020-09-17,18703,19024,18462,18462,33150,CQN
2020-09-18,17740,18784,17660,18061,6836,CQN
2020-09-21,17660,17740,17660,17660,3443,CQN
2020-09-22,18864,18864,16937,17258,1647,CQN
2020-09-23,17258,18462,17258,17660,4374,CQN
2020-09-24,17901,17901,16857,16937,8735,CQN
2020-09-25,17660,17660,16616,16616,1920,CQN
2020-09-28,17258,18382,16135,17981,9989,CQN
2020-09-29,17660,17740,16616,17178,4907,CQN
2020-09-30,16456,17740,16456,17740,5492,CQN
2020-10-01,17499,20068,17499,20068,32581,CQN
2020-10-02,19024,19667,18944,19024,17824,CQN
2020-10-05,19105,19426,18864,18944,40124,CQN
2020-10-06,18462,18864,18061,18864,6337,CQN
2020-10-07,18864,20068,18462,19265,25556,CQN
2020-10-08,19265,19345,19024,19265,4749,CQN
2020-10-09,18141,19185,17660,18462,2828,CQN
2020-10-12,18061,18141,17660,17660,11826,CQN
2020-10-13,17820,17820,16857,16857,5100,CQN
2020-10-14,16937,17018,16456,17018,1000,CQN
2020-10-15,17660,17660,16857,16857,800,CQN
2020-10-16,17499,17660,17258,17258,3500,CQN
2020-10-19,16215,17018,16215,17018,1710,CQN
2020-10-20,16857,16857,16857,16857,2670,CQN
2020-10-21,16857,16857,16857,16857,3884,CQN
2020-10-22,16857,16857,16857,16857,0,CQN
2020-10-23,16456,16456,16456,16456,1471,CQN
2020-10-26,16456,16456,16054,16054,999,CQN
2020-10-27,16054,16054,16054,16054,208,CQN
2020-10-28,15653,15653,14529,14529,670,CQN
2020-10-29,16054,16054,16054,16054,624,CQN
2020-10-30,16054,16054,16054,16054,0,CQN
2020-11-02,15252,15252,15252,15252,1500,CQN
2020-11-03,14529,14850,14047,14047,12920,CQN
2020-11-04,15252,15252,14449,15252,2970,CQN
2020-11-05,14930,14930,14930,14930,0,CQN
2020-11-06,14529,14529,14529,14529,520,CQN
2020-11-09,14850,15653,14850,15653,600,CQN
2020-11-10,16456,16456,16456,16456,100,CQN
2020-11-11,17258,17258,14529,16375,400,CQN
2020-11-12,16456,16456,14770,14850,2342,CQN
2020-11-13,14529,14529,14529,14529,701,CQN
2020-11-16,14529,14529,14529,14529,100,CQN
2020-11-17,14690,15653,14529,14850,5573,CQN
2020-11-18,12924,16054,12924,15894,2298,CQN
2020-11-19,15733,15733,14930,15733,3878,CQN
2020-11-20,15252,15252,14850,14930,3196,CQN
2020-11-23,14930,15252,14930,14930,5870,CQN
2020-11-24,16600,16600,16600,16600,100,CQN
2020-11-25,16423,16511,16423,16511,702,CQN
2020-11-26,16423,16511,16423,16511,611,CQN
2020-11-27,16423,16423,16423,16423,100,CQN
2020-11-30,14913,15979,14913,15979,881,CQN
2020-12-01,15535,15801,15535,15801,3928,CQN
