time,open,high,low,close,volume,ticker
2018-08-20,13146,13146,13146,13146,176720,CRC
2018-08-21,14054,14054,14054,14054,162480,CRC
2018-08-22,15005,15005,14962,15005,313040,CRC
2018-08-23,15135,16043,15135,16043,210380,CRC
2018-08-24,16043,16865,14962,16433,289430,CRC
2018-08-27,15481,16433,15481,15481,121410,CRC
2018-08-28,14616,15438,14486,14486,113440,CRC
2018-08-29,14270,14270,13492,13838,111000,CRC
2018-08-30,13795,14184,13795,14141,54920,CRC
2018-08-31,13838,14530,13838,14530,165600,CRC
2018-09-04,14270,14703,13838,14184,157290,CRC
2018-09-05,14141,14141,13751,14054,144000,CRC
2018-09-06,13665,14573,13103,14573,258450,CRC
2018-09-07,14097,14919,13838,14919,231970,CRC
2018-09-10,14530,14962,14270,14919,230150,CRC
2018-09-11,14443,15049,14443,14962,242460,CRC
2018-09-12,14962,15092,14703,15049,132350,CRC
2018-09-13,14443,15135,14443,15135,223610,CRC
2018-09-14,14184,15395,14184,15395,305410,CRC
2018-09-17,15568,16000,15222,16000,223380,CRC
2018-09-18,16000,17081,16000,17081,300660,CRC
2018-09-19,17297,18249,17211,18249,253370,CRC
2018-09-20,17989,18206,17427,17427,221970,CRC
2018-09-21,17773,18638,16865,16865,213130,CRC
2018-09-24,17297,17470,16995,17297,186130,CRC
2018-09-25,17297,17903,16995,17903,129250,CRC
2018-09-26,17730,18076,16865,16865,45020,CRC
2018-09-27,17124,17124,16476,16865,25750,CRC
2018-09-28,16605,16778,15697,16649,138220,CRC
2018-10-01,16346,16865,16000,16865,25670,CRC
2018-10-02,16173,17297,16173,17297,111710,CRC
2018-10-03,17038,17297,16778,17211,207130,CRC
2018-10-04,16951,18379,16692,17730,310380,CRC
2018-10-05,17730,18033,16692,18033,157710,CRC
2018-10-08,17730,18119,17730,17730,92690,CRC
2018-10-09,17643,17643,17038,17514,188410,CRC
2018-10-10,17297,17514,17124,17124,135150,CRC
2018-10-11,16433,16433,16087,16087,27250,CRC
2018-10-12,16000,16433,15741,16433,25160,CRC
2018-10-15,16433,16433,15741,15741,43190,CRC
2018-10-16,15741,15784,15654,15784,27460,CRC
2018-10-17,15568,16346,15568,16173,86130,CRC
2018-10-18,16346,16346,16173,16216,26380,CRC
2018-10-19,16346,16346,16216,16303,77460,CRC
2018-10-22,16303,16562,16130,16562,63970,CRC
2018-10-23,16562,16951,16389,16605,193000,CRC
2018-10-24,16649,17470,16649,17470,207380,CRC
2018-10-25,16865,17297,16865,17211,43230,CRC
2018-10-26,17211,17254,16908,16908,135830,CRC
2018-10-29,16908,17384,16908,17384,204210,CRC
2018-10-30,17384,17730,17124,17730,249970,CRC
2018-10-31,17597,18173,17553,17686,195190,CRC
2018-11-01,17730,17730,17375,17375,66730,CRC
2018-11-02,17375,17508,16223,16311,137940,CRC
2018-11-05,16666,16666,16134,16311,118810,CRC
2018-11-06,16356,17420,16356,16400,309280,CRC
2018-11-07,16577,17109,16400,16400,254750,CRC
2018-11-08,16489,16755,15292,15957,229540,CRC
2018-11-09,15957,15957,15070,15070,266710,CRC
2018-11-12,14893,15691,14184,15647,312180,CRC
2018-11-13,15602,15602,15292,15381,219720,CRC
2018-11-14,15558,16444,15514,16444,196730,CRC
2018-11-15,16444,16932,16090,16356,189810,CRC
2018-11-16,16400,17464,16356,17464,270030,CRC
2018-11-19,17508,17553,17331,17464,238300,CRC
2018-11-20,17420,17553,17021,17287,102910,CRC
2018-11-21,17198,17287,16666,17287,67410,CRC
2018-11-22,16843,17331,16843,17242,127690,CRC
2018-11-23,17242,17375,16311,16400,138110,CRC
2018-11-26,16400,16444,15868,16267,91700,CRC
2018-11-27,16267,16666,16045,16533,193690,CRC
2018-11-28,16533,16577,16223,16444,183220,CRC
2018-11-29,16444,16533,16400,16444,195140,CRC
2018-11-30,16444,16533,16223,16489,140050,CRC
2018-12-03,16577,16932,16489,16755,214000,CRC
2018-12-04,16799,16799,16489,16755,107220,CRC
2018-12-05,16755,16843,15957,16843,202200,CRC
2018-12-06,16843,16888,16311,16622,121440,CRC
2018-12-07,16622,16755,16045,16356,93100,CRC
2018-12-10,16356,16356,15957,15957,88500,CRC
2018-12-11,15558,15780,14849,14849,86030,CRC
2018-12-12,14893,15336,14893,15115,126410,CRC
2018-12-13,14982,15780,14982,15780,62850,CRC
2018-12-14,15868,15868,15070,15070,66800,CRC
2018-12-17,15070,15070,14893,14982,49650,CRC
2018-12-18,14627,14937,14006,14006,21360,CRC
