time,open,high,low,close,volume,ticker
2009-11-04,3336,4671,3336,4442,153600,CSC
2009-11-05,4433,4433,4433,4433,25400,CSC
2009-11-06,4738,4738,4738,4738,20900,CSC
2009-11-09,5062,5062,5062,5062,62800,CSC
2009-11-10,5415,5415,5415,5415,46600,CSC
2009-11-11,5787,5787,5787,5787,16300,CSC
2009-11-12,6187,6187,5386,5672,92700,CSC
2009-11-13,5386,6053,5329,5624,104200,CSC
2009-11-16,5939,5939,5281,5529,72400,CSC
2009-11-17,5148,5481,5052,5052,96200,CSC
2009-11-18,5100,5472,4766,5462,98400,CSC
2009-11-19,5338,5338,5338,5338,18200,CSC
2009-11-20,5710,5710,5701,5710,92000,CSC
2009-11-23,5910,6092,5415,5529,38900,CSC
2009-11-24,5529,5539,5377,5377,52400,CSC
2009-11-25,5434,5434,5072,5072,31300,CSC
2009-11-26,4738,4738,4738,4738,29900,CSC
2009-11-27,4414,4814,4414,4414,56000,CSC
2009-11-30,4166,4776,4166,4776,29600,CSC
2009-12-01,5005,5024,4766,4766,28600,CSC
2009-12-02,4766,4766,4576,4576,19600,CSC
2009-12-03,4318,4614,4309,4337,14200,CSC
2009-12-04,4566,4566,4061,4519,2200,CSC
2009-12-07,4757,4757,4747,4747,1500,CSC
2009-12-08,4957,4957,4690,4709,3300,CSC
2009-12-09,4709,4709,4452,4452,1200,CSC
2009-12-10,4995,4995,4347,4347,12600,CSC
2009-12-11,4090,4090,4090,4090,8500,CSC
2009-12-14,3804,4147,3804,3804,36300,CSC
2009-12-15,3565,3813,3565,3565,17600,CSC
2009-12-16,3384,3384,3327,3327,7900,CSC
2009-12-17,3098,3098,3098,3098,15000,CSC
2009-12-18,3241,3308,2888,3308,15400,CSC
2009-12-21,3432,3432,3193,3432,10700,CSC
2009-12-22,3527,3527,3336,3336,10300,CSC
2009-12-23,3394,3394,3165,3174,23600,CSC
2009-12-24,3289,3336,3289,3336,8600,CSC
2009-12-25,3527,3556,3403,3556,18700,CSC
2009-12-28,3517,3517,3289,3489,11000,CSC
2009-12-29,3451,3661,3422,3527,29400,CSC
2009-12-30,3622,3708,3622,3708,27100,CSC
2009-12-31,3899,3899,3680,3680,4600,CSC
2010-01-04,3908,3908,3517,3908,11200,CSC
2010-01-05,4128,4128,3908,3956,28500,CSC
2010-01-06,3937,3937,3937,3937,6100,CSC
2010-01-07,3813,3813,3670,3670,1200,CSC
2010-01-08,3432,3460,3422,3422,58800,CSC
2010-01-11,3661,3661,3451,3661,13500,CSC
2010-01-12,3861,3861,3441,3670,10400,CSC
2010-01-13,3460,3737,3460,3708,6100,CSC
2010-01-14,3508,3508,3508,3508,1600,CSC
2010-01-15,3508,3508,3508,3508,100,CSC
2010-01-18,3575,3575,3270,3336,1300,CSC
2010-01-19,3508,3508,3336,3422,3900,CSC
2010-01-20,3432,3432,3384,3384,1500,CSC
2010-01-21,3174,3394,3174,3174,27300,CSC
2010-01-22,3413,3413,3003,3127,9400,CSC
2010-01-25,3365,3365,2955,2955,15900,CSC
2010-01-26,3222,3222,3098,3222,10400,CSC
2010-01-27,3222,3222,2955,3146,3200,CSC
2010-01-28,3050,3098,2898,2955,41600,CSC
2010-01-29,3111,3111,3102,3111,6400,CSC
