time,open,high,low,close,volume,ticker
2019-03-15,15100,15100,15100,15100,3300,CSI
2019-03-18,17300,17300,17300,17300,1500,CSI
2019-03-19,19800,19800,19800,19800,31000,CSI
2019-03-20,22700,22700,21100,22700,4600,CSI
2019-03-21,26100,26100,22800,26100,4600,CSI
2019-03-22,29500,29600,29500,29600,13400,CSI
2019-03-25,33900,33900,33000,33000,6819,CSI
2019-03-26,33000,33000,30000,31000,4081,CSI
2019-03-27,30500,30800,30500,30800,200,CSI
2019-03-28,29100,29100,26100,26100,200,CSI
2019-03-29,23500,29000,23500,29000,7920,CSI
2019-04-01,24500,24500,20900,24000,2410,CSI
2019-04-02,22500,22500,22500,22500,0,CSI
2019-04-03,22000,22000,22000,22000,600,CSI
2019-04-04,21500,21800,21500,21800,700,CSI
2019-04-05,24000,24000,24000,24000,220,CSI
2019-04-08,25000,25000,25000,25000,1720,CSI
2019-04-09,25000,25000,25000,25000,0,CSI
2019-04-10,25000,25000,25000,25000,0,CSI
2019-04-11,24000,26000,24000,26000,1500,CSI
2019-04-12,24900,24900,24900,24900,125,CSI
2019-04-16,25000,25000,24900,24900,300,CSI
2019-04-17,25000,26600,25000,26600,200,CSI
2019-04-18,25800,25800,25800,25800,0,CSI
2019-04-19,25800,25800,25800,26600,10,CSI
2019-04-22,25800,25800,25800,25800,0,CSI
2019-04-23,25800,25800,25800,25800,0,CSI
2019-04-24,25800,27000,25800,27000,700,CSI
2019-04-25,27000,28000,27000,28000,400,CSI
2019-04-26,27900,27900,27900,27900,300,CSI
2019-05-02,23800,28500,23800,28500,400,CSI
2019-05-03,26200,26200,26200,26200,0,CSI
2019-05-06,26500,26500,26200,26200,300,CSI
2019-05-07,26400,28100,26400,28100,1500,CSI
2019-05-08,28100,28100,28100,28100,100,CSI
2019-05-09,28100,28100,28100,28100,0,CSI
2019-05-10,27500,27500,27500,27500,200,CSI
2019-05-13,27300,27300,27300,27300,300,CSI
2019-05-14,27300,27300,27300,27300,0,CSI
2019-05-15,27300,27300,27300,27300,0,CSI
2019-05-16,27300,27300,27300,27300,0,CSI
2019-05-17,23300,23300,23300,23300,230,CSI
2019-05-20,23300,23300,23300,23300,100,CSI
2019-05-21,23300,23300,23300,23300,0,CSI
2019-05-22,23300,23300,23300,23300,0,CSI
2019-05-23,23000,23000,23000,23000,400,CSI
2019-05-24,23000,23000,23000,23000,0,CSI
2019-05-27,23000,23000,23000,23000,0,CSI
2019-05-28,23000,23000,23000,23000,0,CSI
2019-05-29,23000,23000,23000,23000,0,CSI
2019-05-30,23000,23000,23000,23000,300,CSI
2019-05-31,23000,23000,23000,23000,0,CSI
2019-06-03,23000,23000,23000,23000,1000,CSI
2019-06-04,23000,23000,23000,23000,0,CSI
2019-06-05,23000,23000,23000,23000,0,CSI
2019-06-06,23500,23500,23500,23500,200,CSI
2019-06-07,23500,23500,23500,23500,0,CSI
2019-06-10,23500,23500,23500,23500,0,CSI
2019-06-11,23500,23500,23500,23500,0,CSI
2019-06-12,23500,23500,23500,23500,0,CSI
2019-06-13,23500,23500,23500,23500,0,CSI
2019-06-14,23500,23500,23500,23500,200,CSI
2019-06-17,23500,23500,23500,23500,0,CSI
2019-06-18,23500,23500,23500,23500,0,CSI
2019-06-19,23500,23500,23500,23500,0,CSI
2019-06-20,23500,23500,23500,23500,0,CSI
2019-06-21,24000,24000,24000,24000,200,CSI
2019-06-24,23000,23000,23000,23000,200,CSI
2019-06-25,23000,23000,23000,23000,0,CSI
2019-06-26,23000,23000,23000,23000,0,CSI
2019-06-27,23000,23000,23000,23000,0,CSI
2019-06-28,23000,23000,23000,23000,200,CSI
2019-07-01,23000,23000,23000,23000,0,CSI
2019-07-02,23000,23000,23000,23000,0,CSI
2019-07-03,23000,23000,23000,23000,0,CSI
2019-07-04,23000,23000,23000,23000,0,CSI
2019-07-05,23000,23000,23000,23000,0,CSI
2019-07-08,23000,23000,23000,23000,0,CSI
2019-07-09,23000,23000,23000,23000,0,CSI
2019-07-10,23000,23000,23000,23000,0,CSI
2019-07-11,23000,23000,23000,23000,25,CSI
2019-07-12,20000,20000,20000,20000,500,CSI
2019-07-15,20000,20000,20000,20000,0,CSI
2019-07-16,20000,20000,20000,20000,0,CSI
2019-07-17,20000,20000,20000,20000,0,CSI
2019-07-18,20000,20000,20000,20000,0,CSI
2019-07-19,20000,20000,20000,20000,0,CSI
