time,open,high,low,close,volume,ticker
2021-04-26,14213,14213,8561,10472,106000,CST
2021-04-27,9891,9891,9558,9558,5000,CST
2021-04-28,10971,10971,9974,9974,19200,CST
2021-04-29,10306,10306,8893,9475,84700,CST
2021-05-04,9059,9059,7979,7979,15700,CST
2021-05-05,7480,9143,7480,8311,19700,CST
2021-05-06,8976,8976,7896,8145,50800,CST
2021-05-07,8062,8145,7896,7979,24000,CST
2021-05-10,7979,8394,7979,8311,52401,CST
2021-05-11,8311,8644,8228,8561,42800,CST
2021-05-12,8394,8893,8311,8893,70100,CST
2021-05-13,9143,9807,9143,9807,182800,CST
2021-05-14,9807,9891,9226,9309,52532,CST
2021-05-17,9309,9309,8893,8893,66800,CST
2021-05-18,8893,9143,8561,8976,24000,CST
2021-05-19,8727,8976,8644,8976,72400,CST
2021-05-20,8976,8976,8727,8727,49800,CST
2021-05-21,8644,8727,8644,8727,61800,CST
2021-05-24,8893,9059,8644,8893,56011,CST
2021-05-25,8893,8976,8644,8644,148742,CST
2021-05-26,8727,8810,8644,8727,41600,CST
2021-05-27,8727,8810,8478,8644,127900,CST
2021-05-28,8561,8810,8561,8644,91700,CST
2021-05-31,8727,8810,8478,8561,95082,CST
2021-06-01,8644,8810,8561,8727,88300,CST
2021-06-02,8727,9807,8727,9807,687299,CST
2021-06-03,9974,10306,9724,9891,356494,CST
2021-06-04,9891,9974,9641,9807,297000,CST
2021-06-07,9724,10223,9475,10140,672710,CST
2021-06-08,10223,10639,10223,10389,588000,CST
2021-06-09,10536,10994,9620,9894,309400,CST
2021-06-10,9894,10536,9803,10353,350600,CST
2021-06-11,10353,10353,9894,10078,181814,CST
2021-06-14,10078,10169,9711,9894,242300,CST
2021-06-15,9803,9803,9345,9620,207300,CST
2021-06-16,9436,9620,9345,9345,133210,CST
2021-06-17,9345,9528,9162,9528,239000,CST
2021-06-18,9528,9894,9253,9711,129600,CST
2021-06-21,9711,10261,9711,10169,345100,CST
2021-06-22,10261,10444,9894,9986,229300,CST
2021-06-23,9986,10078,9711,9803,95927,CST
2021-06-24,9894,9894,9711,9803,85100,CST
2021-06-25,9894,10261,9803,10169,222224,CST
2021-06-28,10169,11269,10169,11177,844960,CST
2021-06-29,11177,12368,11086,12368,614104,CST
2021-06-30,12826,13284,11910,12368,477394,CST
2021-07-01,12460,12460,10902,10994,492978,CST
2021-07-02,10902,11269,10536,11177,208283,CST
2021-07-05,11177,11269,10444,10627,215100,CST
2021-07-06,10444,10719,9894,10078,257300,CST
2021-07-07,10078,10078,8887,9528,232800,CST
2021-07-08,9436,10627,9436,10169,108274,CST
2021-07-09,10261,10261,9711,9986,127700,CST
2021-07-12,9803,9803,9162,9620,252000,CST
2021-07-13,9436,10261,9436,9986,96900,CST
2021-07-14,9803,10536,9803,9894,58000,CST
2021-07-15,9894,10078,9803,10078,57000,CST
2021-07-16,9986,10261,9894,10078,74600,CST
2021-07-19,10078,10078,9345,9620,106800,CST
2021-07-20,9620,10444,9345,10353,126824,CST
2021-07-21,10353,10627,9894,10169,110414,CST
2021-07-22,10078,10261,9986,10169,66700,CST
2021-07-23,10169,10169,9894,10169,96837,CST
2021-07-26,9986,9986,9803,9986,101400,CST
2021-07-27,9894,9986,9894,9986,55501,CST
2021-07-28,9803,10078,9803,9894,50150,CST
2021-07-29,9894,10536,9894,10536,254300,CST
2021-07-30,10261,10536,10261,10261,69500,CST
2021-08-02,10169,10261,10078,10169,90700,CST
2021-08-03,10169,10169,9894,10078,270317,CST
2021-08-04,9894,10169,9894,10169,104933,CST
2021-08-05,10078,10719,9986,10627,206752,CST
2021-08-06,10627,11360,10536,10536,149455,CST
2021-08-09,10536,10902,10536,10719,141200,CST
2021-08-10,10627,11910,10627,11818,667813,CST
2021-08-11,11910,12735,11818,12093,721405,CST
2021-08-12,12277,12277,11360,11544,316846,CST
2021-08-13,11452,12185,11360,11727,251368,CST
2021-08-16,11727,12918,11727,12460,374920,CST
2021-08-17,12460,13101,12002,12368,390438,CST
2021-08-18,12460,12826,12185,12551,345311,CST
2021-08-19,12460,12643,12460,12643,263360,CST
2021-08-20,12643,13101,12185,12460,811002,CST
2021-08-23,12460,12643,12185,12460,218030,CST
2021-08-24,12368,12551,12368,12368,240522,CST
2021-08-25,12551,14292,12551,14292,1030666,CST
2021-08-26,15483,15483,13743,13926,491999,CST
2021-08-27,13834,14201,13559,14201,263738,CST
2021-08-30,13743,14292,13468,14017,453610,CST
2021-08-31,13834,14201,13743,13926,305072,CST
2021-09-01,13834,15941,13834,15850,1262416,CST
2021-09-06,16216,17774,16216,17774,700269,CST
2021-09-07,17774,18324,16766,17041,649602,CST
2021-09-08,17041,17407,16216,16583,642001,CST
2021-09-09,16491,17591,16491,16949,381675,CST
2021-09-10,16766,18324,16766,17957,369790,CST
2021-09-13,17865,18507,17591,18140,384219,CST
2021-09-14,18140,19698,17957,19331,352362,CST
2021-09-15,19240,21622,19148,21622,584776,CST
2021-09-16,21713,24096,21439,22721,691617,CST
2021-09-17,22721,22813,20614,20797,536746,CST
2021-09-20,21530,21530,19606,19698,542548,CST
2021-09-21,19606,21988,17865,21347,684992,CST
2021-09-22,21530,22355,20614,21347,229119,CST
2021-09-23,21530,21530,20156,20431,290645,CST
2021-09-24,20431,21347,19698,19973,268930,CST
2021-09-27,20156,20339,18324,18324,388238,CST
2021-09-28,18324,21255,18324,21072,709073,CST
2021-09-29,21164,21713,20614,20980,323396,CST
2021-09-30,20980,21805,20980,21347,373051,CST
2021-10-01,24370,24370,21255,21988,577505,CST
2021-10-04,22905,25287,22905,25195,1029925,CST
2021-10-05,25195,25653,22996,23729,722606,CST
2021-10-06,23729,25195,22813,24004,718423,CST
2021-10-07,24004,24004,22080,22538,699875,CST
2021-10-08,22446,22446,21164,21347,757975,CST
2021-10-11,21622,22721,21347,21805,380130,CST
2021-10-12,21805,22080,21530,21530,286166,CST
2021-10-13,21713,21713,20339,20797,623508,CST
2021-10-14,20797,21897,20431,21164,376997,CST
2021-10-15,21164,21347,20706,20980,262136,CST
2021-10-18,20980,21347,20339,20614,442500,CST
2021-10-19,20706,20706,20156,20156,466169,CST
2021-10-20,19698,19698,18140,18782,1085819,CST
2021-10-21,18598,18690,16949,17041,1123575,CST
2021-10-22,16949,19698,16033,18965,1128931,CST
2021-10-25,18873,18873,18049,18232,212901,CST
2021-10-26,18324,18324,17407,17682,218868,CST
2021-10-27,17682,17682,16491,17224,429134,CST
2021-10-28,17132,17774,16858,17224,202099,CST
2021-10-29,17224,17591,17041,17499,281896,CST
2021-11-01,17499,18140,17224,17774,349390,CST
2021-11-02,17682,17682,16674,17041,598996,CST
2021-11-03,16949,16949,16308,16399,368975,CST
2021-11-04,16674,18049,16674,17041,224390,CST
2021-11-05,16949,16949,16674,16858,203416,CST
2021-11-08,16766,17132,16674,16858,280495,CST
2021-11-09,16949,16949,16674,16858,250510,CST
2021-11-10,16949,16949,16674,16949,166212,CST
2021-11-11,16949,18873,16949,18598,1108709,CST
2021-11-12,18782,19423,18415,18690,377975,CST
2021-11-15,18690,18782,17774,18140,424833,CST
2021-11-16,18049,18049,17407,17591,400983,CST
2021-11-17,17591,17957,17316,17774,287380,CST
2021-11-18,17774,18049,17407,17682,214734,CST
2021-11-19,17682,17865,17224,17316,380430,CST
2021-11-22,17224,17407,16033,16216,474181,CST
2021-11-23,16125,16766,16033,16766,143198,CST
2021-11-24,16674,16674,16308,16399,145630,CST
2021-11-25,16399,16674,16308,16674,178942,CST
2021-11-26,16674,16766,16308,16399,100142,CST
2021-11-29,16308,16491,16033,16216,113849,CST
