time,open,high,low,close,volume,ticker
2015-03-18,11565,11565,9638,10216,391350,CSV
2015-03-19,10601,10601,9734,10360,100950,CSV
2015-03-20,10409,10601,10120,10120,31280,CSV
2015-03-23,9927,10120,9445,9445,178850,CSV
2015-03-24,9445,9493,9348,9397,16140,CSV
2015-03-25,9348,9541,9348,9541,3800,CSV
2015-03-26,9348,9493,9348,9445,14030,CSV
2015-03-27,9493,9493,9397,9445,6790,CSV
2015-03-30,9348,9397,9108,9108,21650,CSV
2015-03-31,9108,9252,9108,9252,8420,CSV
2015-04-01,9108,9156,9108,9156,6700,CSV
2015-04-02,9252,9589,9252,9589,3020,CSV
2015-04-03,9108,9348,9108,9348,150,CSV
2015-04-06,9156,9156,9011,9156,3530,CSV
2015-04-07,9348,9348,8770,8818,6070,CSV
2015-04-08,8674,8818,8529,8770,27220,CSV
2015-04-09,8770,9059,8674,9059,11000,CSV
2015-04-10,9204,9204,9059,9156,1030,CSV
2015-04-13,9059,9059,8915,8915,3500,CSV
2015-04-14,8867,9397,8722,9397,115140,CSV
2015-04-15,9397,9397,9156,9156,2600,CSV
2015-04-16,9156,9348,9108,9348,35560,CSV
2015-04-17,9589,9589,9204,9493,170,CSV
2015-04-20,9493,9493,9156,9156,12860,CSV
2015-04-21,9204,9204,9156,9156,10830,CSV
2015-04-22,9156,9348,9156,9348,110,CSV
2015-04-23,9348,9734,9156,9156,10110,CSV
2015-04-24,9252,9300,9204,9300,6840,CSV
2015-04-27,9541,9638,9348,9638,3280,CSV
2015-05-04,9397,9493,9156,9493,7970,CSV
2015-05-05,9011,9397,8915,9397,22510,CSV
2015-05-06,9348,9348,9348,9348,100,CSV
2015-05-07,9589,9589,9397,9397,90,CSV
2015-05-08,9397,9830,9300,9300,11930,CSV
2015-05-11,9348,9348,9348,9348,100,CSV
2015-05-12,9252,9541,9252,9493,11330,CSV
2015-05-13,9397,9397,9397,9397,210,CSV
2015-05-14,9397,9397,9397,9397,6050,CSV
2015-05-15,9156,9397,9011,9348,2270,CSV
2015-05-18,9493,9493,9300,9397,32200,CSV
2015-05-19,9397,9445,9156,9445,7530,CSV
2015-05-20,9445,9638,9445,9638,13140,CSV
2015-05-21,9638,9638,9397,9638,6600,CSV
2015-05-22,9686,9734,9686,9686,56540,CSV
2015-05-25,9686,9927,9638,9686,30540,CSV
2015-05-26,10314,10314,9843,9843,11610,CSV
2015-05-27,9895,10000,9895,10000,14820,CSV
2015-05-28,10000,10052,9948,10052,16430,CSV
2015-05-29,10000,10000,10000,10000,14240,CSV
2015-06-01,9843,10000,9843,9948,19850,CSV
2015-06-02,9791,9791,9791,9791,250,CSV
2015-06-03,9791,9843,9686,9791,14240,CSV
2015-06-04,9948,9948,9895,9948,12240,CSV
2015-06-05,9895,9948,9843,9948,8770,CSV
2015-06-08,9948,9948,9791,9948,13750,CSV
2015-06-09,9948,10262,9948,10052,37100,CSV
2015-06-10,10052,10105,10000,10000,5920,CSV
2015-06-11,10000,10000,9895,9948,21140,CSV
2015-06-12,10052,10052,9843,9895,10850,CSV
2015-06-15,9948,10209,9948,10157,99870,CSV
2015-06-16,9948,10209,9948,10157,26940,CSV
2015-06-17,10209,10838,10209,10838,141280,CSV
2015-06-18,11571,11571,11571,11571,135100,CSV
2015-06-19,12042,12356,11937,12356,443180,CSV
2015-06-22,12356,12513,11885,11885,90270,CSV
2015-06-23,11885,12408,11780,12356,92630,CSV
2015-06-24,12094,12513,12094,12147,72170,CSV
2015-06-25,12304,12304,11780,11885,119340,CSV
2015-06-26,11885,12147,11885,12094,46320,CSV
2015-06-29,12094,12199,11990,12042,70480,CSV
2015-06-30,11833,12566,11833,12251,95680,CSV
2015-07-01,12147,12199,11937,12042,35000,CSV
2015-07-02,12042,12094,12042,12042,61410,CSV
2015-07-03,12042,12304,11990,12042,69420,CSV
2015-07-06,12147,12251,11728,11728,66740,CSV
2015-07-07,12042,12147,11780,11885,37050,CSV
2015-07-08,12147,12147,11675,11885,70400,CSV
2015-07-09,11780,11885,11780,11885,2420,CSV
2015-07-10,11833,11990,11833,11885,12320,CSV
2015-07-13,11728,11885,11728,11780,5770,CSV
2015-07-14,11780,11885,11780,11885,47630,CSV
2015-07-15,11990,11990,11780,11833,24670,CSV
2015-07-16,11833,11833,11728,11780,54430,CSV
2015-07-17,11885,11937,11780,11780,46110,CSV
2015-07-20,11885,11885,11780,11780,4870,CSV
2015-07-21,11780,12566,11780,12566,153000,CSV
2015-07-22,12566,12880,12566,12880,147960,CSV
2015-07-23,12880,12880,12304,12461,38290,CSV
2015-07-24,12461,12461,11885,11885,62260,CSV
2015-07-27,11780,12042,11257,11466,90750,CSV
