time,open,high,low,close,volume,ticker
2010-05-04,11342,13368,10127,12760,84400,CT6
2010-05-05,12963,13003,12760,13003,77700,CT6
2010-05-06,13895,13895,13895,13895,18400,CT6
2010-05-07,14867,14867,13368,13976,49500,CT6
2010-05-10,14138,14178,13165,13165,19500,CT6
2010-05-11,12355,12679,12315,12315,28300,CT6
2010-05-12,11586,11586,11545,11545,6600,CT6
2010-05-13,10775,11342,10775,10775,40600,CT6
2010-05-14,11505,11505,11140,11140,7000,CT6
2010-05-17,10735,10856,10654,10735,7800,CT6
2010-05-18,10127,10127,10006,10006,9900,CT6
2010-05-19,9357,9519,9357,9357,17900,CT6
2010-05-20,8750,9317,8750,9236,20500,CT6
2010-05-21,9236,9236,8183,8183,7200,CT6
2010-05-24,8183,8345,8102,8223,11100,CT6
2010-05-25,8102,8588,8102,8304,3300,CT6
2010-05-26,9033,9033,8912,9033,13200,CT6
2010-05-27,8912,8912,8345,8912,28300,CT6
2010-05-28,9114,9236,9114,9236,25800,CT6
2010-05-31,9844,9844,8952,9317,4800,CT6
2010-06-01,9317,9317,9074,9114,7200,CT6
2010-06-02,9438,9438,9438,9438,100,CT6
2010-06-03,9317,9317,8912,8993,7800,CT6
2010-06-04,8547,9317,8507,9317,16900,CT6
2010-06-07,8061,8912,8021,8021,10100,CT6
2010-06-08,8507,8669,8102,8669,9800,CT6
2010-06-09,8871,8871,8142,8142,2200,CT6
2010-06-10,8304,8669,8304,8669,5300,CT6
2010-06-11,8547,8669,8385,8426,7000,CT6
2010-06-14,8709,9033,8709,9033,47800,CT6
2010-06-15,9236,9317,9114,9195,9600,CT6
2010-06-16,9317,9317,8912,9074,6200,CT6
2010-06-17,9074,9682,9074,9479,43200,CT6
2010-06-18,10087,10127,9276,9722,13200,CT6
2010-06-21,9317,9722,9317,9479,8000,CT6
2010-06-22,9357,9438,9114,9236,15400,CT6
2010-06-23,9114,9114,8750,8750,2000,CT6
2010-06-24,9519,9519,8912,9114,11300,CT6
2010-06-25,9114,9114,8993,8993,4200,CT6
2010-06-28,9479,9479,8507,9074,14800,CT6
2010-06-29,9398,9398,9114,9114,7600,CT6
2010-06-30,8912,8912,8547,8669,5500,CT6
2010-07-01,8831,8831,8345,8709,5100,CT6
2010-07-02,8669,8993,8669,8993,3900,CT6
2010-07-05,8952,8993,8547,8993,11700,CT6
2010-07-06,9114,9114,8507,8507,6500,CT6
2010-07-07,8547,8547,8264,8264,5200,CT6
2010-07-08,8628,8628,8466,8466,10600,CT6
2010-07-09,8588,8709,8507,8709,15100,CT6
2010-07-12,8507,8709,8507,8709,2800,CT6
2010-07-13,8952,8993,8912,8993,4100,CT6
2010-07-14,9195,9195,8750,8750,6800,CT6
2010-07-15,8709,8831,8588,8790,7100,CT6
2010-07-16,8709,8831,8628,8790,13700,CT6
2010-07-19,9033,9357,8790,9357,50000,CT6
2010-07-20,9722,9763,9601,9763,78600,CT6
2010-07-21,10411,10411,10249,10411,96000,CT6
2010-07-22,11099,11099,9925,10330,34900,CT6
2010-07-23,10532,10937,9965,9965,50200,CT6
2010-07-26,9884,9884,9722,9722,33300,CT6
2010-07-27,9925,9925,9074,9114,9500,CT6
2010-07-28,9114,9317,8790,8831,35600,CT6
2010-07-29,8709,9114,8709,9114,11000,CT6
2010-07-30,9074,9236,8993,9236,10600,CT6
2010-08-02,9236,9763,9236,9763,36700,CT6
2010-08-03,9236,9236,9033,9033,11800,CT6
2010-08-04,8952,8952,8709,8750,17400,CT6
2010-08-05,9398,9398,8790,8790,16900,CT6
2010-08-06,8912,8912,8709,8871,20200,CT6
2010-08-09,8912,9276,8871,9114,26700,CT6
2010-08-10,8952,8993,8466,8993,14400,CT6
2010-08-11,9195,9195,8709,8912,5500,CT6
2010-08-12,8547,8547,8223,8304,21100,CT6
2010-08-13,8345,8912,8345,8709,5000,CT6
2010-08-16,8912,9195,8912,9114,34500,CT6
2010-08-17,9519,9519,8669,8709,8400,CT6
2010-08-18,8507,8507,8304,8507,17800,CT6
2010-08-19,8466,8466,8264,8304,25600,CT6
2010-08-20,8912,8912,8345,8385,11800,CT6
2010-08-23,8993,8993,8264,8264,7100,CT6
2010-08-24,8871,8871,8102,8142,16600,CT6
2010-08-25,8750,8750,7656,7656,23100,CT6
2010-08-26,8021,8021,7697,7737,5200,CT6
2010-08-27,7737,7737,7332,7332,7000,CT6
2010-08-30,8021,8102,8021,8102,9900,CT6
2010-08-31,8507,8507,7778,8385,1400,CT6
2010-09-01,7899,8142,7697,8142,18400,CT6
2010-09-06,8264,8345,8102,8223,15200,CT6
2010-09-07,8426,8426,7656,7656,5100,CT6
2010-09-08,7372,7453,7372,7413,3500,CT6
2010-09-09,7859,7859,7697,7697,9100,CT6
2010-09-10,7899,7899,7291,7291,7000,CT6
2010-09-13,7899,7899,7899,7899,3300,CT6
2010-09-14,7697,7697,7697,7697,200,CT6
2010-09-15,7372,7372,7170,7291,3400,CT6
2010-09-16,7697,7778,7291,7291,1900,CT6
2010-09-17,7494,7737,7291,7737,6200,CT6
2010-09-20,7980,7980,7980,7980,1300,CT6
2010-09-21,7859,7859,7453,7453,7000,CT6
2010-09-22,7859,7859,7656,7656,1600,CT6
2010-09-23,7778,7778,7332,7332,8100,CT6
2010-09-24,7737,7737,7534,7534,2000,CT6
2010-09-27,7899,7899,7291,7291,4600,CT6
2010-09-28,7494,7697,7372,7697,6500,CT6
2010-09-29,7656,7656,7129,7129,2200,CT6
2010-09-30,7575,7575,7291,7291,1800,CT6
2010-10-01,7291,7291,7089,7089,1300,CT6
2010-10-04,7291,7656,6886,6886,1600,CT6
2010-10-05,7008,7008,7008,7008,9100,CT6
2010-10-06,6886,7129,6562,7129,9400,CT6
2010-10-07,7210,7210,6805,6805,1500,CT6
2010-10-08,6724,6765,6724,6724,1900,CT6
2010-10-11,7089,7089,7089,7089,100,CT6
2010-10-12,7129,7129,7129,7129,200,CT6
2010-10-13,7048,7048,6805,6846,4900,CT6
2010-10-14,6724,6886,6724,6724,3400,CT6
2010-10-15,6562,6886,6481,6481,2500,CT6
2010-10-18,6481,6481,6481,6481,1200,CT6
2010-10-19,6198,6198,6036,6036,2400,CT6
2010-10-20,6076,6076,5833,5833,4000,CT6
2010-10-21,5874,5874,5549,5671,2100,CT6
2010-10-22,5468,5874,5387,5874,5600,CT6
2010-10-25,6117,6157,6076,6076,1300,CT6
2010-10-26,5874,6279,5874,6279,5600,CT6
2010-10-27,6076,6441,5955,6279,6000,CT6
2010-10-28,6441,6481,6319,6360,3600,CT6
2010-10-29,6441,6481,6279,6441,6400,CT6
2010-11-01,6400,6481,6360,6400,5000,CT6
2010-11-02,6481,6481,6117,6360,7400,CT6
2010-11-03,6441,6481,6400,6481,8300,CT6
2010-11-04,6481,6562,6481,6481,1700,CT6
2010-11-05,6765,6765,6522,6522,4900,CT6
2010-11-08,6643,6643,6603,6603,1400,CT6
2010-11-09,6238,6481,6198,6198,1400,CT6
2010-11-10,6400,6400,6400,6400,0,CT6
2010-11-11,6279,6279,6076,6076,1200,CT6
2010-11-12,6400,6400,6076,6076,1000,CT6
2010-11-15,5793,5793,5793,5793,200,CT6
2010-11-16,6198,6198,5793,5793,1800,CT6
2010-11-17,5874,5874,5793,5793,2600,CT6
2010-11-18,5671,5671,5671,5671,100,CT6
2010-11-19,5671,5671,5590,5590,4600,CT6
2010-11-22,5630,5630,5347,5347,3500,CT6
2010-11-23,5793,5793,5793,5793,1800,CT6
2010-11-24,5387,5671,5387,5671,7100,CT6
2010-11-25,5468,5671,5266,5266,19400,CT6
2010-11-26,5347,5347,5347,5347,200,CT6
2010-11-29,5468,5711,5468,5711,2800,CT6
2010-11-30,6036,6036,5671,6036,4400,CT6
2010-12-01,6036,6036,6036,6036,100,CT6
2010-12-02,6279,6279,6036,6076,1500,CT6
2010-12-03,6481,6481,6279,6319,800,CT6
2010-12-06,6400,6400,6360,6360,1000,CT6
2010-12-07,6036,6360,5955,6036,6800,CT6
2010-12-08,6117,6157,5590,5590,6100,CT6
2010-12-09,5711,5711,5711,5711,2400,CT6
2010-12-10,5793,5793,5793,5793,1000,CT6
2010-12-13,5833,6076,5752,5752,5700,CT6
2010-12-14,5874,5874,5711,5711,3300,CT6
2010-12-15,5833,5833,5590,5590,1500,CT6
2010-12-16,5752,5752,5752,5752,1500,CT6
2010-12-17,5833,5874,5833,5874,2200,CT6
2010-12-20,5874,5995,5874,5874,4900,CT6
2010-12-21,5914,5995,5833,5833,2100,CT6
2010-12-22,5874,5874,5874,5874,1700,CT6
2010-12-23,5509,5752,5509,5752,1900,CT6
2010-12-24,5752,5752,5671,5671,1400,CT6
2010-12-27,5711,5711,5468,5468,3000,CT6
2010-12-28,5549,5630,5266,5630,11700,CT6
2010-12-29,5509,5509,5509,5509,2100,CT6
2010-12-30,5833,5874,5833,5874,3800,CT6
2010-12-31,5874,5914,5874,5914,2000,CT6
2011-01-04,5914,5955,5914,5914,2500,CT6
2011-01-05,5914,5914,5914,5914,0,CT6
2011-01-06,5914,5914,5914,5914,500,CT6
2011-01-07,5671,5671,5509,5509,1600,CT6
2011-01-10,5428,5428,5428,5428,300,CT6
2011-01-11,5590,5590,5428,5509,2300,CT6
2011-01-12,5509,5509,5509,5509,1000,CT6
2011-01-13,5509,5509,5509,5509,200,CT6
2011-01-14,5509,5509,5509,5509,800,CT6
2011-01-17,5509,5509,5509,5509,0,CT6
2011-01-18,5752,5752,5752,5752,1200,CT6
2011-01-19,5752,5752,5752,5752,700,CT6
2011-01-20,5752,5752,5752,5752,0,CT6
2011-01-21,5752,5752,5752,5752,0,CT6
2011-01-24,5509,5509,5509,5509,200,CT6
2011-01-25,5509,5509,5468,5468,1000,CT6
2011-01-26,5711,5711,5711,5711,200,CT6
2011-01-27,5711,5752,5711,5752,1300,CT6
2011-01-28,5671,5671,5671,5671,1300,CT6
2011-02-08,5671,5671,5671,5671,700,CT6
2011-02-09,5955,6036,5955,6036,900,CT6
2011-02-10,5995,5995,5995,5995,0,CT6
2011-02-11,5995,5995,5995,5995,0,CT6
2011-02-14,6400,6400,6400,6400,100,CT6
2011-02-15,6400,6400,6400,6400,0,CT6
2011-02-16,6846,6846,6846,6846,100,CT6
2011-02-17,6846,6846,6846,6846,0,CT6
2011-02-18,6400,6400,6400,6400,1000,CT6
2011-02-21,5955,5955,5955,5955,1000,CT6
2011-02-22,5549,5549,5549,5549,1000,CT6
2011-02-23,5185,5225,5185,5225,4000,CT6
2011-02-24,4861,5063,4861,5063,1100,CT6
2011-02-25,5387,5387,5387,5387,2300,CT6
2011-02-28,5023,5023,5023,5023,600,CT6
2011-03-01,5023,5023,5023,5023,0,CT6
2011-03-02,5347,5347,5347,5347,100,CT6
2011-03-03,5428,5671,5428,5428,2100,CT6
2011-03-04,5752,5752,5752,5752,1500,CT6
2011-03-07,5833,5833,5833,5833,500,CT6
2011-03-08,5833,5833,5833,5833,300,CT6
2011-03-09,5833,5833,5833,5833,200,CT6
2011-03-10,5833,5833,5833,5833,0,CT6
2011-03-11,5428,5428,5428,5428,400,CT6
2011-03-14,5428,5428,5428,5428,100,CT6
2011-03-15,5104,5104,5104,5104,2500,CT6
2011-03-16,5104,5104,5104,5104,0,CT6
2011-03-17,4901,5428,4861,5266,2800,CT6
2011-03-18,5509,5590,5509,5509,1100,CT6
2011-03-21,5509,5509,5509,5509,0,CT6
2011-03-22,5266,5266,5266,5266,1000,CT6
2011-03-23,5468,5468,5428,5428,1500,CT6
2011-03-24,5428,5428,5428,5428,0,CT6
2011-03-25,5144,5144,5144,5144,300,CT6
2011-03-28,5023,5023,4861,4861,1800,CT6
2011-03-29,5266,5266,5266,5266,2500,CT6
