time,open,high,low,close,volume,ticker
2010-10-01,27537,27537,22287,22932,133000,CTA
2010-10-04,22103,22195,21919,21919,27900,CTA
2010-10-05,20629,20722,20537,20722,59800,CTA
2010-10-06,21274,21274,19432,20722,17800,CTA
2010-10-07,20445,20722,19432,20261,14700,CTA
2010-10-08,20261,21458,20261,21458,128500,CTA
2010-10-11,22563,22656,22563,22656,149200,CTA
2010-10-12,23024,23024,21090,22011,92000,CTA
2010-10-13,22471,22471,21274,21274,28400,CTA
2010-10-14,21458,21642,20077,20814,17800,CTA
2010-10-15,21182,21182,19340,19801,14700,CTA
2010-10-18,19893,19893,18695,18880,22600,CTA
2010-10-19,19064,19064,17774,17774,60900,CTA
2010-10-20,18235,18235,16577,16577,30600,CTA
2010-10-21,15932,16117,15932,16117,159900,CTA
2010-10-22,16853,16853,14827,14919,75800,CTA
2010-10-25,15011,15932,14735,15656,81000,CTA
2010-10-26,16393,16393,16301,16393,116400,CTA
2010-10-27,17406,17498,15748,16117,41100,CTA
2010-10-28,16117,16209,15840,15840,12000,CTA
2010-10-29,15656,16485,15288,15288,21900,CTA
2010-11-01,16301,16301,15104,15196,28500,CTA
2010-11-02,15011,15656,15011,15011,23000,CTA
2010-11-03,14643,15656,14275,14275,46200,CTA
2010-11-04,14367,14367,13446,13814,131700,CTA
2010-11-05,13814,14183,13722,14183,32100,CTA
2010-11-08,13538,13538,12985,12985,72500,CTA
2010-11-09,12341,12433,12249,12249,141500,CTA
2010-11-10,11972,12249,11420,11880,67000,CTA
2010-11-11,11972,12249,11972,12249,57700,CTA
2010-11-12,12433,12433,11328,11880,53100,CTA
2010-11-15,12433,12433,11696,12249,27900,CTA
2010-11-16,11972,12156,11788,11880,28800,CTA
2010-11-17,12709,12801,11880,12341,24500,CTA
2010-11-18,12985,12985,12064,12433,36700,CTA
2010-11-19,12341,12341,11880,11880,37500,CTA
2010-11-22,11328,11788,11235,11788,21700,CTA
2010-11-23,11972,12064,11972,12064,51500,CTA
2010-11-24,11512,12341,11512,11696,32700,CTA
2010-11-25,12617,12801,12617,12801,58400,CTA
2010-11-26,13354,13354,12709,12893,26900,CTA
2010-11-29,12893,13262,12249,13262,50700,CTA
2010-11-30,13630,13630,13538,13630,52200,CTA
2010-12-01,14183,14183,13262,13262,32100,CTA
2010-12-02,13262,14735,13169,14735,65000,CTA
2010-12-03,15104,15104,15104,15104,53400,CTA
2010-12-06,15840,16117,15656,15656,99800,CTA
2010-12-07,16025,16577,15011,15011,50200,CTA
2010-12-08,15656,15656,14735,14735,55600,CTA
2010-12-09,14735,15472,13998,15011,52500,CTA
2010-12-10,14735,15288,14643,15288,78300,CTA
2010-12-13,15656,15840,15656,15840,53500,CTA
2010-12-14,14705,16033,14705,14705,15300,CTA
2010-12-15,14989,15084,13946,14989,62200,CTA
2010-12-16,14325,14325,13471,13471,13900,CTA
2010-12-17,13851,14610,13756,14610,23800,CTA
2010-12-20,14420,14705,13851,14610,18100,CTA
2010-12-21,14041,14420,13851,14230,29000,CTA
2010-12-22,13756,14041,13282,13471,39300,CTA
2010-12-23,13092,13282,13092,13092,24700,CTA
2010-12-24,13282,13756,12428,13282,19100,CTA
2010-12-27,13756,13756,12333,12902,22800,CTA
2010-12-28,12902,13092,12902,13092,74400,CTA
2010-12-29,12997,12997,12523,12617,47200,CTA
2010-12-30,12333,12712,12143,12333,29400,CTA
2010-12-31,12333,12617,12333,12617,11000,CTA
2011-01-04,12807,12807,12333,12333,21500,CTA
2011-01-05,13187,13187,12333,12333,36400,CTA
2011-01-06,12333,12523,12143,12333,10300,CTA
2011-01-07,12238,12428,12238,12333,18900,CTA
2011-01-10,12712,12712,12238,12333,50500,CTA
2011-01-11,13187,13187,12333,12902,49800,CTA
2011-01-12,13471,13471,12523,12712,20900,CTA
2011-01-13,12712,12807,12712,12807,6000,CTA
2011-01-14,12712,13282,12523,13187,50100,CTA
2011-01-17,13661,13756,13566,13756,107200,CTA
2011-01-18,14230,14420,13566,13756,50300,CTA
2011-01-19,14135,14135,13756,13756,20000,CTA
2011-01-20,14135,14135,13756,13756,22900,CTA
2011-01-21,14230,14230,12902,12902,53300,CTA
2011-01-24,12807,12807,12333,12712,76500,CTA
2011-01-25,12428,12428,12238,12333,11300,CTA
2011-01-26,12333,12428,12238,12333,41000,CTA
2011-01-27,12333,12333,12238,12333,45700,CTA
2011-01-28,13092,13092,12617,12617,20500,CTA
2011-02-08,13282,13282,12807,12997,2600,CTA
2011-02-09,13376,13756,13282,13282,10400,CTA
2011-02-10,12997,12997,12617,12617,18900,CTA
2011-02-11,12902,12997,12807,12997,2400,CTA
2011-02-14,12997,12997,12807,12807,2000,CTA
2011-02-15,12333,12428,12238,12238,36100,CTA
2011-02-16,12428,12523,12143,12238,13000,CTA
2011-02-17,11953,12048,11574,11669,32800,CTA
2011-02-18,12143,12333,11764,11858,31700,CTA
2011-02-21,12143,12143,11289,11289,20700,CTA
2011-02-22,10815,10815,10720,10720,30500,CTA
2011-02-23,10720,10815,10151,10815,44900,CTA
2011-02-24,10435,10815,10435,10815,43300,CTA
2011-02-25,10625,10910,10435,10910,13700,CTA
2011-02-28,10815,10815,10435,10530,86000,CTA
2011-03-01,10815,10815,10056,10720,14500,CTA
2011-03-02,10815,10815,9961,9961,52200,CTA
2011-03-03,9582,9582,9297,9392,19400,CTA
2011-03-04,9676,9866,9487,9676,9600,CTA
2011-03-07,10056,10056,9676,9676,9700,CTA
2011-03-08,10341,10341,9771,9771,37300,CTA
2011-03-09,9771,10246,9582,9771,11100,CTA
2011-03-10,10056,10530,10056,10530,39700,CTA
2011-03-11,11100,11100,11100,11100,44100,CTA
2011-03-14,11858,11858,10815,11479,21100,CTA
2011-03-15,10815,11384,10815,11384,21700,CTA
2011-03-16,12048,12048,11289,11384,23900,CTA
2011-03-17,11858,11858,11005,11005,6000,CTA
2011-03-18,11384,11384,11289,11384,21300,CTA
2011-03-21,12143,12143,11384,11669,7000,CTA
2011-03-22,11574,11574,11574,11574,13500,CTA
2011-03-23,10815,12238,10815,11669,4800,CTA
2011-03-24,11669,11858,11384,11764,35100,CTA
2011-03-25,12143,12143,11289,11289,7800,CTA
2011-03-28,11858,11858,11384,11384,13700,CTA
2011-03-29,11669,11669,11669,11669,100,CTA
2011-03-30,11194,11194,11005,11100,8000,CTA
2011-03-31,10815,11669,10815,11669,4200,CTA
2011-04-01,11289,11858,11194,11384,17200,CTA
2011-04-04,11574,11574,11289,11289,1500,CTA
2011-04-05,11384,11384,10625,10625,29500,CTA
2011-04-06,10720,10720,10056,10341,16500,CTA
2011-04-07,10246,10625,10246,10341,5600,CTA
2011-04-08,10435,10435,9961,9961,23100,CTA
2011-04-13,9676,9676,9487,9487,48100,CTA
2011-04-14,9107,9107,8823,8823,107100,CTA
2011-04-15,8443,8633,8253,8253,128000,CTA
2011-04-18,8538,8823,8538,8728,12500,CTA
2011-04-19,8823,9202,8348,8728,23600,CTA
2011-04-20,8253,8633,8064,8538,26200,CTA
2011-04-21,7779,8064,7684,8064,120000,CTA
2011-04-22,7400,7400,7210,7305,18900,CTA
2011-04-25,7589,7779,7305,7305,12800,CTA
2011-04-26,7494,7684,7020,7020,27200,CTA
2011-04-27,6641,7210,6641,7210,3500,CTA
2011-04-28,7494,7589,7305,7400,8600,CTA
2011-04-29,7684,7874,7684,7684,24200,CTA
2011-05-04,7589,7589,7305,7305,116500,CTA
2011-05-05,6925,6925,6830,6830,109300,CTA
2011-05-06,6925,7400,6925,7305,4400,CTA
2011-05-09,7400,7400,7020,7400,12800,CTA
2011-05-10,7305,7400,7020,7115,4100,CTA
2011-05-11,7115,7115,6830,6830,9900,CTA
2011-05-12,6641,7115,6641,6735,1700,CTA
2011-05-13,6830,7115,6641,6641,31200,CTA
2011-05-16,6451,6830,6356,6830,38900,CTA
2011-05-17,6451,6735,6451,6451,9100,CTA
2011-05-18,6546,6641,6451,6451,18600,CTA
2011-05-19,6261,6641,6261,6451,6000,CTA
2011-05-20,6261,6546,6261,6546,20100,CTA
2011-05-23,5976,6451,5976,5976,25400,CTA
2011-05-24,5787,5882,5787,5787,104200,CTA
2011-05-25,5407,5502,5407,5407,72100,CTA
2011-05-26,5217,5407,5123,5407,123900,CTA
2011-05-27,5407,5407,5217,5312,10200,CTA
2011-05-30,5597,5692,5407,5692,16800,CTA
2011-05-31,5882,5882,5217,5217,9500,CTA
2011-06-01,5597,5692,5502,5692,81100,CTA
2011-06-02,6071,6071,6071,6071,48800,CTA
2011-06-03,6451,6451,5976,6451,74400,CTA
2011-06-06,6356,6735,6261,6735,30900,CTA
2011-06-07,7020,7020,7020,7020,58600,CTA
2011-06-08,7494,7494,7400,7494,102500,CTA
2011-06-09,7020,7874,7020,7874,49200,CTA
2011-06-10,7969,8064,7779,7874,28500,CTA
2011-06-13,7969,8064,7494,7874,16600,CTA
2011-06-14,7779,7779,7305,7305,25800,CTA
2011-06-15,7305,7305,7020,7020,64400,CTA
2011-06-16,6735,7494,6641,7115,27200,CTA
2011-06-17,7115,7305,6830,7115,71700,CTA
2011-06-20,6830,6925,6830,6830,13000,CTA
2011-06-21,6735,7305,6735,7305,21000,CTA
2011-06-22,7589,7589,6830,6830,18900,CTA
2011-06-23,7115,7115,6735,6735,37300,CTA
2011-06-24,7115,7210,6925,6925,53200,CTA
2011-06-27,6925,6925,6925,6925,6000,CTA
2011-06-28,6641,6925,6641,6925,53000,CTA
2011-06-29,6451,6641,6451,6641,8400,CTA
2011-06-30,6546,6830,6356,6830,20000,CTA
2011-07-01,6451,6451,6356,6356,0,CTA
2011-07-04,6071,6071,6071,6071,300,CTA
2011-07-05,6451,6451,6451,6451,8500,CTA
2011-07-06,6451,6451,6451,6451,1300,CTA
2011-07-07,6166,6451,6071,6071,25100,CTA
2011-07-08,6641,6641,6641,6641,16000,CTA
2011-07-11,6925,6925,6925,6925,100,CTA
2011-07-12,6925,6925,6925,6925,0,CTA
2011-07-13,6641,6641,6451,6451,18600,CTA
2011-07-14,6356,6356,6356,6356,1000,CTA
2011-07-15,6356,6356,5976,5976,8600,CTA
2011-07-18,5882,5882,5692,5692,3600,CTA
2011-07-19,6166,6166,6166,6166,100,CTA
2011-07-20,6071,6451,6071,6451,1400,CTA
2011-07-21,6166,6641,5976,5976,9200,CTA
2011-07-22,5787,6071,5692,6071,5300,CTA
2011-07-25,5976,5976,5976,5976,1900,CTA
2011-07-26,5597,5597,5597,5597,3000,CTA
2011-07-27,5597,5597,5597,5597,0,CTA
2011-07-28,5597,5597,5217,5217,23000,CTA
2011-07-29,5028,5028,4933,4933,24200,CTA
2011-08-01,4743,4743,4648,4648,66800,CTA
2011-08-02,4553,4648,4364,4648,56600,CTA
2011-08-03,4838,4838,4553,4838,27700,CTA
2011-08-04,5123,5123,4838,5028,13400,CTA
2011-08-05,5217,5217,4743,4743,30500,CTA
2011-08-08,4838,4838,4553,4838,78400,CTA
2011-08-09,4553,4553,4553,4553,25300,CTA
2011-08-10,4553,4838,4364,4364,29500,CTA
2011-08-11,4269,4458,4269,4458,8500,CTA
2011-08-12,4553,4553,4174,4458,35200,CTA
2011-08-15,4458,4553,4269,4458,6500,CTA
2011-08-16,4553,4553,4364,4458,56200,CTA
2011-08-17,4648,4648,4364,4648,58300,CTA
2011-08-18,4553,4743,4458,4743,69900,CTA
2011-08-19,4648,4648,4458,4458,21100,CTA
2011-08-22,4838,4933,4743,4933,28800,CTA
2011-08-23,5123,5123,4648,4648,8400,CTA
2011-08-24,4648,4648,4553,4553,8900,CTA
2011-08-25,4838,4933,4648,4933,18100,CTA
2011-08-26,4838,4933,4743,4933,11800,CTA
2011-08-29,5123,5123,4933,5123,21800,CTA
2011-08-30,5312,5312,5123,5123,44600,CTA
2011-08-31,5407,5407,5123,5407,20200,CTA
2011-09-01,5502,5502,5312,5502,14400,CTA
2011-09-05,5787,5882,5123,5787,15400,CTA
2011-09-06,5407,5692,5123,5123,12000,CTA
2011-09-07,5217,5407,5028,5407,33600,CTA
2011-09-08,5407,5407,5407,5407,18700,CTA
2011-09-09,5692,5692,5597,5692,60300,CTA
2011-09-12,6071,6071,5882,6071,104900,CTA
2011-09-13,6451,6451,6356,6451,63100,CTA
2011-09-14,6451,6735,6356,6451,30500,CTA
2011-09-15,6261,6261,6166,6166,29300,CTA
2011-09-16,5787,5787,5787,5787,37900,CTA
2011-09-19,5882,5976,5787,5882,15000,CTA
2011-09-20,5882,5882,5882,5882,9500,CTA
2011-09-21,5882,5882,5882,5882,0,CTA
2011-09-22,5882,5882,5882,5882,5200,CTA
2011-09-23,5882,5882,5882,5882,9400,CTA
2011-09-26,5502,5502,5502,5502,1000,CTA
2011-09-27,5882,5882,5787,5787,1400,CTA
2011-09-28,5976,5976,5692,5692,3300,CTA
2011-09-29,5502,5502,5407,5407,3200,CTA
2011-09-30,5597,5597,5123,5123,26100,CTA
2011-10-03,4838,4838,4838,4838,8700,CTA
2011-10-04,4933,5123,4933,5123,1000,CTA
2011-10-05,5407,5407,5123,5123,11500,CTA
2011-10-06,5312,5502,5312,5502,12300,CTA
2011-10-07,5597,5597,5407,5502,8000,CTA
2011-10-10,5217,5217,5217,5217,700,CTA
2011-10-11,5123,5123,5123,5123,2200,CTA
2011-10-12,4838,4838,4838,4838,17000,CTA
2011-10-13,4648,4648,4553,4553,38200,CTA
2011-10-14,4364,4743,4364,4553,12200,CTA
2011-10-17,4364,4364,4364,4364,5200,CTA
2011-10-18,4174,4553,4174,4364,6600,CTA
2011-10-19,4648,4648,4648,4648,14000,CTA
2011-10-20,4838,4838,4648,4648,7900,CTA
2011-10-21,4553,4838,4553,4838,21900,CTA
2011-10-24,4743,4743,4743,4743,7100,CTA
2011-10-25,4458,4458,4458,4458,15000,CTA
2011-10-26,4458,4458,4458,4458,13000,CTA
2011-10-27,4458,4458,4458,4458,0,CTA
2011-10-28,4553,4648,4269,4553,46700,CTA
2011-10-31,4458,4553,4458,4458,7000,CTA
2011-11-01,4553,4553,4364,4364,1000,CTA
2011-11-02,4458,4458,4269,4269,37700,CTA
2011-11-03,4648,4648,4648,4648,3000,CTA
2011-11-04,4553,4553,4458,4553,20500,CTA
2011-11-07,4553,4553,4553,4553,100,CTA
2011-11-08,4458,4553,4458,4458,7000,CTA
2011-11-09,4364,4364,4174,4174,9400,CTA
2011-11-10,4174,4174,3984,3984,11100,CTA
2011-11-11,4269,4269,4269,4269,9000,CTA
