time,open,high,low,close,volume,ticker
2006-12-20,18030,20382,18030,19834,21500,CTN
2006-12-21,19598,19598,18422,18422,24600,CTN
2006-12-22,17913,17913,17913,17913,300,CTN
2006-12-25,16855,16855,16149,16149,2500,CTN
2006-12-26,14581,14581,14581,14581,16400,CTN
2006-12-27,14581,14581,14503,14503,3100,CTN
2006-12-28,14895,15679,14855,14934,3900,CTN
2006-12-29,15287,15287,14581,14581,10500,CTN
2007-01-02,14620,14620,14111,14503,5300,CTN
2007-01-03,14463,14463,13013,14267,1900,CTN
2007-01-04,15287,15287,14307,14307,800,CTN
2007-01-05,14346,14346,14072,14189,3000,CTN
2007-01-08,14503,14503,13719,14307,4400,CTN
2007-01-09,14424,14855,14267,14855,10700,CTN
2007-01-10,14895,15875,14895,15835,6400,CTN
2007-01-11,15679,15679,15679,15679,2000,CTN
2007-01-12,15796,15796,14895,15287,3000,CTN
2007-01-15,16071,16071,15287,15757,2700,CTN
2007-01-16,17443,17443,15287,15679,11500,CTN
2007-01-17,15679,15679,15483,15483,1500,CTN
2007-01-18,14895,15287,14895,14895,2100,CTN
2007-01-19,15287,15287,15287,15287,100,CTN
2007-01-22,15091,15287,14895,14895,3600,CTN
2007-01-23,15679,15679,14503,14503,6900,CTN
2007-01-24,15298,16318,15094,16318,3800,CTN
2007-01-25,16726,16970,15094,16114,5000,CTN
2007-01-26,15910,15910,15298,15910,3500,CTN
2007-01-29,15747,15747,15747,15747,0,CTN
2007-01-30,14482,15583,14482,15583,5500,CTN
2007-01-31,15094,15094,14686,14686,2000,CTN
2007-02-01,15175,15502,15094,15094,9500,CTN
2007-02-02,14890,15706,14890,15583,22700,CTN
2007-02-05,15910,16318,15502,15910,13300,CTN
2007-02-06,16318,16726,16318,16522,9000,CTN
2007-02-07,16848,17990,16726,17990,40000,CTN
2007-02-08,19418,19418,19418,19418,36100,CTN
2007-02-09,21336,21336,18765,19581,59600,CTN
2007-02-12,23171,23171,19785,23171,55800,CTN
2007-02-13,25089,25211,23253,25211,47000,CTN
2007-02-14,25497,27251,25497,27251,36600,CTN
2007-02-15,27129,29291,27129,29291,30300,CTN
2007-02-26,31453,31453,30515,31453,15600,CTN
2007-02-27,34553,34553,34553,34553,7600,CTN
2007-02-28,37980,37980,36226,37980,64500,CTN
2007-03-01,40795,40795,35084,37654,49100,CTN
2007-03-02,38755,38755,33982,37735,49300,CTN
2007-03-05,38755,40387,36308,37735,48800,CTN
2007-03-06,37572,38755,37531,38347,24400,CTN
2007-03-07,38347,38347,36716,36716,29100,CTN
2007-03-08,37531,37531,36308,36920,26200,CTN
2007-03-09,38347,38347,35492,36512,8300,CTN
2007-03-12,36920,36920,35084,36308,13500,CTN
2007-03-13,35492,35900,35084,35492,15300,CTN
2007-03-14,35900,38959,34268,35492,34600,CTN
2007-03-15,31902,36308,31902,34268,16800,CTN
2007-03-16,34676,36716,33656,36716,20800,CTN
2007-03-19,37939,38143,36716,37939,30800,CTN
2007-03-20,39979,40510,37980,38551,31300,CTN
2007-03-21,38755,38959,37531,37939,18200,CTN
2007-03-22,38143,38347,35900,36308,9300,CTN
2007-03-23,34676,36308,34676,35492,5000,CTN
2007-03-26,35492,35492,32106,32228,7500,CTN
2007-03-27,32636,32636,29862,29862,1300,CTN
2007-03-28,27333,33289,27251,33248,14900,CTN
2007-03-29,32310,32310,32310,32310,7000,CTN
2007-03-30,35084,35532,33044,33044,12800,CTN
2007-04-02,32228,32310,31086,31086,3000,CTN
2007-04-03,28679,29454,28679,29454,9400,CTN
2007-04-04,29372,31004,29372,30596,8900,CTN
2007-04-05,31779,32228,28964,28964,15100,CTN
2007-04-06,29372,29372,28597,29168,6900,CTN
2007-04-09,28964,29372,28556,29372,2700,CTN
2007-04-10,29372,29372,28556,28556,6300,CTN
2007-04-11,28964,29168,28964,29168,2800,CTN
2007-04-12,29046,29046,26517,26517,5000,CTN
2007-04-13,28148,28556,26517,27333,9900,CTN
2007-04-16,24885,24885,24599,24599,700,CTN
2007-04-17,22437,24477,22437,23253,17800,CTN
2007-04-18,22437,26313,22437,26313,8600,CTN
2007-04-19,26394,26394,24069,24069,10400,CTN
2007-04-20,25130,25170,24477,25130,2700,CTN
2007-04-23,23865,24477,22845,22845,6900,CTN
2007-04-24,23049,23049,21417,22641,2000,CTN
2007-04-25,22845,24069,22111,23661,7400,CTN
2007-05-02,23253,23253,22233,22233,3100,CTN
2007-05-03,23661,24069,23253,24069,4600,CTN
2007-05-04,23253,23661,23131,23335,5300,CTN
2007-05-07,21213,22845,21213,22478,1300,CTN
2007-05-08,24518,24518,24069,24477,8700,CTN
2007-05-09,26517,26517,23661,23661,1700,CTN
2007-05-10,25701,25701,24436,24599,1700,CTN
2007-05-11,24477,24477,23865,24273,4900,CTN
2007-05-14,24477,25293,24273,24314,8200,CTN
2007-05-15,24354,24354,23661,23865,6500,CTN
2007-05-16,24273,24273,23253,23253,6800,CTN
2007-05-17,23579,23579,23457,23579,3000,CTN
2007-05-18,23253,23661,23253,23253,3300,CTN
2007-05-21,24477,25578,24477,25578,10500,CTN
2007-05-22,26925,27210,26190,27210,13400,CTN
2007-05-23,29862,29862,28556,28556,47700,CTN
2007-05-24,29984,29984,27333,28638,11000,CTN
2007-05-25,25782,28148,25782,27414,7900,CTN
2007-05-28,27169,27537,27169,27333,8600,CTN
2007-05-29,27333,27333,25701,26517,4100,CTN
2007-05-30,25701,26109,25293,26068,9200,CTN
2007-05-31,25986,26517,25701,26517,7900,CTN
2007-06-01,25905,28556,24477,27129,34300,CTN
2007-06-04,26517,26517,26109,26517,7700,CTN
2007-06-05,26109,26517,26109,26517,8000,CTN
2007-06-06,27333,27333,26517,26925,8400,CTN
2007-06-07,27333,27333,26109,26109,5800,CTN
2007-06-08,26149,26517,25701,25701,4100,CTN
2007-06-11,25293,25293,24681,24681,2500,CTN
2007-06-12,25252,25252,25089,25089,4400,CTN
2007-06-13,26109,26109,24885,24885,4900,CTN
2007-06-14,24681,24681,24477,24599,6400,CTN
2007-06-15,24477,24681,24477,24477,4500,CTN
2007-06-18,24722,24885,24477,24477,2300,CTN
2007-06-19,24477,24477,24191,24477,4700,CTN
2007-06-20,24069,24069,23661,23661,3800,CTN
2007-06-21,23661,23743,23661,23743,1800,CTN
2007-06-22,23253,23661,23253,23661,7400,CTN
2007-06-25,24436,24436,24436,24436,100,CTN
2007-06-26,24436,24436,24436,24436,100,CTN
2007-06-27,24069,24069,23253,23253,4000,CTN
2007-06-28,23253,23253,22437,22437,1200,CTN
2007-06-29,24477,24477,23865,23865,900,CTN
2007-07-02,23743,23743,22355,22437,2400,CTN
2007-07-03,22233,22233,22029,22029,600,CTN
2007-07-04,22274,22845,22029,22804,9100,CTN
2007-07-05,22437,23661,22233,22233,2400,CTN
2007-07-06,22029,22029,22029,22029,3900,CTN
2007-07-09,20397,21621,20397,21621,2500,CTN
2007-07-10,21825,22029,21213,22029,6600,CTN
2007-07-11,22029,22437,22029,22355,4100,CTN
2007-07-12,21417,21621,21417,21621,1500,CTN
2007-07-13,20805,21580,20805,21213,2000,CTN
2007-07-16,20805,20805,20030,20112,4800,CTN
2007-07-17,19989,20397,19173,20397,4500,CTN
2007-07-18,19989,20357,19989,20357,3100,CTN
2007-07-19,19418,19989,19418,19989,1100,CTN
2007-07-20,20153,20520,20153,20397,1100,CTN
2007-07-23,20397,20805,19989,19989,5800,CTN
2007-07-24,19989,19989,19622,19622,2900,CTN
2007-07-25,19785,19867,19092,19092,1400,CTN
2007-07-26,19337,19377,18847,19377,2400,CTN
2007-07-27,19173,19173,18969,18969,1800,CTN
2007-07-30,18765,18765,18561,18561,1200,CTN
2007-07-31,18358,18561,17134,17542,2700,CTN
2007-08-01,19826,19826,17134,18725,2500,CTN
2007-08-02,19296,19296,18154,18154,3700,CTN
2007-08-03,18969,18969,17338,17338,2700,CTN
2007-08-06,19500,19500,17338,17338,1300,CTN
2007-08-07,19377,19377,18072,18072,1100,CTN
2007-08-08,20112,20112,16726,16726,2700,CTN
2007-08-09,19173,19173,17134,18684,3100,CTN
2007-08-10,20112,20112,18358,18358,600,CTN
2007-08-13,20397,20397,17623,17623,700,CTN
2007-08-14,18480,18480,17950,18358,3100,CTN
2007-08-15,19173,19581,17542,17827,2800,CTN
2007-08-16,18358,18358,16970,17542,3400,CTN
2007-08-17,18358,18358,17542,18194,3100,CTN
2007-08-20,19500,19500,17419,17419,1900,CTN
2007-08-21,19663,19663,17582,17868,1000,CTN
2007-08-22,19581,19581,17134,17542,7000,CTN
2007-08-23,19133,19133,16399,16440,8800,CTN
2007-08-24,18521,18521,16522,16726,4500,CTN
2007-08-27,18072,18072,16318,16318,2600,CTN
2007-08-28,18358,18358,16318,16318,2700,CTN
2007-08-29,18358,18358,16726,16726,1900,CTN
2007-08-30,18765,18765,16522,16848,3300,CTN
2007-08-31,18765,18765,16522,17256,5900,CTN
2007-09-04,17134,17542,17052,17134,5700,CTN
2007-09-05,18888,18888,17174,17950,9000,CTN
2007-09-06,19581,19785,17174,17338,13500,CTN
2007-09-07,19133,19296,17746,18561,14800,CTN
2007-09-10,20397,20397,18358,19214,15500,CTN
2007-09-11,20805,21132,19092,19377,9300,CTN
2007-09-12,17623,21213,17623,18969,10100,CTN
2007-09-13,21213,21213,17582,18439,7600,CTN
2007-09-14,16930,18072,16930,17827,13200,CTN
2007-09-17,16114,18154,16114,17950,27800,CTN
2007-09-18,19519,19565,19519,19519,20900,CTN
2007-09-19,19884,20067,19519,19519,12700,CTN
2007-09-20,19839,19884,19656,19702,11200,CTN
2007-09-21,19611,19611,19383,19383,13200,CTN
2007-09-24,19246,19565,19155,19565,12900,CTN
2007-09-25,19611,20067,19611,20067,16700,CTN
2007-09-26,20523,20523,20067,20340,12500,CTN
2007-09-27,20340,20340,19611,19884,6900,CTN
2007-09-28,20204,20523,19839,20523,31600,CTN
2007-10-01,21116,22210,21116,22210,5200,CTN
2007-10-02,24354,24354,24354,24354,37000,CTN
2007-10-03,26771,26771,25084,26771,85200,CTN
2007-10-04,29325,29325,27364,29325,44900,CTN
2007-10-05,32016,32016,27136,30328,85900,CTN
2007-10-08,31423,31469,28595,28595,20600,CTN
2007-10-09,26087,26908,26041,26041,23800,CTN
2007-10-10,24224,28604,23945,28604,36300,CTN
2007-10-11,27951,29256,27951,28883,38000,CTN
2007-10-12,28883,28883,26787,27718,32300,CTN
2007-10-15,27905,30234,27485,30187,82600,CTN
2007-10-16,32051,32051,30979,32051,91500,CTN
2007-10-17,34706,34893,29349,29396,33900,CTN
2007-10-18,29349,29349,28371,28371,25700,CTN
2007-10-19,28417,30234,27951,29815,25000,CTN
2007-10-22,30048,30281,28417,29349,24800,CTN
2007-10-23,29302,29955,28883,29349,19200,CTN
2007-10-24,28883,29396,28464,29023,36500,CTN
2007-10-25,31678,31678,29116,29722,43700,CTN
2007-10-26,30281,31212,29349,30048,43200,CTN
2007-10-29,28883,30281,27951,29582,27300,CTN
2007-10-30,29768,29815,28650,28883,11500,CTN
2007-10-31,29116,29116,27718,27951,11600,CTN
2007-11-01,25622,29815,25622,29815,36900,CTN
2007-11-02,30747,30747,29349,29815,43000,CTN
2007-11-05,29908,29908,27951,28417,12900,CTN
2007-11-06,27253,27299,26787,27206,16000,CTN
2007-11-07,27253,28883,27253,28184,18600,CTN
2007-11-08,28417,28417,26833,27020,10800,CTN
2007-11-09,27020,27159,25622,25995,11000,CTN
2007-11-12,25156,25156,23991,24224,27300,CTN
2007-11-13,23293,23293,22175,22175,16700,CTN
2007-11-14,20963,24783,20963,24783,10900,CTN
2007-11-15,24690,25156,23293,24131,13700,CTN
2007-11-16,23293,24411,23293,24411,3500,CTN
2007-11-19,26041,26041,24224,24690,3500,CTN
2007-11-20,23991,24690,23991,24224,5900,CTN
2007-11-21,23759,23991,23293,23759,8700,CTN
2007-11-22,24457,24690,23852,24224,10300,CTN
2007-11-23,23526,23526,23526,23526,100,CTN
2007-11-26,24178,24923,23572,24271,12500,CTN
2007-11-27,25482,25622,24224,24457,7800,CTN
2007-11-28,25389,25436,24690,24923,5100,CTN
2007-11-29,25156,25156,24690,24923,6900,CTN
2007-11-30,24224,24644,24085,24457,4000,CTN
2007-12-03,23805,24923,23293,24690,11200,CTN
2007-12-04,24690,26787,24690,26321,28000,CTN
2007-12-05,26088,26554,24923,25622,15000,CTN
2007-12-06,25715,25715,25156,25622,13500,CTN
2007-12-07,25622,25622,25156,25529,13000,CTN
2007-12-10,25249,25389,24923,24923,3800,CTN
2007-12-11,25855,25855,23665,24364,6400,CTN
2007-12-12,23526,24923,23386,23991,9800,CTN
2007-12-13,24690,24690,23526,23526,3100,CTN
2007-12-14,23759,24690,23759,23805,4000,CTN
2007-12-17,24038,24038,23293,23293,5100,CTN
2007-12-18,21942,23665,21942,23665,8200,CTN
2007-12-19,23293,24457,23293,24224,8700,CTN
2007-12-20,24690,24690,23526,23526,3100,CTN
2007-12-21,23293,23759,23293,23386,13500,CTN
2007-12-24,23339,23386,23060,23106,6700,CTN
2007-12-25,23293,23293,22827,22827,3900,CTN
2007-12-26,23060,23293,22547,23013,8600,CTN
2007-12-27,22640,22640,22501,22547,6300,CTN
2007-12-28,22734,23293,22734,23293,8500,CTN
2008-01-02,23293,23293,22361,22361,1300,CTN
2008-01-03,23060,23060,21895,21895,6900,CTN
2008-01-04,21709,21895,21010,21429,4100,CTN
2008-01-07,21010,21057,20125,20498,5500,CTN
2008-01-08,20078,21895,20078,20591,13100,CTN
2008-01-09,20963,20963,20032,20032,2600,CTN
2008-01-10,20730,20730,18634,18634,11800,CTN
2008-01-11,18867,19566,18867,18914,13900,CTN
2008-01-14,19333,19333,18215,18401,7900,CTN
2008-01-15,16864,17236,16771,17236,18400,CTN
2008-01-16,17702,18541,17702,18541,3800,CTN
2008-01-17,19566,20265,18168,19100,14300,CTN
2008-01-18,18215,19985,17982,19799,6300,CTN
2008-01-21,19566,19566,18215,19473,8600,CTN
2008-01-22,17796,18681,17796,18634,3600,CTN
2008-01-23,18634,18727,17236,17935,7500,CTN
2008-01-24,17796,18168,17469,17469,14900,CTN
2008-01-25,17702,17935,17236,17702,5400,CTN
2008-01-28,17702,17935,17702,17702,7200,CTN
2008-01-29,17982,19100,17702,19100,11600,CTN
2008-01-30,20358,20358,20358,20358,5700,CTN
2008-01-31,20032,20963,19100,20404,8800,CTN
2008-02-01,20498,21895,20498,21849,26300,CTN
2008-02-12,21802,23060,21383,21895,22900,CTN
2008-02-13,23060,23759,21429,21755,19200,CTN
2008-02-14,21429,21895,21429,21895,15300,CTN
2008-02-15,20963,22780,20963,21662,15000,CTN
2008-02-18,20591,20591,20032,20032,8800,CTN
2008-02-19,20265,21662,19985,20498,12300,CTN
2008-02-20,20498,20591,18448,18634,6100,CTN
2008-02-21,18168,18168,17702,17702,12700,CTN
2008-02-22,16072,19100,15979,17935,12300,CTN
2008-02-25,16817,18494,16817,18494,8000,CTN
2008-02-26,19333,19333,16584,16631,9000,CTN
2008-02-27,17469,18168,17236,17236,14900,CTN
2008-02-28,17236,17656,17236,17656,2900,CTN
2008-02-29,17236,17236,15839,16817,8600,CTN
2008-03-03,16817,16910,15140,15140,13700,CTN
2008-03-04,14276,14276,14134,14134,11100,CTN
2008-03-05,12806,13517,12806,13517,23800,CTN
2008-03-06,14181,14181,14181,14181,1800,CTN
2008-03-07,15557,15557,15557,15557,4700,CTN
2008-03-10,17075,17075,16363,16837,47300,CTN
2008-03-11,15889,16126,15272,15272,11900,CTN
2008-03-12,16126,16837,16031,16079,10900,CTN
2008-03-13,17075,17312,16363,16600,10500,CTN
2008-03-14,16126,16126,15889,15889,9100,CTN
2008-03-17,14703,14703,14466,14466,8500,CTN
2008-03-18,13185,13280,13138,13138,12600,CTN
2008-03-19,14229,14466,12332,12806,9100,CTN
2008-03-20,13280,13280,12616,12616,4700,CTN
2008-03-21,12047,12094,11810,11857,47000,CTN
2008-03-24,11857,11857,10671,10671,35900,CTN
2008-03-25,9770,10292,9723,9723,8100,CTN
2008-03-26,10434,10671,9486,10624,33600,CTN
2008-03-27,10671,10671,10671,10671,100,CTN
2008-03-28,10861,10861,10861,10861,800,CTN
2008-03-31,11051,11051,11051,11051,200,CTN
2008-04-01,11241,11241,11241,11241,100,CTN
2008-04-02,11430,11430,11430,11430,100,CTN
2008-04-03,11620,11620,11620,11620,1000,CTN
2008-04-04,11810,11810,11810,11810,1000,CTN
