time,open,high,low,close,volume,ticker
2009-08-14,4332,4332,4332,4332,320950,D2D
2009-08-17,4422,4422,4160,4160,86630,D2D
2009-08-18,3980,4368,3971,4197,49070,D2D
2009-08-19,4323,4323,4151,4242,30300,D2D
2009-08-20,4151,4188,4106,4142,148730,D2D
2009-08-21,4151,4287,4151,4287,241130,D2D
2009-08-24,4332,4332,4287,4314,91680,D2D
2009-08-25,4314,4314,4242,4314,34270,D2D
2009-08-26,4323,4332,4287,4287,82880,D2D
2009-08-27,4233,4287,4197,4242,91230,D2D
2009-08-28,4242,4449,4242,4449,474080,D2D
2009-08-31,4648,4648,4648,4648,156800,D2D
2009-09-01,4873,4873,4738,4873,347200,D2D
2009-09-03,4783,5054,4738,5054,248700,D2D
2009-09-04,5054,5054,4828,4828,112340,D2D
2009-09-07,4648,4783,4603,4648,252680,D2D
2009-09-08,4783,4783,4648,4693,90870,D2D
2009-09-09,4693,4693,4476,4512,63070,D2D
2009-09-10,4512,4693,4458,4512,80250,D2D
2009-09-11,4648,4738,4512,4738,303550,D2D
2009-09-14,4738,4964,4738,4783,169370,D2D
2009-09-15,4738,4783,4603,4783,173330,D2D
2009-09-16,4738,4738,4603,4603,106760,D2D
2009-09-17,4693,4693,4440,4512,190050,D2D
2009-09-18,4512,4648,4494,4603,330750,D2D
2009-09-21,4738,4828,4648,4828,195890,D2D
2009-09-22,4873,5054,4783,5054,525410,D2D
2009-09-23,5054,5099,4828,4828,254430,D2D
2009-09-24,4738,4783,4648,4693,108880,D2D
2009-09-25,4783,4873,4693,4783,267940,D2D
2009-09-28,5009,5009,5009,5009,104250,D2D
2009-09-29,5235,5235,5009,5054,550090,D2D
2009-09-30,5054,5189,4919,5054,506590,D2D
2009-10-01,5009,5054,4873,4873,351110,D2D
2009-10-02,4693,4828,4648,4693,282930,D2D
2009-10-05,4738,4919,4693,4783,255330,D2D
2009-10-06,4919,5009,4828,5009,269080,D2D
2009-10-07,5235,5235,5189,5235,409020,D2D
2009-10-08,5460,5460,5460,5460,107060,D2D
2009-10-09,5731,5731,5731,5731,130950,D2D
2009-10-12,6002,6002,6002,6002,32530,D2D
2009-10-13,6273,6273,6273,6273,91570,D2D
2009-10-14,6543,6543,6453,6543,820890,D2D
2009-10-15,6859,6859,6679,6859,645870,D2D
2009-10-16,6769,6859,6543,6543,271610,D2D
2009-10-19,6318,6543,6227,6227,355450,D2D
2009-10-20,6273,6498,6137,6498,388710,D2D
2009-10-21,6588,6679,6318,6318,234410,D2D
2009-10-22,6137,6363,6137,6318,185870,D2D
2009-10-23,6273,6318,6047,6047,240350,D2D
2009-10-26,5866,6137,5776,5776,209860,D2D
2009-10-27,5641,5686,5505,5596,182630,D2D
2009-10-28,5866,5866,5686,5866,170490,D2D
2009-10-29,5686,5866,5596,5866,277330,D2D
2009-10-30,6137,6137,6047,6137,229460,D2D
2009-11-02,5911,5911,5866,5866,242710,D2D
2009-11-03,5957,5957,5596,5641,278920,D2D
