time,open,high,low,close,volume,ticker
2009-08-19,5737,5737,3382,3545,12000,DAD
2009-08-20,3708,3965,3708,3708,2500,DAD
2009-08-21,3475,3475,3475,3475,7200,DAD
2009-08-24,3265,3405,3265,3382,7000,DAD
2009-08-25,3288,3288,3288,3288,2000,DAD
2009-08-26,3265,3428,3265,3428,5600,DAD
2009-08-27,3382,3428,3382,3382,7300,DAD
2009-08-28,3405,3428,3405,3405,12900,DAD
2009-08-31,3568,3568,3475,3475,600,DAD
2009-09-01,3382,3382,3335,3335,3100,DAD
2009-09-03,3428,3428,3428,3428,100,DAD
2009-09-04,3382,3382,3265,3382,5500,DAD
2009-09-07,3242,3358,3242,3242,2200,DAD
2009-09-08,3265,3265,3265,3265,1700,DAD
2009-09-09,3242,3265,3242,3265,500,DAD
2009-09-10,3265,3265,3265,3265,300,DAD
2009-09-11,3265,3265,3242,3242,2700,DAD
2009-09-14,3265,3265,3265,3265,4600,DAD
2009-09-15,3358,3358,3265,3265,2000,DAD
2009-09-16,3335,3335,3265,3265,2600,DAD
2009-09-17,3312,3312,3242,3242,8400,DAD
2009-09-18,3288,3288,3218,3265,3100,DAD
2009-09-21,3265,3265,3218,3265,3200,DAD
2009-09-22,3288,3288,3242,3265,23200,DAD
2009-09-23,3288,3288,3265,3288,4700,DAD
2009-09-24,3288,3288,3288,3288,1100,DAD
2009-09-25,3288,3288,3288,3288,0,DAD
2009-09-28,3172,3172,3172,3172,6800,DAD
2009-09-29,3195,3195,3195,3195,1000,DAD
2009-09-30,3172,3172,3172,3172,2700,DAD
2009-10-01,3218,3265,3218,3242,9000,DAD
2009-10-02,3242,3242,3172,3218,4600,DAD
2009-10-05,3055,3055,3055,3055,100,DAD
2009-10-06,3172,3265,3172,3265,5400,DAD
2009-10-07,3382,3405,3265,3288,21900,DAD
2009-10-08,3452,3498,3312,3335,8800,DAD
2009-10-09,3382,3568,3382,3475,11500,DAD
2009-10-12,3731,3731,3615,3661,26100,DAD
2009-10-13,3731,3801,3731,3755,20700,DAD
2009-10-14,4011,4011,3895,4011,37500,DAD
2009-10-15,4198,4221,4198,4221,53400,DAD
2009-10-16,4501,4501,4245,4245,23600,DAD
2009-10-19,4198,4361,4198,4315,2600,DAD
2009-10-20,4571,4571,4081,4081,29900,DAD
2009-10-21,4315,4315,4011,4011,14600,DAD
2009-10-22,4198,4198,3965,3988,24900,DAD
2009-10-23,3965,4151,3965,4128,8800,DAD
2009-10-26,3918,4151,3801,3965,10700,DAD
2009-10-27,3941,3941,3801,3801,8800,DAD
2009-10-28,3941,3941,3918,3941,6300,DAD
2009-10-29,3685,3965,3685,3708,18700,DAD
2009-10-30,3498,3755,3498,3708,6700,DAD
2009-11-02,3615,3615,3428,3615,2300,DAD
2009-11-03,3755,3755,3335,3335,3800,DAD
2009-11-04,3638,3638,3615,3638,5600,DAD
2009-11-05,3825,3825,3731,3755,14400,DAD
2009-11-06,3685,3685,3568,3568,2600,DAD
2009-11-09,3498,3498,3382,3405,6900,DAD
2009-11-10,3615,3615,3288,3288,1300,DAD
2009-11-11,3498,3498,3498,3498,100,DAD
2009-11-12,3405,3405,3265,3312,15500,DAD
2009-11-13,3265,3382,3265,3382,4700,DAD
2009-11-16,3265,3358,3265,3358,4500,DAD
2009-11-17,3358,3358,3242,3265,500,DAD
2009-11-18,3172,3265,3172,3265,1500,DAD
2009-11-19,3148,3265,3148,3172,4800,DAD
2009-11-20,3242,3242,3148,3148,6300,DAD
2009-11-23,3172,3172,3032,3032,6500,DAD
2009-11-24,3078,3102,3078,3102,2700,DAD
2009-11-25,3032,3032,2892,2892,8800,DAD
2009-11-26,3032,3032,2705,2705,13400,DAD
2009-11-27,2915,2915,2915,2915,800,DAD
2009-11-30,2985,3102,2985,3102,6500,DAD
2009-12-01,3288,3288,3242,3242,14200,DAD
2009-12-02,3265,3265,3078,3078,6300,DAD
2009-12-03,3125,3125,3032,3032,1000,DAD
2009-12-04,3265,3265,3032,3078,1300,DAD
2009-12-07,3125,3195,3055,3195,2100,DAD
2009-12-08,2962,3008,2962,3008,6000,DAD
2009-12-09,2798,2822,2798,2822,6200,DAD
2009-12-10,2612,2892,2612,2892,3200,DAD
2009-12-11,2612,2892,2612,2892,4400,DAD
2009-12-14,2845,2892,2845,2892,4400,DAD
2009-12-15,2915,2915,2868,2868,4100,DAD
2009-12-16,2682,2798,2682,2798,1600,DAD
2009-12-17,2798,2845,2798,2798,10300,DAD
2009-12-18,2845,2845,2822,2845,3100,DAD
2009-12-21,3032,3032,3008,3008,1500,DAD
2009-12-22,2915,3055,2822,3032,6400,DAD
2009-12-23,2798,3008,2798,3008,600,DAD
2009-12-24,2775,3008,2775,2798,5000,DAD
2009-12-25,2752,3008,2752,3008,1500,DAD
2009-12-28,2985,2985,2985,2985,0,DAD
2009-12-29,2798,2822,2798,2822,3400,DAD
2009-12-30,2635,2985,2635,2985,16800,DAD
2009-12-31,2985,2985,2915,2938,4700,DAD
2010-01-04,2985,3032,2985,3008,7700,DAD
2010-01-05,2798,3008,2798,2962,8200,DAD
2010-01-06,2798,2822,2752,2822,3800,DAD
2010-01-07,2798,2962,2798,2938,13600,DAD
