time,open,high,low,close,volume,ticker
2006-12-28,2856,3046,2856,2989,3500,DAE
2006-12-29,3284,3284,3284,3284,3000,DAE
2007-01-02,2961,2961,2961,2961,300,DAE
2007-01-03,2961,2961,2961,2961,0,DAE
2007-01-04,2961,2961,2961,2961,0,DAE
2007-01-05,2961,2961,2961,2961,0,DAE
2007-01-08,2666,2666,2666,2666,3000,DAE
2007-01-09,2666,2666,2666,2666,0,DAE
2007-01-10,2475,2475,2475,2475,2000,DAE
2007-01-11,2428,2428,2228,2228,2800,DAE
2007-01-12,2285,2285,2047,2047,1000,DAE
2007-01-15,2047,2047,2047,2047,1000,DAE
2007-01-16,2047,2047,2047,2047,0,DAE
2007-01-17,2047,2047,2047,2047,0,DAE
2007-01-18,2247,2247,2247,2247,200,DAE
2007-01-19,2466,2466,2466,2466,2000,DAE
2007-01-22,2704,2704,2704,2704,5800,DAE
2007-01-23,2970,2970,2970,2970,7300,DAE
2007-01-24,3265,3265,3142,3265,24300,DAE
2007-01-25,3427,3427,3237,3237,3700,DAE
2007-01-26,2999,2999,2999,2999,500,DAE
2007-01-29,2856,3142,2856,3142,2000,DAE
2007-01-30,3142,3142,3046,3142,3900,DAE
2007-01-31,3246,3246,3189,3189,4100,DAE
2007-02-01,3523,3532,3142,3142,2900,DAE
2007-02-02,3446,3446,3427,3427,2400,DAE
2007-02-05,3427,3427,3142,3142,400,DAE
2007-02-06,3218,3218,3218,3218,0,DAE
2007-02-07,3237,3246,3237,3237,1700,DAE
2007-02-08,2913,2951,2913,2951,500,DAE
2007-02-09,2942,2942,2942,2942,0,DAE
2007-02-12,2761,2942,2761,2942,800,DAE
2007-02-13,2894,2951,2894,2951,1400,DAE
2007-02-14,2932,2932,2932,2932,0,DAE
2007-02-15,2932,2932,2932,2932,0,DAE
2007-02-26,2932,2932,2932,2932,0,DAE
2007-02-27,3199,3218,3199,3199,900,DAE
2007-02-28,3475,3475,3332,3427,5300,DAE
2007-03-01,3523,3523,3427,3523,3400,DAE
2007-03-02,3523,3827,3523,3808,7200,DAE
2007-03-05,4094,4094,4094,4094,1000,DAE
2007-03-06,4503,4503,4503,4503,2800,DAE
2007-03-07,4951,4951,4951,4951,1800,DAE
2007-03-08,5446,5446,5446,5446,3400,DAE
2007-03-09,5989,5989,5989,5989,1000,DAE
2007-03-12,6579,6579,6493,6493,13100,DAE
2007-03-13,6855,6865,6379,6465,4500,DAE
2007-03-14,5951,5951,5951,5951,1600,DAE
2007-03-15,5360,5360,5360,5360,300,DAE
2007-03-16,4827,5855,4827,5855,5600,DAE
2007-03-19,5636,5636,5636,5636,2100,DAE
2007-03-20,6198,6198,6198,6198,8100,DAE
2007-03-21,5998,6189,5998,6189,1600,DAE
2007-03-22,5998,5998,5713,5713,3300,DAE
2007-03-23,5570,5570,5427,5427,800,DAE
2007-03-26,5436,5436,4979,4979,1500,DAE
2007-03-27,4598,4598,4598,4598,700,DAE
2007-03-28,4141,4570,4141,4570,3100,DAE
2007-03-29,4751,4751,4322,4570,11200,DAE
2007-03-30,5132,5132,5113,5132,3500,DAE
2007-04-02,5617,5617,5617,5617,600,DAE
2007-04-03,5713,5713,5056,5056,1100,DAE
2007-04-04,4665,4760,4665,4760,400,DAE
2007-04-05,5208,5208,4808,4808,1500,DAE
2007-04-06,5236,5332,4856,4856,4000,DAE
2007-04-09,5236,5236,4856,4856,1100,DAE
2007-04-10,4408,4856,4408,4856,2300,DAE
2007-04-11,4951,4951,4760,4760,1200,DAE
2007-04-12,4760,4760,4760,4760,100,DAE
2007-04-13,4475,4475,4475,4475,100,DAE
2007-04-16,4027,4027,4027,4027,200,DAE
2007-04-17,3627,3627,3627,3627,1800,DAE
2007-04-18,3903,3903,3903,3903,100,DAE
2007-04-19,3903,3903,3903,3903,0,DAE
2007-04-20,3903,3903,3903,3903,0,DAE
2007-04-23,3618,3618,3618,3618,100,DAE
2007-04-24,3618,3618,3618,3618,0,DAE
2007-04-25,3808,3808,3808,3808,900,DAE
2007-05-02,4189,4189,4189,4189,100,DAE
2007-05-03,4189,4284,4189,4284,1000,DAE
2007-05-04,4094,4094,4094,4094,100,DAE
