time,open,high,low,close,volume,ticker
2017-01-12,5299,5299,5299,5299,0,DFC
2017-01-13,5299,5299,5299,5299,0,DFC
2017-01-16,5299,5299,5299,5299,0,DFC
2017-01-17,5299,5299,5299,5299,0,DFC
2017-01-18,5299,5299,5299,5299,0,DFC
2017-01-19,5299,5299,5299,5299,0,DFC
2017-01-20,5299,5299,5299,5299,0,DFC
2017-01-23,5299,5299,5299,5299,0,DFC
2017-01-24,5299,5299,5299,5299,0,DFC
2017-01-25,5299,5299,5299,5299,0,DFC
2017-02-02,5299,5299,5299,5299,0,DFC
2017-02-03,5299,5299,5299,5299,0,DFC
2017-02-06,5299,5299,5299,5299,0,DFC
2017-02-07,5299,5299,5299,5299,0,DFC
2017-02-08,5299,5299,5299,5299,0,DFC
2017-02-09,5299,5299,5299,5299,0,DFC
2017-02-10,5299,5299,5299,5299,0,DFC
2017-02-13,5299,5299,5299,5299,0,DFC
2017-02-14,5299,5299,5299,5299,0,DFC
2017-02-15,5299,5299,5299,5299,0,DFC
2017-02-16,5299,5299,5299,5299,0,DFC
2017-02-17,5299,5299,5299,5299,0,DFC
2017-02-20,5299,5299,5299,5299,0,DFC
2017-02-21,5299,5299,5299,5299,0,DFC
2017-02-22,5299,5299,5299,5299,0,DFC
2017-02-23,5299,5299,5299,5299,0,DFC
2017-02-24,5299,5299,5299,5299,0,DFC
2017-02-27,5299,5299,5299,5299,0,DFC
2017-02-28,5299,5299,5299,5299,0,DFC
2017-03-01,5299,5299,5299,5299,0,DFC
2017-03-02,5299,5299,5299,5299,0,DFC
2017-03-03,5299,5299,5299,5299,0,DFC
2017-03-06,5299,5299,5299,5299,0,DFC
2017-03-07,5299,5299,5299,5299,0,DFC
2017-03-08,5299,5299,5299,5299,0,DFC
2017-03-09,5299,5299,5299,5299,0,DFC
2017-03-10,5299,5299,5299,5299,0,DFC
2017-03-13,5299,5299,5299,5299,0,DFC
2017-03-14,5299,5299,5299,5299,0,DFC
2017-03-15,5299,5299,5299,5299,0,DFC
2017-03-16,5299,5299,5299,5299,0,DFC
2017-03-17,5299,5299,5299,5299,0,DFC
2017-03-20,5299,5299,5299,5299,0,DFC
2017-03-21,5299,5299,5299,5299,0,DFC
2017-03-22,5299,5299,5299,5299,0,DFC
2017-03-23,5299,5299,5299,5299,0,DFC
2017-03-24,5299,5299,5299,5299,0,DFC
2017-03-27,5299,5299,5299,5299,0,DFC
2017-03-28,5299,5299,5299,5299,0,DFC
2017-03-29,5299,5299,5299,5299,0,DFC
2017-03-30,5299,5299,5299,5299,0,DFC
2017-03-31,5299,5299,5299,5299,0,DFC
2017-04-03,5299,5299,5299,5299,0,DFC
2017-04-04,5299,5299,5299,5299,0,DFC
2017-04-05,5299,5299,5299,5299,0,DFC
2017-04-07,5299,5299,5299,5299,0,DFC
2017-04-10,5299,5299,5299,5299,0,DFC
2017-04-11,5299,5299,5299,5299,0,DFC
2017-04-12,5299,5299,5299,5299,0,DFC
2017-04-13,5299,5299,5299,5299,0,DFC
2017-04-14,5299,5299,5299,5299,0,DFC
2017-04-17,5299,5299,5299,5299,0,DFC
2017-04-18,5299,5299,5299,5299,0,DFC
2017-04-19,5299,5299,5299,5299,0,DFC
2017-04-20,5299,5299,5299,5299,0,DFC
2017-04-21,5299,5299,5299,5299,0,DFC
2017-04-24,5299,5299,5299,5299,0,DFC
2017-04-25,5299,5299,5299,5299,0,DFC
2017-04-26,5299,5299,5299,5299,0,DFC
2017-04-27,5299,5299,5299,5299,0,DFC
2017-04-28,5299,5299,5299,5299,0,DFC
2017-05-03,5299,5299,5299,5299,0,DFC
2017-05-04,5299,5299,5299,5299,0,DFC
2017-05-05,5299,5299,5299,5299,0,DFC
2017-05-08,5299,5299,5299,5299,0,DFC
2017-05-09,5299,5299,5299,5299,0,DFC
2017-05-10,5299,5299,5299,5299,0,DFC
2017-05-11,5299,5299,5299,5299,0,DFC
2017-05-12,5299,5299,5299,5299,0,DFC
2017-05-15,7418,7418,7418,7418,100,DFC
2017-05-16,7418,7418,7418,7418,0,DFC
2017-05-17,7418,7418,7418,7418,0,DFC
2017-05-18,7418,7418,7418,7418,0,DFC
2017-05-19,7418,7418,7418,7418,0,DFC
2017-05-22,7418,7418,7418,7418,0,DFC
2017-05-23,7418,7418,7418,7418,0,DFC
2017-05-24,7418,7418,7418,7418,0,DFC
2017-05-25,7418,7418,7418,7418,0,DFC
2017-05-26,7418,7418,7418,7418,0,DFC
2017-05-29,7418,7418,7418,7418,0,DFC
2017-05-30,7418,7418,7418,7418,0,DFC
2017-05-31,7418,7418,7418,7418,0,DFC
2017-06-01,7418,7418,7418,7418,0,DFC
2017-06-02,7418,7418,7418,7418,0,DFC
2017-06-05,7418,7418,7418,7418,0,DFC
2017-06-06,7418,7418,7418,7418,0,DFC
2017-06-07,7418,7418,7418,7418,0,DFC
2017-06-08,8478,8478,8478,8478,100,DFC
2017-06-09,9715,9715,9715,9715,100,DFC
2017-06-12,11128,11128,11128,11128,100,DFC
2017-06-13,12776,12776,12776,12776,100,DFC
2017-06-14,14661,14661,14661,14661,100,DFC
2017-06-15,14661,14661,14661,14661,0,DFC
2017-06-16,14661,14661,14661,14661,0,DFC
2017-06-19,14661,14661,14661,14661,0,DFC
2017-06-20,14661,14661,14661,14661,0,DFC
2017-06-21,14661,14661,14661,14661,0,DFC
2017-06-22,14661,14661,14661,14661,0,DFC
2017-06-23,14661,14661,14661,14661,0,DFC
2017-06-26,14661,14661,14661,14661,0,DFC
2017-06-27,14661,14661,14661,14661,0,DFC
2017-06-28,14661,14661,14661,14661,0,DFC
2017-06-29,14661,14661,14661,14661,0,DFC
2017-06-30,14661,14661,14661,14661,0,DFC
2017-07-03,14661,14661,14661,14661,0,DFC
2017-07-04,14661,14661,14661,14661,0,DFC
2017-07-05,14661,14661,14661,14661,0,DFC
2017-07-06,14661,14661,14661,14661,0,DFC
2017-07-07,14661,14661,14661,14661,0,DFC
2017-07-10,14661,14661,14661,14661,0,DFC
2017-07-11,14661,14661,14661,14661,0,DFC
2017-07-12,14661,14661,14661,14661,0,DFC
2017-07-13,14661,14661,14661,14661,0,DFC
2017-07-14,14661,14661,14661,14661,0,DFC
2017-07-17,14661,14661,14661,14661,0,DFC
2017-07-18,14661,14661,14661,14661,0,DFC
2017-07-19,14661,14661,14661,14661,0,DFC
2017-07-20,14661,14661,14661,14661,0,DFC
2017-07-21,14661,14661,14661,14661,0,DFC
2017-07-24,14661,14661,14661,14661,0,DFC
2017-07-25,14661,14661,14661,14661,0,DFC
2017-07-26,14661,14661,14661,14661,0,DFC
2017-07-27,14661,14661,14661,14661,0,DFC
2017-07-28,14661,14661,14661,14661,0,DFC
2017-07-31,14661,14661,14661,14661,0,DFC
2017-08-01,14661,14661,14661,14661,0,DFC
2017-08-02,14661,14661,14661,14661,0,DFC
2017-08-03,14661,14661,14661,14661,0,DFC
2017-08-04,14661,14661,14661,14661,0,DFC
2017-08-07,14661,14661,14661,14661,0,DFC
2017-08-08,14661,14661,14661,14661,0,DFC
2017-08-09,14661,14661,14661,14661,0,DFC
2017-08-10,14661,14661,14661,14661,0,DFC
2017-08-11,14661,14661,14661,14661,0,DFC
2017-08-14,14661,14661,14661,14661,0,DFC
2017-08-15,14661,14661,14661,14661,0,DFC
2017-08-16,14661,14661,14661,14661,0,DFC
2017-08-17,14661,14661,14661,14661,0,DFC
2017-08-18,14661,14661,14661,14661,0,DFC
2017-08-21,17134,17134,17134,17134,100,DFC
2017-08-22,17134,17134,17134,17134,0,DFC
2017-08-23,17134,17134,17134,17134,0,DFC
2017-08-24,14661,19665,14661,19665,2100,DFC
2017-08-25,12776,12776,12776,12776,2500,DFC
2017-08-28,12776,12776,12776,12776,0,DFC
2017-08-29,14661,14661,14661,14661,100,DFC
2017-08-30,14955,14955,14955,14955,2100,DFC
2017-08-31,13542,17192,13542,17192,600,DFC
2017-09-01,14778,14778,14778,14778,0,DFC
2017-09-05,16957,16957,16957,16957,100,DFC
2017-09-06,19489,19489,19489,19489,1510100,DFC
2017-09-07,22374,22374,22374,22374,2092200,DFC
2017-09-08,25730,25730,25730,25730,300,DFC
2017-09-11,29557,29557,29557,29557,1500,DFC
2017-09-12,29557,33973,25141,25907,14900,DFC
2017-09-13,23846,24140,23551,23551,21500,DFC
2017-09-14,23551,24729,23551,24729,800,DFC
2017-09-15,23551,27614,23551,27614,1400,DFC
2017-09-18,28085,28262,27084,28262,1800,DFC
2017-09-19,27673,27673,27673,27673,300,DFC
2017-09-20,29439,29439,25907,25907,1100,DFC
2017-09-21,27084,27084,24729,26908,2700,DFC
2017-09-22,29439,29439,23139,26495,2000,DFC
2017-09-25,23846,26495,23846,25318,3300,DFC
2017-09-26,24140,24140,24140,24140,100,DFC
2017-09-27,25259,25259,24199,24199,1200,DFC
2017-09-28,24317,24317,24317,24317,0,DFC
2017-09-29,24552,25023,24552,24729,1400,DFC
2017-10-02,24788,24788,24788,24788,0,DFC
2017-10-03,24788,24788,24788,24788,0,DFC
2017-10-04,24788,24788,24788,24788,0,DFC
2017-10-05,24729,24729,24435,24729,800,DFC
2017-10-06,24494,24494,24494,24494,300,DFC
2017-10-09,24494,24494,24494,24494,0,DFC
2017-10-10,24435,24729,24435,24729,500,DFC
2017-10-11,24494,24494,24494,24494,100,DFC
2017-10-12,24494,24494,24494,24494,0,DFC
2017-10-13,22668,22668,22668,22668,100,DFC
2017-10-16,19312,25318,19312,25318,700,DFC
2017-10-17,19371,19371,19371,19371,100,DFC
2017-10-18,22256,22256,22256,22256,100,DFC
2017-10-19,25318,25318,25318,25318,300,DFC
2017-10-20,25318,25318,25318,25318,100,DFC
2017-10-23,27084,27084,27084,27084,100,DFC
2017-10-24,27084,27084,27084,27084,0,DFC
2017-10-25,27084,27084,27084,27084,0,DFC
2017-10-26,27084,27084,27084,27084,0,DFC
2017-10-27,27084,27084,27084,27084,0,DFC
2017-10-30,27084,27084,27084,27084,0,DFC
2017-10-31,27084,27084,27084,27084,0,DFC
2017-11-01,27084,27084,27084,27084,0,DFC
2017-11-02,23139,23139,23139,23139,1300,DFC
2017-11-03,23139,23139,23139,23139,0,DFC
2017-11-06,26437,26437,26437,26437,100,DFC
2017-11-07,26437,26437,26437,26437,0,DFC
2017-11-08,26437,26437,26437,26437,0,DFC
2017-11-09,26437,26437,26437,26437,0,DFC
2017-11-10,26437,26437,26437,26437,0,DFC
2017-11-13,26437,26437,26437,26437,0,DFC
2017-11-14,26437,26437,26437,26437,0,DFC
2017-11-15,24729,24729,24140,24140,1300,DFC
2017-11-16,24494,24494,24494,24494,0,DFC
2017-11-17,24494,24494,24494,24494,0,DFC
2017-11-20,24494,24494,24494,24494,0,DFC
2017-11-21,24494,24494,24494,24494,0,DFC
2017-11-22,24494,24494,24494,24494,0,DFC
2017-11-23,24494,24494,24494,24494,0,DFC
2017-11-24,22374,23551,22374,23551,1500,DFC
2017-11-27,23139,23139,23139,23139,0,DFC
2017-11-28,23139,23139,23139,23139,0,DFC
2017-11-29,23139,23139,23139,23139,0,DFC
2017-11-30,23139,23139,23139,23139,0,DFC
2017-12-01,26495,26495,26495,26495,100,DFC
2017-12-04,26495,26495,26495,26495,0,DFC
2017-12-05,26495,26495,26495,26495,0,DFC
2017-12-06,26495,26495,26495,26495,0,DFC
2017-12-07,26495,26495,26495,26495,0,DFC
2017-12-08,26495,26495,26495,26495,0,DFC
2017-12-11,26495,26495,26495,26495,0,DFC
2017-12-12,26495,26495,26495,26495,0,DFC
2017-12-13,26495,26495,26495,26495,0,DFC
2017-12-14,22963,22963,22963,22963,300,DFC
2017-12-15,22963,22963,22963,22963,500,DFC
2017-12-18,20607,20607,20607,20607,1000,DFC
2017-12-19,20607,20607,20607,20607,0,DFC
2017-12-20,22963,22963,22963,22963,100,DFC
2017-12-21,25318,25318,25318,25318,100,DFC
2017-12-22,29086,29086,29086,29086,100,DFC
2017-12-25,24729,24729,24729,24729,200,DFC
2017-12-26,24729,24729,24729,24729,0,DFC
2017-12-27,24729,24729,24729,24729,0,DFC
2017-12-28,24729,24729,24729,24729,0,DFC
2017-12-29,24729,24729,24729,24729,0,DFC
2018-01-02,24729,24729,24729,24729,0,DFC
2018-01-03,24729,24729,24729,24729,0,DFC
2018-01-04,23493,27084,23493,27084,2600,DFC
2018-01-05,25966,25966,25966,25966,0,DFC
2018-01-08,25966,25966,25966,25966,0,DFC
2018-01-09,25966,25966,25966,25966,0,DFC
2018-01-10,23551,23551,23551,23551,200,DFC
2018-01-11,23551,23551,23551,23551,100,DFC
2018-01-12,23551,23551,23551,23551,0,DFC
2018-01-15,23551,23551,23551,23551,0,DFC
2018-01-16,23551,23551,23551,23551,0,DFC
2018-01-17,23551,23551,23551,23551,0,DFC
2018-01-18,23551,23551,23551,23551,0,DFC
2018-01-19,23551,23551,23551,23551,0,DFC
2018-01-22,23551,23551,23551,23551,0,DFC
2018-01-23,23551,23551,23551,23551,0,DFC
2018-01-24,23551,23551,23551,23551,0,DFC
2018-01-25,23551,23551,23551,23551,0,DFC
2018-01-26,22963,22963,22963,22963,2000,DFC
2018-01-29,22963,22963,22963,22963,0,DFC
2018-01-30,20019,20136,20019,20136,700,DFC
2018-01-31,20078,20078,20078,20078,0,DFC
2018-02-01,20078,20078,20078,20078,0,DFC
2018-02-02,22845,22845,22845,22845,100,DFC
2018-02-05,22845,22845,22845,22845,0,DFC
2018-02-06,22845,22845,22845,22845,0,DFC
2018-02-07,22845,22845,22845,22845,0,DFC
2018-02-08,25907,25907,25907,25907,100,DFC
2018-02-09,29734,29734,29734,29734,100,DFC
2018-02-12,25318,25318,25318,25318,100,DFC
2018-02-13,21785,21785,21550,21550,200,DFC
2018-02-21,24670,24670,24670,24670,100,DFC
2018-02-22,24670,24670,24670,24670,0,DFC
2018-02-23,22963,22963,22963,22963,3500,DFC
2018-02-26,22963,22963,22963,22963,0,DFC
2018-02-27,22963,22963,22963,22963,0,DFC
2018-02-28,22963,22963,22963,22963,0,DFC
2018-03-01,21785,21785,21785,21785,100,DFC
2018-03-02,21785,21785,21785,21785,0,DFC
2018-03-05,22963,22963,22963,22963,200,DFC
2018-03-06,22963,22963,22963,22963,100,DFC
2018-03-07,19606,19606,19606,19606,100,DFC
2018-03-08,19606,19606,19606,19606,0,DFC
2018-03-09,19606,19606,19606,19606,0,DFC
2018-03-12,19606,19606,19606,19606,0,DFC
2018-03-13,16721,16721,16721,16721,400,DFC
2018-03-14,19194,19194,19194,19194,300,DFC
2018-03-15,19194,19194,19194,19194,0,DFC
2018-03-16,19253,19253,19253,19253,100,DFC
2018-03-19,19253,19253,19253,19253,0,DFC
2018-03-20,19253,19253,19253,19253,0,DFC
2018-03-21,19253,19253,19253,19253,0,DFC
2018-03-22,19253,19253,19253,19253,0,DFC
2018-03-23,19253,19253,19253,19253,0,DFC
2018-03-26,19253,19253,19253,19253,0,DFC
2018-03-27,19253,19253,19253,19253,0,DFC
2018-03-28,19253,19253,19253,19253,0,DFC
2018-03-29,22138,22138,22079,22079,200,DFC
2018-03-30,22138,22138,22138,22138,0,DFC
2018-04-02,22138,22138,22138,22138,0,DFC
2018-04-03,21785,21785,20607,20607,400,DFC
2018-04-04,20607,20607,20607,20607,200,DFC
2018-04-05,20607,20607,20607,20607,0,DFC
2018-04-06,22433,22492,22374,22374,1100,DFC
2018-04-09,22374,22374,22374,22374,600,DFC
2018-04-10,22374,22374,22374,22374,0,DFC
2018-04-11,22374,22374,22374,22374,0,DFC
2018-04-12,22374,22374,22374,22374,0,DFC
2018-04-13,22374,22374,22374,22374,0,DFC
2018-04-16,22374,22374,22374,22374,0,DFC
2018-04-17,22374,22374,22374,22374,0,DFC
2018-04-18,22374,22374,22374,22374,0,DFC
2018-04-19,22374,22374,22374,22374,0,DFC
2018-04-20,22374,22374,22374,22374,0,DFC
2018-04-23,22374,22374,22374,22374,0,DFC
2018-04-24,22374,22374,22374,22374,0,DFC
2018-04-26,22374,22374,22374,22374,0,DFC
2018-04-27,22374,22374,22374,22374,0,DFC
2018-05-02,22374,22374,22374,22374,0,DFC
2018-05-03,22374,22374,22374,22374,0,DFC
2018-05-04,22374,22374,22374,22374,0,DFC
2018-05-07,22374,22374,22374,22374,0,DFC
2018-05-08,22374,22374,22374,22374,0,DFC
2018-05-09,21726,21726,21726,21726,100,DFC
2018-05-10,21726,21726,21726,21726,0,DFC
2018-05-11,21726,21726,21726,21726,0,DFC
2018-05-14,21726,21726,21726,21726,0,DFC
2018-05-15,21137,21137,21137,21137,100,DFC
2018-05-16,21137,21137,21137,21137,0,DFC
2018-05-17,21137,21137,21137,21137,0,DFC
2018-05-18,21137,21137,21137,21137,0,DFC
2018-05-21,21137,21137,21137,21137,0,DFC
2018-05-22,21137,21137,21137,21137,0,DFC
2018-05-23,21137,21137,21137,21137,0,DFC
2018-05-24,21137,21137,21137,21137,0,DFC
2018-05-25,21137,21137,21137,21137,0,DFC
2018-05-28,21137,21137,21137,21137,0,DFC
2018-05-29,21137,21137,21137,21137,0,DFC
2018-05-30,21137,21137,21137,21137,0,DFC
2018-05-31,21137,21137,21137,21137,0,DFC
2018-06-01,21137,21137,21137,21137,0,DFC
2018-06-04,21137,21137,21137,21137,0,DFC
2018-06-05,21196,21196,21196,21196,200,DFC
2018-06-06,21196,21196,21196,21196,0,DFC
2018-06-07,21196,21196,21196,21196,0,DFC
2018-06-08,20607,20607,20607,20607,100,DFC
2018-06-11,20607,20607,20607,20607,0,DFC
2018-06-12,20607,20607,20607,20607,0,DFC
2018-06-13,20607,20607,20607,20607,0,DFC
2018-06-14,20607,20607,20607,20607,0,DFC
2018-06-15,20607,20607,20607,20607,0,DFC
2018-06-18,20607,20607,20607,20607,0,DFC
2018-06-19,20607,20607,20607,20607,0,DFC
2018-06-20,23689,23689,23689,23689,100,DFC
2018-06-21,23689,23689,23689,23689,0,DFC
2018-06-22,23689,23689,23689,23689,0,DFC
2018-06-25,23689,23689,23689,23689,0,DFC
2018-06-26,23689,23689,23689,23689,0,DFC
2018-06-27,23753,23753,23753,23753,100,DFC
2018-06-28,23753,23753,23753,23753,0,DFC
2018-06-29,23753,23753,23753,23753,0,DFC
2018-07-02,23753,23753,23753,23753,0,DFC
2018-07-03,23753,23753,23753,23753,0,DFC
2018-07-04,23753,23753,23753,23753,0,DFC
2018-07-05,23753,23753,23753,23753,0,DFC
2018-07-06,23753,23753,23753,23753,0,DFC
2018-07-09,23753,23753,23753,23753,0,DFC
2018-07-10,23753,23753,23753,23753,0,DFC
2018-07-11,23753,23753,23753,23753,0,DFC
2018-07-12,23753,23753,23753,23753,0,DFC
2018-07-13,23753,23753,23753,23753,0,DFC
