time,open,high,low,close,volume,ticker
2021-07-08,20800,20800,20800,20800,4300,DFF
2021-07-09,23900,23900,23900,23900,2400,DFF
2021-07-12,27400,27400,27400,27400,2000,DFF
2021-07-13,31500,31500,31300,31300,50600,DFF
2021-07-14,36200,36200,31500,32200,11100,DFF
2021-07-15,31300,36900,31300,32100,15900,DFF
2021-07-16,31700,31700,28000,30000,24500,DFF
2021-07-19,28000,28000,26400,26400,22600,DFF
2021-07-20,23500,25000,23400,25000,5700,DFF
2021-07-21,26900,26900,26500,26500,6300,DFF
2021-07-22,26500,28500,26500,28000,5900,DFF
2021-07-23,27500,29000,27500,29000,5000,DFF
2021-07-26,29900,29900,29300,29400,4600,DFF
2021-07-27,30100,30100,26000,29900,5100,DFF
2021-07-28,30000,30400,25900,29600,5200,DFF
2021-07-29,29800,29900,26000,29400,5700,DFF
2021-07-30,28900,29300,28000,29300,6200,DFF
2021-08-02,29000,29000,28700,28900,5200,DFF
2021-08-03,29000,29200,26300,26300,5100,DFF
2021-08-04,29200,29900,28900,29900,5000,DFF
2021-08-05,29500,29500,29100,29500,4700,DFF
2021-08-06,29500,29800,29200,29500,4000,DFF
2021-08-09,29600,29800,29600,29600,4900,DFF
2021-08-10,29700,29700,29200,29200,3500,DFF
2021-08-11,28000,28800,28000,28700,5800,DFF
2021-08-12,29500,29500,28100,28100,2900,DFF
2021-08-13,28500,28500,27500,28500,4700,DFF
2021-08-16,29500,29500,28300,28400,3700,DFF
2021-08-17,29000,29500,27100,29500,7300,DFF
2021-08-18,28000,28700,28000,28700,1800,DFF
2021-08-19,28800,28800,28000,28300,3100,DFF
2021-08-20,30000,30000,27700,27900,2600,DFF
2021-08-23,28300,28300,26900,27700,3100,DFF
2021-08-24,28000,28400,27100,28400,2100,DFF
2021-08-25,27800,28200,27600,28200,2800,DFF
2021-08-26,27900,28100,27800,27800,3000,DFF
2021-08-27,27700,28100,27500,28100,3100,DFF
2021-08-30,27900,28000,27900,28000,2300,DFF
2021-08-31,28100,28100,27800,27800,1901,DFF
2021-09-01,28000,28300,28000,28000,2500,DFF
2021-09-06,28300,28400,28200,28200,2400,DFF
2021-09-07,28100,28100,27300,27300,2600,DFF
2021-09-08,27800,27800,27500,27500,3000,DFF
2021-09-09,27700,27900,27700,27800,2200,DFF
2021-09-10,27200,27900,27200,27700,2400,DFF
2021-09-13,27300,27800,27300,27700,2500,DFF
2021-09-14,27500,27600,27400,27500,2700,DFF
2021-09-15,27300,27600,27300,27500,2600,DFF
2021-09-16,27900,27900,27400,27500,2300,DFF
2021-09-17,27600,27800,27600,27700,2300,DFF
2021-09-20,27800,28800,27800,28000,2300,DFF
2021-09-21,27700,27900,27500,27500,3000,DFF
2021-09-22,28300,28300,27600,27700,3600,DFF
2021-09-23,27800,28000,27800,28000,1500,DFF
2021-09-24,27900,28800,27900,28000,2800,DFF
2021-09-27,28000,28000,27500,27500,2600,DFF
2021-09-28,27600,27900,27200,27800,4000,DFF
2021-09-29,27500,27600,27400,27600,2300,DFF
2021-09-30,27600,27700,27500,27500,2600,DFF
2021-10-01,27500,27500,27400,27400,2400,DFF
2021-10-04,27500,27600,27500,27500,2600,DFF
2021-10-05,27600,27600,27500,27600,2500,DFF
2021-10-06,27600,27700,27600,27700,2700,DFF
2021-10-07,27700,27700,27600,27600,3100,DFF
2021-10-08,27700,27700,27600,27700,4100,DFF
2021-10-11,27800,27800,27700,27700,3800,DFF
2021-10-12,27800,27800,27700,27700,2800,DFF
2021-10-13,27800,27800,27600,27700,2600,DFF
2021-10-14,27700,27700,27600,27600,3100,DFF
2021-10-15,27600,27800,27600,27800,2730,DFF
2021-10-18,27700,28000,27700,27700,2400,DFF
2021-10-19,27700,27900,27700,27900,2300,DFF
2021-10-20,27900,27900,27700,27700,1900,DFF
2021-10-21,27500,27700,27500,27700,2200,DFF
2021-10-22,27700,27700,27600,27700,1900,DFF
2021-10-25,27600,27600,27500,27600,2800,DFF
2021-10-26,27500,27600,27400,27500,2500,DFF
2021-10-27,27600,27900,27600,27900,2500,DFF
2021-10-28,27700,27900,27500,27900,2400,DFF
2021-10-29,27600,27800,27500,27800,2500,DFF
2021-11-01,27400,27700,27400,27500,3100,DFF
2021-11-02,27600,27700,27600,27700,1800,DFF
2021-11-03,27800,27900,27600,27700,3500,DFF
2021-11-04,27800,27900,27600,27900,2900,DFF
2021-11-05,27800,28000,27700,27900,5300,DFF
2021-11-08,27800,27900,27800,27900,4600,DFF
2021-11-09,27900,28000,27700,27700,3800,DFF
2021-11-10,27900,27900,27700,27800,3600,DFF
2021-11-11,27900,27900,27600,27700,4700,DFF
2021-11-12,27700,27700,27500,27600,5700,DFF
2021-11-15,27600,27700,27600,27700,4500,DFF
2021-11-16,27600,27700,27400,27500,4800,DFF
2021-11-17,27600,27700,27500,27700,9400,DFF
2021-11-18,27700,27700,27600,27600,3900,DFF
2021-11-19,27800,27800,27500,27500,8000,DFF
2021-11-22,27500,28000,27500,27700,6300,DFF
2021-11-23,27600,27900,27600,27900,13400,DFF
2021-11-24,27700,31900,27700,31900,29750,DFF
2021-11-25,32500,32500,31000,32500,88900,DFF
2021-11-26,32300,32500,29000,29000,17000,DFF
2021-11-29,29000,29500,27700,28900,9700,DFF
2021-11-30,27600,28200,24000,26500,34800,DFF
2021-12-01,26300,26300,23500,25900,7600,DFF
2021-12-02,24800,26000,24000,26000,11600,DFF
2021-12-03,25700,26000,24000,26000,9400,DFF
2021-12-06,25200,25600,24500,25500,4600,DFF
2021-12-07,27000,27000,24500,24500,4800,DFF
2021-12-08,25800,25800,24600,25300,4000,DFF
2021-12-09,25100,27000,24500,25100,13000,DFF
2021-12-10,26500,27000,26500,26500,4500,DFF
2021-12-13,26500,26900,24800,25000,6500,DFF
2021-12-14,26900,26900,24800,24800,5100,DFF
2021-12-15,26100,26100,23700,25800,24800,DFF
2021-12-16,25700,27800,25600,26400,7400,DFF
2021-12-17,25900,26800,24300,26800,28400,DFF
2021-12-20,25900,25900,24500,24500,8100,DFF
2021-12-21,25500,25500,24000,25500,24400,DFF
2021-12-22,26300,26300,24400,24400,11800,DFF
2021-12-23,25300,25700,23700,24000,20600,DFF
2021-12-24,25400,28000,24100,24100,9200,DFF
2021-12-27,25900,25900,24400,24400,8300,DFF
2021-12-28,25800,25800,24300,24500,8100,DFF
2021-12-29,25300,25800,24500,25500,18500,DFF
2021-12-30,25400,25500,25400,25500,9100,DFF
2021-12-31,25300,25300,23500,23700,13400,DFF
2022-01-04,25000,25300,25000,25300,10600,DFF
2022-01-05,25200,25900,23100,24500,11100,DFF
2022-01-06,25300,25300,24000,24000,13500,DFF
2022-01-07,25100,25300,24000,24300,20100,DFF
2022-01-10,25000,25000,24300,24300,2200,DFF
2022-01-11,24900,26000,24500,25500,13500,DFF
2022-01-12,25200,25800,23600,25000,11200,DFF
2022-01-13,25200,27000,25000,25000,12000,DFF
2022-01-14,25400,26100,23500,25000,27000,DFF
2022-01-17,25200,27400,25200,27400,11000,DFF
2022-01-18,27000,27000,24100,24100,9500,DFF
2022-01-19,25700,25700,25700,25700,10000,DFF
2022-01-20,25000,25700,23000,25700,25800,DFF
2022-01-21,25000,25600,25000,25400,12300,DFF
2022-01-24,25400,27000,25400,26500,8700,DFF
2022-01-25,26300,26300,25500,25500,7700,DFF
2022-01-26,25900,27100,25900,26500,8100,DFF
2022-01-27,26700,26700,26600,26600,6800,DFF
2022-01-28,26900,26900,26500,26500,8400,DFF
2022-02-07,26900,27000,26900,27000,8200,DFF
2022-02-08,26900,27000,26700,26900,6300,DFF
2022-02-09,26900,26900,26500,26500,6500,DFF
2022-02-10,26400,26400,26200,26200,7600,DFF
2022-02-11,26900,26900,26000,26000,8800,DFF
2022-02-14,26200,26200,24900,24900,8000,DFF
2022-02-15,26300,26300,25900,25900,8000,DFF
2022-02-16,27100,27100,26100,26100,6800,DFF
2022-02-17,26700,26700,25700,25700,6600,DFF
2022-02-18,26100,26100,26000,26000,6600,DFF
2022-02-21,26100,26100,24200,24200,7700,DFF
2022-02-22,25900,25900,24300,25400,8500,DFF
2022-02-23,25400,25400,24500,25400,8200,DFF
2022-02-24,25100,25400,24500,25400,14600,DFF
2022-02-25,25400,27000,25400,25800,6300,DFF
2022-02-28,26800,26800,26000,26000,4200,DFF
2022-03-01,25700,26200,24100,24100,7400,DFF
2022-03-02,24200,25700,24200,25400,8100,DFF
2022-03-03,26800,26800,24000,25000,11300,DFF
2022-03-04,25400,27000,25400,25800,8500,DFF
2022-03-07,26400,26400,24000,26200,7500,DFF
2022-03-08,25600,25700,25600,25700,8300,DFF
2022-03-09,25200,25200,25100,25100,8300,DFF
2022-03-10,25200,25200,25000,25000,8600,DFF
2022-03-11,25100,25300,25100,25200,8600,DFF
2022-03-14,26200,26200,24100,24100,7400,DFF
2022-03-15,25800,25800,25700,25700,7100,DFF
2022-03-16,25400,25500,25400,25500,7400,DFF
2022-03-17,25100,25100,25000,25000,6200,DFF
2022-03-18,25600,25600,25500,25500,7300,DFF
2022-03-21,26400,26400,25500,25500,6900,DFF
2022-03-22,26000,26000,25400,25400,9600,DFF
2022-03-23,26900,26900,25600,25600,6000,DFF
2022-03-24,25700,26200,25500,25600,7400,DFF
2022-03-25,26100,26100,25800,25900,18300,DFF
2022-03-28,26000,26400,25000,25000,5500,DFF
2022-03-29,25900,26000,24200,24600,11000,DFF
2022-03-30,26200,26200,25800,25800,6600,DFF
2022-03-31,25900,25900,24500,24500,11700,DFF
2022-04-01,25000,25000,25000,25000,300,DFF
2022-04-04,25300,25300,24600,24600,8000,DFF
2022-04-05,25400,25400,25000,25000,4100,DFF
2022-04-06,25100,25500,23600,25500,32300,DFF
2022-04-07,25900,25900,25700,25700,6000,DFF
2022-04-08,25900,25900,22700,22700,4600,DFF
2022-04-12,25000,25100,24900,24900,6700,DFF
2022-04-13,25000,25600,23500,25100,22300,DFF
2022-04-14,25200,25200,25000,25200,9200,DFF
2022-04-15,25200,25200,25200,25200,0,DFF
2022-04-18,24900,25100,24900,25100,15200,DFF
2022-04-19,25300,25600,23000,25600,40700,DFF
2022-04-20,25200,25500,25200,25300,9000,DFF
2022-04-21,25300,25300,25300,25300,9000,DFF
2022-04-22,24900,25100,24500,24500,13600,DFF
2022-04-25,25000,27000,25000,25400,8300,DFF
2022-04-26,26200,26200,24900,24900,7700,DFF
2022-04-27,25900,25900,25700,25700,9500,DFF
2022-04-28,25600,25600,25300,25300,10200,DFF
2022-04-29,26000,26100,23500,23500,8900,DFF
2022-05-04,25900,25900,25200,25200,8000,DFF
2022-05-05,25800,25800,25200,25200,7900,DFF
2022-05-06,25400,25800,25400,25500,8200,DFF
2022-05-09,25300,25300,25200,25300,9500,DFF
2022-05-10,25100,25100,25000,25000,13400,DFF
2022-05-11,25000,25300,25000,25300,14500,DFF
2022-05-12,25600,25600,25200,25200,7100,DFF
2022-05-13,25000,25100,23000,23000,14700,DFF
2022-05-16,24500,25300,24500,25300,25900,DFF
2022-05-17,25000,25200,25000,25200,8500,DFF
2022-05-18,25000,25300,22100,25100,9700,DFF
2022-05-19,25000,25700,25000,25200,8100,DFF
2022-05-20,25100,25100,25100,25100,12300,DFF
2022-05-23,24900,25800,23000,25000,5600,DFF
2022-05-24,25900,25900,25200,25200,7700,DFF
2022-05-25,25500,25800,25500,25500,11000,DFF
2022-05-26,26300,26300,26300,26300,8800,DFF
2022-05-27,26300,26300,25900,25900,7700,DFF
2022-05-30,26200,26200,24000,25800,9000,DFF
2022-05-31,25900,25900,25900,25900,8500,DFF
2022-06-01,25600,25600,25600,25600,9400,DFF
2022-06-02,26300,26300,25900,26200,9000,DFF
2022-06-03,26300,26300,26300,26300,8000,DFF
2022-06-06,26200,26200,26000,26000,5300,DFF
2022-06-07,25800,25800,25700,25700,5700,DFF
2022-06-08,26100,26100,25800,25800,8100,DFF
2022-06-09,26000,26000,26000,26000,6800,DFF
2022-06-10,25000,26300,25000,26100,7000,DFF
2022-06-13,25000,25900,23200,25700,10300,DFF
2022-06-14,25700,25700,24000,25400,7500,DFF
2022-06-15,25000,25700,25000,25400,8500,DFF
2022-06-16,25000,25100,23000,23300,6800,DFF
2022-06-17,25000,25300,23000,25300,27500,DFF
2022-06-20,25100,25100,23200,25000,11000,DFF
2022-06-21,24600,24600,24600,24600,3200,DFF
2022-06-22,24800,24800,24600,24600,4700,DFF
2022-06-23,24800,24800,23000,24400,5000,DFF
2022-06-24,24500,24500,24300,24300,6300,DFF
2022-06-27,24200,24200,24200,24200,100,DFF
2022-06-28,24500,24500,22200,22200,5000,DFF
2022-06-29,24100,24100,21500,23900,5800,DFF
2022-06-30,24200,24200,21900,23700,18600,DFF
2022-07-01,23300,23300,21300,22900,5900,DFF
2022-07-04,22900,22900,22400,22400,3000,DFF
2022-07-05,22900,22900,20200,21900,6300,DFF
2022-07-06,22000,22000,21500,21500,3900,DFF
2022-07-07,21700,21700,21600,21600,4500,DFF
2022-07-08,21500,21700,21300,21700,5200,DFF
2022-07-11,21700,21700,18600,21200,5300,DFF
2022-07-12,21800,21800,18400,21100,6100,DFF
2022-07-13,20800,20800,20600,20600,3800,DFF
2022-07-14,21800,21800,18500,21100,6800,DFF
2022-07-15,20800,20900,20800,20900,2500,DFF
2022-07-18,21800,21800,18100,20500,5300,DFF
2022-07-19,20700,20700,18900,20600,6100,DFF
2022-07-20,20500,21200,18700,20900,6800,DFF
2022-07-21,20400,20400,18800,20400,5900,DFF
2022-07-22,21800,21800,18200,20400,5700,DFF
2022-07-25,20300,20300,18500,20300,6700,DFF
2022-07-26,19800,19800,17100,19800,4100,DFF
2022-07-27,19600,19600,17200,19600,8900,DFF
2022-07-28,19500,19500,17600,19000,7900,DFF
2022-07-29,19500,19500,17000,18600,6300,DFF
2022-08-01,16600,19000,16600,19000,4800,DFF
2022-08-02,18800,18800,16700,18700,8000,DFF
2022-08-03,18300,18300,17900,17900,4100,DFF
2022-08-04,17800,17800,17600,17600,4500,DFF
2022-08-05,18300,18300,17800,17800,6800,DFF
2022-08-08,19000,19000,18300,18700,5000,DFF
2022-08-09,17500,17900,17500,17900,6200,DFF
2022-08-10,19000,19000,17300,18500,7200,DFF
2022-08-11,18900,18900,17300,18500,6400,DFF
2022-08-12,19000,19000,19000,19000,6100,DFF
2022-08-15,18800,18800,18000,18800,7200,DFF
2022-08-16,19400,19400,17300,18300,14900,DFF
2022-08-17,18700,18700,18400,18400,4200,DFF
2022-08-18,18700,18700,17200,18400,6600,DFF
2022-08-19,18600,18600,17000,18000,8400,DFF
2022-08-22,17900,17900,16600,16600,9100,DFF
2022-08-23,17000,17200,15200,16200,10300,DFF
2022-08-24,16300,16900,15500,16600,9200,DFF
2022-08-25,16900,16900,15200,15400,10200,DFF
2022-08-26,16600,16600,15300,16400,6900,DFF
2022-08-29,16300,16300,16000,16100,4400,DFF
2022-08-30,15700,15800,13800,15800,11000,DFF
2022-08-31,16200,16200,16100,16200,11400,DFF
2022-09-05,16200,16200,14400,16000,6200,DFF
2022-09-06,15900,17400,14300,16900,12200,DFF
2022-09-07,16900,16900,16400,16400,8400,DFF
2022-09-08,17400,17400,16700,16700,6700,DFF
2022-09-09,17200,17200,15100,16300,6300,DFF
2022-09-12,17000,17000,14600,16500,9700,DFF
2022-09-13,16000,16000,14200,15600,10200,DFF
2022-09-14,15500,15600,15300,15600,10000,DFF
2022-09-15,15400,15400,15200,15200,3800,DFF
2022-09-16,14900,15000,13500,14700,14900,DFF
2022-09-19,14600,16200,13700,15500,7900,DFF
2022-09-20,15500,15700,13700,15100,4300,DFF
2022-09-21,14900,15500,13700,15200,19200,DFF
2022-09-22,14800,15800,14800,15600,6200,DFF
2022-09-23,15000,15100,15000,15100,5500,DFF
2022-09-26,14800,15300,13900,14900,7000,DFF
2022-09-27,15100,15100,15100,15100,0,DFF
2022-09-28,15300,15300,15100,15100,7700,DFF
2022-09-29,15100,15800,15100,15800,8700,DFF
2022-09-30,15500,15500,13700,15200,5800,DFF
2022-10-03,15100,15100,15100,15100,5700,DFF
2022-10-04,15000,15900,13700,15500,8300,DFF
2022-10-05,15300,15900,15300,15600,8900,DFF
2022-10-06,15400,15400,13800,14900,6000,DFF
2022-10-07,15000,15100,14900,14900,6800,DFF
2022-10-10,14900,15400,13100,15200,7900,DFF
2022-10-11,15100,15200,13000,15000,7800,DFF
2022-10-12,15000,15200,15000,15200,9200,DFF
2022-10-13,14800,14800,13200,14600,4600,DFF
2022-10-14,15000,15300,13000,14900,10000,DFF
2022-10-17,14900,15400,14900,15400,15700,DFF
2022-10-18,15300,15400,13600,15400,11200,DFF
2022-10-19,15100,15100,14900,14900,7200,DFF
2022-10-20,14900,15400,13500,15100,13900,DFF
2022-10-21,15000,16500,13600,15100,9800,DFF
2022-10-24,15300,15800,13800,15200,8700,DFF
2022-10-25,15100,15100,13400,14600,6000,DFF
2022-10-26,14700,16500,14700,15700,12200,DFF
2022-10-27,15500,15500,13900,15100,11600,DFF
2022-10-28,15100,16500,14000,15400,10400,DFF
2022-10-31,15400,15400,15400,15400,9300,DFF
2022-11-01,15200,15200,13900,15000,8000,DFF
2022-11-02,14900,15900,14700,15700,13200,DFF
2022-11-03,16600,16600,14000,16000,11900,DFF
2022-11-04,15800,16300,14000,15600,11600,DFF
2022-11-07,15700,15700,14000,15500,10200,DFF
2022-11-08,14900,15300,13400,14800,8000,DFF
2022-11-09,14800,14800,14800,14800,1500,DFF
2022-11-10,14600,15200,12700,14600,8000,DFF
2022-11-11,14700,14700,13000,14000,7600,DFF
2022-11-14,14000,15300,13000,14300,8100,DFF
2022-11-15,14900,15900,13300,14800,15800,DFF
2022-11-16,14900,16500,13500,15400,10400,DFF
2022-11-17,15200,15200,13800,15200,12300,DFF
2022-11-18,14400,14400,13100,13900,1800,DFF
2022-11-21,14600,15200,12500,14800,15500,DFF
2022-11-22,14800,15200,13200,15000,16700,DFF
2022-11-23,14700,14700,14700,14700,300,DFF
2022-11-24,14000,14600,14000,14300,2400,DFF
2022-11-25,14500,16400,12600,16400,22400,DFF
2022-11-28,14800,14800,13600,14800,13100,DFF
2022-11-29,14500,14500,12800,14300,8500,DFF
2022-11-30,14500,14500,14500,14500,11000,DFF
2022-12-01,14500,14500,12700,14300,5300,DFF
2022-12-02,14300,14400,12600,14200,7300,DFF
2022-12-05,14300,14300,14300,14300,4000,DFF
2022-12-06,14100,14100,12300,14100,3500,DFF
2022-12-07,13900,14300,13900,14300,7100,DFF
2022-12-08,14500,14500,14500,14500,9500,DFF
2022-12-09,14300,14300,12600,14000,5300,DFF
2022-12-12,14100,14300,12600,14000,11000,DFF
2022-12-13,14000,14000,12700,13800,4200,DFF
2022-12-14,13800,15400,13800,15300,12300,DFF
2022-12-15,14400,14600,13100,13600,8500,DFF
2022-12-16,13900,14200,12800,13600,12400,DFF
2022-12-19,13900,14000,13900,14000,3900,DFF
2022-12-20,13900,14200,13000,13700,8300,DFF
2022-12-21,13900,14200,13900,14200,5500,DFF
2022-12-22,13900,14200,12800,13700,10900,DFF
2022-12-23,13600,13600,13600,13600,2000,DFF
2022-12-26,13500,15400,12900,13900,9300,DFF
2022-12-27,14100,16000,14100,16000,10400,DFF
2022-12-28,15500,15500,15500,15500,7500,DFF
2022-12-29,14800,14800,14700,14700,5900,DFF
2022-12-30,14700,16000,14700,15500,9000,DFF
2023-01-03,15200,15200,15200,15200,7400,DFF
2023-01-04,14900,16500,14900,16300,10200,DFF
2023-01-05,16200,16200,16200,16200,7400,DFF
2023-01-06,16500,16500,16500,16500,7800,DFF
2023-01-09,15500,15500,15500,15500,6000,DFF
2023-01-10,16100,16100,15900,15900,3700,DFF
2023-01-11,15800,15800,15600,15600,6000,DFF
2023-01-12,16600,16600,16200,16200,7300,DFF
2023-01-13,16400,16400,15900,15900,6800,DFF
2023-01-16,16200,16200,16200,16200,4500,DFF
2023-01-17,15900,15900,15700,15700,6300,DFF
2023-01-18,15500,15500,15500,15500,6000,DFF
