time,open,high,low,close,volume,ticker
2017-05-05,5924,5924,5924,5924,0,DHD
2017-05-08,8294,8294,8294,8294,100,DHD
2017-05-09,9514,9514,9514,9514,1300,DHD
2017-05-10,10908,10908,10908,10908,9200,DHD
2017-05-11,12511,12511,12511,12511,17600,DHD
2017-05-12,14358,14358,14358,14358,6500,DHD
2017-05-15,16484,16484,14358,15683,14600,DHD
2017-05-16,13940,14114,13940,13940,2900,DHD
2017-05-17,13940,14289,13766,14289,20900,DHD
2017-05-18,13940,14289,13940,14010,7100,DHD
2017-05-19,14289,14289,14010,14010,6100,DHD
2017-05-22,14010,14010,14010,14010,1200,DHD
2017-05-23,13940,14010,13940,13940,8300,DHD
2017-05-24,13940,13940,13243,13940,1900,DHD
2017-05-25,15927,15927,13801,13801,310,DHD
2017-05-26,14079,14079,14079,14079,200,DHD
2017-05-29,13801,13801,13801,13801,1200,DHD
2017-05-30,13766,13801,13243,13801,6300,DHD
2017-05-31,13801,13801,13766,13766,4400,DHD
2017-06-01,13417,13417,13417,13417,800,DHD
2017-06-02,13766,13766,13766,13766,3800,DHD
2017-06-05,13766,13766,13766,13766,1200,DHD
2017-06-06,13766,13766,13766,13766,0,DHD
2017-06-07,13766,13766,13766,13766,0,DHD
2017-06-08,11710,13522,11710,13522,1200,DHD
2017-06-09,11988,12023,11919,12023,3400,DHD
2017-06-12,13173,13173,11988,11988,1400,DHD
2017-06-13,12058,12058,12058,12058,0,DHD
2017-06-14,12058,12058,12058,12058,0,DHD
2017-06-15,12058,12720,12058,12058,1000,DHD
2017-06-16,12197,12720,12197,12720,400,DHD
2017-06-19,11919,12372,11919,11919,300,DHD
2017-06-20,11884,11884,11849,11849,7700,DHD
2017-06-21,12128,12128,11849,11919,900,DHD
2017-06-22,11919,11988,11919,11988,3600,DHD
2017-06-23,11953,11953,11953,11953,100,DHD
2017-06-26,11953,11953,11849,11849,3900,DHD
2017-06-27,11849,11849,11849,11849,5710,DHD
2017-06-28,11675,11849,11675,11849,400,DHD
2017-06-29,11779,11779,11779,11779,0,DHD
2017-06-30,10455,10455,10455,10455,100,DHD
2017-07-03,11849,11849,11849,11849,100,DHD
2017-07-04,11849,11849,11849,11849,0,DHD
2017-07-05,10141,10141,10141,10141,300,DHD
2017-07-06,10141,10141,10141,10141,0,DHD
2017-07-07,10141,10141,8643,9758,8600,DHD
2017-07-10,9096,9096,8399,8399,1700,DHD
2017-07-11,10211,10211,9096,9096,1100,DHD
2017-07-12,10559,10559,9270,10559,1600,DHD
2017-07-13,11152,11152,11152,11152,100,DHD
2017-07-14,9618,9618,9618,9618,200,DHD
2017-07-17,9688,9688,9688,9688,400,DHD
2017-07-18,11082,11082,11082,11082,200,DHD
2017-07-19,9549,9549,9514,9514,1200,DHD
2017-07-20,10455,10455,9165,10455,2900,DHD
2017-07-21,9793,9793,9793,9793,0,DHD
2017-07-24,9793,9793,9793,9793,0,DHD
2017-07-25,9897,9897,9828,9828,600,DHD
2017-07-26,9758,9758,9618,9758,2200,DHD
2017-07-27,9932,10978,9932,9932,1100,DHD
2017-07-28,10141,10141,10141,10141,100,DHD
2017-07-31,10141,10141,10141,10141,0,DHD
2017-08-01,10978,10978,10978,10978,100,DHD
2017-08-02,10978,10978,10978,10978,0,DHD
2017-08-03,9967,9967,9967,9967,4800,DHD
2017-08-04,9967,9967,9967,9967,0,DHD
2017-08-07,10978,10978,10455,10629,1700,DHD
2017-08-08,10838,10838,10838,10838,0,DHD
2017-08-09,10106,10106,10072,10106,1500,DHD
2017-08-10,10141,10455,10141,10455,1500,DHD
2017-08-11,10455,10803,10455,10803,1300,DHD
2017-08-14,10525,10525,10525,10525,0,DHD
2017-08-15,10525,10525,10525,10525,9200,DHD
2017-08-16,10525,10525,10525,10525,0,DHD
2017-08-17,10525,10525,10525,10525,0,DHD
2017-08-18,9758,9758,9758,9758,200,DHD
2017-08-21,9758,9758,9758,9758,0,DHD
2017-08-22,10978,10978,10978,10978,1000,DHD
2017-08-23,10943,10943,10943,10943,300,DHD
2017-08-24,9932,9932,9758,9758,1000,DHD
2017-08-25,8434,10978,8434,8434,3300,DHD
2017-08-28,10106,10315,8921,8921,1600,DHD
2017-08-29,10420,10455,10420,10455,300,DHD
2017-08-30,9096,10943,9096,10943,1000,DHD
2017-08-31,9305,10803,9305,10803,200,DHD
2017-09-01,9793,9793,9793,9793,100,DHD
2017-09-05,9793,9793,9793,9793,0,DHD
2017-09-06,8434,8434,8434,8434,1000,DHD
2017-09-07,7214,9688,7214,9688,200,DHD
2017-09-08,8050,8050,8050,8050,200,DHD
2017-09-11,8050,8050,8050,8050,0,DHD
2017-09-12,8050,8050,8050,8050,0,DHD
2017-09-13,9235,9235,9235,9235,5900,DHD
2017-09-14,9932,9967,9932,9967,1100,DHD
2017-09-15,10281,10281,10106,10106,1800,DHD
2017-09-18,10455,10455,10455,10455,1400,DHD
2017-09-19,11152,11152,11152,11152,100,DHD
2017-09-20,11152,11152,11152,11152,0,DHD
2017-09-21,10455,10455,10455,10455,600,DHD
2017-09-22,10455,10455,10455,10455,500,DHD
2017-09-25,12023,12023,10455,10455,600,DHD
2017-09-26,10455,10769,10455,10769,3400,DHD
2017-09-27,10455,10455,10455,10455,300,DHD
2017-09-28,10455,10455,10455,10455,0,DHD
