time,open,high,low,close,volume,ticker
2008-12-03,1543,1543,754,857,27100,DHT
2008-12-04,895,895,895,895,600,DHT
2008-12-05,956,956,922,956,19400,DHT
2008-12-08,1012,1012,898,898,4800,DHT
2008-12-09,957,957,890,890,18200,DHT
2008-12-10,835,835,835,835,1500,DHT
2008-12-11,850,887,813,813,7000,DHT
2008-12-12,887,890,850,887,17300,DHT
2008-12-15,835,894,820,894,15900,DHT
2008-12-16,875,875,850,853,2300,DHT
2008-12-17,883,887,872,883,2800,DHT
2008-12-18,887,942,883,909,10200,DHT
2008-12-19,909,909,883,883,4300,DHT
2008-12-22,905,905,901,901,300,DHT
2008-12-23,901,901,846,846,3100,DHT
2008-12-24,857,857,857,857,1200,DHT
2008-12-25,868,868,868,868,1700,DHT
2008-12-26,912,912,887,887,500,DHT
2008-12-29,901,901,850,850,2700,DHT
2008-12-30,905,905,883,883,1600,DHT
2008-12-31,846,894,846,894,200,DHT
2009-01-02,887,887,887,887,100,DHT
2009-01-05,887,887,850,879,1900,DHT
2009-01-06,868,868,850,868,1400,DHT
2009-01-07,850,850,839,842,6000,DHT
2009-01-08,850,850,850,850,3200,DHT
2009-01-09,850,857,850,857,1600,DHT
2009-01-12,887,887,842,850,1400,DHT
2009-01-13,816,850,790,798,7300,DHT
2009-01-14,798,798,798,798,1200,DHT
2009-01-15,783,783,750,750,4300,DHT
2009-01-16,794,805,776,776,1800,DHT
2009-01-19,813,813,776,776,2200,DHT
2009-01-20,824,824,776,776,800,DHT
2009-01-21,783,783,783,783,0,DHT
2009-01-22,776,776,739,739,4200,DHT
2009-01-23,790,790,790,790,100,DHT
2009-02-02,813,813,794,794,1600,DHT
2009-02-03,831,831,813,813,1100,DHT
2009-02-04,813,813,813,813,100,DHT
2009-02-05,794,794,794,794,100,DHT
2009-02-06,739,794,739,794,6100,DHT
2009-02-09,776,776,776,776,900,DHT
2009-02-10,805,805,805,805,100,DHT
2009-02-11,809,809,750,750,1200,DHT
2009-02-12,802,802,802,802,200,DHT
2009-02-13,794,794,746,746,1700,DHT
2009-02-16,772,772,720,728,1300,DHT
2009-02-17,731,757,683,728,1100,DHT
2009-02-18,698,702,665,702,3900,DHT
2009-02-19,702,702,702,702,300,DHT
2009-02-20,702,702,702,702,2100,DHT
2009-02-23,683,683,683,683,600,DHT
2009-02-24,683,683,683,683,3300,DHT
2009-02-25,724,724,720,720,800,DHT
2009-02-26,720,720,717,720,700,DHT
2009-02-27,720,720,720,720,0,DHT
2009-03-02,757,757,757,757,100,DHT
2009-03-03,739,739,739,739,1000,DHT
2009-03-04,757,757,757,757,1000,DHT
2009-03-05,768,768,768,768,100,DHT
2009-03-06,768,768,724,765,400,DHT
2009-03-09,776,776,776,776,1000,DHT
2009-03-10,772,776,768,776,6200,DHT
2009-03-11,787,787,720,720,1100,DHT
2009-03-12,739,739,702,720,1700,DHT
2009-03-13,739,739,665,739,4100,DHT
2009-03-16,720,720,720,720,500,DHT
2009-03-17,720,720,720,720,1600,DHT
2009-03-18,724,724,702,720,7600,DHT
2009-03-19,757,757,720,720,600,DHT
2009-03-20,735,735,735,735,0,DHT
2009-03-23,694,702,687,687,4500,DHT
2009-03-24,691,739,691,728,4100,DHT
2009-03-25,694,694,665,676,5600,DHT
2009-03-26,676,717,676,713,13800,DHT
2009-03-27,720,724,702,702,6700,DHT
2009-03-30,739,739,665,665,600,DHT
2009-03-31,687,687,683,683,500,DHT
2009-04-01,665,720,665,720,2400,DHT
2009-04-02,709,709,709,709,1200,DHT
2009-04-03,709,746,709,724,12100,DHT
2009-04-07,739,757,702,739,14500,DHT
2009-04-08,720,720,694,694,3600,DHT
2009-04-09,672,724,665,709,2900,DHT
2009-04-10,720,728,720,728,8800,DHT
2009-04-13,750,772,746,772,15800,DHT
2009-04-14,813,813,739,813,19000,DHT
2009-04-15,790,790,750,790,9000,DHT
2009-04-16,798,813,776,790,9300,DHT
2009-04-17,742,757,742,742,2800,DHT
2009-04-20,702,709,694,694,7800,DHT
2009-04-21,657,687,657,687,3800,DHT
2009-04-22,728,728,728,728,3800,DHT
2009-04-23,739,742,739,742,1900,DHT
2009-04-24,724,728,724,728,2400,DHT
2009-04-27,739,739,720,720,2100,DHT
2009-04-28,720,757,720,757,7500,DHT
2009-04-29,768,772,757,757,2800,DHT
2009-05-04,790,813,787,813,25800,DHT
