time,open,high,low,close,volume,ticker
2017-10-19,11445,11445,11445,11445,21000,DNA
2017-10-20,13140,13140,13140,13140,30500,DNA
2017-10-23,13383,13383,11263,11263,31900,DNA
2017-10-24,10658,10779,10597,10597,27500,DNA
2017-10-25,9446,9628,9446,9507,4300,DNA
2017-10-26,9689,9689,9689,9689,5400,DNA
2017-10-27,10597,10597,9810,10415,900,DNA
2017-10-30,9810,9810,9749,9749,1300,DNA
2017-10-31,9749,9749,9749,9749,0,DNA
2017-11-01,9749,9749,9749,9749,0,DNA
2017-11-02,9991,10415,9991,10415,1800,DNA
2017-11-03,10294,10294,9810,9810,1400,DNA
2017-11-06,9870,9870,9870,9870,0,DNA
2017-11-07,9507,9568,9507,9507,1000,DNA
2017-11-08,10415,10415,9507,9507,2110,DNA
2017-11-09,9507,9507,9507,9507,900,DNA
2017-11-10,9507,9507,9507,9507,0,DNA
2017-11-13,9507,9507,9507,9507,0,DNA
2017-11-14,9568,9689,9568,9689,1300,DNA
2017-11-15,9689,9689,9689,9689,0,DNA
2017-11-16,11142,11142,9689,10597,6800,DNA
2017-11-17,11808,11808,9991,9991,7000,DNA
2017-11-20,9810,11203,9810,10173,3100,DNA
2017-11-21,10839,10839,10294,10415,700,DNA
2017-11-22,10779,10900,10779,10779,3000,DNA
2017-11-23,10294,10839,10294,10839,1600,DNA
2017-11-24,10960,10960,10960,10960,100,DNA
2017-11-27,11081,11203,11081,11203,2000,DNA
2017-11-28,11445,11505,10294,11324,8100,DNA
2017-11-29,11142,11384,10779,10779,1500,DNA
2017-11-30,11505,11687,10294,10839,4600,DNA
2017-12-01,11324,11324,11324,11324,200,DNA
2017-12-04,10597,10658,10597,10597,2000,DNA
2017-12-05,11142,11142,10294,10294,7000,DNA
2017-12-06,10536,10536,10536,10536,0,DNA
2017-12-07,10839,10839,10839,10839,100,DNA
2017-12-08,10597,10597,10294,10294,8600,DNA
2017-12-11,10597,10597,10597,10597,300,DNA
2017-12-12,10718,10779,10294,10294,11500,DNA
2017-12-13,10476,10476,10476,10476,0,DNA
2017-12-14,10536,10536,10294,10294,200,DNA
2017-12-15,10476,10476,9749,9749,4900,DNA
2017-12-18,9507,10355,9507,10355,3400,DNA
2017-12-19,10415,10415,10415,10415,100,DNA
2017-12-20,9507,9507,9507,9507,100,DNA
2017-12-21,10900,10900,10900,10900,100,DNA
2017-12-22,10900,10900,10900,10900,0,DNA
2017-12-25,11081,11081,11081,11081,100,DNA
2017-12-26,9568,9810,9568,9810,1300,DNA
2017-12-27,9931,9931,9689,9749,3900,DNA
2017-12-28,11203,11203,10779,11203,6900,DNA
2017-12-29,9870,10597,9870,10597,9500,DNA
2018-01-02,9931,9931,9931,9931,100,DNA
2018-01-03,9870,9870,9870,9870,300,DNA
2018-01-04,9870,9870,9870,9870,0,DNA
