time,open,high,low,close,volume,ticker
2010-06-03,8241,8241,8241,8241,0,DNT
2010-06-04,8241,8241,8241,8241,0,DNT
2010-06-07,8241,8241,8241,8241,0,DNT
2010-06-08,8241,8241,8241,8241,0,DNT
2010-06-09,8241,8241,8241,8241,0,DNT
2010-06-10,8241,8241,8241,8241,0,DNT
2010-06-11,8241,8241,8241,8241,0,DNT
2010-06-14,8241,8241,8241,8241,0,DNT
2010-06-15,8241,8241,8241,8241,0,DNT
2010-06-16,8241,8241,8241,8241,0,DNT
2010-06-17,8241,8241,8241,8241,0,DNT
2010-06-18,8241,8241,8241,8241,0,DNT
2010-06-21,8241,8241,8241,8241,0,DNT
2010-06-22,8241,8241,8241,8241,0,DNT
2010-06-23,8241,8241,8241,8241,0,DNT
2010-06-24,8241,8241,8241,8241,0,DNT
2010-06-25,8241,8241,8241,8241,0,DNT
2010-06-28,8241,8241,8241,8241,0,DNT
2010-06-29,8241,8241,8241,8241,1000,DNT
2010-06-30,8241,8241,8241,8241,0,DNT
2010-07-01,8241,8241,8241,8241,0,DNT
2010-07-02,9026,9026,9026,9026,1000,DNT
2010-07-05,9890,9890,9890,9890,1000,DNT
2010-07-06,10831,10831,10831,10831,1100,DNT
2010-07-07,10831,10831,10831,10831,0,DNT
2010-07-08,10831,10831,10831,10831,0,DNT
2010-07-09,10988,10988,9811,9811,1000,DNT
2010-07-12,10439,10439,10439,10439,1500,DNT
2010-07-13,10439,10439,10439,10439,0,DNT
2010-07-14,10439,10439,10439,10439,0,DNT
2010-07-15,9890,9890,9890,9890,1000,DNT
2010-07-16,9890,9890,9890,9890,0,DNT
2010-07-19,9890,10831,9890,10831,1200,DNT
2010-07-20,11773,11773,11773,11773,3100,DNT
2010-07-21,11773,11773,11773,11773,0,DNT
2010-07-22,11773,11773,11773,11773,0,DNT
2010-07-23,11773,11773,11773,11773,0,DNT
2010-07-26,11773,11773,11773,11773,0,DNT
2010-07-27,11773,11773,11773,11773,0,DNT
2010-07-28,11773,11773,11773,11773,0,DNT
2010-07-29,11773,11773,11773,11773,0,DNT
2010-07-30,11773,11773,11773,11773,0,DNT
2010-08-02,11773,11773,11773,11773,0,DNT
2010-08-03,11773,11773,11773,11773,0,DNT
2010-08-04,11773,11773,11773,11773,0,DNT
2010-08-05,11773,11773,11773,11773,0,DNT
2010-08-06,11773,11773,11773,11773,0,DNT
2010-08-09,11773,11773,11773,11773,0,DNT
2010-08-10,11773,11773,11773,11773,0,DNT
2010-08-11,11773,11773,11773,11773,0,DNT
2010-08-12,11773,11773,11773,11773,0,DNT
2010-08-13,11773,11773,11773,11773,0,DNT
2010-08-16,11773,11773,11773,11773,0,DNT
2010-08-17,11773,11773,11773,11773,0,DNT
2010-08-18,11773,11773,11773,11773,0,DNT
2010-08-19,11773,11773,11773,11773,0,DNT
2010-08-20,11773,11773,11773,11773,0,DNT
2010-08-23,11773,11773,11773,11773,0,DNT
2010-08-24,12558,12558,12558,12558,100,DNT
2010-08-25,12558,12558,12558,12558,0,DNT
2010-08-26,12558,12558,12558,12558,0,DNT
2010-08-27,12558,12558,12558,12558,0,DNT
2010-08-30,12558,12558,12558,12558,0,DNT
2010-08-31,12558,12558,12558,12558,0,DNT
2010-09-01,12558,12558,12558,12558,0,DNT
2010-09-06,12558,12558,12558,12558,0,DNT
2010-09-07,12558,12558,12558,12558,0,DNT
2010-09-08,12558,12558,12558,12558,0,DNT
2010-09-09,12558,12558,12558,12558,0,DNT
2010-09-10,12558,12558,12558,12558,0,DNT
2010-09-13,12558,12558,12558,12558,0,DNT
2010-09-14,12558,12558,12558,12558,0,DNT
2010-09-15,12558,12558,12558,12558,0,DNT
2010-09-16,12558,12558,12558,12558,0,DNT
2010-09-17,12558,12558,12558,12558,0,DNT
2010-09-20,12558,12558,12558,12558,0,DNT
2010-09-21,12558,12558,12558,12558,0,DNT
2010-09-22,12558,12558,12558,12558,0,DNT
2010-09-23,12558,12558,12558,12558,0,DNT
2010-09-24,12558,12558,12558,12558,0,DNT
2010-09-27,12558,12558,12558,12558,0,DNT
2010-09-28,12558,12558,12558,12558,0,DNT
2010-09-29,12558,12558,12558,12558,0,DNT
2010-09-30,12558,12558,12558,12558,0,DNT
2010-10-01,12558,12558,12558,12558,0,DNT
2010-10-20,8634,8634,8634,8634,2000,DNT
2010-10-21,8634,8634,8634,8634,0,DNT
2010-10-22,8634,8634,8634,8634,0,DNT
2010-10-25,8634,8634,8634,8634,0,DNT
2010-10-26,8634,8634,8634,8634,0,DNT
2010-10-27,8634,8634,8634,8634,0,DNT
2010-10-28,8634,8634,8634,8634,0,DNT
2010-10-29,8634,8634,8634,8634,0,DNT
2010-11-01,8634,8634,8634,8634,0,DNT
2010-11-02,8634,8634,8634,8634,0,DNT
2010-11-03,8634,8634,8634,8634,0,DNT
2010-11-04,8634,8634,8634,8634,0,DNT
2010-11-05,8634,8634,8634,8634,0,DNT
2010-11-08,8634,8634,8634,8634,0,DNT
2010-11-09,8634,8634,8634,8634,0,DNT
2010-11-10,8634,8634,8634,8634,0,DNT
2010-11-11,8634,8634,8634,8634,0,DNT
