time,open,high,low,close,volume,ticker
2017-01-12,1252,1252,1252,1252,100,DPG
2017-01-13,1252,1252,1252,1252,0,DPG
2017-01-16,1440,1440,1065,1440,123022,DPG
2017-01-17,1654,1654,1654,1654,900,DPG
2017-01-18,1899,1899,1899,1899,1300,DPG
2017-01-19,2182,2182,1919,2182,21800,DPG
2017-01-20,2309,2508,2309,2508,1350,DPG
2017-01-23,2881,2881,2221,2881,65086,DPG
2017-01-24,3163,3314,2512,3314,38500,DPG
2017-01-25,3785,3807,3785,3807,16900,DPG
2017-02-02,3822,3822,3807,3807,1200,DPG
2017-02-03,3564,3939,3376,3751,4600,DPG
2017-02-06,3781,3781,3778,3778,2600,DPG
2017-02-07,3479,3479,3365,3403,11600,DPG
2017-02-08,3441,3479,3142,3350,33320,DPG
2017-02-09,3214,3350,2881,3252,29200,DPG
2017-02-10,3338,3338,3299,3299,10300,DPG
2017-02-13,3083,3260,2887,3103,61008,DPG
2017-02-14,3015,3273,2940,3214,56350,DPG
2017-02-15,3351,3643,3351,3501,30020,DPG
2017-02-16,3489,3517,3238,3473,59418,DPG
2017-02-17,3481,3602,3481,3542,46000,DPG
2017-02-20,3607,3821,3169,3566,99800,DPG
2017-02-21,3602,3821,3039,3728,58920,DPG
2017-02-22,3782,4078,3221,4029,58195,DPG
2017-02-23,3776,4062,3776,3958,10366,DPG
2017-02-24,3975,3975,3933,3975,13800,DPG
2017-02-27,3929,4176,3929,4054,28200,DPG
2017-02-28,3971,3996,3971,3979,12767,DPG
2017-03-01,3988,3992,3908,3908,11110,DPG
2017-03-02,3804,3887,3766,3824,16100,DPG
2017-03-03,3845,4034,3820,3929,30196,DPG
2017-03-06,4030,4051,3988,4042,40393,DPG
2017-03-07,4059,4156,4059,4106,44820,DPG
2017-03-08,4055,4127,4055,4089,11913,DPG
2017-03-09,4114,4114,4085,4106,21111,DPG
2017-03-10,4135,4426,4135,4346,73548,DPG
2017-03-13,4453,4997,4453,4997,87634,DPG
2017-03-14,5414,5543,5201,5348,30300,DPG
2017-03-15,5503,5503,5237,5281,36398,DPG
2017-03-16,5161,5498,5161,5436,31129,DPG
2017-03-17,5621,5621,5351,5351,6982,DPG
2017-03-20,5396,5396,5059,5306,40854,DPG
2017-03-21,5338,5564,5338,5428,59214,DPG
2017-03-22,5451,5451,4636,5111,61827,DPG
2017-03-23,5243,5519,5157,5383,55000,DPG
2017-03-24,5428,5564,5428,5510,42710,DPG
2017-03-27,5450,5723,5269,5700,67497,DPG
2017-03-28,5798,6294,5798,6206,41381,DPG
2017-03-29,6323,6464,6323,6440,35561,DPG
2017-03-30,6605,6619,5476,6581,60937,DPG
2017-03-31,6562,6562,5662,5751,153754,DPG
2017-04-03,5751,5893,5563,5610,44910,DPG
2017-04-04,5657,5784,5634,5784,20700,DPG
2017-04-05,5928,5928,5258,5402,82626,DPG
2017-04-07,5545,5737,5378,5416,18082,DPG
2017-04-10,5450,5784,5450,5665,78968,DPG
2017-04-11,5564,5684,5443,5491,16250,DPG
2017-04-12,5578,5578,4817,5082,27300,DPG
2017-04-13,5120,5154,4653,4721,93947,DPG
2017-04-14,4672,4672,4244,4393,31180,DPG
2017-04-17,4624,4672,3762,4407,64200,DPG
2017-04-18,4393,4432,4244,4335,53140,DPG
2017-04-19,4569,4569,3694,4569,27150,DPG
2017-04-20,4711,5207,4628,4962,47778,DPG
2017-04-21,5104,5158,4863,4912,24400,DPG
2017-04-24,4912,5006,4618,4642,26300,DPG
2017-04-25,4711,4893,4126,4618,143300,DPG
2017-04-26,4716,4776,4544,4692,5610,DPG
2017-04-27,4697,4944,4657,4692,44200,DPG
2017-04-28,4697,4697,4598,4598,6600,DPG
2017-05-03,4598,4598,4524,4598,4700,DPG
2017-05-04,4498,4623,4483,4573,13400,DPG
2017-05-05,4548,4548,4464,4523,26010,DPG
2017-05-08,4503,4603,4453,4578,14917,DPG
2017-05-09,4533,4553,4452,4452,25010,DPG
2017-05-10,4482,4654,4482,4553,25100,DPG
2017-05-11,4563,4594,4482,4548,19753,DPG
2017-05-12,4573,4573,3867,4523,17720,DPG
2017-05-15,4487,4548,4487,4517,10113,DPG
2017-05-16,4497,4497,4461,4461,21815,DPG
2017-05-17,4431,4512,4380,4472,12025,DPG
2017-05-18,4482,4482,4456,4456,1567,DPG
2017-05-19,4415,4420,4303,4374,6100,DPG
2017-05-22,4349,4354,4251,4256,20503,DPG
2017-05-23,4405,4477,4303,4405,9502,DPG
2017-05-24,4230,4384,4126,4178,13380,DPG
2017-05-25,4261,4353,4245,4333,19276,DPG
2017-05-26,4302,4348,4297,4343,13100,DPG
2017-05-29,4416,4756,4390,4704,41267,DPG
2017-05-30,4844,4898,4763,4785,26040,DPG
2017-05-31,4844,4876,4790,4876,9500,DPG
2017-06-01,4903,4931,4751,4903,22400,DPG
2017-06-02,4903,4963,4871,4963,16135,DPG
2017-06-05,4963,5112,4221,5018,51900,DPG
2017-06-06,4958,5106,4947,5106,13100,DPG
2017-06-07,5157,5241,5157,5213,9000,DPG
2017-06-08,5258,5286,5224,5224,9000,DPG
2017-06-09,5201,5201,5145,5145,9100,DPG
2017-06-12,5156,5156,5156,5156,6600,DPG
2017-06-13,5156,5156,5128,5128,11100,DPG
2017-06-14,5117,5117,5088,5088,12600,DPG
2017-06-15,5094,5094,5094,5094,100,DPG
2017-06-16,5083,5083,5066,5071,10900,DPG
2017-06-19,5077,5077,5077,5077,3200,DPG
2017-06-20,5043,5054,5037,5054,4840,DPG
2017-06-21,5037,5043,4985,5031,9800,DPG
2017-06-22,4991,5008,4865,4991,9715,DPG
2017-06-23,4945,5014,4945,4974,3180,DPG
2017-06-26,4974,5118,4974,4974,9208,DPG
2017-06-27,5060,5060,4888,4888,4800,DPG
2017-06-28,5060,5060,5060,5060,6040,DPG
2017-06-29,4830,5031,4830,4859,4000,DPG
2017-06-30,5003,5003,4888,4945,6800,DPG
2017-07-03,4888,4974,4888,4974,1410,DPG
2017-07-04,5015,5038,4962,5003,7940,DPG
2017-07-05,4991,5015,4962,5015,3500,DPG
2017-07-06,5003,5026,4974,4974,8200,DPG
2017-07-07,4985,5003,4974,4974,2300,DPG
2017-07-10,4991,4991,4991,4991,0,DPG
2017-07-11,4986,4986,4986,4986,409,DPG
2017-07-12,5062,5062,4962,5015,2900,DPG
2017-07-13,5044,5044,4986,4986,5200,DPG
2017-07-14,5073,5073,5032,5032,7000,DPG
2017-07-17,4986,5021,4986,5021,6210,DPG
2017-07-18,5021,5044,4874,4927,6600,DPG
2017-07-19,5015,5015,4223,4986,77730,DPG
2017-07-20,5027,5027,4915,4915,6100,DPG
2017-07-21,5015,5015,4897,4926,5200,DPG
