time,open,high,low,close,volume,ticker
2010-06-03,2500,2500,2500,2500,0,DPP
2010-06-04,2500,2500,2500,2500,0,DPP
2010-06-07,2500,2500,2500,2500,0,DPP
2010-06-08,2500,2500,2500,2500,0,DPP
2010-06-09,2500,2500,2500,2500,0,DPP
2010-06-10,2500,2500,2500,2500,0,DPP
2010-06-11,2500,2500,2500,2500,0,DPP
2010-06-14,2500,2500,2500,2500,0,DPP
2010-06-15,2500,2500,2500,2500,0,DPP
2010-06-16,2500,2500,2500,2500,0,DPP
2010-06-17,2500,2500,2500,2500,0,DPP
2010-06-18,2500,2500,2500,2500,0,DPP
2010-06-21,2500,2500,2500,2500,0,DPP
2010-06-22,2500,2500,2500,2500,0,DPP
2010-06-23,2500,2500,2500,2500,0,DPP
2010-06-24,2500,2500,2500,2500,0,DPP
2010-06-25,2500,2500,2500,2500,0,DPP
2010-06-28,2500,2500,2500,2500,0,DPP
2010-06-29,2500,2500,2500,2500,0,DPP
2010-06-30,2500,2500,2500,2500,0,DPP
2010-07-01,2500,2500,2500,2500,0,DPP
2010-07-02,2500,2500,2500,2500,0,DPP
2010-07-05,2500,2500,2500,2500,0,DPP
2010-07-06,2500,2500,2500,2500,0,DPP
2010-07-07,2750,2750,2750,2750,2360,DPP
2010-07-08,3022,3022,3022,3022,350,DPP
2010-07-09,3318,3318,3318,3318,2610,DPP
2010-07-12,3318,3318,3318,3318,0,DPP
2010-07-13,3636,3636,3636,3636,300,DPP
2010-07-14,3977,4000,3977,3977,1160,DPP
2010-07-15,4091,4386,3613,4386,1660,DPP
2010-07-16,4272,4272,4272,4272,0,DPP
2010-07-19,4431,4681,4431,4681,3100,DPP
2010-07-20,4863,4863,4863,4863,100,DPP
2010-07-21,5341,5341,5341,5341,500,DPP
2010-07-22,5227,5227,5227,5227,2000,DPP
2010-07-23,5227,5227,5227,5227,0,DPP
2010-07-26,5227,5227,5227,5227,200,DPP
2010-07-27,4704,4704,4704,4704,200,DPP
2010-07-28,4704,4704,4704,4704,0,DPP
2010-07-29,4704,4704,4704,4704,0,DPP
2010-07-30,4704,4704,4704,4704,0,DPP
2010-08-02,4772,4772,4250,4250,4300,DPP
2010-08-03,3886,4545,3886,4318,3800,DPP
2010-08-04,3931,3931,3931,3931,0,DPP
2010-08-05,3545,3545,3545,3545,1000,DPP
2010-08-06,3545,3545,3545,3545,0,DPP
2010-08-09,3204,3204,3204,3204,100,DPP
2010-08-10,2886,2886,2886,2886,100,DPP
2010-08-11,2727,2727,2727,2727,1000,DPP
2010-08-12,2727,2727,2727,2727,0,DPP
2010-08-13,2727,2727,2727,2727,0,DPP
2010-08-16,3000,3000,2840,3000,1100,DPP
2010-08-17,2977,3136,2977,3136,1500,DPP
2010-08-18,3091,3318,3091,3181,6100,DPP
2010-08-19,3159,3159,3159,3159,0,DPP
2010-08-20,3159,3159,3159,3159,0,DPP
2010-08-23,3454,3454,3454,3454,1000,DPP
2010-08-24,3454,3454,3454,3454,0,DPP
2010-08-25,3454,3454,3454,3454,0,DPP
2010-08-26,3454,3454,3454,3454,0,DPP
2010-08-27,3454,3454,3454,3454,0,DPP
2010-08-30,3772,3772,3636,3636,1300,DPP
2010-08-31,3681,3681,3681,3681,0,DPP
2010-09-01,3704,3704,3704,3704,100,DPP
2010-09-06,3681,3681,3681,3681,100,DPP
2010-09-07,3409,3409,3318,3318,1100,DPP
2010-09-08,3181,3181,3181,3181,10000,DPP
2010-09-09,3181,3181,3181,3181,0,DPP
2010-09-10,2886,2886,2886,2886,100,DPP
2010-09-13,2886,2886,2886,2886,0,DPP
