time,open,high,low,close,volume,ticker
2018-01-05,6479,6479,6479,6479,100,DSC
2018-01-08,7405,7405,7405,7405,100,DSC
2018-01-09,7405,7405,7405,7405,0,DSC
2018-01-10,8494,8494,8494,8494,100,DSC
2018-01-11,9747,9747,9747,9747,100,DSC
2018-01-12,11162,11162,11162,11162,100,DSC
2018-01-15,11162,11162,11162,11162,0,DSC
2018-01-16,12796,12796,12796,12796,100,DSC
2018-01-17,14702,14702,14103,14103,8200,DSC
2018-01-18,16499,16499,13613,14321,6700,DSC
2018-01-19,13885,15736,13068,13613,27650,DSC
2018-01-22,13667,14157,13613,14157,93750,DSC
2018-01-23,13667,14702,13613,14702,54100,DSC
2018-01-24,13940,14702,13831,14702,67200,DSC
2018-01-25,14974,15029,14920,14920,13900,DSC
2018-01-26,15029,15083,14702,14702,10200,DSC
2018-01-29,14811,14811,14375,14430,4000,DSC
2018-01-30,15246,15246,14974,14974,300,DSC
2018-01-31,15246,15246,14593,14974,1400,DSC
2018-02-01,14702,14974,14647,14647,4400,DSC
2018-02-02,14811,14811,14702,14702,550,DSC
2018-02-05,14702,14702,14702,14702,9300,DSC
2018-02-06,14157,14702,13613,14702,13100,DSC
2018-02-07,16281,16281,14702,14702,1100,DSC
2018-02-08,15519,15519,14157,14157,750,DSC
2018-02-09,14920,14920,14048,14430,2700,DSC
2018-02-12,14974,14974,14702,14756,6300,DSC
2018-02-13,14756,14920,14756,14756,3500,DSC
2018-02-21,15246,15519,15246,15246,2900,DSC
2018-02-22,17425,17425,14811,14811,1700,DSC
2018-02-23,15246,15246,15246,15246,0,DSC
2018-02-26,15355,15791,15192,15192,6100,DSC
2018-02-27,14756,14811,14702,14702,7500,DSC
2018-02-28,14811,14974,14702,14702,12800,DSC
2018-03-01,12687,17043,12687,17043,33800,DSC
2018-03-02,18514,18568,16989,17425,85519,DSC
2018-03-05,17806,17806,17261,17751,22000,DSC
2018-03-06,17533,18514,17479,17915,43300,DSC
2018-03-07,18731,20583,18241,20583,21100,DSC
2018-03-08,19058,20147,19058,20147,4500,DSC
2018-03-09,19603,21672,19603,20147,11835,DSC
2018-03-12,21781,23687,21781,23687,32300,DSC
2018-03-13,26682,27063,26137,27063,19400,DSC
2018-03-14,29949,29949,25211,26137,22710,DSC
2018-03-15,25593,27117,25593,26954,12025,DSC
2018-03-16,28261,28860,26682,27498,26600,DSC
2018-03-19,29894,31746,29894,30221,13110,DSC
2018-03-20,30221,32127,30221,32127,28405,DSC
2018-03-21,31855,32944,31038,32944,7200,DSC
2018-03-22,32671,37028,32290,36973,16000,DSC
2018-03-23,35394,35394,34305,34577,8000,DSC
2018-03-26,35176,38117,35176,38117,4600,DSC
2018-03-27,40240,43290,36483,43290,5705,DSC
2018-03-28,41765,43562,39750,39750,2070,DSC
2018-03-29,41384,44379,41384,44379,3300,DSC
2018-03-30,44651,46285,44542,45196,8250,DSC
2018-04-02,49824,49824,44651,44651,2975,DSC
2018-04-03,46013,46013,42473,44052,3650,DSC
2018-04-04,43072,44923,43072,44651,45850,DSC
2018-04-05,44706,45087,44597,45087,34710,DSC
2018-04-06,44978,45196,44107,44107,31600,DSC
2018-04-09,43562,43562,42473,42473,15400,DSC
2018-04-10,43834,44052,42527,42527,2200,DSC
2018-04-11,41929,41929,39750,40839,8665,DSC
2018-04-12,39260,39696,37572,38443,7500,DSC
2018-04-13,35122,40839,35122,38389,5650,DSC
2018-04-16,38661,40023,38661,39478,9500,DSC
2018-04-17,40295,42037,40295,42037,66200,DSC
2018-04-18,41929,42146,41929,42146,20110,DSC
2018-04-19,40839,40839,39805,40785,1200,DSC
2018-04-20,39750,41112,39750,41112,10100,DSC
2018-04-23,40948,41221,39750,40077,30400,DSC
2018-04-24,40785,40894,39750,40894,34400,DSC
2018-04-26,40839,41438,40839,41384,108300,DSC
2018-04-27,41929,47374,41929,47374,58500,DSC
2018-05-02,44923,46013,44923,46013,2300,DSC
2018-05-03,46013,46013,45196,45196,2500,DSC
2018-05-04,52002,52002,46557,46557,200,DSC
2018-05-07,51730,51730,44107,46775,3300,DSC
