time,open,high,low,close,volume,ticker
2021-01-14,15800,15800,15800,15800,600,DVG
2021-01-15,17300,17300,17300,17300,100,DVG
2021-01-18,19000,19000,19000,19000,100,DVG
2021-01-19,20900,20900,20900,20900,100,DVG
2021-01-20,22900,22900,22900,22900,53400,DVG
2021-01-21,25100,25100,20800,20800,37600,DVG
2021-01-22,20800,20800,19100,19100,2100,DVG
2021-01-25,19000,19000,18000,19000,31500,DVG
2021-01-26,18000,18000,17200,17200,8300,DVG
2021-01-27,16800,16800,15800,15800,2600,DVG
2021-01-28,15800,15800,14700,14700,1100,DVG
2021-01-29,14700,14700,14600,14700,1500,DVG
2021-02-01,14600,14700,14500,14500,5600,DVG
2021-02-02,14500,14700,14500,14700,3900,DVG
2021-02-03,14800,14900,14800,14900,600,DVG
2021-02-04,14900,15800,14900,15800,12200,DVG
2021-02-05,15800,15800,15800,15800,100,DVG
2021-02-08,14700,15500,14700,15500,13400,DVG
2021-02-09,15500,15600,15500,15600,2100,DVG
2021-02-17,14500,14700,14500,14700,800,DVG
2021-02-18,15600,15800,14700,15700,9100,DVG
2021-02-19,15700,16100,14500,15000,5100,DVG
2021-02-22,15000,15500,13500,14600,9100,DVG
2021-02-23,14400,15000,14400,15000,2300,DVG
2021-02-24,15000,15000,13500,13500,3400,DVG
2021-02-25,14800,14800,14600,14800,37500,DVG
2021-02-26,15000,15300,15000,15300,5000,DVG
2021-03-01,16000,16000,16000,16000,3200,DVG
2021-03-02,16600,16600,16000,16000,1000,DVG
2021-03-03,16000,16000,16000,16000,0,DVG
2021-03-04,14800,15800,14400,15800,20900,DVG
2021-03-05,15800,15800,14900,14900,4800,DVG
2021-03-08,15800,16300,15800,16000,6400,DVG
2021-03-09,15100,16400,15000,16400,1400,DVG
2021-03-10,16300,18000,16300,18000,9300,DVG
2021-03-11,19800,19800,16200,16500,110500,DVG
2021-03-12,16400,16500,16400,16500,4200,DVG
2021-03-15,18100,18100,16300,17800,18300,DVG
2021-03-16,19500,19500,17800,19000,5200,DVG
2021-03-17,19000,20500,19000,19000,49600,DVG
2021-03-18,19000,20200,19000,19100,9200,DVG
2021-03-19,19100,19100,19000,19000,700,DVG
2021-03-22,19100,19100,19000,19000,1200,DVG
2021-03-23,20200,20200,20000,20000,700,DVG
2021-03-24,18200,18200,18100,18100,2500,DVG
2021-03-25,19000,19500,16600,19200,2000,DVG
2021-03-26,19500,19500,17400,17400,2100,DVG
2021-03-29,18500,18500,16100,17100,3500,DVG
2021-03-30,18500,18500,16200,16200,4800,DVG
2021-03-31,17400,17400,17400,17400,800,DVG
2021-04-01,17400,17400,17400,17400,0,DVG
2021-04-02,16200,18000,16000,17800,1000,DVG
2021-04-05,16400,17400,16200,17200,3900,DVG
2021-04-06,16400,16400,16200,16300,900,DVG
2021-04-07,16300,16300,16300,16300,1000,DVG
2021-04-08,16300,16300,16300,16300,500,DVG
2021-04-09,17000,17000,16900,16900,1200,DVG
2021-04-12,17000,17000,16300,16800,2300,DVG
2021-04-13,16800,16800,16800,16800,100,DVG
2021-04-14,17000,17000,16500,16500,2000,DVG
2021-04-15,17000,17000,17000,17000,100,DVG
2021-04-16,16300,16700,16200,16500,12300,DVG
2021-04-19,16400,16900,16200,16500,7800,DVG
2021-04-20,16700,16700,16500,16600,8400,DVG
2021-04-22,16500,16500,16200,16200,5600,DVG
2021-04-23,16700,17300,16500,17100,5400,DVG
2021-04-26,17400,17400,17100,17100,2700,DVG
2021-04-27,17300,17300,16500,16500,6400,DVG
2021-04-28,16900,17900,16700,17400,31700,DVG
2021-04-29,17800,18100,17400,17800,7700,DVG
2021-05-04,17800,18000,17100,17500,5101,DVG
2021-05-05,18000,19000,17500,18800,5000,DVG
2021-05-06,18800,19300,18300,19200,13900,DVG
2021-05-07,19200,19500,18100,18100,39000,DVG
2021-05-10,19000,19000,17200,18100,10400,DVG
2021-05-11,19000,19200,18400,18800,20700,DVG
2021-05-12,18700,18700,17000,17000,65800,DVG
2021-05-13,15300,18400,15300,18400,119600,DVG
2021-05-14,18900,18900,18400,18400,8500,DVG
2021-05-17,18900,19000,18000,18000,20300,DVG
2021-05-18,16200,16900,16200,16600,2200,DVG
2021-05-19,16600,17000,16500,17000,2100,DVG
2021-05-20,17000,17000,16800,16800,8500,DVG
2021-05-21,16900,16900,16500,16900,1600,DVG
2021-05-24,16900,17200,16900,16900,6400,DVG
2021-05-25,17000,17000,16900,17000,22200,DVG
2021-05-26,17200,17300,16700,17200,12700,DVG
2021-05-27,17200,17200,15600,17000,12300,DVG
2021-05-28,15800,16900,15700,16900,5300,DVG
2021-05-31,16800,17100,15300,17100,41300,DVG
2021-06-01,16900,17200,15400,17000,19700,DVG
2021-06-02,15600,17300,15300,17300,47900,DVG
2021-06-03,16900,17300,15600,17300,26100,DVG
2021-06-04,16900,17300,15600,17300,28900,DVG
2021-06-07,17300,17300,15600,16800,37500,DVG
2021-06-08,15600,16500,15200,15700,40000,DVG
2021-06-09,16000,16000,14200,15700,57400,DVG
2021-06-10,15600,15700,14200,14500,52600,DVG
2021-06-11,14900,15500,13200,15300,28900,DVG
2021-06-14,15500,15500,13800,14400,78300,DVG
2021-06-15,14300,15000,13000,14800,92000,DVG
2021-06-16,14600,14700,13400,14700,38700,DVG
2021-06-17,14600,14600,13300,14400,54500,DVG
2021-06-18,14200,14200,13000,13800,171100,DVG
2021-06-21,13800,15000,13600,15000,86800,DVG
2021-06-22,14400,14800,13500,14800,125600,DVG
2021-06-23,14200,14200,13400,13900,129000,DVG
2021-06-24,13600,14000,12600,13600,211800,DVG
2021-06-25,12900,12900,12300,12300,151100,DVG
2021-06-28,12500,12900,11100,12200,38000,DVG
2021-06-29,12400,13400,11700,13400,135000,DVG
2021-06-30,13400,13400,12100,13300,128700,DVG
2021-07-01,13200,13300,12000,12000,118500,DVG
2021-07-02,12000,12500,12000,12500,90900,DVG
2021-07-05,12000,12700,11500,12700,117200,DVG
2021-07-06,12100,12100,11500,11500,53300,DVG
2021-07-07,11500,12500,10600,12500,69300,DVG
2021-07-08,12400,12500,11400,12500,67800,DVG
2021-07-09,11600,12400,11500,12400,71700,DVG
2021-07-12,12300,12300,11200,12200,82900,DVG
2021-07-13,12100,12200,11400,12200,57800,DVG
2021-07-14,12100,12100,11600,12100,33800,DVG
2021-07-15,12000,12000,11400,12000,76900,DVG
2021-07-16,12000,12100,11600,12100,109800,DVG
2021-07-19,12100,12100,10900,10900,96200,DVG
2021-07-20,11500,11500,10200,11500,66950,DVG
2021-07-21,11500,11500,10400,11300,113000,DVG
2021-07-22,10900,10900,10200,10900,122420,DVG
2021-07-23,10700,10700,9900,10500,112029,DVG
2021-07-26,10400,10600,9600,9600,17400,DVG
2021-07-27,10000,10000,9600,9800,33400,DVG
2021-07-28,10000,10000,9500,9700,46800,DVG
2021-07-29,9800,9800,8800,8800,77900,DVG
2021-07-30,8900,9600,8800,9600,74200,DVG
2021-08-02,9700,9700,8800,9200,177100,DVG
2021-08-03,9200,9300,8700,9100,62800,DVG
2021-08-04,9100,9100,8600,8600,23500,DVG
2021-08-05,8900,8900,8500,8800,32300,DVG
2021-08-06,8800,8800,8700,8700,21500,DVG
2021-08-09,8600,8900,8600,8700,23600,DVG
2021-08-10,8700,9000,8700,8900,15300,DVG
2021-08-11,8900,9000,8900,8900,27700,DVG
2021-08-12,8900,8900,8800,8900,22300,DVG
2021-08-13,8900,8900,8800,8900,25000,DVG
2021-08-16,9000,9700,9000,9600,76100,DVG
2021-08-17,9700,9700,9200,9500,113842,DVG
2021-08-18,9500,9700,9300,9600,127700,DVG
2021-08-19,9600,10500,9500,10500,195700,DVG
2021-08-20,10500,11500,10400,10400,145700,DVG
2021-08-23,10400,10400,9600,10000,144642,DVG
2021-08-24,10000,10000,9500,9900,135900,DVG
2021-08-25,9900,9900,9500,9600,111900,DVG
2021-08-26,9500,9900,9500,9600,103200,DVG
2021-08-27,9600,9700,9200,9700,121300,DVG
2021-08-30,9700,10000,9700,10000,112124,DVG
2021-08-31,10100,10300,9700,10200,173400,DVG
2021-09-01,10200,10200,10000,10200,68400,DVG
2021-09-06,10400,10500,10000,10400,104700,DVG
2021-09-07,10500,10500,10000,10000,78700,DVG
2021-09-08,9600,10400,9600,10400,132500,DVG
2021-09-09,10300,10600,10200,10600,112000,DVG
2021-09-10,10500,10900,10400,10700,48900,DVG
2021-09-13,10700,11600,10700,11500,152300,DVG
2021-09-14,11500,11600,11100,11400,123800,DVG
2021-09-15,11500,11500,10600,11300,73800,DVG
2021-09-16,11300,12400,11300,12400,243400,DVG
2021-09-17,12400,13600,12400,13300,234801,DVG
2021-09-20,13300,14600,13300,13700,171549,DVG
2021-09-21,13500,13800,12500,12900,266900,DVG
2021-09-22,12900,13500,12900,13100,83931,DVG
2021-09-23,13100,13700,13000,13300,98330,DVG
2021-09-24,13300,13600,13300,13400,99713,DVG
2021-09-27,13500,13800,13300,13500,134000,DVG
2021-09-28,13500,13900,13500,13900,96620,DVG
2021-09-29,13900,14200,13700,14100,151820,DVG
2021-09-30,14100,14200,14000,14200,111500,DVG
2021-10-01,14200,14300,14000,14200,136313,DVG
2021-10-04,14200,14400,14100,14200,91530,DVG
2021-10-05,14300,14400,14200,14400,101310,DVG
2021-10-06,14500,14500,14400,14500,81200,DVG
2021-10-07,14500,14600,14400,14600,168239,DVG
2021-10-08,14600,15000,14500,15000,165600,DVG
2021-10-11,15000,15300,14900,15300,161428,DVG
2021-10-12,15400,15700,15100,15700,208600,DVG
2021-10-13,15800,16200,15600,15600,176861,DVG
2021-10-14,15500,15600,15300,15300,134019,DVG
2021-10-15,15300,15400,15100,15300,69900,DVG
2021-10-18,15200,15400,14900,14900,100110,DVG
2021-10-19,14900,14900,14500,14800,147000,DVG
2021-10-20,14800,15400,14700,15000,129100,DVG
2021-10-21,15000,15300,14900,15300,79840,DVG
2021-10-22,15400,15700,15400,15400,111400,DVG
2021-10-25,15300,15400,15100,15200,88801,DVG
2021-10-26,15200,15600,15200,15500,209400,DVG
2021-10-27,15600,16000,15600,15800,121480,DVG
2021-10-28,15900,16500,15900,16200,244400,DVG
2021-10-29,16100,16400,16100,16300,178200,DVG
2021-11-01,16200,16200,15800,15900,233100,DVG
2021-11-02,15800,17400,15700,17000,319340,DVG
2021-11-03,17000,17200,16800,17000,214500,DVG
2021-11-04,16900,17300,16900,17300,219600,DVG
2021-11-05,17200,17500,17200,17400,183540,DVG
2021-11-08,17500,17600,17200,17300,158560,DVG
2021-11-09,17400,17500,17000,17100,311900,DVG
2021-11-10,17100,18200,17000,18200,320100,DVG
2021-11-11,18300,18500,18100,18300,265401,DVG
2021-11-12,18400,18500,18300,18500,150200,DVG
2021-11-15,18500,18700,18400,18700,133300,DVG
2021-11-16,18700,18800,18300,18600,143150,DVG
2021-11-17,18600,18800,18500,18600,149320,DVG
2021-11-18,18700,20400,18500,20400,282408,DVG
2021-11-19,20400,22400,20400,22400,237530,DVG
2021-11-22,22500,23000,22500,22600,200820,DVG
2021-11-23,22600,22600,21600,22100,214980,DVG
2021-11-24,22100,22200,21500,21900,131000,DVG
2021-11-25,21900,22900,21800,22900,87708,DVG
2021-11-26,23000,23100,22800,23100,135119,DVG
2021-11-29,23000,23300,23000,23000,124400,DVG
2021-11-30,23000,23200,22700,22800,196500,DVG
2021-12-01,22800,23000,22700,22900,142400,DVG
2021-12-02,22900,23100,22800,23100,160909,DVG
2021-12-03,23100,23100,22800,22900,135700,DVG
2021-12-06,22900,22900,22500,22500,173100,DVG
2021-12-07,22600,22600,21200,21500,175502,DVG
2021-12-08,21400,21900,21200,21500,175200,DVG
2021-12-09,21600,21900,21500,21700,153400,DVG
2021-12-10,21800,21800,20900,20900,193300,DVG
2021-12-13,21000,22900,20700,22900,215000,DVG
2021-12-14,23000,23700,22800,23700,355600,DVG
2021-12-15,23700,24000,23300,23500,255300,DVG
2021-12-16,23600,24000,22700,22900,263100,DVG
2021-12-17,22900,23200,22700,23100,199400,DVG
2021-12-20,23100,23300,22700,22700,257100,DVG
2021-12-21,22700,23100,22100,22900,203600,DVG
2021-12-22,22900,23500,22400,23500,336600,DVG
2021-12-23,23500,23900,23200,23900,336000,DVG
2021-12-24,24000,26000,23800,25700,411300,DVG
2021-12-27,25800,26000,25100,25500,286500,DVG
2021-12-28,25600,25700,24500,24700,203300,DVG
2021-12-29,24700,24800,23700,23700,234800,DVG
2021-12-30,23700,23800,23300,23700,274600,DVG
2021-12-31,23800,23900,23600,23700,187500,DVG
2022-01-04,23700,26000,23700,25800,445500,DVG
2022-01-05,25900,26300,25000,25100,432100,DVG
2022-01-06,25100,25400,24500,24700,1602700,DVG
2022-01-07,24800,24900,24500,24800,1271800,DVG
2022-01-10,24800,25000,22900,22900,292900,DVG
2022-01-11,22900,22900,20700,21500,280500,DVG
2022-01-12,21500,21500,20400,21200,618800,DVG
2022-01-13,21200,21300,19100,20000,1603000,DVG
2022-01-14,20000,20400,18000,20400,192700,DVG
2022-01-17,20400,20600,19400,20400,54400,DVG
2022-01-18,20400,20400,18400,20300,93000,DVG
2022-01-19,20300,20300,18300,19700,8600,DVG
2022-01-20,20000,20000,19000,19900,7400,DVG
2022-01-21,20000,20000,19400,20000,14000,DVG
2022-01-24,20000,20200,18500,20000,21000,DVG
2022-01-25,20000,20000,18500,19600,4500,DVG
2022-01-26,19600,19600,17700,19500,119200,DVG
2022-01-27,17800,19100,17600,19000,26200,DVG
2022-01-28,18600,18600,18400,18400,200,DVG
2022-02-07,17900,17900,16600,16600,20200,DVG
2022-02-08,16600,16600,15000,15000,73800,DVG
2022-02-09,13500,16200,13500,14500,631300,DVG
2022-02-10,13100,14400,13100,14400,489000,DVG
2022-02-11,13000,13000,13000,13000,240800,DVG
2022-02-14,11700,14100,11700,14000,4044300,DVG
2022-02-15,14100,14200,13000,13700,163300,DVG
2022-02-16,13700,14900,13200,14300,595000,DVG
2022-02-17,14200,14200,12900,13300,1301300,DVG
2022-02-18,13600,13800,13100,13400,868700,DVG
2022-02-21,13400,14700,12500,13200,4747800,DVG
2022-02-22,13500,13900,12200,12800,3455200,DVG
2022-02-23,13000,13400,12600,12800,2329100,DVG
2022-02-24,13300,13400,12000,12500,1363500,DVG
2022-02-25,12400,12800,12400,12600,709800,DVG
2022-02-28,12500,12600,12100,12400,1235900,DVG
2022-03-01,12400,12500,12100,12300,1015600,DVG
2022-03-02,12300,13500,12300,13500,3309700,DVG
2022-03-03,13500,14800,13500,14700,3210100,DVG
2022-03-04,14700,14900,14100,14100,1587900,DVG
2022-03-07,14000,14900,13600,14200,1951200,DVG
2022-03-08,14200,14200,13800,13800,1532800,DVG
2022-03-09,13500,14400,13500,13900,901200,DVG
2022-03-10,14000,14500,13900,14000,983900,DVG
2022-03-11,13900,14200,13000,13500,1856400,DVG
2022-03-14,13600,13800,13000,13400,1190200,DVG
2022-03-15,13400,13800,13300,13700,638200,DVG
2022-03-16,13700,14100,13700,13900,1236400,DVG
2022-03-17,13900,14000,13700,13700,885400,DVG
2022-03-18,13700,14000,13600,13700,880100,DVG
2022-03-21,13900,14000,13600,13700,823100,DVG
2022-03-22,13700,14700,13700,14200,2660800,DVG
2022-03-23,14400,14400,13800,13800,2136000,DVG
2022-03-24,13800,14100,13700,13800,1480700,DVG
2022-03-25,13900,15100,13800,15000,5529000,DVG
2022-03-28,15000,15900,14700,15000,4098300,DVG
2022-03-29,15000,15600,15000,15200,1969600,DVG
2022-03-30,15100,15200,13800,14300,3116500,DVG
2022-03-31,14300,14500,13900,13900,1155700,DVG
2022-04-01,13900,13900,13000,13600,1662000,DVG
2022-04-04,13600,14200,13500,13800,849700,DVG
2022-04-05,13800,13800,13500,13700,784400,DVG
2022-04-06,13700,13700,12900,12900,1963900,DVG
2022-04-07,12900,13000,12200,12300,1789000,DVG
