time,open,high,low,close,volume,ticker
2022-07-19,23400,23400,18400,20000,578600,DVM
2022-07-20,20000,20100,19700,20000,240800,DVM
2022-07-21,20000,20000,18500,19100,188500,DVM
2022-07-22,18200,18400,17500,17900,153400,DVM
2022-07-25,17600,18000,16400,16900,253800,DVM
2022-07-26,16700,17000,16500,17000,143700,DVM
2022-07-27,16600,18200,16600,17300,112800,DVM
2022-07-28,17400,17800,17400,17700,291200,DVM
2022-07-29,17700,18400,17500,18400,316300,DVM
2022-08-01,18500,18800,18300,18700,356500,DVM
2022-08-02,18700,19100,18100,19000,542200,DVM
2022-08-03,18200,19000,18200,18600,273900,DVM
2022-08-04,18500,19000,18400,18700,370700,DVM
2022-08-05,18300,18800,18100,18300,239800,DVM
2022-08-08,18500,18800,18000,18200,187500,DVM
2022-08-09,18200,18300,17900,18200,151000,DVM
2022-08-10,18000,18100,17900,17900,190100,DVM
2022-08-11,18000,18300,17600,17800,173000,DVM
2022-08-12,17800,18100,17600,18000,168500,DVM
2022-08-15,18100,18400,17800,18000,134900,DVM
2022-08-16,17900,18200,17700,18000,165200,DVM
2022-08-17,17900,18100,17700,17900,140900,DVM
2022-08-18,17800,18000,17700,17800,169900,DVM
2022-08-19,17900,18000,17600,17800,212500,DVM
2022-08-22,17700,17900,17500,17500,218700,DVM
2022-08-23,17200,17800,17000,17500,197600,DVM
2022-08-24,17500,17800,17300,17600,218600,DVM
2022-08-25,17600,17900,17300,17600,181800,DVM
2022-08-26,17600,18600,17200,18300,544100,DVM
2022-08-29,18000,18500,17900,18200,800700,DVM
2022-08-30,18200,18400,17800,18100,565300,DVM
2022-08-31,18100,18300,18000,18000,463700,DVM
2022-09-05,17900,18300,17800,18000,150100,DVM
2022-09-06,17900,18300,17900,18100,241400,DVM
2022-09-07,18100,18200,17800,18000,197300,DVM
2022-09-08,17800,18200,17800,17900,176700,DVM
2022-09-09,17800,18100,17500,17900,190400,DVM
2022-09-12,17900,18100,17600,17900,156300,DVM
2022-09-13,17700,18000,17700,17900,177700,DVM
2022-09-14,17700,17900,17500,17800,147800,DVM
2022-09-15,17700,17900,17600,17700,127500,DVM
2022-09-16,17600,17700,17400,17500,114100,DVM
2022-09-19,17700,17700,17200,17400,182000,DVM
2022-09-20,17500,17600,17200,17600,150600,DVM
2022-09-21,17500,17700,17400,17600,153700,DVM
2022-09-22,17500,18100,17500,17800,297400,DVM
2022-09-23,17700,18000,16900,16900,420400,DVM
2022-09-26,17000,17500,16700,16800,199200,DVM
2022-09-27,16700,17300,16500,16700,239100,DVM
2022-09-28,16700,17000,16500,16800,193100,DVM
2022-09-29,16800,17000,16400,16500,205700,DVM
2022-09-30,16500,16900,15700,16400,196900,DVM
2022-10-03,16400,16400,15800,16100,150500,DVM
2022-10-04,16000,16600,15900,16000,223800,DVM
2022-10-05,16000,16500,15800,16100,155800,DVM
2022-10-06,16000,16200,15900,15900,69400,DVM
2022-10-07,15800,15900,14400,14400,203000,DVM
2022-10-10,14500,15100,13000,14400,146600,DVM
2022-10-11,14300,14500,13200,13200,55500,DVM
2022-10-12,13200,13900,13200,13500,59700,DVM
2022-10-13,13400,14000,13300,13800,155800,DVM
2022-10-14,13800,14600,13800,14500,211700,DVM
2022-10-17,15200,15200,14100,14100,165200,DVM
2022-10-18,14200,15000,14200,14700,191500,DVM
2022-10-19,14700,15000,14400,14400,134600,DVM
2022-10-20,14400,15000,14200,14400,130900,DVM
2022-10-21,14300,14700,13300,14400,115000,DVM
2022-10-24,14400,14600,13600,14400,125500,DVM
2022-10-25,14200,14200,13800,14100,100300,DVM
2022-10-26,14000,14200,13800,14200,106000,DVM
2022-10-27,14100,14500,13900,14400,116300,DVM
2022-10-28,14300,14600,14100,14400,108800,DVM
2022-10-31,14400,14500,13800,14100,88900,DVM
2022-11-01,14000,14400,13900,14100,91200,DVM
2022-11-02,13900,14300,13700,14000,87200,DVM
2022-11-03,13800,14100,13600,14000,89200,DVM
2022-11-04,14000,14100,13400,13900,92700,DVM
2022-11-07,13800,13900,13000,13800,93700,DVM
2022-11-08,13500,13900,13100,13900,71800,DVM
2022-11-09,13900,14000,13400,13900,53500,DVM
2022-11-10,12700,13800,12700,13800,76700,DVM
2022-11-11,13800,13900,13000,13700,115200,DVM
2022-11-14,13600,13700,12900,13600,75600,DVM
2022-11-15,13700,13700,12800,13000,41700,DVM
2022-11-16,13000,14300,12800,14000,126900,DVM
2022-11-17,13900,14200,13700,14000,87400,DVM
2022-11-18,14000,14200,13600,14000,16900,DVM
2022-11-21,14000,14000,13400,13900,92400,DVM
2022-11-22,13700,13900,13500,13900,97600,DVM
2022-11-23,13700,13900,13500,13900,31600,DVM
2022-11-24,13500,13800,13500,13800,41300,DVM
2022-11-25,13800,13800,13300,13600,36600,DVM
2022-11-28,13600,13900,13400,13600,76400,DVM
2022-11-29,13600,13700,13300,13600,132200,DVM
2022-11-30,13700,14300,13500,14000,118100,DVM
2022-12-01,14000,14200,13800,14000,158900,DVM
2022-12-02,14000,14200,13700,14000,52800,DVM
