time,open,high,low,close,volume,ticker
2021-12-22,17200,17200,17200,17200,0,DWC
2021-12-23,17200,17200,17200,17200,0,DWC
2021-12-24,17200,17200,17200,17200,0,DWC
2021-12-27,24000,24000,18300,18300,13000,DWC
2021-12-28,19500,19500,19500,19500,0,DWC
2021-12-29,19500,19500,19500,19500,0,DWC
2021-12-30,22300,22400,22300,22400,1300,DWC
2021-12-31,25500,25600,25500,25600,1200,DWC
2022-01-04,29400,29400,25900,29400,4100,DWC
2022-01-05,33500,33500,33500,33500,2200,DWC
2022-01-06,33500,33500,33500,33500,0,DWC
2022-01-07,33000,33000,28500,28500,3400,DWC
2022-01-10,24400,24400,24400,24400,3700,DWC
2022-01-11,20800,25000,20800,25000,2800,DWC
2022-01-12,19500,22000,19400,20000,900,DWC
2022-01-13,23000,23000,23000,23000,100,DWC
2022-01-14,24000,24000,24000,24000,200,DWC
2022-01-17,26400,26400,26400,26400,100,DWC
2022-01-18,22500,22500,22500,22500,500,DWC
2022-01-19,23900,23900,19200,19200,1200,DWC
2022-01-20,20000,20000,20000,20000,100,DWC
2022-01-21,20000,20000,20000,20000,0,DWC
2022-01-24,17000,17000,17000,17000,100,DWC
2022-01-25,17000,17000,17000,17000,0,DWC
2022-01-26,17000,17000,17000,17000,300,DWC
2022-01-27,17000,17000,17000,17000,0,DWC
2022-01-28,14500,19300,14500,19300,900,DWC
2022-02-07,17100,17200,17100,17200,500,DWC
2022-02-08,17200,17200,17200,17200,300,DWC
2022-02-09,17200,19500,17200,19500,1900,DWC
2022-02-10,19300,19300,19300,19300,0,DWC
2022-02-11,19300,19300,19300,19300,200,DWC
2022-02-14,19300,19300,19300,19300,0,DWC
2022-02-15,19300,19300,19300,19300,0,DWC
2022-02-16,19300,19300,19300,19300,0,DWC
2022-02-17,19300,19300,19300,19300,0,DWC
2022-02-18,19300,19300,19300,19300,0,DWC
2022-02-21,19300,19300,19300,19300,0,DWC
2022-02-22,19300,19300,19300,19300,0,DWC
2022-02-23,17500,17500,17500,17500,100,DWC
2022-02-24,17500,17500,17500,17500,0,DWC
2022-02-25,15100,15100,15100,15100,100,DWC
2022-02-28,17300,17300,17300,17300,200,DWC
2022-03-01,17300,17300,17300,17300,0,DWC
2022-03-02,17300,17300,17300,17300,0,DWC
2022-03-03,19700,19700,19600,19700,700,DWC
2022-03-04,22500,22500,22500,22500,100,DWC
2022-03-07,22300,22300,22300,22300,500,DWC
2022-03-08,22300,22300,22300,22300,0,DWC
2022-03-09,22300,22300,22300,22300,0,DWC
2022-03-10,19100,19100,19000,19000,1000,DWC
2022-03-11,16500,16500,16500,16500,200,DWC
2022-03-14,16900,16900,16800,16800,200,DWC
2022-03-15,16900,16900,16900,16900,0,DWC
2022-03-16,16900,16900,16900,16900,0,DWC
2022-03-17,15800,15800,15800,15800,400,DWC
2022-03-18,15100,15100,15000,15000,3200,DWC
2022-03-21,15100,15100,15100,15100,0,DWC
2022-03-22,15100,15100,15100,15100,0,DWC
2022-03-23,15000,15500,15000,15500,600,DWC
2022-03-24,15200,15400,15200,15400,800,DWC
2022-03-25,15400,15400,15400,15400,100,DWC
2022-03-28,16400,16400,16400,16400,200,DWC
2022-03-29,16400,16400,16400,16400,0,DWC
2022-03-30,16000,16000,16000,16000,200,DWC
2022-03-31,16000,16000,16000,16000,400,DWC
2022-04-01,16000,16000,16000,16000,100,DWC
2022-04-04,16000,16000,16000,16000,0,DWC
2022-04-05,16000,16000,16000,16000,0,DWC
2022-04-06,16000,16000,16000,16000,100,DWC
2022-04-07,16000,16000,16000,16000,0,DWC
2022-04-08,16000,16000,16000,16000,0,DWC
2022-04-12,16000,16000,16000,16000,0,DWC
2022-04-13,16000,16000,16000,16000,200,DWC
2022-04-14,16000,16000,16000,16000,0,DWC
2022-04-15,16000,16000,16000,16000,0,DWC
2022-04-18,13700,15600,13700,15600,200,DWC
2022-04-19,14700,14700,14700,14700,0,DWC
2022-04-20,13700,13700,13700,13700,200,DWC
2022-04-21,13700,13700,13700,13700,0,DWC
2022-04-22,13700,13700,13700,13700,0,DWC
2022-04-25,14000,14000,14000,14000,100,DWC
2022-04-26,14100,14100,14100,14100,100,DWC
2022-04-27,14100,14100,14100,14100,0,DWC
2022-04-28,14100,14100,14100,14100,0,DWC
2022-04-29,14100,14100,14100,14100,0,DWC
2022-05-04,14100,14100,14100,14100,0,DWC
2022-05-05,14100,14100,14100,14100,0,DWC
2022-05-06,14100,14100,14100,14100,0,DWC
2022-05-09,14100,14100,14100,14100,0,DWC
2022-05-10,14100,14100,14100,14100,0,DWC
2022-05-11,14100,14100,14100,14100,0,DWC
2022-05-12,12200,12200,12200,12200,100,DWC
2022-05-13,12200,12200,12200,12200,0,DWC
2022-05-16,12200,12200,12200,12200,0,DWC
2022-05-17,12200,12200,12200,12200,0,DWC
2022-05-18,12300,12300,12300,12300,100,DWC
2022-05-19,12300,12300,12300,12300,0,DWC
2022-05-20,12300,12300,12300,12300,0,DWC
2022-05-23,12300,12300,12300,12300,0,DWC
2022-05-24,12300,12300,12300,12300,0,DWC
2022-05-25,12300,12300,12300,12300,0,DWC
2022-05-26,12300,12300,12300,12300,0,DWC
2022-05-27,12300,12300,12300,12300,0,DWC
2022-05-30,12300,12300,12300,12300,0,DWC
2022-05-31,13700,13700,13700,13700,100,DWC
2022-06-01,13700,13700,13700,13700,0,DWC
2022-06-02,13700,13700,13700,13700,0,DWC
2022-06-03,13700,13700,13700,13700,0,DWC
2022-06-06,13700,13700,13700,13700,0,DWC
2022-06-07,13700,13700,13700,13700,0,DWC
2022-06-08,13700,13700,13700,13700,0,DWC
2022-06-09,13700,13700,13700,13700,0,DWC
2022-06-10,13700,13700,13700,13700,0,DWC
2022-06-13,13700,13700,13700,13700,0,DWC
2022-06-14,13700,13700,13700,13700,0,DWC
2022-06-15,13700,13700,13700,13700,0,DWC
2022-06-16,13700,13700,13700,13700,0,DWC
2022-06-17,13700,13700,13700,13700,0,DWC
2022-06-20,13700,13700,13700,13700,0,DWC
2022-06-21,13700,13700,13700,13700,0,DWC
2022-06-22,13700,13700,13700,13700,0,DWC
2022-06-23,13700,13700,13700,13700,0,DWC
2022-06-24,13700,13700,13700,13700,0,DWC
2022-06-27,13700,13700,13700,13700,0,DWC
2022-06-28,11700,11800,11700,11800,900,DWC
2022-06-29,11700,11700,11700,11700,0,DWC
2022-06-30,11700,11700,11700,11700,0,DWC
2022-07-01,11700,11700,11700,11700,0,DWC
2022-07-04,11700,11700,11700,11700,0,DWC
2022-07-05,11700,11700,11700,11700,0,DWC
2022-07-06,11700,11700,11700,11700,0,DWC
2022-07-07,11700,11700,11700,11700,0,DWC
2022-07-08,11700,11700,11700,11700,0,DWC
