time,open,high,low,close,volume,ticker
2005-12-26,966,966,966,966,1000,DXP
2005-12-28,966,966,966,966,0,DXP
2005-12-30,966,966,966,966,0,DXP
2006-01-04,966,966,966,966,0,DXP
2006-01-06,966,966,966,966,0,DXP
2006-01-09,966,966,966,966,0,DXP
2006-01-11,966,966,966,966,400,DXP
2006-01-13,966,966,966,966,0,DXP
2006-01-16,966,966,966,966,0,DXP
2006-01-18,966,966,966,966,0,DXP
2006-01-20,966,966,966,966,0,DXP
2006-01-23,966,966,966,966,0,DXP
2006-01-25,966,966,966,966,0,DXP
2006-01-27,966,966,966,966,0,DXP
2006-02-06,887,887,887,887,1000,DXP
2006-02-08,887,887,887,887,0,DXP
2006-02-10,913,913,913,913,2000,DXP
2006-02-13,887,887,887,887,1000,DXP
2006-02-15,887,887,887,887,0,DXP
2006-02-17,887,887,887,887,0,DXP
2006-02-20,887,887,887,887,0,DXP
2006-02-22,887,887,887,887,0,DXP
2006-02-24,887,887,887,887,1000,DXP
2006-02-27,913,913,913,913,200,DXP
2006-03-01,913,913,913,913,300,DXP
2006-03-03,924,924,924,924,3700,DXP
2006-03-06,924,924,924,924,0,DXP
2006-03-08,992,992,992,992,100,DXP
2006-03-10,940,940,940,940,100,DXP
2006-03-13,940,940,940,940,0,DXP
2006-03-15,1030,1030,1013,1024,2500,DXP
2006-03-17,1024,1024,1024,1024,0,DXP
2006-03-20,1125,1125,1125,1125,1800,DXP
2006-03-22,1125,1182,1125,1165,1800,DXP
2006-03-24,1125,1182,1125,1170,11400,DXP
2006-03-27,1182,1193,1182,1187,2500,DXP
2006-03-29,1238,1266,1238,1249,15600,DXP
2006-03-31,1294,1373,1272,1317,5700,DXP
2006-04-03,1446,1446,1446,1446,1100,DXP
2006-04-05,1587,1587,1576,1587,6000,DXP
2006-04-07,1632,1688,1632,1666,2800,DXP
2006-04-10,1745,1745,1632,1711,2700,DXP
2006-04-12,1621,1632,1604,1621,3100,DXP
2006-04-14,1570,1576,1553,1576,3400,DXP
2006-04-17,1519,1688,1519,1598,15500,DXP
2006-04-19,1632,1688,1609,1632,9000,DXP
2006-04-21,1716,1745,1688,1716,6100,DXP
2006-04-24,1745,1801,1745,1761,7800,DXP
2006-04-26,1745,1936,1745,1868,16400,DXP
2006-04-28,1801,1897,1790,1812,6500,DXP
2006-05-03,1857,1857,1829,1846,4000,DXP
2006-05-05,1885,1885,1846,1868,8800,DXP
2006-05-08,1880,2054,1868,1908,8400,DXP
2006-05-10,1745,1745,1722,1733,4500,DXP
2006-05-12,1863,1863,1801,1840,2500,DXP
2006-05-15,1891,1891,1852,1868,13600,DXP
2006-05-17,1868,1868,1801,1835,7000,DXP
2006-05-19,1745,1745,1688,1728,2400,DXP
2006-05-22,1660,1677,1643,1660,400,DXP
2006-05-24,1632,1773,1548,1626,6300,DXP
2006-05-26,1604,1604,1519,1548,7600,DXP
2006-05-29,1576,1581,1463,1525,13800,DXP
2006-05-31,1525,1525,1491,1503,3200,DXP
2006-06-01,1429,1503,1429,1480,300,DXP
2006-06-02,1480,1531,1480,1508,2800,DXP
2006-06-05,1519,1576,1514,1548,2100,DXP
2006-06-06,1688,1700,1660,1683,10000,DXP
2006-06-07,1700,1705,1683,1700,14600,DXP
2006-06-08,1700,1700,1700,1700,4600,DXP
2006-06-09,1700,1745,1700,1716,4400,DXP
2006-06-12,1716,1745,1705,1716,2200,DXP
2006-06-13,1716,1716,1716,1716,5000,DXP
2006-06-14,1716,1716,1716,1716,2200,DXP
2006-06-15,1716,1716,1716,1716,8200,DXP
2006-06-16,1716,1716,1716,1716,8200,DXP
2006-06-19,1705,1716,1705,1711,6000,DXP
2006-06-20,1716,1716,1688,1711,700,DXP
2006-06-21,1576,1576,1576,1576,100,DXP
2006-06-22,1632,1632,1632,1632,2900,DXP
2006-06-23,1643,1643,1643,1643,1800,DXP
2006-06-26,1643,1643,1643,1643,0,DXP
2006-06-27,1638,1638,1638,1638,100,DXP
2006-06-28,1638,1638,1638,1638,1000,DXP
2006-06-29,1638,1638,1638,1638,0,DXP
2006-06-30,1638,1638,1638,1638,400,DXP
2006-07-03,1773,1773,1638,1705,2000,DXP
2006-07-04,1638,1638,1638,1638,1000,DXP
2006-07-05,1632,1632,1632,1632,3000,DXP
2006-07-06,1632,1632,1632,1632,0,DXP
2006-07-07,1632,1632,1632,1632,500,DXP
2006-07-10,1632,1632,1632,1632,300,DXP
2006-07-11,1632,1632,1632,1632,0,DXP
2006-07-12,1632,1632,1632,1632,1000,DXP
2006-07-13,1632,1632,1621,1626,1400,DXP
2006-07-14,1626,1626,1615,1621,1600,DXP
2006-07-17,1609,1609,1564,1587,2100,DXP
2006-07-18,1576,1576,1576,1576,5100,DXP
2006-07-19,1564,1564,1418,1531,900,DXP
2006-07-20,1553,1559,1553,1559,2100,DXP
2006-07-21,1559,1559,1553,1553,3000,DXP
2006-07-24,1553,1553,1463,1542,5400,DXP
2006-07-25,1519,1548,1519,1536,2600,DXP
2006-07-26,1536,1536,1536,1536,0,DXP
2006-07-27,1536,1536,1536,1536,0,DXP
2006-07-28,1525,1525,1525,1525,1000,DXP
2006-07-31,1525,1525,1525,1525,0,DXP
2006-08-01,1519,1519,1452,1474,600,DXP
2006-08-02,1474,1474,1474,1474,200,DXP
2006-08-03,1474,1491,1474,1480,900,DXP
2006-08-04,1480,1480,1480,1480,0,DXP
2006-08-07,1463,1463,1463,1463,400,DXP
2006-08-08,1463,1463,1463,1463,0,DXP
2006-08-09,1463,1463,1463,1463,0,DXP
2006-08-10,1463,1463,1463,1463,0,DXP
2006-08-11,1463,1463,1463,1463,0,DXP
2006-08-14,1542,1609,1542,1581,900,DXP
2006-08-15,1548,1548,1548,1548,700,DXP
2006-08-16,1548,1548,1508,1531,3100,DXP
2006-08-17,1525,1548,1519,1525,4800,DXP
2006-08-18,1525,1525,1525,1525,0,DXP
2006-08-21,1519,1519,1514,1519,5100,DXP
2006-08-22,1508,1508,1508,1508,1000,DXP
2006-08-23,1491,1519,1491,1519,11600,DXP
2006-08-24,1519,1519,1519,1519,0,DXP
2006-08-25,1519,1519,1519,1519,200,DXP
2006-08-28,1519,1519,1519,1519,0,DXP
2006-08-29,1497,1519,1497,1508,2600,DXP
2006-08-30,1519,1519,1519,1519,1400,DXP
2006-08-31,1519,1519,1519,1519,0,DXP
2006-09-01,1519,1519,1519,1519,1500,DXP
2006-09-05,1548,1581,1548,1570,4000,DXP
2006-09-06,1576,1576,1519,1536,6000,DXP
2006-09-07,1548,1548,1519,1525,600,DXP
2006-09-08,1519,1519,1519,1519,500,DXP
2006-09-11,1531,1531,1519,1525,3200,DXP
2006-09-12,1525,1525,1525,1525,0,DXP
2006-09-13,1531,1542,1531,1536,800,DXP
2006-09-14,1519,1525,1519,1519,4500,DXP
2006-09-15,1525,1525,1519,1519,400,DXP
2006-09-18,1519,1519,1519,1519,100,DXP
2006-09-19,1519,1519,1519,1519,200,DXP
2006-09-20,1519,1519,1519,1519,1400,DXP
2006-09-21,1519,1519,1519,1519,700,DXP
2006-09-22,1548,1548,1531,1548,2200,DXP
2006-09-25,1525,1531,1525,1525,7000,DXP
2006-09-26,1519,1519,1519,1519,3600,DXP
2006-09-27,1519,1519,1519,1519,5500,DXP
2006-09-28,1519,1519,1519,1519,3500,DXP
2006-09-29,1519,1536,1519,1536,3000,DXP
2006-10-02,1536,1536,1531,1531,2500,DXP
2006-10-03,1531,1531,1531,1531,2100,DXP
2006-10-04,1531,1531,1531,1531,1100,DXP
2006-10-05,1548,1548,1525,1536,2700,DXP
2006-10-06,1548,1559,1548,1553,9700,DXP
2006-10-09,1604,1660,1593,1626,5500,DXP
2006-10-10,1688,1778,1688,1739,19600,DXP
2006-10-11,1745,1745,1716,1745,14800,DXP
2006-10-12,1716,1716,1632,1688,3000,DXP
2006-10-13,1683,1688,1604,1643,5300,DXP
2006-10-16,1497,1497,1497,1497,100,DXP
2006-10-17,1576,1576,1519,1559,300,DXP
2006-10-18,1407,1711,1407,1531,900,DXP
2006-10-19,1654,1660,1654,1660,1400,DXP
