time,open,high,low,close,volume,ticker
2009-06-11,20151,30451,17912,28659,373900,DZM
2009-06-12,24898,24898,24898,24898,4100,DZM
2009-06-15,26600,26600,26600,26600,7500,DZM
2009-06-16,28436,28436,24764,24808,213200,DZM
2009-06-17,23689,23957,23689,23689,87200,DZM
2009-06-18,22166,22390,22032,22032,48500,DZM
2009-06-19,20599,23286,20509,20554,116200,DZM
2009-06-22,19435,20868,19435,19435,23400,DZM
2009-06-23,18315,18315,18315,18315,2400,DZM
2009-06-24,17061,18987,17061,17285,98700,DZM
2009-06-25,17464,17822,15986,15986,42300,DZM
2009-06-26,15315,16569,15270,15270,60800,DZM
2009-06-29,14553,14553,14285,14285,38200,DZM
2009-06-30,13523,13523,13344,13344,28600,DZM
2009-07-01,12493,12493,12493,12493,400,DZM
2009-07-02,11643,12986,11643,12404,63900,DZM
2009-07-03,11150,12762,11150,12762,68700,DZM
2009-07-06,12852,12852,12852,12852,9500,DZM
2009-07-07,13747,13747,13747,13747,200,DZM
2009-07-08,14688,14688,14688,14688,21800,DZM
2009-07-09,15673,15673,14733,15673,83600,DZM
2009-07-10,16748,16748,14777,15001,87000,DZM
2009-07-13,16121,16121,14329,14329,14900,DZM
2009-07-14,15225,15225,14061,14553,34100,DZM
2009-07-15,15180,15315,14777,15315,18300,DZM
2009-07-16,16166,16166,15449,15762,31100,DZM
2009-07-17,16345,16345,15136,15136,7400,DZM
2009-07-20,14419,14419,14329,14329,600,DZM
2009-07-21,13971,14509,13479,14106,25900,DZM
2009-07-22,14777,14777,14150,14329,6700,DZM
2009-07-23,13882,14956,13389,14867,19300,DZM
2009-07-24,15001,15180,15001,15180,20600,DZM
2009-07-27,16166,16166,15628,16166,73600,DZM
2009-07-28,17061,17106,15673,16345,30800,DZM
2009-07-29,17061,17061,15762,16121,58700,DZM
2009-07-30,16031,17016,15673,17016,60400,DZM
2009-07-31,17285,17419,17016,17419,77700,DZM
2009-08-03,18136,18360,17375,17912,48100,DZM
2009-08-04,18808,18808,17464,17867,36900,DZM
2009-08-05,17912,18628,17688,18539,52100,DZM
2009-08-06,18808,19569,18315,18808,38500,DZM
2009-08-07,18808,19255,18539,18539,23900,DZM
2009-08-10,18852,19211,18808,18942,23200,DZM
2009-08-11,18584,18808,17957,18360,20500,DZM
2009-08-12,18360,18539,17688,17688,17200,DZM
2009-08-13,18360,18360,17016,17061,35700,DZM
2009-08-14,17688,18539,17016,18539,70200,DZM
2009-08-17,18808,18897,17912,17912,20800,DZM
2009-08-18,18360,18539,18002,18270,48600,DZM
2009-08-19,18360,18808,17464,18091,65400,DZM
2009-08-20,17464,17778,17285,17464,30200,DZM
2009-08-21,17285,17867,17151,17464,26800,DZM
2009-08-24,17464,17464,17016,17061,11100,DZM
2009-08-25,17016,17061,16792,16837,24100,DZM
2009-08-26,17464,18136,17464,17688,59400,DZM
2009-08-27,17912,17912,17778,17867,4900,DZM
2009-08-28,17912,18091,17867,17957,53900,DZM
2009-08-31,17957,18360,17733,18360,50700,DZM
2009-09-01,18181,18808,17733,18673,73800,DZM
2009-09-03,18136,18584,18136,18270,36500,DZM
2009-09-04,18360,18360,17554,17912,23100,DZM
2009-09-07,17016,17464,17016,17151,6500,DZM
2009-09-08,17464,17688,17464,17554,16100,DZM
2009-09-09,17688,17688,17464,17554,19200,DZM
2009-09-10,17599,18584,17554,18181,47300,DZM
2009-09-11,18360,18539,17688,18091,21100,DZM
2009-09-14,18360,18360,17688,18136,29300,DZM
2009-09-15,18002,18002,17688,17867,18700,DZM
2009-09-16,17778,18091,17733,18091,48900,DZM
2009-09-17,18270,19032,18181,19032,50000,DZM
2009-09-18,20151,20196,19479,20196,76900,DZM
2009-09-21,21271,21450,21271,21450,82200,DZM
2009-09-22,21494,22569,20599,21271,38000,DZM
2009-09-23,21494,21494,20196,20330,86700,DZM
2009-09-24,20465,21718,20465,21674,45900,DZM
2009-09-25,21494,21942,21405,21763,55600,DZM
2009-09-28,22390,22659,21763,21898,43200,DZM
2009-09-29,22077,22077,21047,21047,19600,DZM
2009-09-30,20912,21539,20375,20733,21500,DZM
2009-10-01,20823,20823,19390,19390,42600,DZM
2009-10-02,18808,18808,18360,18808,34000,DZM
2009-10-05,19703,19748,19703,19748,37500,DZM
2009-10-06,20151,21091,20151,21091,43500,DZM
2009-10-07,21763,21763,20599,20688,26900,DZM
2009-10-08,20599,20823,19435,20420,10700,DZM
2009-10-09,20823,21494,20420,21002,55600,DZM
2009-10-12,21450,21450,20957,21226,49200,DZM
2009-10-13,21967,21967,20623,20623,15000,DZM
2009-10-14,21087,22014,21087,21967,32600,DZM
2009-10-15,22245,22709,22245,22709,93900,DZM
2009-10-16,22709,22709,22245,22245,36100,DZM
2009-10-19,22477,22570,22245,22570,49000,DZM
2009-10-20,22941,23172,22477,22477,99100,DZM
2009-10-21,21875,22709,21875,22709,14300,DZM
2009-10-22,22338,22709,22245,22523,65500,DZM
2009-10-23,21365,22477,21365,21689,33600,DZM
2009-10-26,20948,21967,20901,20901,14600,DZM
2009-10-27,20299,20438,19928,20392,11200,DZM
2009-10-28,20253,20623,19743,20021,11200,DZM
2009-10-29,21087,21272,20392,21040,28900,DZM
2009-10-30,22338,22338,21643,22199,9200,DZM
2009-11-02,20716,21550,20577,20716,31300,DZM
2009-11-03,19928,19974,19511,19511,21300,DZM
2009-11-04,18445,20345,18399,18399,58300,DZM
2009-11-05,19465,19465,17889,19465,11300,DZM
2009-11-06,20299,20299,18723,18723,15500,DZM
2009-11-09,20206,20206,17889,18260,40400,DZM
2009-11-10,18167,18213,16962,17194,32000,DZM
2009-11-11,18213,18213,17147,18028,4500,DZM
2009-11-12,18445,18816,18074,18445,22000,DZM
2009-11-13,18445,18538,17657,18538,15900,DZM
2009-11-16,19001,19696,18909,19696,65200,DZM
2009-11-17,19696,20299,18538,18538,5200,DZM
2009-11-18,18584,19557,18491,18491,19100,DZM
2009-11-19,18955,19094,18538,18584,33800,DZM
2009-11-20,18723,18723,17611,17611,27400,DZM
2009-11-23,18538,18538,17055,17147,20800,DZM
2009-11-24,16684,16684,16128,16313,18400,DZM
2009-11-25,16684,16684,15108,15108,25700,DZM
2009-11-26,14228,15062,14135,14135,22800,DZM
2009-11-27,13254,14459,13254,13532,39300,DZM
2009-11-30,14459,14691,14459,14691,22300,DZM
2009-12-01,15433,15479,15062,15108,9700,DZM
2009-12-02,15294,16174,14598,14645,8100,DZM
2009-12-03,15247,15247,14228,14367,6200,DZM
2009-12-04,15201,15201,13903,14367,146800,DZM
2009-12-07,14598,14598,13903,13903,6800,DZM
2009-12-08,14459,14459,13532,13532,7600,DZM
2009-12-09,12837,12930,12652,12930,52800,DZM
2009-12-10,12745,13208,11771,11818,173300,DZM
2009-12-11,12652,12652,11076,11122,125900,DZM
2009-12-14,11864,11910,11864,11910,9400,DZM
2009-12-15,12698,12698,12606,12698,37800,DZM
2009-12-16,13115,13115,11818,12049,166300,DZM
2009-12-17,11864,11864,11308,11493,52600,DZM
2009-12-18,11910,12096,11910,12096,64000,DZM
2009-12-21,12837,12884,12745,12884,14200,DZM
2009-12-22,12837,12976,12513,12513,140900,DZM
2009-12-23,12142,12837,12142,12745,10000,DZM
2009-12-24,12327,13301,12049,13208,24300,DZM
2009-12-25,13440,13579,13440,13579,58800,DZM
2009-12-28,13579,14320,13347,13440,48500,DZM
2009-12-29,13069,13069,12559,12559,57500,DZM
2009-12-30,12374,13254,12327,12652,29100,DZM
2009-12-31,13069,13579,13069,13579,98900,DZM
2010-01-04,14506,14506,14506,14506,3200,DZM
2010-01-05,15479,15479,15479,15479,8000,DZM
2010-01-06,16545,16545,16545,16545,8600,DZM
2010-01-07,17657,17657,16916,17657,162900,DZM
2010-01-08,18769,18862,17611,18769,125500,DZM
2010-01-11,19001,19001,18074,18074,57600,DZM
2010-01-12,19001,19001,17240,17425,13600,DZM
2010-01-13,18538,18538,16452,17379,89100,DZM
2010-01-14,17704,17935,17147,17750,69100,DZM
2010-01-15,17750,17843,16545,17611,28500,DZM
2010-01-18,16916,18028,15757,18028,29600,DZM
2010-01-19,17564,17564,16591,17564,45900,DZM
2010-01-20,18445,18445,17611,17982,50300,DZM
2010-01-21,19233,19418,17611,17843,62300,DZM
2010-01-22,17843,18769,17611,18121,50000,DZM
2010-01-25,17425,18538,17379,18167,55700,DZM
2010-01-26,18538,19233,18213,18909,67000,DZM
2010-01-27,19465,19650,17704,18538,45600,DZM
2010-01-28,17657,18816,17611,18816,64200,DZM
2010-01-29,18769,18769,18074,18491,13100,DZM
2010-02-01,19372,19372,18213,18213,11900,DZM
2010-02-02,18445,18445,17611,18074,53300,DZM
2010-02-03,17982,18167,17843,17843,15700,DZM
2010-02-04,18260,18538,18074,18074,40300,DZM
2010-02-05,18491,18538,17611,18260,23400,DZM
2010-02-08,17147,18167,17147,18028,26700,DZM
2010-02-09,17935,18352,17750,18074,30300,DZM
2010-02-10,18538,19140,18491,19140,48000,DZM
2010-02-11,19094,19882,19094,19604,32600,DZM
2010-02-12,19604,20160,19511,19928,17700,DZM
2010-02-22,20855,20855,19557,20160,4400,DZM
2010-02-23,19928,19928,19233,19789,10700,DZM
2010-02-24,19094,20160,19094,20113,9400,DZM
2010-02-25,19835,19974,19835,19835,22600,DZM
2010-02-26,19604,19928,19604,19928,10600,DZM
2010-03-01,20855,21133,19928,21133,44200,DZM
2010-03-02,22106,22106,22106,22106,8800,DZM
2010-03-03,23636,23636,23636,23636,15800,DZM
2010-03-04,25258,25258,25258,25258,11700,DZM
2010-03-05,27019,27019,23497,24331,432600,DZM
2010-03-08,24331,25814,24053,24053,146800,DZM
2010-03-09,22755,24655,22709,24563,93200,DZM
2010-03-10,24563,25536,23867,25536,106700,DZM
2010-03-11,25165,25490,23914,24563,40800,DZM
2010-03-12,24748,24748,23404,24099,85800,DZM
2010-03-15,23821,23821,22523,22523,61500,DZM
2010-03-16,22245,22755,21179,21179,113000,DZM
2010-03-17,21365,22245,21087,21875,71900,DZM
2010-03-18,21643,22431,21318,22245,40900,DZM
2010-03-19,22338,22477,21921,22153,19400,DZM
2010-03-22,22245,22477,20577,21226,42900,DZM
2010-03-23,20948,20948,20160,20623,22700,DZM
2010-03-24,21318,21318,20531,21040,17800,DZM
2010-03-25,19557,20160,19465,19835,43700,DZM
2010-03-26,20021,20392,19465,20113,45800,DZM
2010-03-29,20392,21272,19928,21272,86800,DZM
2010-03-30,21365,21597,21133,21179,41300,DZM
2010-03-31,21272,21318,20253,20299,17000,DZM
2010-04-01,19743,20531,19604,20392,24300,DZM
2010-04-02,20531,20855,20392,20855,34300,DZM
2010-04-05,20855,21272,20577,20809,38900,DZM
2010-04-06,21087,21087,19882,20113,20400,DZM
2010-04-07,20160,20809,20160,20392,35500,DZM
2010-04-08,20160,21550,20160,21458,102600,DZM
2010-04-09,22245,22523,22245,22523,137800,DZM
2010-04-12,22755,23636,22523,22894,114900,DZM
2010-04-13,23172,23172,21782,22199,100200,DZM
2010-04-14,21782,23404,21782,23126,165300,DZM
2010-04-15,23867,24285,23867,24285,204600,DZM
2010-04-16,25953,25953,24331,24516,95100,DZM
2010-04-19,23914,24099,23358,23404,47700,DZM
2010-04-20,24099,24099,23219,23682,88300,DZM
2010-04-21,23636,24563,23636,24331,123400,DZM
2010-04-22,24563,25675,24331,25443,157900,DZM
2010-04-26,24933,24933,23126,23589,199500,DZM
2010-04-27,24099,24424,23358,24377,80500,DZM
2010-04-28,24794,25443,24099,25443,210100,DZM
2010-04-29,25582,26741,25026,26185,156500,DZM
2010-05-04,25490,26277,24794,25721,122900,DZM
2010-05-05,25582,26416,25026,26185,85000,DZM
2010-05-06,26185,26926,25999,26880,98500,DZM
2010-05-07,26648,26880,25490,26509,133900,DZM
2010-05-10,26185,26185,25119,25119,55100,DZM
2010-05-11,26277,27065,26277,27065,151200,DZM
2010-05-12,28780,28780,26880,28734,245400,DZM
2010-05-13,27575,28502,26602,27807,100000,DZM
2010-05-14,27668,28734,26880,28039,30100,DZM
2010-05-17,28502,28502,25814,25814,102400,DZM
2010-05-18,25165,26880,25119,25119,120200,DZM
2010-05-19,26416,26648,23728,25258,109800,DZM
2010-05-20,24563,25953,24563,25721,33300,DZM
2010-05-21,25629,25629,23914,23914,17200,DZM
2010-05-24,25443,25443,23867,23867,8400,DZM
2010-05-25,23636,23636,23497,23497,14800,DZM
2010-05-26,23543,25165,23543,23867,108400,DZM
2010-05-27,25212,25212,24099,24794,5800,DZM
2010-05-28,25907,26370,25860,26138,82600,DZM
2010-05-31,26416,26416,24470,24794,48200,DZM
2010-06-01,25443,27204,25443,27204,183000,DZM
2010-06-02,26926,28780,26926,28780,58000,DZM
2010-06-03,30495,30541,30495,30541,2100,DZM
2010-06-04,32673,32673,28409,30541,81400,DZM
2010-06-07,29197,29197,27112,27112,26200,DZM
2010-06-08,26416,28734,25490,27343,154900,DZM
2010-06-09,27807,28548,26880,27575,39000,DZM
